<br><font color=teal>*Mikaelson, Niklaus(Chedz) says: . . . - Tue Nov  3 18:18:40 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: I just don't use them all since I major in Kenjutsu. - Tue Nov  3 18:43:24 2015
<br><br><font color=teal>*Kilm(Vysasi) says: So, Niklaus. Have you seen Taifu? - Tue Nov  3 18:44:16 2015
<br><br><font color=teal>*Hogo, Tethys(Uptown Realest) says: w- - Tue Nov  3 18:44:16 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: I mean is Tetsumi is still alive right? - Tue Nov  3 18:46:49 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Yo, Tethys Tetsumi still alive? - Tue Nov  3 18:47:40 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Tetsumi. - Tue Nov  3 18:47:40 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Is alive. - Tue Nov  3 18:47:40 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I gave him raccoon summons. - Tue Nov  3 18:47:40 2015
<br><br><font color=teal>*Kilm(Vysasi) says: They will inform him of my death. - Tue Nov  3 18:48:32 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Really? Good... I have faith in that kid - Tue Nov  3 18:48:32 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Raccoons eh? - Tue Nov  3 18:48:32 2015
<br><br><font color=teal>*Kilm(Vysasi) says: He is really strong with his sand. - Tue Nov  3 18:48:32 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Iron sand, Not normal sand. - Tue Nov  3 18:49:23 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: I guess that is odd becasue the thing with him looks like one... at from what I saw - Tue Nov  3 18:49:23 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Yea im aware.. - Tue Nov  3 18:49:23 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: I kicked his but a few times - Tue Nov  3 18:49:23 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: My sand was alot faster - Tue Nov  3 18:49:23 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: I hope Suna is in better sanding... Kilm what village were you in? - Tue Nov  3 18:51:05 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Depends. - Tue Nov  3 18:51:05 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I can say i've almost worked for all of em except Kirigakure. - Tue Nov  3 18:51:05 2015
<br><br><font color=teal>*Kilm(Vysasi) says: You see. - Tue Nov  3 18:51:05 2015
<br><br><font color=teal>*Kilm(Vysasi) says: When I was captured by Zetsumo, I was to spend a lot of my time in Konohagakure. - Tue Nov  3 18:51:05 2015
<br><br><font color=teal>*Kilm(Vysasi) says: When Konohagakure got captured, I had to go to Amegakure. - Tue Nov  3 18:51:56 2015
<br><br><font color=teal>*Kilm(Vysasi) says: When Zetsumo died, Me and Katsune took over Konohagakure. - Tue Nov  3 18:51:56 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Then Erebus happened, Lack of trust . . . Paranoia, Had to give up on Konohagakure and change identities for a bit. - Tue Nov  3 18:51:56 2015
<br><br><font color=teal>*Kilm(Vysasi) says: We then moved to Sunagakure. - Tue Nov  3 18:51:56 2015
<br><br><font color=teal>*Kilm(Vysasi) says: And I died near there. - Tue Nov  3 18:51:56 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Well . . . Technically Erebus gave it to us . . . Just that it looked like he was more in control than us. - Tue Nov  3 18:53:39 2015
<br><br><font color=teal>*Kilm(Vysasi) says: So we were really paranoid. - Tue Nov  3 18:53:39 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Anyway. - Tue Nov  3 18:53:39 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Did the both of you know I was insane? - Tue Nov  3 18:53:39 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Nope, but I was unstable so you are not alone... alot of pain in my life shaped my actiosn - Tue Nov  3 18:54:30 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I grew up without parents. - Tue Nov  3 18:55:21 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I had dozens of personalities to take care of me. - Tue Nov  3 18:56:12 2015
<br><br><font color=teal>*Kilm(Vysasi) says: They were all incumbent when I grew up until just minutes away from my death - Tue Nov  3 18:56:12 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: My parents sacrificed themselves to Jashin for my little brother to be born - Tue Nov  3 18:57:55 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I see. - Tue Nov  3 18:58:46 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Erebus was a Jashinist I believe. - Tue Nov  3 18:58:46 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I was told by Seisuke that. - Tue Nov  3 18:58:46 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Erebus? - Tue Nov  3 19:01:20 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Wierd name - Tue Nov  3 19:01:20 2015
<br><br><font color=teal>*Mikaelson, Niklaus(Chedz) says: Kumogakure. - Tue Nov  3 19:10:43 2015
<br><br><font color=teal>*Mikaelson, Niklaus(Chedz) says: What is the status? - Tue Nov  3 19:10:43 2015
<br><br><font color=teal>*Kilm(Vysasi) says: From the rumors, I heard the population was massacred. - Tue Nov  3 19:11:34 2015
<br><br><font color=yellow>*Mikaelson, Niklaus(Chedz) twitched.* - Tue Nov  3 19:12:25 2015
<br><br><font color=teal>*Mikaelson, Niklaus(Chedz) says: Where is Niza? - Tue Nov  3 19:12:25 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Dead. - Tue Nov  3 19:12:25 2015
<br><br><font color=teal>*Mikaelson, Niklaus(Chedz) says: Ah. - Tue Nov  3 19:19:15 2015
<br><br><font color=teal>*Kilm(Vysasi) says: You seen Taifu, Sir? - Tue Nov  3 19:29:29 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: So Suna is fine I assume - Tue Nov  3 19:31:12 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Hiw is kirigakure? - Tue Nov  3 19:32:03 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Unsure. - Tue Nov  3 19:32:03 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I haven't visited in a while, Last time i did,It was fine. - Tue Nov  3 19:32:03 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Ok... well im suprises... hey... i have a serious question... - Tue Nov  3 19:33:45 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Did you see...... Paine anywhere? - Tue Nov  3 19:33:45 2015
<br><br><font color=yellow>*Mikaelson, Niklaus(Chedz) dont wanna remember Taifu.* - Tue Nov  3 19:34:36 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Yeah. - Tue Nov  3 19:38:01 2015
<br><br><font color=teal>*Kilm(Vysasi) says: She's alive and good. - Tue Nov  3 19:38:01 2015
<br><br><font color=teal>*Kilm(Vysasi) says: So. Niklaus, How'd you die? - Tue Nov  3 19:46:33 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I know that Kronos died to Zetsumo. - Tue Nov  3 19:46:33 2015
<br><br><font color=teal>*Mikaelson, Niklaus(Chedz) says: You don't need to know. - Tue Nov  3 19:50:49 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: I died to Kitora - Tue Nov  3 19:52:32 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Kitora died to Orakuru. - Tue Nov  3 19:52:32 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Orakuru died to Katsune. - Tue Nov  3 19:52:32 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I died to Katsune. - Tue Nov  3 19:52:32 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Hm. - Tue Nov  3 19:52:32 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: What a chain - Tue Nov  3 19:52:32 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Mhm. - Tue Nov  3 19:52:32 2015
<br><br><font color=teal>*Kilm(Vysasi) says: You two did anything in the afterlife recently? - Tue Nov  3 20:05:20 2015
<br><br><font color=teal>*Kilm(Vysasi) says: You both have been dead for a very long time . . . I dunno how the afterlife works so mind if you tell me? Does it have places you can go to or is it just a plane of peace and zen? - Tue Nov  3 20:06:11 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: No not really - Tue Nov  3 20:11:18 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: I can you can spy on the living every now and then but thats about it - Tue Nov  3 20:11:18 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Alright. - Tue Nov  3 20:12:09 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Cool. - Tue Nov  3 20:12:09 2015
<br><br><font color=teal>*Mikaelson, Niklaus(Chedz) says: LETS GET ET. - Tue Nov  3 21:33:13 2015
<br><br><font color=teal>*Mikaelson, Niklaus(Chedz) says: Niza . . - Tue Nov  3 21:41:45 2015
<br><br><font color=teal>*Mikaelson, Niklaus(Chedz) says: I've found you. - Tue Nov  3 21:41:45 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Klaus. - Tue Nov  3 21:41:45 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: It is both good...and bad to see you. - Tue Nov  3 21:41:45 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I wish it was elsewhere that we met again. - Tue Nov  3 21:41:45 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Instead of the afterlife of course... - Tue Nov  3 21:42:36 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Im suprised to see both of you in the same place, Niza werent you a pacifist? - Tue Nov  3 21:42:36 2015
<br><br><font color=yellow>*Mikaelson, Niklaus(Chedz) held a smile of amusement.

"Ah, yes well-- death had other things for me. I heard you held down the fort, mimicked my actions completely."* - Tue Nov  3 21:43:28 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: ... what? - Tue Nov  3 21:43:28 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: For a while. I tried it. Didn't work out. - Tue Nov  3 21:43:28 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: You were a ruthless killer? I would have never believed it - Tue Nov  3 21:44:19 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I killed no one. - Tue Nov  3 21:44:19 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Oh... well that did change... did you have people killed? - Tue Nov  3 21:44:19 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Not that I recall of. - Tue Nov  3 21:45:10 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I gave punishments though, but I don't remember anyone being killed. - Tue Nov  3 21:46:01 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Punishments? For what? What did people possibly do?  - Tue Nov  3 21:46:52 2015
<br><br><font color=teal>*Mikaelson, Niklaus(Chedz) says: Annoy you. - Tue Nov  3 21:46:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Kill others, betray the village, plenty of things. - Tue Nov  3 21:48:35 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Speaking of such I know of your involvement with Hanabi and Amai, Kronos. - Tue Nov  3 21:48:35 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Oh, I see well I cant really speak for that... I did alot of things but... no regrets - Tue Nov  3 21:49:26 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: What about them? - Tue Nov  3 21:49:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Nothing. - Tue Nov  3 21:49:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I just know. - Tue Nov  3 21:49:26 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: That's all. - Tue Nov  3 21:50:17 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: They had a little loversspat and Amai wanted me to handle it... I wasnt needed - Tue Nov  3 21:50:17 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I understand. - Tue Nov  3 21:50:17 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: No need for explanation. - Tue Nov  3 21:50:17 2015
<br><br><font color=teal>*Kronos(Jhunt713) says: Oh, alright... shame though, Hana was wierd... Amai was ok... - Tue Nov  3 21:51:08 2015
<br><br><font color=teal>*Mikaelson, Niklaus(Chedz) says: Tch . . - Tue Nov  3 21:53:42 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: A beforehand apology, but I never asked. - Tue Nov  3 21:54:33 2015
