<br><font color=teal>*Index(Jjking217) says: I'll hang out with you later, Alright Nina? - Sun Nov  1 00:25:10 2015
<br><br><font color=yellow>*Hokori(MissAtomicBomb) Hokori let his gaze fall to the heaps of multi-colored sand before him. He had barely given a thought as to which he would use, which he would choose to be his partner in the impending fight with the elder. He walked over towards the gray and silver colored mound, it's scent obvious of iron; it had a thickness to it making it unforgettable. He placed his hands onto the mass, allowing his hands to dig deep into the source. It was heavy, his hands weighed down heavily by the substance. His chakra poured slowly into a small amount of the metallic sand, its weight even more apparent. As he tried his best to control it, the sand would simply remain still; barely able to cause a slight shift in the heap. 
Releasing his hold on the metal, he scurried his way towards the glittering mound of golden sand. He repeated his action, digging his hands into the majestic grains while allowing his chakra to seep and combine with it. As he attempted to control the sand, he managed to lift a small amount into the air; rising from the mound only four inches. It was sluggish, something he couldn't find the patience for. Quickly lowering the sand, he pulled out and moved onto the next pile.

It was his last chance, but who could go wrong with normal sand? He placed his palms onto the mound, feeling the softness of each grain pressed against his skin. His chakra easily flowed through a good portion of the sand. As he stood up, facing the Elder which was testing him; he couldn't help but feel a desire to not fight. He never liked fighting, but if he had to...he would. Raising his hands up to about his chest level caused a sufficient amount of normal sand to rise. He extended his arm outwards as the sand rushed towards the Elder in an attempt to only push him back. The elder, without moving a single muscle, caused a large amount of iron sand to shield him, deflecting all attempts at pushing him. Then, the shield of iron would rush towards Hokori in a stream of metallic water before colliding with his chest instantly knocking him out.
* - Sun Nov  1 01:00:09 2015
<br><br><font color=yellow>*Hokori(MissAtomicBomb) Hokori let his gaze fall to the heaps of multi-colored sand before him. He had barely given a thought as to which he would use, which he would choose to be his partner in the impending fight with the elder. He walked over towards the gray and silver colored mound, it's scent obvious of iron; it had a thickness to it making it unforgettable. He placed his hands onto the mass, allowing his hands to dig deep into the source. It was heavy, his hands weighed down heavily by the substance. His chakra poured slowly into a small amount of the metallic sand, its weight even more apparent. As he tried his best to control it, the sand would simply remain still; barely able to cause a slight shift in the heap. 
Releasing his hold on the metal, he scurried his way towards the glittering mound of golden sand. He repeated his action, digging his hands into the majestic grains while allowing his chakra to seep and combine with it. As he attempted to control the sand, he managed to lift a small amount into the air; rising from the mound only four inches. It was sluggish, something he couldn't find the patience for. Quickly lowering the sand, he pulled out and moved onto the next pile.

It was his last chance, but who could go wrong with normal sand? He placed his palms onto the mound, feeling the softness of each grain pressed against his skin. His chakra easily flowed through a good portion of the sand. As he stood up, facing the Elder which was testing him; he couldn't help but feel a desire to not fight. He never liked fighting, but if he had to...he would. Raising his hands up to about his chest level caused a sufficient amount of normal sand to rise. He extended his arm outwards as the sand rushed towards the Elder in an attempt to only push him back. The elder, without moving a single muscle, caused a large amount of iron sand to shield him, deflecting all attempts at pushing him. Then, the shield of iron would rush towards Hokori in a stream of metallic water before colliding with his chest instantly knocking him out.
* - Sun Nov  1 01:01:00 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: So, anyone here trained in melee combat? - Sun Nov  1 01:44:32 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Everyone is. - Sun Nov  1 01:44:32 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: But adequate - Sun Nov  1 01:44:32 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You need to ask around. - Sun Nov  1 01:44:32 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: WOuld you know of someone capable of teaching me? - Sun Nov  1 01:45:23 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: There are tens of thousands of well trained ninja in this village. - Sun Nov  1 01:46:14 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Ask around. - Sun Nov  1 01:46:14 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Complete. - Sun Nov  1 01:47:05 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Goo job. - Sun Nov  1 01:47:56 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Sensei? - Sun Nov  1 01:48:48 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: Looks like I'm gonna be on my way then. - Sun Nov  1 01:52:12 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Hassan, when will you host another Chuunin? - Sun Nov  1 01:53:55 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Why? - Sun Nov  1 01:57:20 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Just asking, thinking about joining it this time. - Sun Nov  1 01:59:53 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Maybe, since the previous person to pass part 1 failed. - Sun Nov  1 01:59:53 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Lovely. - Sun Nov  1 02:01:36 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Dat ass - Sun Nov  1 02:02:27 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Sun Nov  1 02:02:27 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Morning Iza. - Sun Nov  1 02:05:52 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Sensei. - Sun Nov  1 02:05:52 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Here, - Sun Nov  1 02:05:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hi. - Sun Nov  1 02:07:34 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What's the point of meditating. - Sun Nov  1 02:16:06 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: It sounds boring.. - Sun Nov  1 02:16:06 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You could always smoke with me. - Sun Nov  1 02:16:57 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: ....No smoking for my kid.. - Sun Nov  1 02:17:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Candy. - Sun Nov  1 02:17:48 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'm fairly responsible. - Sun Nov  1 02:17:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oh.. - Sun Nov  1 02:17:48 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Well candy after..Come Iza, it'll be quite helpful.. - Sun Nov  1 02:18:40 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: mmm.. - Sun Nov  1 02:19:31 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Okay. - Sun Nov  1 02:19:31 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You'll understand why soon enough. - Sun Nov  1 02:19:31 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Mm...Koji is still in the village? - Sun Nov  1 02:38:17 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: He can't leave. - Sun Nov  1 02:41:42 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: So yes. - Sun Nov  1 02:41:42 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: .. - Sun Nov  1 02:41:42 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Lord Kazekage... are there any therapists within the village..? - Sun Nov  1 02:42:33 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Like the whole wall_ - Sun Nov  1 02:44:16 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I assume not. . . - Sun Nov  1 02:47:40 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Therapist? Why ya need one? - Sun Nov  1 02:55:21 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Um... issues with depression.. - Sun Nov  1 02:57:04 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: You won't be the first in the village with that problem kiddo. Wanna share? I might be able to assist a little. - Sun Nov  1 02:58:46 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: If you insist... - Sun Nov  1 03:00:28 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: >Soto - Sun Nov  1 04:28:22 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Bitch where? - Sun Nov  1 04:28:22 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: -Omit- - Sun Nov  1 04:28:22 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Nina. - Sun Nov  1 04:47:08 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Do rounds and double check if everyone in a 100 meter radius is out of their homes. - Sun Nov  1 04:47:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Oh now I get to do stuff, hm?~ - Sun Nov  1 04:48:51 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Yep. - Sun Nov  1 04:49:42 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well, next time other people want to do something, I want to be involved in those too. - Sun Nov  1 04:49:42 2015
<br><br><font color=teal>*Shin(Yaori) thinks: -omit- - Sun Nov  1 05:11:02 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) whispers: Some prisoner broke out of jail and is attacking, I would not  recoomend joining in... He seems quite durable and I dont think you can pick him up - Sun Nov  1 05:14:27 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) whispers: Sigh... I wish you would reconsider... - Sun Nov  1 05:20:25 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) whispers: I know... be careful - Sun Nov  1 05:22:08 2015
<br><br><font color=teal>*Shin(Yaori) says: Not smart enough - Sun Nov  1 05:34:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Think This dude is prettty strong. - Sun Nov  1 05:34:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Mhmm... - Sun Nov  1 05:39:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) thinks: Man they are going to make me go down there. - Sun Nov  1 05:40:54 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: I will have alot of bodies to heal... - Sun Nov  1 05:42:36 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) thinks: Will I be branded an idiot if I jump in? - Sun Nov  1 05:45:10 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) thinks: Maybe. - Sun Nov  1 05:45:10 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) thinks: That's probably the fun of it. - Sun Nov  1 05:45:10 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Note to self: she is scarier than I realize - Sun Nov  1 05:56:16 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Now you see WHY i'm afraid of her? -Omit- - Sun Nov  1 05:56:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I just shinra-tensei'd the group - Sun Nov  1 06:24:25 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) thinks: Bryson, ya have alot of work ahead of ya. - Sun Nov  1 06:30:24 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Wonder If I should... No.... - Sun Nov  1 06:30:24 2015
<br><br><font color=teal>*Shin(Yaori) thinks: WHoever this girl is, she needs to end this now! - Sun Nov  1 06:44:03 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) thinks: Did Nina ever join the battle? - Sun Nov  1 06:50:52 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: That looks rather unpleasent - Sun Nov  1 07:00:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: . .They still haven't beaten this guy? - Sun Nov  1 07:03:40 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) thinks: Maybe I should put my first string in? - Sun Nov  1 07:05:23 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Should I follow after him?..  - Sun Nov  1 07:13:04 2015
<br><br><font color=teal>*Shin(Yaori) says: Tch - Sun Nov  1 07:13:04 2015
<br><br><font color=teal>*Shin(Yaori) says: What a load - Sun Nov  1 07:13:04 2015
<br><br><font color=teal>*Shin(Yaori) says: Not even worth my time, someone else handle this joke - Sun Nov  1 07:13:04 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Desert Owl officials can handle the prisoners... Whose coming to hep capture the man> We'll need a plan. - Sun Nov  1 07:14:46 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Not...Exactly. - Sun Nov  1 07:14:46 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Overpower him. - Sun Nov  1 07:14:46 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Overpower? - Sun Nov  1 07:14:46 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Yes. - Sun Nov  1 07:15:37 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: He possesses power greater than most of us how? - Sun Nov  1 07:15:37 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Maybe I could lure him into a trap... All of that power.. but if.. I've got it. - Sun Nov  1 07:15:37 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: One. - Sun Nov  1 07:15:37 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Makoto are you going to jump back into the fight? - Sun Nov  1 07:15:37 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Who needs to rest and be healed? - Sun Nov  1 07:16:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Sup fams. - Sun Nov  1 07:16:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Sun Nov  1 07:16:28 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: f Bryson can come get my abdominal area. - Sun Nov  1 07:16:28 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: One? - Sun Nov  1 07:17:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'll ask again...If I don't get an answer you're all gonna need to go to the hospital - Sun Nov  1 07:17:20 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: I'll come. - Sun Nov  1 07:17:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Who needs to rest and be tended to? - Sun Nov  1 07:17:20 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: If everyone attack'd him during the phase he was trap'd for, he would have been dead. Two, you all could have keep the attack going constantly without rushing in then he would have fall under the pressure. - Sun Nov  1 07:17:20 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Yes I can take care of you Koji - Sun Nov  1 07:17:20 2015
<br><br><font color=teal>*Nina(Ninasky115) thinks: Could try genjutsu maybe. - Sun Nov  1 07:18:11 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Thank you, Bryson. Lord Hassan I'll need to restore my chakra a bit as well. - Sun Nov  1 07:18:11 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I want to know everyone specifically. - Sun Nov  1 07:18:11 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: I'm still fine. - Sun Nov  1 07:19:02 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: So Koji and the short haired woman? - Sun Nov  1 07:19:02 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I assume Ai as well. - Sun Nov  1 07:19:53 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Yes sir, nothing I can't manage through, but it'll be best to go fu power. - Sun Nov  1 07:19:53 2015
<br><br><font color=teal>*Shizune, Makoto(MadameShredder) says: . . . . . - Sun Nov  1 07:19:53 2015
