<br><font color=teal>*Nari(Ej247) whispers: Wow these fish cakes are dry. - Mon Nov  9 03:49:58 2015
<br><br><font color=teal>*Nari(Ej247) whispers: (said in a joking tone) - Mon Nov  9 04:07:02 2015
<br><br><font color=yellow>*Nari(Ej247) finishes up the rest of her food and takes on sip of her water.* - Mon Nov  9 04:07:02 2015
<br><br><font color=teal>*Nari(Ej247) whispers: That was okay food. - Mon Nov  9 04:09:36 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: I thought it was good. - Mon Nov  9 04:10:27 2015
<br><br><font color=teal>*Nari(Ej247) whispers: So got anything to get off your chest? - Mon Nov  9 04:10:27 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) whispers: Eh? Like what? - Mon Nov  9 04:11:18 2015
<br><br><font color=teal>*Nari(Ej247) whispers: Just anything. - Mon Nov  9 04:12:09 2015
<br><br><font color=yellow>*Nari(Ej247) raises her hand in the air and snaps her fingers..

"Check please."she said* - Mon Nov  9 04:12:09 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: A-Ah. - Mon Nov  9 04:12:09 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: They need the check. - Mon Nov  9 04:12:09 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: I almost want to apologize for her being rude. . . - Mon Nov  9 04:13:00 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: *Mental sigh here* - Mon Nov  9 04:13:00 2015
<br><br><font color=yellow>*Nari(Ej247) takes the bill and looks at it.

"why is it so much?"she asked.* - Mon Nov  9 04:13:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: F-Food costs..a...uhm..l-lot... - Mon Nov  9 04:14:43 2015
<br><br><font color=teal>*Nari(Ej247) says: This freaking much are oyu kidding me? - Mon Nov  9 04:14:43 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Nari. . . - Mon Nov  9 04:14:43 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Calm down. - Mon Nov  9 04:14:43 2015
<br><br><font color=teal>*Nari(Ej247) says: I'm going to pay this much for the food we got? - Mon Nov  9 04:14:43 2015
<br><br><font color=teal>*Nari(Ej247) says: No. - Mon Nov  9 04:14:43 2015
<br><br><font color=teal>*Nari(Ej247) says: One my grilled chicken was not plain. - Mon Nov  9 04:14:43 2015
<br><br><font color=teal>*Nari(Ej247) says: and our fish cakes were dry. - Mon Nov  9 04:14:43 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm... - Mon Nov  9 04:15:34 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: Next time, I eat junkfood.  - Mon Nov  9 04:15:34 2015
<br><br><font color=teal>*Nari(Ej247) says: Let's go babe. - Mon Nov  9 04:15:34 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: You ah, go ahead. - Mon Nov  9 04:15:34 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I'm gonna run and do something. - Mon Nov  9 04:16:25 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . - Mon Nov  9 04:16:25 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: I'll just pay once she leaves. - Mon Nov  9 04:16:25 2015
<br><br><font color=yellow>*Nari(Ej247) stands up and huffs. She goes into her pocket book and takes out some mryo tossing it on the table.

"Like wow.."She said turning and walking off.* - Mon Nov  9 04:16:25 2015
<br><br><font color=teal>*Nari(Ej247) says: Let's go Babe. - Mon Nov  9 04:17:16 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: U-Uhm.. - Mon Nov  9 04:18:08 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Go ahead. - Mon Nov  9 04:18:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-That isn't e-enough.. - Mon Nov  9 04:18:08 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I'll be right there. - Mon Nov  9 04:18:08 2015
<br><br><font color=teal>*Nari(Ej247) says: Thats how much is was worth. - Mon Nov  9 04:18:08 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Nari. - Mon Nov  9 04:18:08 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Go. - Mon Nov  9 04:18:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: B-But... - Mon Nov  9 04:18:59 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: F-Fine.. - Mon Nov  9 04:18:59 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: This is why I can't go places. - Mon Nov  9 04:18:59 2015
<br><br><font color=teal>*Nari(Ej247) says: Babe lets go. - Mon Nov  9 04:18:59 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Nari, just head on home, I'll meet you there. - Mon Nov  9 04:18:59 2015
<br><br><font color=teal>*Nari(Ej247) says: Fine. - Mon Nov  9 04:18:59 2015
<br><br><font color=yellow>*Nari(Ej247) walks out slamming the door behind her.* - Mon Nov  9 04:19:50 2015
<br><br><font color=teal>*Nari(Ej247) says: . .  - Mon Nov  9 04:47:08 2015
<br><br><font color=teal>*Nari(Ej247) says: What took you so long? - Mon Nov  9 04:47:08 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I got held up by someone. - Mon Nov  9 04:48:00 2015
<br><br><font color=teal>*Nari(Ej247) says: You got robbed? - Mon Nov  9 04:48:00 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Nah. - Mon Nov  9 04:48:00 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Someone forced me to have a drink with them before I could leave. - Mon Nov  9 04:48:00 2015
<br><br><font color=teal>*Nari(Ej247) says: Oh. - Mon Nov  9 04:48:51 2015
<br><br><font color=teal>*Nari(Ej247) says: How much did your drink? - Mon Nov  9 04:48:51 2015
<br><br><font color=teal>*Nari(Ej247) says: you* - Mon Nov  9 04:48:51 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Only one cup. . . - Mon Nov  9 04:48:51 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I didn't even want that much. - Mon Nov  9 04:48:51 2015
<br><br><font color=teal>*Nari(Ej247) says: Mhm. - Mon Nov  9 04:48:51 2015
<br><br><font color=teal>*Nari(Ej247) says: We both know you don't good when you drink. - Mon Nov  9 04:49:42 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: - - Mon Nov  9 04:49:42 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: W-What do you mean? - Mon Nov  9 04:49:42 2015
<br><br><font color=teal>*Nari(Ej247) says: Should I remind you of the party we had a few years ago. - Mon Nov  9 04:49:42 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: - - Mon Nov  9 04:49:42 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: No clue what you're talking about. - Mon Nov  9 04:49:42 2015
<br><br><font color=teal>*Nari(Ej247) says: Yeah my point - Mon Nov  9 04:49:42 2015
<br><br><font color=teal>*Nari(Ej247) says: You drank that much. - Mon Nov  9 04:49:42 2015
<br><br><font color=teal>*Nari(Ej247) says: Could you believe those people? - Mon Nov  9 04:50:33 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Heh. . . - Mon Nov  9 04:50:33 2015
<br><br><font color=teal>*Nari(Ej247) says: 22 thousand. - Mon Nov  9 04:50:33 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I thought it was fine food. - Mon Nov  9 04:50:33 2015
<br><br><font color=teal>*Nari(Ej247) says: For that dry shit. - Mon Nov  9 04:50:33 2015
<br><br><font color=yellow>*Nari(Ej247) sits far away from Aza kind off. * - Mon Nov  9 04:51:24 2015
<br><br><font color=teal>*Nari(Ej247) thinks: hope that smell isn't in my clothes. - Mon Nov  9 04:51:24 2015
<br><br><font color=teal>*Nari(Ej247) says: Oh wow thats not bad. - Mon Nov  9 04:52:16 2015
<br><br><font color=teal>*Nari(Ej247) says: Free bottle. - Mon Nov  9 04:52:16 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I guess. - Mon Nov  9 04:52:16 2015
<br><br><font color=teal>*Nari(Ej247) says: Lets crack it open. - Mon Nov  9 04:52:16 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Only if you come sit by me. - Mon Nov  9 04:53:07 2015
<br><br><font color=teal>*Nari(Ej247) says: Fine. - Mon Nov  9 04:53:07 2015
<br><br><font color=yellow>*Nari(Ej247) scoots over to Aza. smiling a little she would then cover her face with her hands.* - Mon Nov  9 04:53:07 2015
<br><br><font color=teal>*Nari(Ej247) says: I don't know. - Mon Nov  9 04:54:49 2015
<br><br><font color=teal>*Nari(Ej247) says: Just embarrassed I guess. - Mon Nov  9 04:54:49 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Why~? - Mon Nov  9 04:54:49 2015
<br><br><font color=teal>*Nari(Ej247) says: because... - Mon Nov  9 04:55:40 2015
<br><br><font color=teal>*Nari(Ej247) says: I know you know. - Mon Nov  9 04:55:40 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: And? - Mon Nov  9 04:55:40 2015
<br><br><font color=teal>*Nari(Ej247) says: Why I sat over there..  - Mon Nov  9 04:56:32 2015
<br><br><font color=teal>*Nari(Ej247) says: Oh my gosh I have to change now. - Mon Nov  9 04:56:32 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Hm? - Mon Nov  9 04:56:32 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . . - Mon Nov  9 04:56:32 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Nari, explain. - Mon Nov  9 04:56:32 2015
<br><br><font color=teal>*Nari(Ej247) says: You can't smell it? - Mon Nov  9 04:56:32 2015
<br><br><font color=teal>*Nari(Ej247) thinks: Yes - Mon Nov  9 04:56:32 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I can, but who cares? - Mon Nov  9 04:56:32 2015
<br><br><font color=teal>*Nari(Ej247) thinks: No - Mon Nov  9 04:57:23 2015
<br><br><font color=teal>*Nari(Ej247) says: I don't know I just hate when I smell like it. - Mon Nov  9 04:57:23 2015
<br><br><font color=teal>*Nari(Ej247) says: No way. - Mon Nov  9 04:59:05 2015
<br><br><font color=teal>*Nari(Ej247) says: 420 blaze it - Mon Nov  9 04:59:05 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Haha. - Mon Nov  9 04:59:05 2015
<br><br><font color=yellow>*Nari(Ej247) would move her hands down to her chest. She looks at Aza with her big green eyes that look a little red. She smiles a bit not sure why but she was just really happy.

"I'm cold"she said* - Mon Nov  9 05:00:48 2015
<br><br><font color=yellow>*Nari(Ej247) smiles snuggling her self up to him as he wraps his arms around her.

"I know I am but you spoil me so much."She said.* - Mon Nov  9 05:05:55 2015
<br><br><font color=teal>*Nari(Ej247) says: We don't need cups. - Mon Nov  9 05:07:37 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Oh~? - Mon Nov  9 05:08:28 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Well after you. - Mon Nov  9 05:08:28 2015
<br><br><font color=yellow>*Nari(Ej247) takes the bottle in her elft hand and smiles a little. She brings the rim of th bottle to her lips closing her eyes before titling it up. She takes few tiny sips from it before stoping. She then opens her eyes holding the bottle up a little.

"That's not bad. Your turn."she said* - Mon Nov  9 05:10:11 2015
<br><br><font color=teal>*Nari(Ej247) thinks: I wonder if he'll try to sex me up tonight. - Mon Nov  9 05:15:18 2015
<br><br><font color=yellow>*Nari(Ej247) just laughs a little.

"no you are fine."She said taking the bottle pressing it to her lips then leaning it up so she could gulp down some of it. She stop setting it down moving her hand over her mouth and belching a little.

"Oops.."she said, giggling.* - Mon Nov  9 05:17:52 2015
<br><br><font color=teal>*Nari(Ej247) says: Oh'no~ - Mon Nov  9 05:21:16 2015
<br><br><font color=yellow>*Nari(Ej247) reaches up to take the bottle from him. She aims to finish the rest of it off then she would just set the bottle down and smile. Her cheeks getting all plush red asshe snuggles her self into Aza some more.

"A'll gon.go..goe..gone now."she said.* - Mon Nov  9 05:22:59 2015
<br><br><font color=teal>*Nari(Ej247) says: Rmhmmmm..No I'm not tipsy. - Mon Nov  9 05:27:15 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Ah huh~ - Mon Nov  9 05:28:06 2015
<br><br><font color=teal>*Nari(Ej247) says: Na huh.. - Mon Nov  9 05:28:57 2015
<br><br><font color=teal>*Nari(Ej247) says: Nuh uh.. - Mon Nov  9 05:29:48 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Pwove it~! - Mon Nov  9 05:29:48 2015
<br><br><font color=teal>*Nari(Ej247) says: Howz? - Mon Nov  9 05:29:48 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Dunno. - Mon Nov  9 05:29:48 2015
<br><br><font color=teal>*Nari(Ej247) says: I b-bet I can walk in a straight line.. - Mon Nov  9 05:29:48 2015
<br><br><font color=teal>*Nari(Ej247) says: L-loser has to strip.. - Mon Nov  9 05:30:40 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Pffft~ - Mon Nov  9 05:30:40 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Bring it! - Mon Nov  9 05:30:40 2015
<br><br><font color=teal>*Nari(Ej247) says: Ohtay.. - Mon Nov  9 05:30:40 2015
<br><br><font color=yellow>*Nari(Ej247) would stand up using the table to help her up. She stares at the ground blink her eyes a little.

"I gotz thiz"she said sticking her hands out to her side. She then begant o take few steps so far so good she was walk in a straight line.

"I'm gonna win."she said closing her eyes a little. Being Nari she completely loses her balance and falls into the couch leaning over it. She laughs a little and kicks her feet a little.

"DId I win?"* - Mon Nov  9 05:33:13 2015
<br><br><font color=yellow>*Nari(Ej247) kicks her feet a litttle more smiling. Her face gets all birght pink and she giggles a little.

"Noo......I won."she said* - Mon Nov  9 05:41:45 2015
<br><br><font color=yellow>*Nari(Ej247) would kick her feet again but this time she does it to much causing her to like slide down bumping into Aza.

"Otay.."she said kicking off her shoe.

"there."she said.* - Mon Nov  9 05:46:01 2015
<br><br><font color=yellow>*Nari(Ej247) laughs a little before she moves sit up leaning her back on the couch. She stares at Aza her eyes squinted a little she giggles moving to rest her head on his chest.

"You.got.me..i.l.l..love.sleep"she mumbles her eyes closing slowly.* - Mon Nov  9 05:56:16 2015
<br><br><font color=yellow>*Nari(Ej247) drools on his chest.

"ZzzzzZZzzzzZzzzzz"she is sleep* - Mon Nov  9 05:58:49 2015
<br><br><font color=yellow>*Nari(Ej247) would stay passed out a for a few hours before waking up. She sits up and looks around the room before leaning over throwing up into toilet.* - Mon Nov  9 06:04:48 2015
<br><br><font color=yellow>*Nari(Ej247) lays back on the floor and kind of sighs.

"I'm so gross"she said* - Mon Nov  9 06:11:37 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Pfft. Not true. - Mon Nov  9 06:11:37 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: You're my baby. - Mon Nov  9 06:11:37 2015
<br><br><font color=teal>*Nari(Ej247) says: I got such a big hang over. - Mon Nov  9 06:13:20 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: I've got such a big something. - Mon Nov  9 06:13:20 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: -omit- - Mon Nov  9 06:13:20 2015
<br><br><font color=yellow>*Nari(Ej247) rolls over on her stomach and sighs some more.. In her right bck pocket something small and plastic like is sticking out what could that be?

* - Mon Nov  9 06:14:11 2015
<br><br><font color=yellow>*Nari(Ej247) would look over to Aza as she felt him snatch something from her pocket. It woul dbe no doubt a condom not opened yet but she had it inher back pocket..

"Rude just taking my stuff."she said* - Mon Nov  9 06:19:18 2015
<br><br><font color=teal>*Nari(Ej247) says: Pft no. - Mon Nov  9 06:26:59 2015
<br><br><font color=teal>*Nari(Ej247) says: That sir is for you. - Mon Nov  9 06:26:59 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Pfft. . . - Mon Nov  9 06:27:50 2015
<br><br><font color=teal>*Nari(Ej247) says: Yeah. - Mon Nov  9 06:28:41 2015
<br><br><font color=teal>*Nari(Ej247) says: -smiles- - Mon Nov  9 06:28:41 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Heh. - Mon Nov  9 06:29:32 2015
<br><br><font color=teal>*Nari(Ej247) says: You know Jim said he was going come over tonight. - Mon Nov  9 06:29:32 2015
<br><br><font color=teal>*Nari(Ej247) says: -stick her tongue out- - Mon Nov  9 06:30:24 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Jim? - Mon Nov  9 06:30:24 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Who the hell is that? - Mon Nov  9 06:30:24 2015
<br><br><font color=teal>*Nari(Ej247) says: No one I'm joking. - Mon Nov  9 06:30:24 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: O-Oh. . . - Mon Nov  9 06:30:24 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Good. - Mon Nov  9 06:30:24 2015
<br><br><font color=yellow>*Nari(Ej247) stands up and would start to bursh her teeth.* - Mon Nov  9 06:34:40 2015
<br><br><font color=yellow>*Nari(Ej247) was pushed over a little. She smles a little leaning to spit into the sink.* - Mon Nov  9 06:37:13 2015
<br><br><font color=teal>*Nari(Ej247) says: Yes - Mon Nov  9 06:38:04 2015
<br><br><font color=teal>*Nari(Ej247) says: this headache is so big. - Mon Nov  9 06:38:04 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I got something big for you. - Mon Nov  9 06:38:04 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: -omit- - Mon Nov  9 06:38:04 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Alright. - Mon Nov  9 06:38:56 2015
<br><br><font color=teal>*Nari(Ej247) says: You so strong. - Mon Nov  9 06:40:38 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Heh. . . - Mon Nov  9 06:40:38 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: You're just light. - Mon Nov  9 06:40:38 2015
<br><br><font color=teal>*Nari(Ej247) says: Hmm - Mon Nov  9 06:44:03 2015
<br><br><font color=teal>*Nari(Ej247) says: How much do you og tin your wallet? - Mon Nov  9 06:44:03 2015
<br><br><font color=teal>*Nari(Ej247) says: I have to cruntch some numbers. - Mon Nov  9 06:44:03 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Eh? - Mon Nov  9 06:44:54 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: W-Why? - Mon Nov  9 06:44:54 2015
<br><br><font color=teal>*Nari(Ej247) says: For the new couch I'm going to buy. - Mon Nov  9 06:44:54 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: - - Mon Nov  9 06:44:54 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Nope. - Mon Nov  9 06:44:54 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I like the one we have. - Mon Nov  9 06:44:54 2015
<br><br><font color=teal>*Nari(Ej247) says: No, we are buying a new one. - Mon Nov  9 06:45:45 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Oh? And If I say no~? - Mon Nov  9 06:45:45 2015
<br><br><font color=teal>*Nari(Ej247) says: Then, then I'll be upset. - Mon Nov  9 06:46:36 2015
<br><br><font color=yellow>*Nari(Ej247) puts her hands over her face and pouts* - Mon Nov  9 06:46:36 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: You're such a liar~ - Mon Nov  9 06:46:36 2015
<br><br><font color=teal>*Nari(Ej247) says: Nope not talking to you now. - Mon Nov  9 06:49:10 2015
<br><br><font color=teal>*Nari(Ej247) says: I'm upset. - Mon Nov  9 06:49:10 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: . . .I guess you don't want to be held then, - Mon Nov  9 06:50:52 2015
<br><br><font color=teal>*Nari(Ej247) says: NO... - Mon Nov  9 06:51:44 2015
<br><br><font color=teal>*Nari(Ej247) says: hold me. - Mon Nov  9 06:51:44 2015
<br><br><font color=teal>*Nari(Ej247) says: Yea. - Mon Nov  9 06:53:26 2015
<br><br><font color=teal>*Nari(Ej247) says: To bad. - Mon Nov  9 06:54:17 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Hm? - Mon Nov  9 06:54:17 2015
<br><br><font color=teal>*Nari(Ej247) says: I left that item on ground in bath. - Mon Nov  9 06:54:17 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Who needs it~? - Mon Nov  9 06:54:17 2015
<br><br><font color=teal>*Nari(Ej247) says: You might. - Mon Nov  9 06:54:17 2015
<br><br><font color=teal>*Nari(Ej247) says: rr tis headache. - Mon Nov  9 06:55:08 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Pfft. I'm not getting up to get it. . . - Mon Nov  9 06:55:08 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I have you in my arms. . . - Mon Nov  9 06:55:08 2015
<br><br><font color=teal>*Nari(Ej247) says: it's fine. - Mon Nov  9 06:55:08 2015
<br><br><font color=teal>*Nari(Ej247) says: I need to sleep this one off. - Mon Nov  9 06:55:08 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: O-Oh? - Mon Nov  9 06:55:08 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Alright. .  - Mon Nov  9 06:55:08 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: Light weight. - Mon Nov  9 06:56:00 2015
<br><br><font color=teal>*Nari(Ej247) says: nighty nighty. - Mon Nov  9 06:56:00 2015
<br><br><font color=teal>*Nari(Ej247) says: ZzzzZzzzzzzzzzzzz - Mon Nov  9 06:56:00 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Night. . .Love ya Nari. - Mon Nov  9 06:56:51 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) thinks: Just like my Baby, always the first one asleep. - Mon Nov  9 06:57:42 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: . . . - Mon Nov  9 21:28:06 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: That's cool, I'm the same- hand to hand only - Mon Nov  9 21:28:06 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Well, I mean, I use a sword- but that is hand to hand. Melee and whatnot. - Mon Nov  9 21:28:06 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I can use just my fists, if you'd prefer.. - Mon Nov  9 21:28:06 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Spar? - Mon Nov  9 21:28:57 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: C-Can I uhm..w-watch? - Mon Nov  9 21:28:57 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Seriously man.. I'm bored, 'n I wanna fight someone. - Mon Nov  9 21:28:57 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: I can't spar at the moment. . . - Mon Nov  9 21:28:57 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'll fight..uhm..y-you.. - Mon Nov  9 21:28:57 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-If you w-want.. - Mon Nov  9 21:28:57 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hrm? You sure, Resturant-Girl? I mean.. - Mon Nov  9 21:29:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: If you wanna, I will. - Mon Nov  9 21:29:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: But you sure? - Mon Nov  9 21:29:48 2015
<br><br><font color=teal>*Nari(Ej247) says: H-hey - Mon Nov  9 21:29:48 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea..uhm...C-Can we have someone s-spectate? - Mon Nov  9 21:29:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I don't care if they do or don't. - Mon Nov  9 21:29:48 2015
<br><br><font color=teal>*Grimfred, Aza(SS2015) says: Oh, Hey. - Mon Nov  9 21:29:48 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright.. - Mon Nov  9 21:29:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I'll be waiting in the Arena. - Mon Nov  9 21:29:48 2015
<br><br><font color=teal>*Nari(Ej247) says: How it going? - Mon Nov  9 21:29:48 2015
