<br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Fri Nov  6 08:22:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -omit- - Fri Nov  6 08:37:07 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: It doesnt have to be hate. The Lion eats the gazelle and the lion dies to nourish the grass.. - Fri Nov  6 08:37:58 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: This guy happedned to be a lone gazelle in a pride of lions.. - Fri Nov  6 08:37:58 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: -omit- - Fri Nov  6 08:37:58 2015
<br><br><font color=teal>*Kuro(Ichigo10101) thinks: I'll remember you, just like I remember Reign. - Fri Nov  6 08:39:40 2015
<br><br><font color=teal>*Kuro(Ichigo10101) thinks: Never will I forget the names of those who I've failed to save.. - Fri Nov  6 08:40:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: No mate... - Fri Nov  6 08:40:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Some humans kill to protect their young.. - Fri Nov  6 08:40:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Their loved ones.. - Fri Nov  6 08:40:32 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ....Fujitora. What happened here? - Fri Nov  6 08:40:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Had he killed my son... - Fri Nov  6 08:40:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: WHAT WOiuld YOU Have done? - Fri Nov  6 08:40:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Pray? - Fri Nov  6 08:40:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: That does not bring back the dead...Or prevent it.. - Fri Nov  6 08:41:23 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: It all stems from selfish desires and hate. - Fri Nov  6 08:41:23 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: What some shinobi do it not out of selfishness but out of their kind hearts..S - Fri Nov  6 08:41:23 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Stained by this world. - Fri Nov  6 08:41:23 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: And its fucking filth...It's Shinobi..Gezo...Filth.. - Fri Nov  6 08:41:23 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: To prevent more bloodshed, we can't solve it by adding more blood. - Fri Nov  6 08:42:14 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Of course, Fujitora is useless for information. - Fri Nov  6 08:42:14 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ... - Fri Nov  6 08:42:14 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Kuro, what happened here? - Fri Nov  6 08:42:14 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Justice.. - Fri Nov  6 08:43:05 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: A man infultrated the village, and we cornered him here. - Fri Nov  6 08:43:05 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: No. - Fri Nov  6 08:43:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: One person please. - Fri Nov  6 08:43:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Kuro, continue. - Fri Nov  6 08:43:05 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: It was not justice. It was murder. - Fri Nov  6 08:43:05 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: We cornered the man, and had him detained. - Fri Nov  6 08:43:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What did he do? - Fri Nov  6 08:43:56 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Then Trilliam set off an explosion, and Fujitoraand Tetsumi killed the man off. - Fri Nov  6 08:43:56 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I did what now? - Fri Nov  6 08:44:48 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: It seems like he was trying to get something from the village. - Fri Nov  6 08:44:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What did the man do? - Fri Nov  6 08:44:48 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: The man was defenseless and unarmed. To kill him when he was already detained is not justice. - Fri Nov  6 08:45:39 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: --------------------- - Fri Nov  6 08:45:39 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Unarmed?.. - Fri Nov  6 08:45:39 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Yes, unarmed. - Fri Nov  6 08:45:39 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I had removed his weapons. - Fri Nov  6 08:46:30 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oh yeah! Sure! - Fri Nov  6 08:46:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ....Koji. - Fri Nov  6 08:46:30 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: After he fucked us ALL up! - Fri Nov  6 08:46:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Get rid of the bodies. - Fri Nov  6 08:46:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Everyone needs to clear out of here. - Fri Nov  6 08:46:30 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: We are all still standing. - Fri Nov  6 08:46:30 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yan why am I being lied on? - Fri Nov  6 08:46:30 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I don't agree he was unarmed or defensless. - Fri Nov  6 08:46:30 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Tetsumi almost lost his arms! - Fri Nov  6 08:46:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..... - Fri Nov  6 08:47:21 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Taking another's life isn't going to solve anything. - Fri Nov  6 08:47:21 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: THis man aimed to kill my father! - Fri Nov  6 08:47:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: No one is listening... - Fri Nov  6 08:47:21 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Yet you want to turn the other cheek?! - Fri Nov  6 08:47:21 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: All ive done to day is use a litghnign justu. - Fri Nov  6 08:47:21 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: So you want to keep this cycle of killing going forever and ever!? - Fri Nov  6 08:47:21 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: You walk near the restaruant you'l see the fresh corpses, and in the bathroom a near dead Izutora... - Fri Nov  6 08:47:21 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: What's to say his loved ones won't come for your life? - Fri Nov  6 08:47:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji, like I said. - Fri Nov  6 08:47:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Clean up the bodies. - Fri Nov  6 08:48:12 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Then you're dead and your loved ones comes after those of the mans? - Fri Nov  6 08:48:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Kuro, take a break. - Fri Nov  6 08:48:12 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: It's an endless cycle that we need to break. - Fri Nov  6 08:48:12 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: In the world of Shinobi, this goddamn world . . killing will never stop, bruh. - Fri Nov  6 08:48:12 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: nigga - Fri Nov  6 08:48:12 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: -omit - Fri Nov  6 08:48:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fujitora, go outside and take a breather. - Fri Nov  6 08:48:12 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Why can't you all understand that? We've all seen what people are capable. - Fri Nov  6 08:48:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Everyone that didn't get an order issued just needs to leave. - Fri Nov  6 08:48:12 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I'm going to visit the site*akastyas grave to cool down* - Fri Nov  6 08:49:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji......waiting on you to do what you are told. - Fri Nov  6 08:49:04 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: nigga-omit - Fri Nov  6 08:49:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Trilliam, Iznanami and new kid. Leave now. - Fri Nov  6 08:49:04 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Yo yo . . . I came to take a mission. why would I " Go outside " ? - Fri Nov  6 08:49:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Because I'm a jounin of this village and I told you to. - Fri Nov  6 08:49:55 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Zole they do this to all the youngetsers every time. - Fri Nov  6 08:49:55 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Lets just go. - Fri Nov  6 08:50:46 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: See you later Yan. - Fri Nov  6 08:50:46 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Iza come on before we get in trouble. - Fri Nov  6 08:50:46 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Just grab her hand and lead her out, Trilliam. - Fri Nov  6 08:52:28 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: Hello. - Fri Nov  6 10:40:00 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) proceeds to casually break thy ankles * - Sat Nov  7 04:02:46 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What's up, Bryson? - Sat Nov  7 04:06:11 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Tetsumi and Izutora doing well? - Sat Nov  7 04:06:11 2015
<br><br><font color=teal>*Reguel(Airide) says: ...Someone explain to me what's going on. What happened with those two? - Sat Nov  7 04:06:11 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Brother Yan, everyone is on edge lately - Sat Nov  7 04:06:11 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: It's been odd times. Care to fill me in? - Sat Nov  7 04:07:02 2015
<br><br><font color=teal>*Reguel(Airide) says: Yeah same here. - Sat Nov  7 04:07:02 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: o-on edge? - Sat Nov  7 04:07:02 2015
<br><br><font color=teal>*Reguel(Airide) says: Yes, Paine. - Sat Nov  7 04:07:02 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Yes - Sat Nov  7 04:07:02 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: t-they were...o-on e-edge? - Sat Nov  7 04:07:53 2015
<br><br><font color=teal>*Reguel(Airide) says: Are you taking 'on edge' literally? - Sat Nov  7 04:07:53 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: a-am i n-not s-sopost t-too - Sat Nov  7 04:07:53 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: ? - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Reguel(Airide) says: No! - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: *was waiting on Kuros response really* - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Where is everyone from Kirigakure? - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: o-oh.. - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Reguel(Airide) says: Not here. - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: They were called back and have returned. - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: They went back? - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Reguel(Airide) says: Clearly. - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: Oh, alright. - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: A new Mizukage has claimed the thrown. - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Kyubishu(Dillion13) says: I should head back then. - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Reguel(Airide) says: So another Mizukage was killed? - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Reguel(Airide) says: How pathetic. - Sat Nov  7 04:09:36 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Reguel... may I help you... your rather close - Sat Nov  7 04:12:09 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . . . . - Sat Nov  7 04:13:00 2015
<br><br><font color=teal>*Reguel(Airide) whispers: Are you fucking serious? Yan. What's going on within the village? - Sat Nov  7 04:13:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Reguel, standby and be ready to heal anyone that needs it. That's your job. - Sat Nov  7 04:14:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'll handle my job and be briefed in peace. - Sat Nov  7 04:14:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Begone. - Sat Nov  7 04:14:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Scram. - Sat Nov  7 04:14:43 2015
<br><br><font color=teal>*Reguel(Airide) whispers: Answer my question first. - Sat Nov  7 04:16:25 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Reguel, I know you are concerned, but give me a moment. Please? - Sat Nov  7 04:16:25 2015
<br><br><font color=teal>*Reguel(Airide) whispers: Tch, whatever. - Sat Nov  7 04:18:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I need to stay here for the moment. - Sat Nov  7 04:21:32 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey guys hows it going. - Sat Nov  7 04:22:24 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Ok, later - Sat Nov  7 04:22:24 2015
<br><br><font color=teal>*Reguel(Airide) says: Something - Sat Nov  7 04:22:24 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) walks over towards her father and beams a smile, something she hasn't done in awhile.* - Sat Nov  7 04:23:15 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: All must be studied and taken in.. - Sat Nov  7 04:23:15 2015
<br><br><font color=teal>*Reguel(Airide) says: Clearly. - Sat Nov  7 04:23:15 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: One missing piece is vital.. - Sat Nov  7 04:23:15 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Fuji... - Sat Nov  7 04:24:06 2015
<br><br><font color=teal>*Reguel(Airide) says: And that is? - Sat Nov  7 04:24:06 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Kuro, just hand the blade over. You are out of your jurisdiction here. - Sat Nov  7 04:24:06 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: One moment Ai... - Sat Nov  7 04:24:06 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I never said I wasn't going to give it up. - Sat Nov  7 04:24:57 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: Now he is breaking the law for "peace"? - Sat Nov  7 04:24:57 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Give Unto Ceaser What Is His - Sat Nov  7 04:24:57 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: <omit> - Sat Nov  7 04:24:57 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: I wonder what's going on here? - Sat Nov  7 04:30:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Iza....come over here. - Sat Nov  7 04:31:47 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) glances over at Yan, her eyebrow arching ever so slightly. "Hm?" she hummed * - Sat Nov  7 04:32:38 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) proceeds to casually stroll over towards Yan, obviously oblivious to whatever was going on at the moment. * - Sat Nov  7 04:36:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) whispers: What's going on? - Sat Nov  7 04:36:03 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: Politics... - Sat Nov  7 04:36:54 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) whispers: Oh.. - Sat Nov  7 04:36:54 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: Nevertheless, I don't want you getting caught up in any heated situation. - Sat Nov  7 04:36:54 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: Trilliam, this woman wants to kill you. What do you intend to do? - Sat Nov  7 04:40:19 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) whispers: Umm..Is like jail an option i really dont want anyone to die..but if not then  I'll let Realiam do what must be done. - Sat Nov  7 04:42:01 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) thinks: Ah, a Christian. - Sat Nov  7 04:42:01 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) thinks: They're usually very amiable fellows. - Sat Nov  7 04:42:52 2015
<br><br><font color=teal>*Aoi(ByeFelicia) thinks: So much is happening.... - Sat Nov  7 04:42:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: ...I don't know wha'ts an option to be honest. You need to sit down Ai, Koji and Hassan down or just Ai and Koji and have a talk. - Sat Nov  7 04:42:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: Do not let this brew... - Sat Nov  7 04:42:52 2015
<br><br><font color=teal>*Reguel(Airide) says: Great more people. - Sat Nov  7 04:42:52 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) whispers: Set up a meeting me her koji and gramps. - Sat Nov  7 04:43:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) whispers: Everyone's on edge huh... - Sat Nov  7 04:43:44 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I notice your earrings... are you from the Tenryuujoutei temple - Sat Nov  7 04:43:44 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I am from the Tenryuujoutei Temple.  - Sat Nov  7 04:43:44 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Oh thats great a fellow monk, im Bryson Lyan - Sat Nov  7 04:44:35 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) whispers: I certainly will, Trilliam. - Sat Nov  7 04:45:26 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Pardon me, Izanami. - Sat Nov  7 04:45:26 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Im the cleric priest of Suna - Sat Nov  7 04:45:26 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: The Tenryuujoutei my child - Sat Nov  7 04:46:17 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: It is a pleasure to meet you, Bryson Lyan. - Sat Nov  7 04:46:17 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: My name is Yukio. - Sat Nov  7 04:46:17 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Don't mind me---I am merely passing through. - Sat Nov  7 04:46:17 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I see did you get my letter? - Sat Nov  7 04:47:08 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) whispers: Yo, what's going on? Lots of people in the square. - Sat Nov  7 04:47:08 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) whispers: Some kinda' politics thing...or atleast that's what Yan said. - Sat Nov  7 04:47:08 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I informed all avalible priest for a metting in Sna but I recieved no responce - Sat Nov  7 04:48:00 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I have not received your letter, unfortunately. - Sat Nov  7 04:48:51 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: But I do believe my schedule is free for a meeting. - Sat Nov  7 04:49:42 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Execellent, do you know any more priest? - Sat Nov  7 04:51:24 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Of course, Kuro. - Sat Nov  7 04:53:58 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: As for your qu--- - Sat Nov  7 04:53:58 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) thinks: I don't even know what's going on. - Sat Nov  7 04:53:58 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ........... - Sat Nov  7 04:53:58 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I do not know any more priests---besides my peers at Tenryuujoutei.  - Sat Nov  7 04:53:58 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) whispers: Uh this is alll such a pain hey Yan you should come buy some of my art. - Sat Nov  7 04:54:49 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: f-flirted.. - Sat Nov  7 04:54:49 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Like wise, well come with me when you are ready - Sat Nov  7 04:55:40 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Certainly. - Sat Nov  7 04:55:40 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) thinks: Father has friends...who aren't women... - Sat Nov  7 04:57:23 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) whispers: I refuse to believe it...He must be...oh god. - Sat Nov  7 04:58:14 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: ---Ah.... - Sat Nov  7 04:58:14 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I'm sorry I do not remember you. - Sat Nov  7 04:58:14 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: It's been quite some time. . . . - Sat Nov  7 04:58:14 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Tis a shame...Time affects us greatly. - Sat Nov  7 04:58:14 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Man. - Sat Nov  7 04:59:05 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Some old guy is trying to flex on father! - Sat Nov  7 04:59:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Huh? - Sat Nov  7 04:59:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji..come. - Sat Nov  7 05:01:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fujitora, if you want come as well. - Sat Nov  7 05:01:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Trilliam..follow me. - Sat Nov  7 05:01:39 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: NCIS Suna - Sat Nov  7 05:01:39 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -omit- - Sat Nov  7 05:01:39 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Meet me in the office everyone...right now. - Sat Nov  7 05:02:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: *Wtf. - Sat Nov  7 05:02:30 2015
<br><br><font color=teal>*Kuro(Ichigo10101) thinks: I hope he deals with this properly.  - Sat Nov  7 05:02:30 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: . . . . . . - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Mmmmm. - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: Anywho.... - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I suppose I should go get some food... - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Robin, Yukio(ShinraTenin) says: I'm quite famished. . . . . - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Mind if I come with you? - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I will accompany you - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: We can talk there if you like - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: . . . - Sat Nov  7 05:04:12 2015
