<br><font color=teal>*Momura(JustCallMeGnar) says: I-I used to live in k-kirigakure. - Mon Dec  7 03:51:40 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: umm...g-good - Mon Dec  7 04:42:52 2015
<br><br><font color=yellow>*Ryujin, Izanami(Twerk_Tyrant) ambles on over towards Lera * - Mon Dec  7 04:43:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: That's nice. - Mon Dec  7 04:43:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hi. - Mon Dec  7 04:43:44 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: When are we going to your house and starting the training? - Mon Dec  7 04:43:44 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Heya Iza~ - Mon Dec  7 04:43:44 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: How are you today? - Mon Dec  7 04:43:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'm pretty good, doing better.~ - Mon Dec  7 04:44:35 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Good. - Mon Dec  7 04:44:35 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: How are you? - Mon Dec  7 04:44:35 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I'm doing alright. - Mon Dec  7 04:44:35 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Just alright? - Mon Dec  7 04:44:35 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Sensei...? - Mon Dec  7 04:45:26 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: umm...i-im..umm not l-leaving...umm....s-sanoke i-insisted t-that i stayed h-here... - Mon Dec  7 04:45:26 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Then what about our training plan? - Mon Dec  7 04:46:17 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: P-Paine-senpai! - Mon Dec  7 04:47:08 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) thinks: Oh look, she's back.~ - Mon Dec  7 04:48:00 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: mm... - Mon Dec  7 04:48:00 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: C-Can you finally t-teach me that t-technique? - Mon Dec  7 04:48:00 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: s-show me...the t-technique... - Mon Dec  7 04:48:51 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-The one before? - Mon Dec  7 04:48:51 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Sensei? Our training plan? Hello?~ - Mon Dec  7 04:48:51 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: What're we going to do about it? - Mon Dec  7 04:48:51 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: m-maybe in f-five years... - Mon Dec  7 04:48:51 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: ......What? You're confusing me. - Mon Dec  7 04:49:42 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: y-you umm....a-asked when were l-leaving right? - Mon Dec  7 04:49:42 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: No? I asked what we're doing about our training. - Mon Dec  7 04:50:33 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Instead of leaving. - Mon Dec  7 04:50:33 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: oh... - Mon Dec  7 04:50:33 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: how a-about we go m-mountain climing.. - Mon Dec  7 04:50:33 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hm? Yeah, I'm fine though. - Mon Dec  7 04:50:33 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: and y-yes momura... - Mon Dec  7 04:51:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: That's good. - Mon Dec  7 04:51:24 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Well, that's only one thing. There's a lot more we should do, but I guess we could handle that when we get there. - Mon Dec  7 04:51:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *cough* - Mon Dec  7 04:52:16 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: your w-wind...is h-hesitant..... - Mon Dec  7 04:53:58 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: and a l-litle weak... - Mon Dec  7 04:53:58 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Mon Dec  7 04:53:58 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: have y-you not...been p-practicing.. - Mon Dec  7 04:53:58 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I have! - Mon Dec  7 04:53:58 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Are you sure you're okay hun? - Mon Dec  7 04:54:49 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Mhm. - Mon Dec  7 04:54:49 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: mm...well its u-umm...a w-work in p-progress... - Mon Dec  7 04:55:40 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Oh, sensei, I've learned a few things on my own.  Hehe. - Mon Dec  7 04:56:32 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Come tell me when you're one hundred percent healed alright? - Mon Dec  7 04:57:23 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: And then i'll teach you how to fly. - Mon Dec  7 04:57:23 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Alright, will do.~ Thanks. - Mon Dec  7 04:57:23 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I unlockced the first gate, and learned front lotus. - Mon Dec  7 04:57:23 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: o-oh....g-gate?....w-what are t-those? - Mon Dec  7 04:58:14 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Something really strong, I'll say that much. - Mon Dec  7 04:59:05 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: mmm? - Mon Dec  7 04:59:05 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Mhm, it's true. - Mon Dec  7 05:00:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) whispers: (im literally .5 away from a rank up, is there anything useless u can show me? XD) - Mon Dec  7 05:01:39 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) whispers: (nope) - Mon Dec  7 05:02:30 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Oh, yo! Lera, Izanami. Sup? - Mon Dec  7 05:02:30 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hey there. - Mon Dec  7 05:02:30 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hi. - Mon Dec  7 05:02:30 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'm good, just got my arm taken off not to long ago. - Mon Dec  7 05:03:21 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Still feelin' kind of dizzy. - Mon Dec  7 05:03:21 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ... Ouch, fuck. - Mon Dec  7 05:03:21 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ......You're gonna get some kind of replacement, right? - Mon Dec  7 05:03:21 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Er. - Mon Dec  7 05:04:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I hope so. - Mon Dec  7 05:04:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Should get fuckin... yeah. Should get like... - Mon Dec  7 05:04:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Robot arms, from marco. - Mon Dec  7 05:04:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yeah. - Mon Dec  7 05:04:12 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Like, just.... yeah. - Mon Dec  7 05:04:12 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: ... - Mon Dec  7 05:05:04 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: Robot arms... - Mon Dec  7 05:05:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Huh? - Mon Dec  7 05:05:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yeah. - Mon Dec  7 05:05:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Just... get Kiyoko, and Marco - Mon Dec  7 05:05:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: To work together. - Mon Dec  7 05:05:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: On making you new super mega robo arms. - Mon Dec  7 05:05:55 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Out of Chakra Metal and steel. - Mon Dec  7 05:05:55 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: So that you can still use Jutsu with it. - Mon Dec  7 05:05:55 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: And like, yeah. - Mon Dec  7 05:05:55 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: FUCKING DO IT! - Mon Dec  7 05:05:55 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Haha. - Mon Dec  7 05:05:55 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Is that even possible? - Mon Dec  7 05:05:55 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Fuck if I know, you should get them together and ask. - Mon Dec  7 05:06:46 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm.. - Mon Dec  7 05:07:37 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I imagine. - Mon Dec  7 05:07:37 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: It would be quite expensive. - Mon Dec  7 05:07:37 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Yeah. - Mon Dec  7 05:07:37 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: BUt worth it, to not be a cripple. - Mon Dec  7 05:07:37 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: And instead have a super arm. - Mon Dec  7 05:07:37 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: True - Mon Dec  7 05:07:37 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Eh. - Mon Dec  7 05:11:02 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Yeah. - Mon Dec  7 05:11:02 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Anyways... - Mon Dec  7 05:11:53 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Mitsu. - Mon Dec  7 05:11:53 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I heard about Chikyu. - Mon Dec  7 05:11:53 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hehehe. - Mon Dec  7 05:11:53 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrrrmm? Ohoho! Indeed. - Mon Dec  7 05:11:53 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: When are you gonna go past 'cuddles'? - Mon Dec  7 05:12:44 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Years huh? Damn...Gonna have to 'entertain' yourself for a while huh? - Mon Dec  7 05:13:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Well, I suppose so, huh? Well, I suppose a few dinner parties with freinds might help keep me busy, eh? - Mon Dec  7 05:13:36 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Maybe maybe. - Mon Dec  7 05:14:27 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Still got that dinner with my n' Kiyoko~ - Mon Dec  7 05:14:27 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Still lookin forward to it. - Mon Dec  7 05:22:08 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: So am I. - Mon Dec  7 05:22:59 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mrm... - Mon Dec  7 05:24:41 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Anyway... I've got work to do, I s'pose. See you round, yeah? - Mon Dec  7 05:26:24 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Alright. - Mon Dec  7 05:26:24 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: I'll see you around Mitsu. - Mon Dec  7 05:26:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hahhhh... - Mon Dec  7 05:36:38 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Really, Kinami..? - Mon Dec  7 05:36:38 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hmm? - Mon Dec  7 05:36:38 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I'll lend you a hundred grand. - Mon Dec  7 05:40:03 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: W-What? It's not my fault that I'm poor! - Mon Dec  7 05:40:03 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: But I intend to see you pay this loan back, at... - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Fifteen percent interest, whenever you can. - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: A'right? - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: What? No way! - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Then I'll be poor for life! - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ..Yah realize. - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: U-uhm... - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Fifteen percent interest. - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: I can lend you money. - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Is just you paying me back like.. how much I've loaned you... - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: And then fifteen hundred more at a later date? - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Like- I don't even care when you pay me back. - Mon Dec  7 05:41:45 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hnn, sounds like a lot for a staff. - Mon Dec  7 05:42:36 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hnng. - Mon Dec  7 05:42:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Well. - Mon Dec  7 05:42:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I'll loan you hwoever much, Marco want's to charge for a staff. - Mon Dec  7 05:42:36 2015
<br><br><font color=teal>*Dissida, Paine(TheSecretary) says: mm... - Mon Dec  7 05:42:36 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hey Mitsu, want to go and hang out? - Mon Dec  7 05:49:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hrm? Sure, I guess. - Mon Dec  7 05:50:17 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Alright, lets go.~ - Mon Dec  7 05:53:42 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: A'right. Arena or Bar? - Mon Dec  7 05:55:24 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: If I go to the bar, things'll get dangerous. - Mon Dec  7 05:55:24 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: But if you want to take that risk. - Mon Dec  7 05:55:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hah! - Mon Dec  7 05:56:16 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Well, how about the Arena- and the bar afterwards, if we can both still stand. - Mon Dec  7 05:57:07 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Lets go to the bar and then the arena. - Mon Dec  7 05:57:07 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: It'd be fun. - Mon Dec  7 05:57:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: -- You wanna fight drunk? Sure. Lead the way! - Mon Dec  7 05:58:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Where the hell is Sanoke? - Mon Dec  7 06:56:51 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hows it hanging Marco? - Mon Dec  7 07:07:05 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Well. - Mon Dec  7 07:08:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Good to hear. - Mon Dec  7 07:09:39 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hey do you have an extra bokken? - Mon Dec  7 07:09:39 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I want to help my bro practice. - Mon Dec  7 07:10:30 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hmm. - Mon Dec  7 07:11:21 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That was a weird ass mission Trill. - Mon Dec  7 07:13:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I'm glad that thing is over. - Mon Dec  7 07:16:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That lady was creepy. - Mon Dec  7 07:16:28 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Was a bit crazy but it turned in our favor haha. - Mon Dec  7 07:18:11 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You weren't the one with a crazy, crusty lipped lady combing your hair with a senbon. . . .  - Mon Dec  7 07:19:02 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: .... - Mon Dec  7 07:19:53 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: ..... - Mon Dec  7 07:19:53 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: .... - Mon Dec  7 07:19:53 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Ha you handeld it better than me Hiro. - Mon Dec  7 07:20:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I didn't like that shit. . .  - Mon Dec  7 07:20:44 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Again Hiro you handeld it better than me. - Mon Dec  7 07:20:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: We had a mission to do, so I sucked it up. - Mon Dec  7 07:20:44 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: You showed ya worth as a shinobi haha. - Mon Dec  7 07:21:36 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: I would have probaly ben like bang bang ppew pew boom splahh wahhhhhhhh. - Mon Dec  7 07:21:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *laughs* Sounds about right. - Mon Dec  7 07:21:36 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Ahhh Marco my man. - Mon Dec  7 07:21:36 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Buddy ole pal. - Mon Dec  7 07:22:27 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Ive been looking for you where you been. - Mon Dec  7 07:22:27 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Hey Hiro Im suprised you havent cut your hiar. - Mon Dec  7 07:28:25 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmm? - Mon Dec  7 07:28:25 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Why would I do that? - Mon Dec  7 07:28:25 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: No telling what that lady laced your hair with. - Mon Dec  7 07:29:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Mon Dec  7 07:29:16 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: What if that was some wired technqiue or something. - Mon Dec  7 07:29:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Mon Dec  7 07:29:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Koji, can you check my hair? - Mon Dec  7 07:29:16 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: You're good, I don't think the woman would harm her own child. - Mon Dec  7 07:30:59 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . . .  - Mon Dec  7 07:30:59 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That lady was creepy. - Mon Dec  7 07:30:59 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You guys back? - Mon Dec  7 07:34:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yea. . .  - Mon Dec  7 07:34:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Koji. Write up a report and deliver it to my office first thing in the morning. - Mon Dec  7 07:34:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Creepy ass lady. . .  - Mon Dec  7 07:34:24 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Will do. - Mon Dec  7 07:34:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Good work, however. Or so Iassume. - Mon Dec  7 07:36:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: I should take the little girl iinto custody. - Mon Dec  7 07:36:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You all go take a break. - Mon Dec  7 07:36:57 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Ireccomend gving the mother a psyche check. - Mon Dec  7 07:36:57 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: A break will be nice. - Mon Dec  7 07:36:57 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Mon Dec  7 07:37:48 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That lady is creepy. - Mon Dec  7 07:37:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I - Mon Dec  7 07:37:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'll look into it. - Mon Dec  7 07:37:48 2015
