<br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) thinks: Relationship problems? - Thu Nov  5 05:55:24 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) noticed wildlife flee from the approaching army. Any wolves or anything that might try to fight back would be ended quickly, the mass of ninja easily dispatching anything that was in their way as they moved through the thick woods that were indigenous to The Land of Fire. Yan wasn't too fond of this method, forcing wildlife to flee in fright as they moved through, yet it was necessary to ensure the fluidity of the mission as he couldn't allow the creatures to deter the movement of his army. His Kazekage expected perfection, and Yan would serve him a report of that very quality.* - Thu Nov  5 18:10:59 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) signaled stopping. They have moved into the country in which they were eventually employed to annex into the sovereign body of Sunagakure and The Land of Wind. Hence forth, the country would be a mere region as it had proved in recenty times to no be able to stand up on its own. There was a time that Yan remembered Sand being in a similar position, after the reign of Tategama, that it could no longer stand on its own and all trade agreements had been disbanded. Kumo had taken over Sand at that point, and so, Sand would do this now. Not in the same manner though--Yan hoped they would breathe benevolent life into a dead hidden village.* - Thu Nov  5 18:25:29 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) entered the territory of The Village Hidden in The Clouds. The jounin of The Hidden Sands was accompanied by an ominously large army of ninja in a uniform formation that stretched as far as the eye could see every way. The sheer amount of chakra one would sense if they were in the village would be alarming to say the least.

With a single hand gesture, a loosely-raveled fist that was extended upward, the commanding officer's would mimic the gesture which would bring the forward march of the two-thousand-man army. Even as the sound of the marching died down, he could hear the murmering of the army.

Yan would look upon the village, now falling into ruin due to negligence and lack of organized presence, shaking his head slightly. He remembered when Ushinawa was running the village, how there were shinobi thriving here. That was no more, not at the moment anyway. Yan would give the signal to march forward, and at that point, they would enter the village and begin operations.

Each commander had a task, most of which were set upon organizing and taking regions of the village. What few bandits were there would be ran out in due time. Yan would be moving with the main army, expecting reports on how the contingent squadrons were performing and  updates on progress made.* - Thu Nov  5 19:41:26 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) approached the area. At this point, two thousand sand ninja were taking over the village and all operations would be run by them. Yan would notice a native Kumo-nin, and with skepticism, he approached.

"Greetings." He'd say, his chakra ready to strike the ninja down if he provided any sort of descent from the will of Sand.* - Thu Nov  5 19:47:24 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) ordered troops to grab the man and place him within the room which Yan would work from. He would tend to him when he was able to speak with him.* - Thu Nov  5 19:49:07 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) began recieving reports. No one was here, not even bandits. Everything had gone through smooth and operation "Annex Kumo" had gone succcessfully as Hassan mentioned it probably would. Yan sought to create a foundation for the future within the village, immediately creating plans for guardsmen throughout the village similiar to the fashion in which he had done so in Sand Village.

Merchants and civilians of necessary occupations were brought as well, and would occupy stores with their goods so that the village's commerce and economic stability would return in due time. For now, he would be running the village though he expected a replacement sooner than later as he had no intention of remaining here for anymore time that was required to stabilize the village and get it into running shape. At the desk of the Raikage, Yan would pull out a scroll and write up a report to send to Hassan. Once attached to a bird, the message would be sent away to travel the land at a fastened pace towards Sand Village where Hassan awaited word.* - Thu Nov  5 19:49:07 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) looked up from his paperwork, noticing the rather hostile demeanor of the ninja who had awoken from his meditation. "I am Yan, and I am here to bring this village back into operation." He'd say, bringing his fingers between two pages as he pushed one to a stack of finished paperwork. * - Thu Nov  5 20:01:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ....The Cloud village is an extension of Sand now. There's no need for hostility. This is for the best. - Thu Nov  5 20:04:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What is your name, ninja? - Thu Nov  5 20:07:53 2015
<br><br><font color=teal>*Regado(RiseofthePhoenix) says: I am the one and only Regado. - Thu Nov  5 20:08:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Nice to meetcha'. - Thu Nov  5 20:09:36 2015
<br><br><font color=teal>*Regado(RiseofthePhoenix) says: Same is to you. - Thu Nov  5 20:09:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: In all likliehood, I will not be your Raikage. - Thu Nov  5 20:09:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'd much prefer to return to my home village, but for now, I will be able to help you in any way you need it. - Thu Nov  5 20:10:27 2015
<br><br><font color=teal>*Regado(RiseofthePhoenix) says: Hmmm.....I see. - Thu Nov  5 20:10:27 2015
<br><br><font color=teal>*Regado(RiseofthePhoenix) says: We mostly need updated facialtyies and repaires. - Thu Nov  5 20:11:18 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) brings a hand up from the paperwork, beckoning his assistant as he requested a sum of food to be brought. Within moments that was done, and Regado would be presented with a large amount of dried foods and such that could be easily transported from a distance without spoiling.* - Thu Nov  5 20:11:18 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: My financial advisors have made the determinations of what kind of funds will be needed. I'm working to secure the funds needed but it's alot.... - Thu Nov  5 20:12:09 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) as he spoke to Regado, he would push his hand into the satchel stationed upon his hip. His hand would slip from it in moments with a bag of herbs. "Do you?" He'd say, motioning towards the marijuana with his eyes as he began rolling up a joint.* - Thu Nov  5 20:13:52 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) nodded and licked the joint to completion. He would light the end with a zippo lighter before taking a long drag of smoke. "Fair enough," he'd reply as he began to work upon his paperwork again. "Once I get permission, I might throw you a few tasks to test your mettle. Are there any other ninja in the village? From what I had seen, and in my reports, the village is a ghost town." He'd speak in an odd voice, holding in the smoke before he released it. It's skunky aroma would instantly fill Regado's nostrils. Then again, without even burning, the scent of the herb would be emanating throughout the room.* - Thu Nov  5 20:18:59 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I see. I'm surprised the village wasn't home to bandits during its downtime. - Thu Nov  5 20:24:57 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: It made my job easier. - Thu Nov  5 20:24:57 2015
<br><br><font color=teal>*Regado(RiseofthePhoenix) says: Hmmm..I see I would have extermantied them if they were here when i arrived anyway. - Thu Nov  5 20:25:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I see. What level of skill would you place yourself at? - Thu Nov  5 20:26:40 2015
<br><br><font color=teal>*Regado(RiseofthePhoenix) says: Hmm to be honest I have no ideal. - Thu Nov  5 20:45:26 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: We will tet it - Thu Nov  5 20:45:26 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: For now you should eat. - Thu Nov  5 20:45:26 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You aren't a good soldier if you are famished. - Thu Nov  5 20:45:26 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: So on your travels.. - Thu Nov  5 20:46:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Did you ever come across a woman named Katsune or a man named Index? - Thu Nov  5 20:46:17 2015
<br><br><font color=teal>*Regado(RiseofthePhoenix) says: Nope not at all. - Thu Nov  5 20:47:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I see. - Thu Nov  5 20:47:08 2015
<br><br><font color=teal>*Regado(RiseofthePhoenix) says: Yeah sorry Im no help in that area. - Thu Nov  5 20:50:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: It's no problem. - Thu Nov  5 20:51:24 2015
<br><br><font color=teal>*Regado(RiseofthePhoenix) says: Hmm. - Thu Nov  5 21:10:11 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What's on your mind, Regado? - Thu Nov  5 21:11:53 2015
<br><br><font color=teal>*Regado(RiseofthePhoenix) says: Ah.. just wondering. Why we have not recived aid from Amekagure. - Thu Nov  5 21:17:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Does Amegakure have some obligation to provide it to you? - Thu Nov  5 21:17:52 2015
<br><br><font color=teal>*Regado(RiseofthePhoenix) says: Hmmm we are a allied nation. - Thu Nov  5 21:18:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I don't know. Kumo's old alliances are no longer. - Thu Nov  5 21:19:34 2015
<br><br><font color=teal>*Regado(RiseofthePhoenix) says: Come to think about it the ambassador never came back to help after the kenshin incdent like he said he would. - Thu Nov  5 21:19:34 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) sends birds to ever major village in search of Ortho.* - Thu Nov  5 23:09:39 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) politely eats his food and ignores her.* - Fri Nov  6 06:07:47 2015
<br><br><font color=teal>*Shishigami, Toudou(RhapsodyManiac) says: . . . . . . . . - Fri Nov  6 06:44:28 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: ... Right. - Fri Nov  6 06:46:11 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Let's move! - Fri Nov  6 06:46:11 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: I'll flicker out to get a monk! - Fri Nov  6 06:46:11 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Shit! - Fri Nov  6 06:48:44 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Oww.. - Fri Nov  6 06:58:08 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: My head.. - Fri Nov  6 06:58:08 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: *Outside* Who the hell is trying to get out?...Is that a signal for setting off the trap?... - Fri Nov  6 06:58:59 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) would approach the area. He seemed somewhat fatigued, though it was an expected symptom of traveling over the ninja world from the Land of Lightning to the Land of Wind. As he approached the centre of the village, he only noticed but one face in which he was familiar with whereas he expected many others. "Hello Iza..Where is everyone?" He'd ask, his eyes casted about in observation of his surroundings.* - Fri Nov  6 07:17:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...What do you mean "something serious"? - Fri Nov  6 07:22:01 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Tetsumi was preparing something and told me to run away from the area. - Fri Nov  6 07:22:01 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: So...avoid the area. - Fri Nov  6 07:22:01 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: .....Makes me think that I should go in there. - Fri Nov  6 07:22:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Where is your grandfather? - Fri Nov  6 07:22:52 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Probably in his office. - Fri Nov  6 07:22:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Very well. - Fri Nov  6 07:26:17 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) looks towards the new kid. He'd be smiling, and over all, a friendly demeanor could be percieved as he peered toward Musashi. "Hello..A new graduate?" He'd ask, beckoning him closer to have conversation with Izanami and himself.* - Fri Nov  6 07:27:08 2015
<br><br><font color=teal>*Musashi(Alternate_Alternative) says: Hm? - Fri Nov  6 07:29:42 2015
<br><br><font color=teal>*Musashi(Alternate_Alternative) says: Sure. - Fri Nov  6 07:29:42 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What's your name? - Fri Nov  6 07:29:42 2015
<br><br><font color=teal>*Musashi(Alternate_Alternative) says: Musashi. - Fri Nov  6 07:30:33 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm Yan and this is Izanami. - Fri Nov  6 07:31:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What's your specialty? - Fri Nov  6 07:31:24 2015
<br><br><font color=teal>*Musashi(Alternate_Alternative) says: Being a shinobi. - Fri Nov  6 07:31:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: That much is obvious. - Fri Nov  6 07:31:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I guess you are the secretive type, huh? - Fri Nov  6 07:31:24 2015
<br><br><font color=teal>*Musashi(Alternate_Alternative) says: No. - Fri Nov  6 07:32:16 2015
<br><br><font color=teal>*Musashi(Alternate_Alternative) says: Just don't see why I should tell you. - Fri Nov  6 07:32:16 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) laughs uneasily, bringing a hand to the back of his rather bright blonde hair where he would rub the back of it. "Alright then." He'd reply simply, moving his eyes back onto Izanami. "I hope everyone is okay. I am going to go find out. You said the academy?" He'd ask, just to make sure.* - Fri Nov  6 07:33:58 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Mhm, the academy. - Fri Nov  6 07:38:14 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) (*Yan laughs uneasily, bringing a hand to the back of his rather bright blonde hair where he would rub the back of it. "Alright then." He'd reply simply, moving his eyes back onto Izanami. "I hope everyone is okay. I am going to go find out. You said the academy?" He'd ask, just to make sure.*)
* - Fri Nov  6 07:39:05 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) nodded and headed south towards the academy. If Tetsumi was riled up to the degree she was talking about, he better go do damage control.* - Fri Nov  6 07:39:56 2015
<br><br><font color=teal>*Macbeth(Psychic_Warrior) says: . . . . . . . - Fri Nov  6 07:43:21 2015
<br><br><font color=teal>*Macbeth(Psychic_Warrior) says: Deliver it. - Fri Nov  6 07:43:21 2015
<br><br><font color=teal>*Macbeth(Psychic_Warrior) says: Let me meet with my Lord. . . . . - Fri Nov  6 07:43:21 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Than shall I be your deliverer.. - Fri Nov  6 07:43:21 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: ... U.. ugh.. - Fri Nov  6 07:43:21 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Why?... - Fri Nov  6 07:52:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: kl4 - Fri Nov  6 08:04:41 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) cracks open beer. "Mmmhm.." hank of the hill style.* - Fri Nov  6 08:10:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: <omit> - Fri Nov  6 08:10:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sir... - Fri Nov  6 08:25:10 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .. - Fri Nov  6 08:29:26 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I assume everything is okay now? - Fri Nov  6 08:29:26 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: When people like him live for the sake of taking lives.. - Fri Nov  6 08:35:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You've lost such a right...How'd you feel? - Fri Nov  6 08:35:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: If someone you loved lost their kin because of scum being paid to kill? - Fri Nov  6 08:35:24 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: A short life ended.. - Fri Nov  6 08:36:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: This is poetic justice.. - Fri Nov  6 08:36:16 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: No, it's a chain of hate. - Fri Nov  6 08:36:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Heh...He knew of his end. - Fri Nov  6 08:36:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: He knew the risk of coming here. - Fri Nov  6 08:36:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: We can not protect the world.. - Fri Nov  6 08:37:07 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I've elarned such the hard way. - Fri Nov  6 08:37:07 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I was taught the life cycle growing up.  - Fri Nov  6 08:37:07 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Look hea SImba.. - Fri Nov  6 08:37:07 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: -omit- - Fri Nov  6 08:37:07 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: It doesnt have to be hate. The Lion eats the gazelle and the lion dies to nourish the grass.. - Fri Nov  6 08:37:58 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: This guy happedned to be a lone gazelle in a pride of lions.. - Fri Nov  6 08:37:58 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: -omit- - Fri Nov  6 08:37:58 2015
<br><br><font color=yellow>*Yan(Enigmatic_Subsistence) enters the room behind Izanami. He took view of the dead bodies and then towards the others. "What in the hell happened here?!" He'd exclaim, although an inquiry, as his expression contorted to a more serious composition than what normally adorned his features.* - Fri Nov  6 08:38:49 2015
<br><br><font color=teal>*Kuro(Ichigo10101) thinks: I'll remember you, just like I remember Reign. - Fri Nov  6 08:39:40 2015
<br><br><font color=teal>*Kuro(Ichigo10101) thinks: Never will I forget the names of those who I've failed to save.. - Fri Nov  6 08:40:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: No mate... - Fri Nov  6 08:40:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Some humans kill to protect their young.. - Fri Nov  6 08:40:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Their loved ones.. - Fri Nov  6 08:40:32 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ....Fujitora. What happened here? - Fri Nov  6 08:40:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Had he killed my son... - Fri Nov  6 08:40:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: WHAT WOiuld YOU Have done? - Fri Nov  6 08:40:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Pray? - Fri Nov  6 08:40:32 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: That does not bring back the dead...Or prevent it.. - Fri Nov  6 08:41:23 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: It all stems from selfish desires and hate. - Fri Nov  6 08:41:23 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: What some shinobi do it not out of selfishness but out of their kind hearts..S - Fri Nov  6 08:41:23 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Stained by this world. - Fri Nov  6 08:41:23 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: And its fucking filth...It's Shinobi..Gezo...Filth.. - Fri Nov  6 08:41:23 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: To prevent more bloodshed, we can't solve it by adding more blood. - Fri Nov  6 08:42:14 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Of course, Fujitora is useless for information. - Fri Nov  6 08:42:14 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ... - Fri Nov  6 08:42:14 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Kuro, what happened here? - Fri Nov  6 08:42:14 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Justice.. - Fri Nov  6 08:43:05 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: A man infultrated the village, and we cornered him here. - Fri Nov  6 08:43:05 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: No. - Fri Nov  6 08:43:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: One person please. - Fri Nov  6 08:43:05 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Kuro, continue. - Fri Nov  6 08:43:05 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: It was not justice. It was murder. - Fri Nov  6 08:43:05 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: We cornered the man, and had him detained. - Fri Nov  6 08:43:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What did he do? - Fri Nov  6 08:43:56 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Then Trilliam set off an explosion, and Fujitoraand Tetsumi killed the man off. - Fri Nov  6 08:43:56 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I did what now? - Fri Nov  6 08:44:48 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: It seems like he was trying to get something from the village. - Fri Nov  6 08:44:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: What did the man do? - Fri Nov  6 08:44:48 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: The man was defenseless and unarmed. To kill him when he was already detained is not justice. - Fri Nov  6 08:45:39 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: --------------------- - Fri Nov  6 08:45:39 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Unarmed?.. - Fri Nov  6 08:45:39 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Yes, unarmed. - Fri Nov  6 08:45:39 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I had removed his weapons. - Fri Nov  6 08:46:30 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Oh yeah! Sure! - Fri Nov  6 08:46:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ....Koji. - Fri Nov  6 08:46:30 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: After he fucked us ALL up! - Fri Nov  6 08:46:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Get rid of the bodies. - Fri Nov  6 08:46:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Everyone needs to clear out of here. - Fri Nov  6 08:46:30 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: We are all still standing. - Fri Nov  6 08:46:30 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yan why am I being lied on? - Fri Nov  6 08:46:30 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I don't agree he was unarmed or defensless. - Fri Nov  6 08:46:30 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Tetsumi almost lost his arms! - Fri Nov  6 08:46:30 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..... - Fri Nov  6 08:47:21 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Taking another's life isn't going to solve anything. - Fri Nov  6 08:47:21 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: THis man aimed to kill my father! - Fri Nov  6 08:47:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: No one is listening... - Fri Nov  6 08:47:21 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Yet you want to turn the other cheek?! - Fri Nov  6 08:47:21 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: All ive done to day is use a litghnign justu. - Fri Nov  6 08:47:21 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: So you want to keep this cycle of killing going forever and ever!? - Fri Nov  6 08:47:21 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: You walk near the restaruant you'l see the fresh corpses, and in the bathroom a near dead Izutora... - Fri Nov  6 08:47:21 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: What's to say his loved ones won't come for your life? - Fri Nov  6 08:47:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Koji, like I said. - Fri Nov  6 08:47:21 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Clean up the bodies. - Fri Nov  6 08:48:12 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Then you're dead and your loved ones comes after those of the mans? - Fri Nov  6 08:48:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Kuro, take a break. - Fri Nov  6 08:48:12 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: It's an endless cycle that we need to break. - Fri Nov  6 08:48:12 2015
<br><br><font color=teal>*Zole(-The Creepy SoulHunter-) says: In the world of Shinobi, this goddamn world . . killing will never stop, bruh. - Fri Nov  6 08:48:12 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: nigga - Fri Nov  6 08:48:12 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: -omit - Fri Nov  6 08:48:12 2015
