<br><font color=yellow>*Mitsuko(Sage of Six Booties) cuts him!!!!!!!!!!!

(45.6 attack speed, 12.4 speed.)* - Tue Sep 29 00:31:34 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Hrm. . .Sib. . .Ling? - Thu Oct  8 20:04:28 2015
<br><br><font color=teal>*Hikensha, Takumi(Nexus 420) thinks: Naw gonna let this play out. - Fri Oct  9 03:48:41 2015
<br><br><font color=teal>*Nina(Ninasky115) says: .... - Fri Oct  9 03:50:24 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Fri Oct  9 03:51:15 2015
<br><br><font color=yellow>*Xia Ping(Sage of Six Booties) looked toward the white haired female whom seemed to be sulking over Kojiro's corpse. She'd peer at the two corpses, attempting to obtain the attention of any remaining, high-ranking personnel within Kumogakure no Sato. The white haired girl would eagerly hand over the corpses to authority, intending to get them buried in a sufficient vicinity that wouldn't put them in risk of being stolen in the future. Most likely in a vault, if one existed.

She'd proceed to glimpse at the blonde haired female. Approaching Lyala, she'd crouch down beside her, discerning her frame. "Are you okay?" The twenty-two year old would question, simply there for moral support.* - Fri Oct  9 03:53:48 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ...... - Fri Oct  9 03:58:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hideki, where were you.... - Fri Oct  9 03:58:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I was kidnapped. - Fri Oct  9 03:58:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: People died, Hideki, a lot of them.... - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I couldn't do anything but run away... - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: And? - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I've lost a lot of people myself.. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: You could've helped them, that's what! - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: That's life kid. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... Mmn. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ,,,,,,,Well, I'll get stronger so that I don't have to deal with that life. Watch me... - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I thought we lost this man.. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... *Face twitch.* - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Good luck Nina. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I don't need luck. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah you do. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I won't lose anyone else on my watch. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Keep thinking that. - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Thought the same thing. - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Lost five friends. - Fri Oct  9 04:00:38 2015
<br><br><font color=yellow>*Xia Ping(Sage of Six Booties) nodded. She'd clasp the female's hands, pulling her onto her back. With a small groan resonating from the snowy haired girl, the kimono-wearing individual would guide Lyala to her own home. The hospital was most likely destroyed within the invader's furious attack.* - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well, that won't happen to me. - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'll make friends, get teachers, become a better kunoichi in all. - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Fuck this guy.. - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Taking her to the hospital. - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) thinks: OneTwoThreeFour... - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: The hospital's messed up. - Fri Oct  9 04:01:29 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: I'm a shinobi of Kumogakure. I'm taking her to my house so she can rest. She's battered up. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: H-Hideki.... take me to your home.... - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No. - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Fri Oct  9 04:02:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Alright. - Fri Oct  9 04:02:20 2015
<br><br><font color=yellow>*Xia Ping(Sage of Six Booties) approached Hideki, removing the girl from her back and handing Lyala off to him.* - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: I hope you didn't think I had malicious intentions. - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You never know nowadays.. - Fri Oct  9 04:03:12 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: I'm loyal to Kumogakure. I never, and never will betray my comrades. - Fri Oct  9 04:04:03 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Easier said than done. - Fri Oct  9 04:04:03 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: That's a self-rule I'll abide by. Especially if I plan on becoming Raikage some day. - Fri Oct  9 04:04:03 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Right. - Fri Oct  9 04:04:03 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Come along, Ambrocio. - Fri Oct  9 04:04:54 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: Mind if I tag along.. or? - Fri Oct  9 04:04:54 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ------ - Fri Oct  9 04:04:54 2015
<br><br><font color=yellow>*Xia Ping(Sage of Six Booties) directed a healing pill toward Niza, unless he wasn't conscious to swallow it without choking.

"Senzu Bean---"

oh he's dead.* - Fri Oct  9 04:08:19 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: -omit- - Fri Oct  9 04:08:19 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Sh - Fri Oct  9 04:09:10 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Fri Oct  9 04:09:10 2015
<br><br><font color=yellow>*Xia Ping(Sage of Six Booties) observes this take place with her arms folded, shaking her head.

<A medic incapacitating her own shinobi.. and relying on a -child- to check someone's pulse. Even if he can do it... dumb. She even decided to abandon that blonde. Dumb. She has the techniques to make up for her mental incompetence.>

The white haired, ponytail adorning female would exit the doorway, shaking her head and closing her pair of fiery eyes. The news of Niza's death saddened her, but it didn't impact her enough to traumatize her, luckily. <This village's in bad shape.> She'd state, thinking about the casualties, the destruction, and now the death of their beloved leader.* - Fri Oct  9 04:30:30 2015
<br><br><font color=yellow>*Xia Ping(Sage of Six Booties) entered the room, her arms folding beneath her chest. She narrowed her orange pair of eyes at the turn of events between Lyala and Hideki, sighing lightly while leaning against the door to the traditional, japanese home. She'd announce the news to them in her light, slightly deep, matured tone.

"The Raikage's dead. One of our shinobi is injured because of the medic. Four venomous bites. Unconscious immediately, not sure if the victim's dead. Anyways, I'll be leaving." She'd state, attempting to rest her palm upon Nina's shoulder. The seemingly stoic, silver haired woman would leave shortly afteer.* - Fri Oct  9 04:34:46 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: ----------------------------------------- - Fri Oct  9 04:34:46 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: ------------ - Fri Oct  9 04:34:46 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Fri Oct  9 04:35:37 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Mmn.. *He nodded in return.* - Fri Oct  9 04:39:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Oh, that's Heiwa Ambrocio, make sure he's not harmed either. - Fri Oct  9 04:39:02 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: .... - Fri Oct  9 04:39:53 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Stay here for now, Heiwa. - Fri Oct  9 04:39:53 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I have to go do something. - Fri Oct  9 04:39:53 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: W-What? - Fri Oct  9 04:39:53 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: But..Mister Raikage.. - Fri Oct  9 04:40:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You stay here Lyala. That's final. - Fri Oct  9 04:40:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Same with you Heiwa. - Fri Oct  9 04:40:44 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: --- - Fri Oct  9 04:40:44 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: But... - Fri Oct  9 04:40:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No. - Fri Oct  9 04:40:44 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: I have to go, you can't d-- - Fri Oct  9 04:40:44 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: .... - Fri Oct  9 04:40:44 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: You can't just leave... what if the village needs the second higher up in command? You.  - Fri Oct  9 04:41:36 2015
<br><br><font color=yellow>*Xia Ping(Sage of Six Booties) exhaled. She showed no intimidation to Hideki's odd pair of red eyes.

"With Niza and the unconscious girl. The medic is the one who did it. Don't do anything rash." The snowy haired woman would state, just in case he intended to kill the medic.* - Fri Oct  9 04:41:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Take me to her....I do what I wish, woman. - Fri Oct  9 04:41:36 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Hideki... don't do nothing craz--- Agh....please, I cannot loose anymore people. - Fri Oct  9 04:42:27 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: Go to her on your own. I have business to attend to. Go ahead and add to the kill count, see just how worse Kumogakure gets from it. - Fri Oct  9 04:42:27 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: There're right in the other bedroom. - Fri Oct  9 04:43:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: It's already gone down to shit since Ushinawa died. - Fri Oct  9 04:43:18 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: Don't know who that is. - Fri Oct  9 04:43:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Shame. - Fri Oct  9 04:43:18 2015
<br><br><font color=teal>*Xia Ping(Sage of Six Booties) says: Gonna go see who's alive. - Fri Oct  9 04:43:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I won't go, Heiwa. I promise. - Fri Oct  9 04:43:18 2015
<br><br><font color=yellow>*Xia Ping(Sage of Six Booties) stepped back, allowing the door to slide closed.* - Fri Oct  9 04:43:18 2015
<br><br><font color=yellow>*Xia Ping(Sage of Six Booties) glimpsed at Genesis.

"I'm sorry for your loss." She'd refer to Kojiro, then keep on walking. She was surveying the village for -any- survivors of the attack.* - Fri Oct  9 04:45:00 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I'm going to go train. - Fri Oct  9 20:17:42 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) exhaled lightly. The white haired, dark-skinned female would suddenly begin to surge her chakra. Having applied a decent amount of chakra surged to her frame, she would knead the surging chakra into pale, whiteish-blue chakra. Sparks danced around her frame rapidly. Such sparks were short lived due to her lack of mastery of the Lightning Release technique.* - Fri Oct  9 20:56:06 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) started to regather the chakra she lost from utilizing the unmastered technique. As someone who dedicated a majority of her life to trying to become more proficient at Lightning Release, she wasn't going to give up with hardcore training because of her lack of mastery with a technique. The white haired female would surge her chakra suddenly. She'd proceed to knead the chakra into whiteish-blue sparks, releasing the sparks in an immense, omnidirectional stream around her figure.

Amaya would exhale lightly. She'd then proceed to sit down on her butt, folding her legs. After a sufficient time of resting, the dark-skinned girl would form one handsign. Having formed the single handsign, the Raitori family member would spill a mild-volume of water in the form of a stream. The stream would go a noticeable difference, before sloping downward and simply pattering against the tiles of the training grounds. She'd sit back down, starting to rest again.* - Fri Oct  9 21:01:13 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) stood up, exhaling. Her fiery pair of orbs shifted throughout the vicinity before she focused her gaze on the area in front of her. Amaya would form a single handsign, gathering a decent portion of chakra in her throat. She'd knead the chakra into water, spewing it from her gullet in the form of a medium-volume, thin stream. The stream sloped out a few inches further than it did before, indicating that she was improving.

Amaya would exhale. She'd slowly start to move forward in what seemed to be a jog. Her momentum progressively improved, becoming a full out dash forward. Once reaching her designated location, a stream of lightning-infused chakra would emit from her figure in all directions. White-ish blue sparks of chakra flowed from her form, soon vanishing.* - Fri Oct  9 21:40:28 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: sorry - Sat Oct 10 00:36:16 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I don't know how to act like a real man, just let me go! - Sat Oct 10 00:39:40 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is look at man o' real! - Sat Oct 10 00:39:40 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Jus' need be taught. - Sat Oct 10 00:39:40 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I don't want to be taught, I like how I am. - Sat Oct 10 00:40:32 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . .Well the' jus' treat like say will. - Sat Oct 10 00:49:04 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Huh? - Sat Oct 10 00:55:02 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Ugh, treat me how you want but just let me down. - Sat Oct 10 00:55:02 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . <*Looks at around*> Think is sleep. - Sat Oct 10 01:03:34 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Hmm... - Sat Oct 10 01:03:34 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is stay. - Sat Oct 10 01:05:16 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: <@Khalil> - Sat Oct 10 01:05:16 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: A-Alright.. - Sat Oct 10 01:06:59 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Any of you proficient at taijutsu, Raiton or Suiton? I need to find someone to receive teachings from. - Sat Oct 10 01:08:41 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Hrm. . .? - Sat Oct 10 01:08:41 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: But not know. . .Why is be teach taijutsu? - Sat Oct 10 01:09:32 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I wanna learn Taijutsu too! - Sat Oct 10 01:09:32 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I wish to assimilate Raiton with hand to hand combat. - Sat Oct 10 01:10:24 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: No! Is only for Maloth for teach! <*is stingy*> - Sat Oct 10 01:12:06 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: But I want to learn too! - Sat Oct 10 01:13:48 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Maloth thin' 'bout teach. - Sat Oct 10 01:15:31 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: If is good tribeman. - Sat Oct 10 01:15:31 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Paine only for Maloth, though! - Sat Oct 10 01:15:31 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Then you teach me, Maloth! - Sat Oct 10 01:18:04 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is 'stand? - Sat Oct 10 01:18:04 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Will you, Maloth? - Sat Oct 10 01:24:03 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Jus' say. - Sat Oct 10 01:24:54 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: If is good for Maloth 'tribe.' - Sat Oct 10 01:25:45 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: If I'll be good for your tribe? - Sat Oct 10 01:25:45 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: -- Hng. Is will teach, not nee' worry. - Sat Oct 10 01:26:36 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Who be new leader? - Sat Oct 10 01:26:36 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Who knows. - Sat Oct 10 01:27:28 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I want to become the Raikage. I'm not strong enough, for now. - Sat Oct 10 01:27:28 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: When can we begin? - Sat Oct 10 01:29:10 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Mmm. . Need tes' what able do. - Sat Oct 10 01:30:01 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: Oh, alright. - Sat Oct 10 01:30:52 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Mmm. Get bore now. - Sat Oct 10 01:35:08 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: What do? - Sat Oct 10 01:35:08 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I don't know... - Sat Oct 10 01:35:08 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: We can go eat? I'm hungry.. - Sat Oct 10 01:35:08 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Wha' like eat? - Sat Oct 10 01:36:00 2015
<br><br><font color=teal>*Yamanshi, Khalil(BoyLeafeon) says: I like meat!  - Sat Oct 10 01:38:33 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Mmm.. - Sat Oct 10 01:39:24 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Paine. Is wake? - Sat Oct 10 01:39:24 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks:  Well i be dam... - Sat Oct 10 19:51:40 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: Where the hell is Heiwa. - Sat Oct 10 19:51:40 2015
<br><br><font color=teal>*Kyushiki(Maruka) thinks: Ha! - Sat Oct 10 19:51:40 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: That child has to survive. - Sat Oct 10 19:51:40 2015
<br><br><font color=teal>*Kyushiki(Maruka) thinks: Someone fucked the shit out of this village. - Sat Oct 10 19:51:40 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) //A tapping of the village's announcement system could be heard, followed by a cliche "Ahem" from a feminine voice over it.

"Kumogakure's in a state of peril. No one has rose up to take the position of Raikage. As a nation we will stand together and rise to fix our descension into poverty."

"We may be weak individually, but together; we're destined for greatness. With that being said... I will unify Kumogakure! That is my pledge as the Yondaime Raikage!"* - Sun Oct 11 14:44:54 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: I can unify Kumogakure. - Sun Oct 11 14:50:01 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: U. . .Ni. . . Fi? - Sun Oct 11 14:50:01 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Bring us all together. - Sun Oct 11 14:50:01 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Like a big family. - Sun Oct 11 14:50:01 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: How kno' no' lie? - Sun Oct 11 14:50:01 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Wha' this do for Maloth?  - Sun Oct 11 14:50:52 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: It will give you people that care about you. More of them. - Sun Oct 11 14:50:52 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: If I am untruthful, I may die for proving to be not as loyal as I pledge I am! - Sun Oct 11 14:51:44 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) pointed at Maloth as an answer to Misa's question. She had mixed feelings on this situation. She'd approach the male, murmuring to him faintly.* - Sun Oct 11 14:55:08 2015
<br><br><font color=teal>*Maloth(Gtgoku88) whispers: Thin' be bad. Nee' be quiet, let Maloth figh'. - Sun Oct 11 14:55:08 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Is that so? - Sun Oct 11 14:56:00 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: What is your plan now? - Sun Oct 11 14:56:00 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) whispers: In exchange for your protection, I will provide you with power, politically and physically. If enough people put faith in me I shall provide you with any weapon or armor you desire. - Sun Oct 11 14:56:51 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is be boss! Mae' village more stron'! - Sun Oct 11 14:56:51 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: He told me he wants to unify Kumo and fix any mistakes that Niza made. - Sun Oct 11 14:56:51 2015
<br><br><font color=yellow>*Raitori, Amaya(Sage of Six Booties) started talking to Maloth in clicks.

omit.* - Sun Oct 11 14:57:42 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: I'll occasionally come to assist you I suppose. - Sun Oct 11 14:58:33 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) thinks: An ally..~ - Sun Oct 11 14:59:24 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: But for most of my time, I'll be out-- just send a message to me and I'll arrive here in a flash if anything. - Sun Oct 11 14:59:24 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Giv' bir'! - Sun Oct 11 15:00:16 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) thinks: Okay. I didn't understand that. - Sun Oct 11 15:00:16 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) thinks: .. Poor bird. - Sun Oct 11 15:01:07 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) whispers: In any case. I will also provide you with food. Delicious food at that. - Sun Oct 11 15:01:07 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Wha' is name? - Sun Oct 11 15:02:49 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Hasashi Jr. - Sun Oct 11 15:03:40 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: The child of the bird that blew up the mansion. - Sun Oct 11 15:03:40 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: . . . - Sun Oct 11 15:03:40 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: No. Mean name o' lady. - Sun Oct 11 15:03:40 2015
<br><br><font color=teal>*Maloth(Gtgoku88) thinks: Har' be mos' smart in village. . - Sun Oct 11 15:03:40 2015
