<br><font color=yellow>*Ai(Sennalove) wants to join him but ain't it a bitch, Ai can't fly.* - Tue Sep 01 21:59:53 2015
<br><br><font color=yellow>*Ai(Sennalove) was not into the fighting thing even if she heard the word bomb. The others were more capable to take create of such problem so she moves away from them, creating her distance while playing with a sheet of paper..Yes, she was playing with paper.* - Tue Sep 01 22:23:47 2015
<br><br><font color=yellow>*Ai(Sennalove) was still playing with her paper--She was almost finish making a paper bird!* - Tue Sep 01 22:35:44 2015
<br><br><font color=yellow>*Ai(Sennalove) rapes this nigga and give him them nightmares [OMIT]* - Tue Sep 01 23:28:38 2015
<br><br><font color=yellow>*Ai(Sennalove) shook her head no.* - Tue Sep 01 23:31:12 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: So...How much for a all nighter? [Omit] - Tue Sep 01 23:44:51 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: I'll pray, don't worry, show me the goods first though [Omit] - Tue Sep 01 23:45:42 2015
<br><br><font color=teal>*Ai(Sennalove) says: ...? - Wed Oct  7 04:14:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Who are these shinobi that I do not recognize. - Wed Oct  7 04:46:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Did they come with Baen? - Wed Oct  7 04:46:43 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: .... - Wed Oct  7 04:48:25 2015
<br><br><font color=teal>*Ai(Sennalove) says: ...? - Wed Oct  7 04:49:16 2015
<br><br><font color=teal>*Ai(Sennalove) says: Hm... - Wed Oct  7 04:50:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Nope. - Wed Oct  7 04:50:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I didn't see it. - Wed Oct  7 04:50:08 2015
<br><br><font color=yellow>*Ai(Sennalove) walks away--Time to go hunting.* - Wed Oct  7 04:50:59 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Tetsumi? - Wed Oct  7 04:50:59 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Huh? - Wed Oct  7 04:50:59 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: So you'll let innocents die for your ego? - Wed Oct  7 04:50:59 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ..... - Wed Oct  7 04:50:59 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'd see your wares. - Wed Oct  7 04:54:24 2015
<br><br><font color=teal>*Ai(Sennalove) says: ...? - Wed Oct  7 04:55:15 2015
<br><br><font color=teal>*Ai(Sennalove) says: I'm assuming the old man went to bed.. - Wed Oct  7 05:03:47 2015
<br><br><font color=teal>*Ai(Sennalove) thinks: I'll take with him later. - Wed Oct  7 05:15:44 2015
<br><br><font color=teal>*Ai(Sennalove) says: ...? - Wed Oct  7 22:40:12 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: No. - Wed Oct  7 22:40:12 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Jeez. - Wed Oct  7 22:41:04 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: I'm trying to be nice. - Wed Oct  7 22:41:04 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: It's more of a fling. - Wed Oct  7 22:48:44 2015
<br><br><font color=teal>*Ai(Sennalove) thinks: Feels like I'm missing something here. - Wed Oct  7 22:48:44 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Com'ooon. - Wed Oct  7 22:53:52 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: A quickie. - Wed Oct  7 22:53:52 2015
<br><br><font color=teal>*Ai(Sennalove) says: ................ - Wed Oct  7 22:53:52 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I'm -completely- unattracted to you. - Wed Oct  7 22:53:52 2015
<br><br><font color=teal>*Ai(Sennalove) says: .....Quick question...Why are you pursuiting her? - Wed Oct  7 22:55:34 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Because I want to get laid. - Wed Oct  7 22:57:16 2015
<br><br><font color=teal>*Ai(Sennalove) says: ...Use your hands. - Wed Oct  7 22:57:16 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: That's called masturbation. - Wed Oct  7 22:58:08 2015
<br><br><font color=teal>*Ai(Sennalove) says: Do so. - Wed Oct  7 22:58:59 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: It isn't as good! - Wed Oct  7 22:58:59 2015
<br><br><font color=yellow>*Ai(Sennalove) didn't want to get herself included in this mess however she believes this might end up into something rather violent so best if she stops it from the root, "I'm too old for this...", she mutters to herself, unzipping her bag, exposing an large amount of paper sheets snaps her fingers allowing them to suddenly rise out of the bag as it surrounds both her and the female beside of her, swirling yet acting like a thin wall, "Walk through it and it will bind you on stop....Trust me, paper isn't something you want to hold onto you.".* - Wed Oct  7 23:10:04 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: . . . . . - Wed Oct  7 23:10:04 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Threatening! - Wed Oct  7 23:10:04 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: I'll take my leave then. - Wed Oct  7 23:10:56 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: Thank you for your help. You have my gratitude. - Wed Oct  7 23:10:56 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: Mhm, no problem, next time, tell him no or say you have someone already. - Wed Oct  7 23:11:47 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: I told him no plenty of times. - Wed Oct  7 23:11:47 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: The hell is going on?.. - Wed Oct  7 23:12:38 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: ...Really? - Wed Oct  7 23:14:20 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: Yeah... - Wed Oct  7 23:14:20 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: If you ever need a favor let me know. I'm Hokuma, Mizora. - Wed Oct  7 23:14:20 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: When did he start his assault?--I'm Ai, nice to meet ya. - Wed Oct  7 23:15:12 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: Nice to meet you too. - Wed Oct  7 23:15:12 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: Genin as well? - Wed Oct  7 23:16:03 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: Mhm. - Wed Oct  7 23:16:03 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: Ah, hehe, at least I have company now. - Wed Oct  7 23:16:54 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: You mean you don't really know people around here? - Wed Oct  7 23:17:45 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Yo. - Wed Oct  7 23:17:45 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: Well..I know the older guys like Yan but apart from that, nope. - Wed Oct  7 23:18:36 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: I'm assuming everyone else died off.. - Wed Oct  7 23:18:36 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: Ohhh... - Wed Oct  7 23:18:36 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: I'm not sure what happened to most people. - Wed Oct  7 23:18:36 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Hi. - Wed Oct  7 23:18:36 2015
<br><br><font color=teal>*Ai(Sennalove) says: Hello. - Wed Oct  7 23:18:36 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: So what's ya strength? - Wed Oct  7 23:21:10 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: Taijutsu. - Wed Oct  7 23:21:10 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Where is Violet. - Wed Oct  7 23:22:01 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: Oh? I'm ..Hmmm...Paper specialist? Or what Suna normally call me, a paper Manipulator. - Wed Oct  7 23:22:52 2015
<br><br><font color=teal>*Ai(Sennalove) says: No idea who that is? - Wed Oct  7 23:22:52 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I'unno either. - Wed Oct  7 23:22:52 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: Manipulation of paper..? Interesting.. - Wed Oct  7 23:23:44 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: The orange haired girl with the swords. - Wed Oct  7 23:23:44 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: Mhm..It's quite lethal since I can use tags but..I'm kinda a Pacifist so... - Wed Oct  7 23:24:35 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Who...... - Wed Oct  7 23:24:35 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: Ah... - Wed Oct  7 23:27:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Don't worry about it. - Wed Oct  7 23:28:00 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: If you're ignorant, you're ignorant. - Wed Oct  7 23:28:00 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: Quick question...Who's leading the village now? - Wed Oct  7 23:31:24 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Good question. - Wed Oct  7 23:33:07 2015
<br><br><font color=teal>*Ai(Sennalove) says: Eh... - Wed Oct  7 23:33:07 2015
<br><br><font color=teal>*Ai(Sennalove) says: Is the village still under Kumo - Wed Oct  7 23:33:58 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: No. That's long gone. - Wed Oct  7 23:33:58 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: No. - Wed Oct  7 23:33:58 2015
<br><br><font color=teal>*Ai(Sennalove) says: I see...I might need to discard the headband then. - Wed Oct  7 23:34:49 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Heh. - Wed Oct  7 23:34:49 2015
<br><br><font color=yellow>*Ai(Sennalove) tilts her head back towards the only person she really knew here, "Oi, where is ya father and the others that are moderately hard to kill?". * - Wed Oct  7 23:37:23 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. That idiots somewhere around farming. - Wed Oct  7 23:38:14 2015
<br><br><font color=teal>*Ai(Sennalove) says: He retired? - Wed Oct  7 23:38:14 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Yes. - Wed Oct  7 23:38:14 2015
<br><br><font color=teal>*Ai(Sennalove) says: ...Bastard...He didn't finish my training. - Wed Oct  7 23:39:05 2015
<br><br><font color=yellow>*Ai(Sennalove) sighs, "I feel so alone now.."* - Wed Oct  7 23:41:39 2015
<br><br><font color=yellow>*Ai(Sennalove) allows the girl to-She doesn't bite after all.* - Wed Oct  7 23:45:04 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: It's fine. - Wed Oct  7 23:45:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Is Hassan about? - Wed Oct  7 23:46:46 2015
<br><br><font color=teal>*Ai(Sennalove) says: Uh..? How so? - Wed Oct  7 23:46:46 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Well... I could try being your friend, but that's if you want me to. - Wed Oct  7 23:47:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'll be your friend. :"> - Wed Oct  7 23:47:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: <omit> - Wed Oct  7 23:47:37 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Where is grandpa? - Wed Oct  7 23:47:37 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: That's a good question... - Wed Oct  7 23:47:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He'll come around eventually. - Wed Oct  7 23:48:28 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: I'm sooo bored. - Wed Oct  7 23:48:28 2015
<br><br><font color=teal>*Ai(Sennalove) says: Eh..Sure, you don't have to ask you know. - Wed Oct  7 23:48:28 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I really should get to learning more clan jutsu.. - Wed Oct  7 23:48:28 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Hey. - Wed Oct  7 23:49:20 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Want to arm wrestle? - Wed Oct  7 23:49:20 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: To burn time. - Wed Oct  7 23:49:20 2015
<br><br><font color=teal>*Ai(Sennalove) says: Yan, what rank are you now---Clan jutsu? - Wed Oct  7 23:49:20 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Uhuh. - Wed Oct  7 23:50:11 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Nah, I'm good.... - Wed Oct  7 23:55:18 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I want to go on another mission.. - Wed Oct  7 23:55:18 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Of all the things I'm capable of doing, physical strength isn't a strong point of mine. - Wed Oct  7 23:55:18 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I mean, for shits and giggles, I'd be down. - Wed Oct  7 23:55:18 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: But don't expect much. - Wed Oct  7 23:55:18 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: I did say it was just to burn time. - Wed Oct  7 23:55:18 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Nnnn.. - Wed Oct  7 23:55:18 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Screw it, then. - Wed Oct  7 23:56:09 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: To the bench. - Wed Oct  7 23:56:09 2015
<br><br><font color=teal>*Ai(Sennalove) thinks: Or just ignore me, that works too. - Wed Oct  7 23:57:00 2015
<br><br><font color=teal>*Ai(Sennalove) says: Eh..Need help with that Mizora? - Wed Oct  7 23:57:52 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Hum.... I don't know if you could.. - Wed Oct  7 23:58:43 2015
<br><br><font color=teal>*Ai(Sennalove) says: Eh...You have the scrolls or something? - Wed Oct  7 23:59:34 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: No, unfortunately. - Wed Oct  7 23:59:34 2015
<br><br><font color=teal>*Ai(Sennalove) says: ...I'm assuming ya have a clan leader? - Thu Oct  8 00:01:16 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I'm not sure. - Thu Oct  8 00:02:59 2015
<br><br><font color=teal>*Ai(Sennalove) says: Confusing me now. - Thu Oct  8 00:03:50 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: How exactly will ya learn them? - Thu Oct  8 00:06:24 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Heh...you're pretty strong too. - Thu Oct  8 00:08:57 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: Hm..? - Thu Oct  8 00:14:04 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: Hmm.. - Thu Oct  8 00:14:56 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: Good question. - Thu Oct  8 00:14:56 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: What clan are you from? - Thu Oct  8 00:14:56 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: A peddler has to learn to defend himself. - Thu Oct  8 00:16:38 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Otherwise, ninja or bandits might come stealing my wares. - Thu Oct  8 00:16:38 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Where did you recieve your shinobi training? - Thu Oct  8 00:17:29 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: Um.. the Hokuma. - Thu Oct  8 00:17:29 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: Mm..I see. - Thu Oct  8 00:20:03 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: Do you know exactly how ya clan jutsu works? - Thu Oct  8 00:20:54 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Konoha. - Thu Oct  8 00:21:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I see. Well, soon we will be adopting stricter traveler laws. - Thu Oct  8 00:22:36 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: Chakra based, aims for tenketsu. - Thu Oct  8 00:22:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I suggest you speak to Hassan about joining Suna formally so that you have a strong village to stay in. - Thu Oct  8 00:22:36 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Sure. - Thu Oct  8 00:23:28 2015
<br><br><font color=teal>*Ai(Sennalove) says: ... - Thu Oct  8 00:24:19 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Yan-san. - Thu Oct  8 00:25:10 2015
<br><br><font color=teal>*Reguel(Psychic_Warrior) says: Are you going? - Thu Oct  8 00:25:10 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I have a duty to my village. - Thu Oct  8 00:25:10 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: .....I knew not to let that boy in. - Thu Oct  8 00:26:01 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: And now I am suffering the consequences of a decision made from compassion. - Thu Oct  8 00:26:01 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I know where he may be...I suggest you all stay here where you are safe. - Thu Oct  8 00:26:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I've heard news of a murderer? - Thu Oct  8 00:26:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Suitengu, someone I allowed to enter the village... - Thu Oct  8 00:27:44 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Again... I like to point out I didn't know him! - Thu Oct  8 00:27:44 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Help me apprehend this motherfucker.. - Thu Oct  8 00:27:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: It is my fault, sir. - Thu Oct  8 00:27:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I am on it. - Thu Oct  8 00:27:44 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: Reminds me of someone--Eh, do you gain a few veins beside of ya eyes? - Thu Oct  8 00:28:35 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: I do. - Thu Oct  8 00:28:35 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: Yeah, I know about your clan then. - Thu Oct  8 00:30:17 2015
<br><br><font color=teal>*Jirun Lanzi(JoJoSpirals) says: Hmm...what to do now... - Thu Oct  8 00:31:08 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: I believe ya put the chakra to ya finger tips, that's all I can tell you about them though. - Thu Oct  8 00:37:07 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: I'm aware of how to use my clan's fighting style.. I just don't know any of the jutsu. - Thu Oct  8 00:37:58 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: Well, it's time to create a few for yourself, no? Unique fighting style and whatnot. - Thu Oct  8 00:38:49 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: Do you know how my clan's fighting style works? - Thu Oct  8 00:38:49 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: Only the basic..Well, what the girl told me. - Thu Oct  8 00:39:40 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: Mirai? Yeah. We fight with palm strikes...but I don't exactly abide by that rule. - Thu Oct  8 00:40:32 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: Why don't ya ask her for assistance with them though? - Thu Oct  8 00:40:32 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: She only possesses the fighting style. - Thu Oct  8 00:41:23 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: Oh, hmmm...Create your own then. - Thu Oct  8 00:42:14 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: At least I can help you with creation. - Thu Oct  8 00:43:05 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: I already have a plan on how I'll use my clan's fighting style to reinforce my own. - Thu Oct  8 00:44:48 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: I've been working on it. - Thu Oct  8 00:46:30 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: I meant Jutsu wise. - Thu Oct  8 00:50:46 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: So, first things first, do you have any range jutsu? - Thu Oct  8 00:54:11 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) whispers: No. - Thu Oct  8 00:55:02 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: That's the first thing we'll be working on then. - Thu Oct  8 00:55:53 2015
<br><br><font color=teal>*Ai(Sennalove) whispers: Since ya fighting style rotates around striking points using chakra and whatnot, why not create something that will strike their points from a distance..Like a chakra needle or something? - Thu Oct  8 00:57:36 2015
