<br><font color=teal>*Sanoke(Gamuhz2) says: Hng. .  - Wed Oct  7 05:50:43 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: (Your NIC is up. J/s.) - Wed Oct  7 05:54:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I should kill him, but instead, I'll let Hassan deal with him. - Wed Oct  7 18:57:29 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: That's a serious crime, ya'know. - Wed Oct  7 18:57:29 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: If it was behind like he said, how would he know? - Wed Oct  7 18:57:29 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Don't play games. - Wed Oct  7 18:58:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I've known Yan for some time now, one thing he doesn't do is lie. - Wed Oct  7 18:58:20 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Obviously he's mistaken then. - Wed Oct  7 18:59:12 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: If one man was disguised as me, why not two? - Wed Oct  7 18:59:12 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Wed Oct  7 18:59:12 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I'm more curious how the man was disguised as me... - Wed Oct  7 18:59:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Because he came from within the village.  - Wed Oct  7 18:59:12 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Several foreigners were here last night. - Wed Oct  7 18:59:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: That would be impossible given our guards. - Wed Oct  7 18:59:12 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: That Sui-whatever, the man with a giant fan, and several others. - Wed Oct  7 19:00:03 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Suitengu was gone before, and so was Kirie. We will find out if you are telling the truth when you are detained for questioning. - Wed Oct  7 19:00:03 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: So you lose a fight and need a patsy. - Wed Oct  7 19:00:54 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Gotcha. - Wed Oct  7 19:00:54 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If I am wrong, I'll offer apologies. But I can't have an assassin looking to kill me. - Wed Oct  7 19:00:54 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Walk around freely. - Wed Oct  7 19:00:54 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: And while I am wrongfully imprisoned, one will be doing just that. - Wed Oct  7 19:01:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ....We will see. - Wed Oct  7 19:01:45 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: .... - Wed Oct  7 19:01:45 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) shakes his head.* - Wed Oct  7 19:02:36 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Shinobi... - Wed Oct  7 19:02:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fujitora, you've been head of the police for a while. Do you have a method of getting information from ninja? - Wed Oct  7 19:06:01 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Mhmm...That was Edge's job. - Wed Oct  7 19:06:01 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Mhm..It requires one to be captured or willingly co-operate though.. - Wed Oct  7 19:06:52 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Of course I'm willing. - Wed Oct  7 19:06:52 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I assume this is a Fuuinjutsu? - Wed Oct  7 19:06:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: ........Am I wrong? - Wed Oct  7 19:06:52 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I will gladly work to clear my name. Especially if someone is masquerading as me. - Wed Oct  7 19:07:44 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Okay.. - Wed Oct  7 19:08:35 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Yes. - Wed Oct  7 19:14:33 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) The genjutsu was in effect. He had no ability to lie in these cirumstances. He locked eyes with Yan. "I did." he said simply. A blank expression was kept on his face. "They will rise...With or without me. I will not be forgotten." He thought to himself. * - Wed Oct  7 19:17:58 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ..... - Wed Oct  7 19:17:58 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: ... - Wed Oct  7 19:17:58 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) He was suddenly caught by a giant black hand, his gourd ripped from his back.* - Wed Oct  7 19:23:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I think we should let Hassan dish out his punishment. - Wed Oct  7 19:26:30 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm..Where to? - Wed Oct  7 19:29:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: The jail. - Wed Oct  7 19:31:37 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Might use him later on if I am allowed... Perfect..  - Wed Oct  7 19:33:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If he was guilty....why would he come back and try to get away with it? - Wed Oct  7 19:34:11 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I almost doubted myself. - Wed Oct  7 19:34:11 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Can I come along, Master? - Wed Oct  7 19:35:02 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: (if you check it, you'd note it has a -very- extreme durability. J/s) - Wed Oct  7 19:35:02 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (I won't destroy it lol) - Wed Oct  7 19:35:53 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: (Can you do 28+ damage? XD) - Wed Oct  7 19:35:53 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: (Well. *56) - Wed Oct  7 19:35:53 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: (Control and Nin in le 20's so i'd assime so?) - Wed Oct  7 19:35:53 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: (It has a durability of 28. So you'd have to be doing 28*2. xD) - Wed Oct  7 19:35:53 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm? For what reason? - Wed Oct  7 19:56:22 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: *shrug* Dunno. - Wed Oct  7 19:57:13 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: If you're concerned, maybe you could join her? - Wed Oct  7 19:57:13 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Not my concern anymore, my job's finished. - Wed Oct  7 19:57:13 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Who's ordes and who is at the gate? - Wed Oct  7 19:58:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Come, Zen.. - Wed Oct  7 19:58:04 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: The only one who would come here is Suitengu..  For me.. Hm.. - Wed Oct  7 19:58:04 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: We'll go, probably someone trying to get in. - Wed Oct  7 19:58:04 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Yes, Master.. - Wed Oct  7 19:58:04 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) a small amount of sand had been stowed away in his pocket. Using it, he formed a third eye and went through whatever hole in the prison door. * - Wed Oct  7 20:17:42 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) He frowned. "I suppose I'm a traitor for attempting to eliminate a traitor...?" He said. "I suppose Mr. Shukaku there is in league with him. But what do I, a genin know?" shakes his head again.* - Thu Oct  8 03:02:11 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ...... - Thu Oct  8 03:03:02 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Explain boy.. - Thu Oct  8 03:03:02 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Yan was making some sort of bargain with Baen under the pretense of a 'fight'. Hence why guards did not show up at the gate, I assume. When I sent my shuriken towards Yan, he fled. - Thu Oct  8 03:03:53 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: With Baen? - Thu Oct  8 03:06:27 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Yes. - Thu Oct  8 03:06:27 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: That is a lie. - Thu Oct  8 03:06:27 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Sure. - Thu Oct  8 03:06:27 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: All I know if when I arrived, Yan was discussing some sort of deal with Baen. He was not making a deal -with- Baen, from what I could tell. Some mention of an employer. - Thu Oct  8 03:09:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Thats everything? - Thu Oct  8 03:10:43 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: They made mention of Suitengu. - Thu Oct  8 03:10:43 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Suitengu doesn't breathe anymore. - Thu Oct  8 03:10:43 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Interesting how that works. - Thu Oct  8 03:10:43 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I also know a secret of Suitengu. One only one living person other than myself now knows. - Thu Oct  8 03:11:34 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I believe it may be what the deal was for. - Thu Oct  8 03:11:34 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Could be wrong, though. - Thu Oct  8 03:11:34 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Would you like to hear it? - Thu Oct  8 03:12:25 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: It involves my Sensei's sword. Samehada. - Thu Oct  8 03:13:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I don't know why you're asking. - Thu Oct  8 03:13:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Your life is on the line. - Thu Oct  8 03:13:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: and i'm about to cut that line. - Thu Oct  8 03:13:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And theres no safety net. - Thu Oct  8 03:13:16 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: If I tell you about the sword, will you allow me to live? - Thu Oct  8 03:14:08 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I know all about Samehada. - Thu Oct  8 03:14:08 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Not it's location., - Thu Oct  8 03:14:08 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I was the Head Councilman of Kirigakure for 25 years. - Thu Oct  8 03:14:08 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: It was sealed away. - Thu Oct  8 03:14:59 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I know where. - Thu Oct  8 03:14:59 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If it was on his body then it's gone. - Thu Oct  8 03:14:59 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: It was not. - Thu Oct  8 03:14:59 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Talking to you is iritating. - Thu Oct  8 03:14:59 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: At this rate i'm going to cut your head off. - Thu Oct  8 03:15:50 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I suggest you play these games with Jiki. - Thu Oct  8 03:15:50 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Maybe he will spare you. - Thu Oct  8 03:15:50 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Thu Oct  8 03:15:50 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Right. Leave me to the game I just exposed... - Thu Oct  8 03:15:50 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Maybe you should have showed some respect. - Thu Oct  8 03:16:41 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Bit your toungue. - Thu Oct  8 03:16:41 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: But obviously you dont care about your life. - Thu Oct  8 03:16:41 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I see you're the kind of man who doesn't care about his own village,. - Thu Oct  8 03:16:41 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) died in a blaze of glory.* - Thu Oct  8 03:30:20 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: (Basically. Third Eye + SAnd Clone.) - Thu Oct  8 03:38:01 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: (Henge your gourd.) - Thu Oct  8 03:38:01 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: (Put all the sand into clone.) - Thu Oct  8 03:38:01 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: (OP as shit. XD) - Thu Oct  8 03:38:01 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Then I support your descsion. - Thu Oct  8 03:44:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Get some rest soldier. - Thu Oct  8 03:44:51 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Ur fkin dun kid - Fri Oct  9 16:20:28 2015
<br><br><font color=yellow>*Azure(LordxPatrick) Notices the strange man staring at a fourteen year old kid. "Hello..." He said casually.* - Fri Oct  9 16:26:27 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Who are you? - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Who are you? - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Sherlock. - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: They call me Holmes. - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hideki. - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: I'm Azure. - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Nice to meet you, Azure. - Fri Oct  9 16:27:18 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Pleasure is mine, Mr. Hideki. - Fri Oct  9 16:28:09 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Any news on your villages progression? - Fri Oct  9 16:28:09 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Uh... - Fri Oct  9 16:28:09 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Well...You see. When a village gets fucking rekt...Takes some time. You know? - Fri Oct  9 16:28:09 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: We haven't made much progress.... - Fri Oct  9 16:28:09 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I se- - Fri Oct  9 16:29:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No one stepped up to be the new Kage? - Fri Oct  9 16:29:52 2015
<br><br><font color=yellow>*Azure(LordxPatrick) shrugs* - Fri Oct  9 16:29:52 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: I don't even pretend we have a hierarchy anymore. - Fri Oct  9 16:29:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm... - Fri Oct  9 16:29:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Has anyone by the name of Edge been here before? - Fri Oct  9 16:30:43 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Edge... - Fri Oct  9 16:30:43 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Nope. Never heard of him. - Fri Oct  9 16:30:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see. - Fri Oct  9 16:31:34 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Well... - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Hideki(Assassin241) says: We'll be on our way then. - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Thanks. - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Yo. - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm? - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Where you going? - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Nozumi(Dragonfile) says: u dead nigga. - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Back ho- - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Nozumi(Dragonfile) says: Thats what. - Fri Oct  9 16:32:25 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Well, we're going to be heading back home. - Fri Oct  9 16:33:16 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Where's home? - Fri Oct  9 16:33:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: That's classified. - Fri Oct  9 16:34:08 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Sounds fun. - Fri Oct  9 16:34:08 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: We leaving now? - Fri Oct  9 16:34:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Fri Oct  9 16:34:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: We? - Fri Oct  9 16:34:08 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: We is a term used to describe a group... - Fri Oct  9 16:34:08 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: So yeah. We. - Fri Oct  9 16:34:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yes, I know. But I don't remember.. - Fri Oct  9 16:34:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Adding you to our group. - Fri Oct  9 16:34:08 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: You didn't. I did. - Fri Oct  9 16:34:59 2015
<br><br><font color=teal>*Hideki(Assassin241) says: That's to bad. - Fri Oct  9 16:34:59 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: I got snacks?~ - Fri Oct  9 16:34:59 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You got to prove to me that your fit for our group however. - Fri Oct  9 16:34:59 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: Oh? - Fri Oct  9 16:34:59 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Well.. - Fri Oct  9 16:35:50 2015
<br><br><font color=teal>*Hideki(Assassin241) says: We'll be on our way. - Fri Oct  9 16:35:50 2015
<br><br><font color=teal>*Nozumi(Dragonfile) says: Better pnk. - Fri Oct  9 16:36:41 2015
<br><br><font color=teal>*Azure(LordxPatrick) says: I'll make you a deal, eh? - Fri Oct  9 16:36:41 2015
<br><br><font color=yellow>*Azure(LordxPatrick) He would see the fireball the man, seeing as the man was an extremely skilled ninja. He would jump in front of it, simply letting it collide with his body. No harm would be done, as Alastor emerged from the flames. "YO! THAT GOOD ENOUGH!?" he yelled as the fleeing man.* - Fri Oct  9 16:40:57 2015
<br><br><font color=yellow>*Azure(LordxPatrick) shrugs* - Fri Oct  9 16:41:48 2015
<br><br><font color=yellow>*Azure(LordxPatrick) stands gate-guarding.* - Fri Oct  9 16:46:04 2015
<br><br><font color=yellow>*Azure(LordxPatrick) Azure was ready. His year-long training excursion was about to begin. He cracked his neck to either side as he quietly began his approach. He was surrounded on all sides by a large swath of trees and such greenery. It was a natural, untouched landscape. Well, all that was about to change. “LET’S GO!” He shouted to the sky as he clapped his hands. He walked to nearest tree, taking the stance he had studied for so many years. He slid his right leg back as he shifted his body so his left shoulder was slightly bent inward. His left arm came to a thirty-degree angle while his right arm bent to the same degree in the opposite direction naturally. He paused for a second, gathering his breath. “ARGH!” he shouted, as he loosed a single, hard kick towards the 
