<br><font color=teal>*Alastor(LordxPatrick) says: Let's go, Trill. - Mon Oct  5 01:10:49 2015
The rocks and various debris would be shooting towards Alastor still though. He would quietly make a thin shield rise up from the ground in front of him and crouch behind it. Unless there was something of significant force, Alastor shoudl be safe...Seeing as how this was mostly small rocks and debris being shot forward.* - Mon Oct  5 01:59:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uh. . . - Mon Oct  5 02:00:19 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Are those two seriously fighting? - Mon Oct  5 02:00:19 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: I'm so bored. - Mon Oct  5 02:01:10 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: It is a spar! They wish to empower themselves off of one another. - Mon Oct  5 02:01:10 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: Would you like to spar me, green man? - Mon Oct  5 02:01:10 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Such a fight between them... so youthful! - Mon Oct  5 02:01:10 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I got hit by four fireballs at once in a spar before. - Mon Oct  5 02:01:10 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: Let's have a friendly spar. - Mon Oct  5 02:02:01 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: I'll let you have the first twenty moves.  - Mon Oct  5 02:02:01 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I'm afraid not! I must refine my physical capabilities, reaction timing and overall momentum! - Mon Oct  5 02:02:01 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: I can help you with physical capabilities. - Mon Oct  5 02:02:01 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I can tell by your build that my strength alone would not suffice! - Mon Oct  5 02:02:01 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: Com'on. You aren't scared or something are you? - Mon Oct  5 02:02:52 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: Wrong! I wish not to break my bones, kind sir. They don't come back twice as stronger despite what anyone says! - Mon Oct  5 02:02:52 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I don't want too. - Mon Oct  5 02:02:52 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: ...... - Mon Oct  5 02:03:44 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: I won't break your bones. - Mon Oct  5 02:03:44 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: Here's my promise. - Mon Oct  5 02:03:44 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: I won't return a punch. - Mon Oct  5 02:03:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Err-- I'm guessing that's at this Youthful Beast. - Mon Oct  5 02:04:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: But seriously, what up with the wardrobe change? - Mon Oct  5 02:04:35 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You don't think I look pretty Sanoke? - Mon Oct  5 02:05:26 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: . . . . Alright. - Mon Oct  5 02:05:26 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: mirai-chan looks like someone who praises allah -omit- - Mon Oct  5 02:06:17 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: Mira mlooks like she finna drop the hottest mixtape of 2015 - Mon Oct  5 02:06:17 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) thinks: I'm so tired. - Mon Oct  5 02:09:42 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) thinks: Of these ninja. - Mon Oct  5 02:09:42 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) thinks: None of them are actually even from Sunagakure. - Mon Oct  5 02:09:42 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Thank you . - Mon Oct  5 02:09:42 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: I wanna spar now. - Mon Oct  5 02:09:42 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: Would anyone... - Mon Oct  5 02:10:33 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: Like to spar against me? - Mon Oct  5 02:10:33 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: Such a youthful couple. It is a shame that they seem to have split up right before my eyes. - Mon Oct  5 02:10:33 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: Their youth nearly matches Lord Hassan's when combined! - Mon Oct  5 02:11:24 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: I wish not to intrude upon you two, whether you were a couple moments before or not! - Mon Oct  5 02:14:49 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Nope. - Mon Oct  5 02:15:40 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: I'm weaker than weak. - Mon Oct  5 02:15:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Sanoke. - Mon Oct  5 02:17:23 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Lets go on a mission. - Mon Oct  5 02:17:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: So was there anyone who desired to give me scrolls for money? - Mon Oct  5 02:19:56 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ohh me. - Mon Oct  5 02:20:48 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I was actualy looking for you. - Mon Oct  5 02:20:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: What's up? - Mon Oct  5 02:21:39 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I have 2 for you. - Mon Oct  5 02:21:39 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Ah? - Mon Oct  5 02:21:39 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Sounds good. - Mon Oct  5 02:21:39 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: One c rank and on D rank I have more but i need to read over them first. - Mon Oct  5 02:21:39 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll take them then. - Mon Oct  5 02:22:30 2015
<br><br><font color=teal>*Makaveli, Ichiro(DagonWarhead) says: I don't care.  - Mon Oct  5 02:31:02 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Then leave. - Mon Oct  5 02:31:02 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Ahhh. . Don't be like that. - Mon Oct  5 04:09:10 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: (Look at our squad tab.) - Mon Oct  5 04:10:01 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: So I can tell him how much I hate him? - Mon Oct  5 04:13:26 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Okay. - Mon Oct  5 04:13:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Noo. - Mon Oct  5 04:14:17 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: Such a youthful couple. - Mon Oct  5 04:14:17 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Hey uh... - Mon Oct  5 04:16:00 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Izanami, right? - Mon Oct  5 04:16:00 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Yeah? - Mon Oct  5 04:16:00 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: You're short... - Mon Oct  5 04:16:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'm six.. - Mon Oct  5 04:16:51 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: ..... - Mon Oct  5 04:16:51 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: And I'm not a pedophile. - Mon Oct  5 04:16:51 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Fuck. - Mon Oct  5 04:16:51 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) walks off.* - Mon Oct  5 04:16:51 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: Such a youthful pedophile. - Mon Oct  5 04:16:51 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .... - Mon Oct  5 04:16:51 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I was joking... - Mon Oct  5 04:17:42 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Mmkay. - Mon Oct  5 04:18:33 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Where's uh...Taiga? - Mon Oct  5 04:18:33 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Dunno - Mon Oct  5 04:20:16 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Right... - Mon Oct  5 04:20:16 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: He should be around... - Mon Oct  5 04:20:16 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: So... - Mon Oct  5 04:24:32 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Anyone want to train some...? - Mon Oct  5 04:24:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Sure. - Mon Oct  5 04:24:32 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Spar or other? - Mon Oct  5 04:24:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Spar. - Mon Oct  5 04:24:32 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Can I show you my summoning first...? - Mon Oct  5 04:24:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Sure? - Mon Oct  5 04:25:23 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) He would quietly bite his thumb, concentrating. "Kuchiyose!" he shouted, as he slammed his blood thumb to the ground. As he raised his hand, a small...Eyeball?...Would be floating now above the ground looking towards Alastor.* - Mon Oct  5 04:26:14 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: ...Who else can...? - Mon Oct  5 04:27:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: My older brother. - Mon Oct  5 04:27:56 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: ... - Mon Oct  5 04:27:56 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Oh. - Mon Oct  5 04:27:56 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: What's his name? - Mon Oct  5 04:28:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Tetsumi - Mon Oct  5 04:29:39 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: ... - Mon Oct  5 04:29:39 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: He's your brother, eh? - Mon Oct  5 04:29:39 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uhh, yeah. - Mon Oct  5 04:29:39 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Where's he at now-a-days? - Mon Oct  5 04:30:30 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I have no idea to be honest! - Mon Oct  5 04:30:30 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I havent seen him in awhile! - Mon Oct  5 04:30:30 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) frowns* - Mon Oct  5 04:30:30 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Something wrong? - Mon Oct  5 04:31:21 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: No... - Mon Oct  5 04:32:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: You sure? - Mon Oct  5 04:32:12 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Yeah... - Mon Oct  5 04:33:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Ooohkay. - Mon Oct  5 04:34:46 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: So do you still want to spar? - Mon Oct  5 04:37:20 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Sure! - Mon Oct  5 04:37:20 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) eye dissapears.* - Mon Oct  5 04:37:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Mkay, your go! - Mon Oct  5 04:37:20 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Uh... - Mon Oct  5 04:38:11 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: You sure...? - Mon Oct  5 04:38:11 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Yeah. - Mon Oct  5 04:38:11 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) He quietly clapped his hands, sighing. "Leggo." He said, as ten sand shuriken would shoot from over Alastor's right shoulder and aim to lodge themselves quickly into Izanami's un-developed chest.* - Mon Oct  5 04:40:44 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) He watched as the flame technique he had observed earlier was once again used. "I wonder..." He muttered, as suddenly he got a distracted look on his face. He was too distracted by whatever it was to block. He tried to move his sand as he snapped back to it, but it was too slow. He got hit and knocked back...Burns covered his right arm as he had thrown it up in order to block the brunt. "Fuckkkk..." He muttered on the ground.* - Mon Oct  5 04:47:34 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) He slowly raised himself with his left arm. "Did you not see that...?" he asked...The look on his face seemed to be questioning what the fuck just happened.* - Mon Oct  5 04:50:59 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) "What the hell was that...?" He said, now a very concerned look on  his face. "It zipped by...By it's fucking eyes..." he muttered.* - Mon Oct  5 04:53:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Exploding flame shot? - Mon Oct  5 04:53:32 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: No... - Mon Oct  5 04:54:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: What do you mean? - Mon Oct  5 04:54:24 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: It had...Blood-red eyes... - Mon Oct  5 04:55:15 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: You didn't see that? - Mon Oct  5 04:55:15 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: No... - Mon Oct  5 04:56:06 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Where was it? - Mon Oct  5 04:56:06 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: It sped through...Between the fireball... - Mon Oct  5 04:56:06 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I think you're seeing things. - Mon Oct  5 04:56:57 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: ... - Mon Oct  5 04:56:57 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I don't know... - Mon Oct  5 04:56:57 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm. - Mon Oct  5 04:57:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: That's a little scary. - Mon Oct  5 04:57:48 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Are you feeling okay? - Mon Oct  5 04:57:48 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Yeah... - Mon Oct  5 04:58:40 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Arm hurts.. - Mon Oct  5 04:58:40 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: But yeah... - Mon Oct  5 04:58:40 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Sorry.. - Mon Oct  5 04:58:40 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: No. Don't be., - Mon Oct  5 04:58:40 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: It was a spar! Aha. - Mon Oct  5 04:58:40 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Still didn't see what you're talking about though.~ - Mon Oct  5 04:59:31 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: ... - Mon Oct  5 04:59:31 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Damn... - Mon Oct  5 04:59:31 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) thinks: He's definately seeing things, I didnt see anything or anyone... - Mon Oct  5 05:01:13 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) shudders.* - Mon Oct  5 05:01:13 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: The fuck was that... - Mon Oct  5 05:01:13 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Uhm..maybe you should get a drink of water. - Mon Oct  5 05:01:13 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Eh. - Mon Oct  5 05:02:04 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I'm going to make a new gourd real fast.... - Mon Oct  5 05:02:56 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) He concentrated on the ground. Focusing his magnetic chakra, he would find the hardest and most dense minerals in the surrounding earth. It took some time, but after about twenty minutes of doing so and constant strain, Alastor would have a fully-formed gourd made of the hardest minerals avaliable on Earth.* - Mon Oct  5 05:04:38 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Sorry... - Mon Oct  5 05:05:29 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I'll be honest. I'm a little freaked out right now... - Mon Oct  5 05:05:29 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: It's fine. - Mon Oct  5 05:05:29 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I really want to know what you saw. - Mon Oct  5 05:06:20 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: As do I.... - Mon Oct  5 05:06:20 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'll uh. - Mon Oct  5 05:13:10 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Just keep training by myself I guess! - Mon Oct  5 05:13:10 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Sorry... - Mon Oct  5 05:14:01 2015
<br><br><font color=teal>*Alastor(LordxPatrick) thinks: The fuck was it...?! - Mon Oct  5 05:14:01 2015
<br><br><font color=yellow>*Alastor(LordxPatrick) Felt the healing chakra enter his body. "Thanks..." he replied....* - Mon Oct  5 05:23:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: There you go.~ - Mon Oct  5 05:24:16 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: ... - Mon Oct  5 05:24:16 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Yeah... - Mon Oct  5 05:24:16 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: .... - Mon Oct  5 05:25:58 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Are you sure you're okay? - Mon Oct  5 05:25:58 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Yeah... - Mon Oct  5 05:26:49 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Alrighhht. - Mon Oct  5 05:26:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: )Hassan) - Mon Oct  5 05:37:04 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: I like your shell. - Mon Oct  5 05:37:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: (Imma get an EC to put Mirai in danger. Ofc I wont be in legit danger, m'kay? - Mon Oct  5 05:37:04 2015
<br><br><font color=teal>*Alastor(LordxPatrick) whispers: (-GASP-!) - Mon Oct  5 05:37:04 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I do have some new things I want to try out. - Tue Oct  6 02:58:46 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Heh? Durable?... - Tue Oct  6 03:00:28 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Hehe. - Tue Oct  6 03:00:28 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: All right, you two work as a team against me. - Tue Oct  6 03:01:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Huh? - Tue Oct  6 03:01:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Tetsumi is back? - Tue Oct  6 03:01:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Seems fair enough. - Tue Oct  6 03:01:20 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Oh hey gramps. - Tue Oct  6 03:01:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Put him in a lock. - Tue Oct  6 03:01:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I want my free punches. - Tue Oct  6 03:01:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Yes, you sleep to much as always gramps. W-WAHH? - Tue Oct  6 03:01:20 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Me and 'who', against you? - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: That's why I had you transported hee. - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Wait did you just say gramps... - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I knew there had to be a trick...*sigh* - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yep.... - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Really has anyone herd of birthcontrol in this family, - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: Hm. In public though? Is this really a good idea for me? - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Mission complete. - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Let's dance shall we? - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Good work Yan. - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: As always you never fail. - Tue Oct  6 03:02:11 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: What Grmaps i found him. - Tue Oct  6 03:03:02 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: .... - Tue Oct  6 03:03:02 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'd be surprised if you can beat him. - Tue Oct  6 03:03:02 2015
