<br><font color=teal>*Engi, Ichiro(Master Roku) says: And miss out on funds. - Wed Dec  2 00:11:05 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm. - Wed Dec  2 00:19:37 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Just a warnin- I might be a bit rusty... and stuff. I've mostly been /walking/ the entire time I've been gone. - Wed Dec  2 00:20:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I missed it exams tooo dont feel bad guys - Wed Dec  2 00:20:28 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Guys. - Wed Dec  2 00:20:28 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Do we still own Kumogakure? - Wed Dec  2 00:20:28 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I was thinking about visiting. - Wed Dec  2 00:20:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Of course we do. - Wed Dec  2 00:20:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ... - Wed Dec  2 00:20:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Its like our farm or something. - Wed Dec  2 00:20:28 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: I only met one Kumogakure shinobi. They probably whack. - Wed Dec  2 00:20:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: If I remeber right. - Wed Dec  2 00:21:20 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Farm...They're farmer shinobi's. - Wed Dec  2 00:21:20 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Bwahahaha. - Wed Dec  2 00:21:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I guess I'll go on a walk. - Wed Dec  2 00:21:20 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Farm Style: Corn husk! - Wed Dec  2 00:21:20 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm. - Wed Dec  2 00:25:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: Wasn't sure if yo uwanted me to say this out loud soooo did I sucessfully learn Leaf Great Whirlwind?) - Wed Dec  2 00:57:10 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: I can't remember) - Wed Dec  2 00:57:10 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hi Sensei. - Wed Dec  2 01:00:35 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) whispers: not yet...but im starting to see your wind lol] - Wed Dec  2 01:01:26 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: NIcccceeee) - Wed Dec  2 01:01:26 2015
<br><br><font color=yellow>***Concealed Figure**(TheSecretary) would give hideo a nervous smile beforesaying the words. 

"u-umm...are you r-ready to...u-uhh..s-start your t-training?"* - Wed Dec  2 01:02:17 2015
<br><br><font color=yellow>***Concealed Figure**(TheSecretary) would think for a moment before nodding. Both her hands raised before clapping together once. A soft breath of air left her lips as she nodded once. It was then she heard the calls of her other student momura as she heard them speak. Her almost dulled calm emerald eyes blinked once as her smile slowly faded away...she said not to use it for a reason...but non the less...they still used it... Atleast the asked for her consent firs before using it. " u-umm...o-only this o-once.....but if y-you use it a-again....you know...w-what will h-happen..." After saying these words in a rather serious tone as her gaze went back onto hideo and small smile was given.

"mm.....h-how about you p-practive your k-kicks on m-me?"

She would say awaiting a response as her hands drifted downwards to her sides. After hearing their response, she would nod before making her way southwards and a bit eastwards hoping her student was following behind them. Upon reaching her spot, they turned around to face Hideo...whom was a bit away from them...and awaited for them to get ready to attack her.

"u-umm...you m-make the f-first m-move.."* - Wed Dec  2 01:19:21 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) whispers: I got nerfed QQ so my as is only like 16 now) - Wed Dec  2 01:26:11 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) whispers: aww qq] - Wed Dec  2 01:35:34 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Heh. Fair enough. - Wed Dec  2 01:42:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Ask away. - Wed Dec  2 01:56:54 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I wish to learn the sword. I've become captivated by its grace. I also wish to learn for its meditative uses. - Wed Dec  2 01:58:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: I see. - Wed Dec  2 01:58:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: And you want me to teach you, huh? - Wed Dec  2 01:58:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Got a sword to use? - Wed Dec  2 01:58:36 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I've a bokken. - Wed Dec  2 01:59:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: S'pose that works for basics, but you'll want something that has some real weight to it, later on... - Wed Dec  2 02:00:19 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Hrm.. - Wed Dec  2 02:00:19 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: I'll keep that in mind. - Wed Dec  2 02:02:01 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: That is to say... a bokken is good for some things, but... Heh. - Wed Dec  2 02:03:44 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Can we start now? - Wed Dec  2 02:05:26 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: If you're alright with it. - Wed Dec  2 02:05:26 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Sure. Got a training spot in mind? - Wed Dec  2 02:06:17 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm. - Wed Dec  2 02:07:08 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Just a bit north. Towards the walls. - Wed Dec  2 02:07:08 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmm. - Wed Dec  2 02:07:08 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Man I need to find some more teachers. - Wed Dec  2 02:07:08 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hiro you seen anyone with way coolor earth jutsu  than us. - Wed Dec  2 02:08:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Nope. - Wed Dec  2 02:08:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You know more than I do buddy. - Wed Dec  2 02:08:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothSage) says: Sure then- lead the way. - Wed Dec  2 02:08:00 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: This is going to be a pain. - Wed Dec  2 02:08:51 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What is Trill? - Wed Dec  2 02:09:42 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Finding new teachers. - Wed Dec  2 02:09:42 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Oh, might be. - Wed Dec  2 02:09:42 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmmm. - Wed Dec  2 02:10:33 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You will find one man. - Wed Dec  2 02:11:24 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Just keep your head up. - Wed Dec  2 02:11:24 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Every time i get close to traking one down they die. - Wed Dec  2 02:12:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Damn. . .  - Wed Dec  2 02:12:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: That sucks man. - Wed Dec  2 02:12:16 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What have you been doing lately Kyu? - Wed Dec  2 02:13:07 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I don't think I have spoken too you a lot in the last few days. - Wed Dec  2 02:13:07 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm. - Wed Dec  2 02:22:30 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What is it now Trill? - Wed Dec  2 02:25:55 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I'm bored. - Wed Dec  2 02:28:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Out of my mind... - Wed Dec  2 02:28:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Like... - Wed Dec  2 02:28:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I wanna learn something new. - Wed Dec  2 02:28:28 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I got a thrist of knowlesge. - Wed Dec  2 02:28:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I wish I could help you Trill. - Wed Dec  2 02:31:02 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I wish I could help you out Trill. - Wed Dec  2 02:35:18 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: But ninjutsu isn't my thing. - Wed Dec  2 02:35:18 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ... - Wed Dec  2 02:50:40 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ..? - Wed Dec  2 02:51:31 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: got a thirst for deez nuts - Wed Dec  2 02:53:13 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Wed Dec  2 02:53:13 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What about you? - Wed Dec  2 02:53:13 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Who are you looking for? - Wed Dec  2 02:54:04 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Depends, who are you looking for? - Wed Dec  2 02:54:04 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: hmm. - Wed Dec  2 02:54:56 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'm looking for the Old Man. Where he's living at now. - Wed Dec  2 02:54:56 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: The old man? - Wed Dec  2 02:54:56 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Old man, Hassan? - Wed Dec  2 02:54:56 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Hassan? - Wed Dec  2 02:54:56 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I am Hassan. - Wed Dec  2 02:54:56 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Yeah. - Wed Dec  2 02:54:56 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: No you're not kid. - Wed Dec  2 02:55:47 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: He died. - Wed Dec  2 02:55:47 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Lord Muhammed is gone. - Wed Dec  2 02:55:47 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I get he retired. - Wed Dec  2 02:55:47 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Dude I am Hassan. - Wed Dec  2 02:55:47 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'm asking where is he living now? Sanoke told me the Old Man retired and left. - Wed Dec  2 02:56:38 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: We just told you. He's dead. - Wed Dec  2 02:56:38 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: My name is Trillaim Q Hassan. - Wed Dec  2 02:56:38 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Edge. - Wed Dec  2 02:58:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Edge? Really? - Wed Dec  2 02:58:20 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: He didn't die to Edge. He left and died shortly after his leave. - Wed Dec  2 02:58:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Wow, that's a shock. - Wed Dec  2 02:58:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Ah. - Wed Dec  2 02:58:20 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Also, don't be rude to people that are from the same nation you want information from. - Wed Dec  2 02:58:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Tell it to him. As far as I know, budding into other people's business is also rude. - Wed Dec  2 03:00:03 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: No. I'm telling it to -you- and -you- only. - Wed Dec  2 03:00:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm. - Wed Dec  2 03:00:54 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: So this is how the village the Old Man brought back from the dead is.  Meh. - Wed Dec  2 03:00:54 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'll just make this short and sweet. - Wed Dec  2 03:00:54 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: There's two other people I'm looking for. One I just have a name. The other, is an old friend of mine. - Wed Dec  2 03:01:45 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'll start with the friend. Kyushibu. Seen him around lately? - Wed Dec  2 03:01:45 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Dead. - Wed Dec  2 03:01:45 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: -omit- - Wed Dec  2 03:02:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: We've already told you. - Wed Dec  2 03:02:36 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: We don't know where that person is. - Wed Dec  2 03:02:36 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) thinks: Realiam////Make Galagus eat him now fool rip his fucking intesnt out and make a chain from it boy. - Wed Dec  2 03:03:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I figured he might of turned up around here. - Wed Dec  2 03:03:28 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: He is. - Wed Dec  2 03:04:19 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) thinks: I will tell you again Realiam shut the hell up. - Wed Dec  2 03:04:19 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What about a red head? Short hair, alright body, looked like a strawberry with all the red she wore. - Wed Dec  2 03:05:10 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Wed Dec  2 03:05:10 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: ...Red head? Momu? - Wed Dec  2 03:06:01 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: What does her physique have to do with this? - Wed Dec  2 03:06:01 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Everything. - Wed Dec  2 03:06:01 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Wed Dec  2 03:06:01 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'm looking for her. I'll call her Strawberry-Chan. - Wed Dec  2 03:06:52 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: For what reason? - Wed Dec  2 03:06:52 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: She caught my attention. She made my eyes sparkle. - Wed Dec  2 03:07:44 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: She should be sleeping. - Wed Dec  2 03:07:44 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: -- - Wed Dec  2 03:07:44 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Find her on your own if you're into her. - Wed Dec  2 03:07:44 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Snippy huh? - Wed Dec  2 03:07:44 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: She has a fiance already. - Wed Dec  2 03:07:44 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: That as well. - Wed Dec  2 03:07:44 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Who said anything about marrage or courting? - Wed Dec  2 03:08:35 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: She just did something cool that I want to see. - Wed Dec  2 03:09:26 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: I don't know where she is. - Wed Dec  2 03:09:26 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Damn it. Why aren't they heading to the gate? Ugh, I should have done this before taking that nap.  Unless...Oh fuck it.  - Wed Dec  2 03:10:17 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Wed Dec  2 03:10:17 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Hey Sanoke how you doing? - Wed Dec  2 03:16:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .. - Wed Dec  2 03:17:07 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Well...those three showed up... and Mitsunara's back... but thats it. - Wed Dec  2 03:17:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh! Stop Mitsura like moved away. - Wed Dec  2 03:18:49 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: She was here just awhile ago, she sparred with Momura. - Wed Dec  2 03:18:49 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Just visiting. - Wed Dec  2 03:19:40 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Again. - Wed Dec  2 03:19:40 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Oh, they didn't come when hearing about the maid cafe. I was hoping thats why they were around. - Wed Dec  2 03:19:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Doubt it. It ain't evne opened yet. - Wed Dec  2 03:20:32 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Maid cafe...? - Wed Dec  2 03:20:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. - Wed Dec  2 03:21:23 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: A maid cafe? - Wed Dec  2 03:21:23 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Hm... - Wed Dec  2 03:21:23 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: ...Mm. - Wed Dec  2 03:22:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Chikyu had the bright idea -- Yeah. What she said. - Wed Dec  2 03:22:14 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I've got someone to suggest. It'll be fun! - Wed Dec  2 03:22:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: . . . - Wed Dec  2 03:22:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uh. You okay, man? - Wed Dec  2 03:22:14 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) thinks: faggot - Wed Dec  2 03:22:14 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) thinks: -omit- - Wed Dec  2 03:22:14 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Huh? Yeah. Just got a bit too happy about the idea of a maid cafe. - Wed Dec  2 03:23:05 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Whoever thought of such an idea, good job. - Wed Dec  2 03:23:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh cool. You're right, Chikyu. This might bring in a lot of business. - Wed Dec  2 03:23:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Why is he standing in front of me.... - Wed Dec  2 03:23:56 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Oh right, I should ask about her before I forget. - Wed Dec  2 03:24:48 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: What guy doesn't like maids! - Wed Dec  2 03:24:48 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I don't know. Someone who doesn't enjoy the finer things in life, that's who. - Wed Dec  2 03:24:48 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Speaking of maids, Sanoke, have you heard of the name Makoto? - Wed Dec  2 03:25:39 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: This guy is alright with me, Sanoke. - Wed Dec  2 03:25:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Doesn't ring any bells, no. - Wed Dec  2 03:26:30 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Think anyone else might have heard the name? - Wed Dec  2 03:26:30 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Makoto? I haven't seen her forever. - Wed Dec  2 03:27:21 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I'm working on a cool move hopefully I'll be able to show ya soon! - Wed Dec  2 03:28:12 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What else? - Wed Dec  2 03:32:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: He sounds sort of freaking crazy asking like that. - Wed Dec  2 03:33:20 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) thinks: For once my paranoia seems to be beneficial. This guy's creepy. - Wed Dec  2 03:34:11 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: Too much...They'll lock up. - Wed Dec  2 03:34:11 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: He questioned me too, don't sweat it... he's just a little off his rocker over the whole ordeal. - Wed Dec  2 03:35:02 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Righ' . . Well be careful, man. Came off as hostile. - Wed Dec  2 03:35:02 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Not the intention. - Wed Dec  2 03:35:53 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What else do you know about her? - Wed Dec  2 03:37:36 2015
<br><br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: Why should I tell you information if you're too secretive to tell me -why- you want the information? - Wed Dec  2 03:37:36 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: Clearly he needs to clean his ears out... - Wed Dec  2 03:38:27 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I just told you. I'm doing this for someone important. - Wed Dec  2 03:40:09 2015
