<br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Sat Oct 31 02:01:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ichiro-kun, I did like the bloodlust you were emitting. - Sat Oct 31 02:02:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Were you actually trying to kill me? - Sat Oct 31 02:02:52 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Possibly. - Sat Oct 31 02:06:17 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Ooo yay. - Sat Oct 31 02:06:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm. - Sat Oct 31 02:09:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Good..good.. - Sat Oct 31 02:09:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I might be able to get off to that.. - Sat Oct 31 02:10:33 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ..... - Sat Oct 31 02:11:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Sat Oct 31 02:16:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What do you mean..? - Sat Oct 31 02:16:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's like I said it.. - Sat Oct 31 02:16:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There's a time for being a priest, and then there's a time for pleasure. - Sat Oct 31 02:16:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Sat Oct 31 02:21:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're judging me.. - Sat Oct 31 02:21:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Such a shame.. - Sat Oct 31 02:22:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I expect that from the Old Hag.. - Sat Oct 31 02:22:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sun Nov  1 00:38:49 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Greetings.~ - Sun Nov  1 00:53:20 2015
<br><br><font color=teal>*Sin(ZenoKuthric) says: Need any more? - Sun Nov  1 00:53:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm..I'll have to see what these men can do for the time being. - Sun Nov  1 00:53:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Do give the Lich King my thanks. - Sun Nov  1 00:53:20 2015
<br><br><font color=teal>*Sin(ZenoKuthric) says: Okay Niger. - Sun Nov  1 00:53:20 2015
<br><br><font color=teal>*Sin(ZenoKuthric) says: Okay. - Sun Nov  1 00:53:20 2015
<br><br><font color=teal>*Sin(ZenoKuthric) says: Have fun Niger. - Sun Nov  1 00:54:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Also..I thank you for delivering this message. - Sun Nov  1 00:54:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Along with these men. - Sun Nov  1 00:54:11 2015
<br><br><font color=teal>*Sin(ZenoKuthric) says: Okay. - Sun Nov  1 00:54:11 2015
<br><br><font color=teal>*Sin(ZenoKuthric) says: No problem Niger. - Sun Nov  1 00:54:11 2015
<br><br><font color=teal>*Sin(ZenoKuthric) says: Me go back now. - Sun Nov  1 00:54:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I look forward to seeing you again.~ - Sun Nov  1 00:54:11 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sun Nov  1 00:54:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..this makes things easier. - Sun Nov  1 00:54:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Heh.~ - Sun Nov  1 00:54:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sun Nov  1 00:57:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Who knows what King-sama wants me for?~ - Sun Nov  1 00:57:36 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sun Nov  1 00:57:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe he has recognized my greatness and just decided to give me a reward? - Sun Nov  1 00:58:27 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Oh please.. - Sun Nov  1 00:58:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I've always worked for my home. - Sun Nov  1 00:58:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You should know that. - Sun Nov  1 00:58:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's no different than a shinobi working for their village. - Sun Nov  1 00:58:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Benefits are given to those that have shown their true colors. - Sun Nov  1 00:59:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Don't you understand, Fickle-chan? - Sun Nov  1 00:59:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: My being here only increases your influence with King-sama.~ - Sun Nov  1 00:59:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Still this has disturbed my current spot.. - Sun Nov  1 01:00:09 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: How so? - Sun Nov  1 01:01:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I suppose until they're needed. I'll have them defend the perimeter of this place. - Sun Nov  1 01:01:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: How so? This has brought attention that I hadn't needed. - Sun Nov  1 01:01:00 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Please. . Only Ichiro and I. - Sun Nov  1 01:01:00 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Hey...Hey...Whow as that? - Sun Nov  1 01:01:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Your.."royal" guards..are always around. Not to mention the villagers that are here also saw.. - Sun Nov  1 01:01:52 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Don't be so paranoia. - Sun Nov  1 01:01:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm always paranoid.. - Sun Nov  1 01:01:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No one is trying to overthrow anyone.. - Sun Nov  1 01:03:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I never want a position of leadership.. - Sun Nov  1 01:04:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Plus, she wouldn't let me in here with that thought in mind. - Sun Nov  1 01:06:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I do have something to accomplish, though. - Sun Nov  1 01:06:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Let's hope I return.. - Sun Nov  1 01:06:59 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: How long do you anticipate being gone?? - Sun Nov  1 01:07:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh.. - Sun Nov  1 01:07:50 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well the opponent I'm going up against.. - Sun Nov  1 01:08:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It probably won't take long. - Sun Nov  1 01:08:41 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Who is your opponent!? - Sun Nov  1 01:09:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ..... - Sun Nov  1 01:09:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Don't worry about that. - Sun Nov  1 01:09:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Just focus on protecting your leader.. - Sun Nov  1 01:09:32 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Ah. Well I do have an assignment for Zero and Ichiro to do in the meantime. - Sun Nov  1 01:10:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: An assignment? - Sun Nov  1 01:12:06 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Mhm. - Sun Nov  1 01:13:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Just mark me down for it too. - Sun Nov  1 01:13:48 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: No work, no pay. - Sun Nov  1 01:14:40 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Sorry/ - Sun Nov  1 01:14:40 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Well not really. - Sun Nov  1 01:14:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Depends.. - Sun Nov  1 01:15:31 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What are they doing? - Sun Nov  1 01:15:31 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Infiltrating a village. - Sun Nov  1 01:16:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What village? - Sun Nov  1 01:16:22 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: The Bush Village. . . Don't question the name. - Sun Nov  1 01:16:22 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Bush, eh? - Sun Nov  1 01:16:22 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: That's what I said. - Sun Nov  1 01:19:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well.. - Sun Nov  1 01:20:38 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You should try to be a bit nicer to me.. - Sun Nov  1 01:21:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe say.."Uguu"..at the end of your sentences.. - Sun Nov  1 01:21:29 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Never! Stop asking.. - Sun Nov  1 01:21:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: At least you'll appear to be cuter. - Sun Nov  1 01:21:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh..you'll do it one day.~ - Sun Nov  1 01:21:29 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . Don't you have some place to be? - Sun Nov  1 01:23:12 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sun Nov  1 01:25:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe.. - Sun Nov  1 01:29:10 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) simply nodded as he learned of his task now, taking the map into his own hands . A basic nod as he looked over the object and then he proceeded to make haste for the village's exit, his eyes looking over his own shoulder towards Mizumi. It was rather obvious that Ichiro was waiting on him.* - Sun Nov  1 01:36:51 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) appraoched the massive gates of the Bush Village, his eyes peering across its great length as he did so. As Ichiro stood there, he took note of the guards which seemed to empower the walls and hold a height advantage over him. Of course however, he found no amusement in them sitting higher, especially when the task required infiltration.

To him, this implied stealth, yet he simply found no way for himself to 'sneak' into the village. It wasn't within his nature. Rather than trying his hardest to do such a thing, he just carried himself on until he had been well enough within range, yet sticking to the treeline as to throw off their line of fire.

A palm was stuck out and he allowed himself to initiate a wave of heat to go throughout his body. Of course, this was unreal and purely mental. Regardless though, his sweat exitted his palms and the golden substance had now entered a state of solidity. Soon enough it all continued to pour out until Ichiro now held a single spear in his hand. Casting his vision to his partner though, he waited to see if he would indulge him with a plan of sort.* - Sun Nov  1 01:49:39 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) observed as his partner employed a mist, impairing his vision only a bit as he stood there. However, he rose up just enough to cast his eyes onwards to the gate. He could hear the poison of the enemies words passing through his ear lobes and reaching his brain. The ominous feeling of the fortress doing a bit to harm his willpower. Yet, for his Queen, he would do anything.

A push forward and he brought his spear upwards, holding it upraised over his shoulders. The words of his enemy were discouraging, and implied they were found out almost immediately. In response to this, Ichiro cast his golden sheen of sweat down his body and allowed himself to access his golden defense. Now, his sweat formed a defensive shell, making this his first line of defense against these explosives as he moved onwards.

He of course felt the impact, which slowed his approach, even making him stop for a second before he eventually brought his arm forward, of course that was only once he had his opening. Tossing the spear forward, it motioned from for at least one of the enemy troops, planning to impale him. And if possible, pass through and strike another. It made no difference to Ichiro, just as long as he lowered their numbers.

Of course, he didn't even pause to check for 'Zero,' assuming that he could handle his own weight.* - Sun Nov  1 02:23:47 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) seemed to keep onwards with his approach. His actions may not have been as obvious as his partners, but that was more power to himself, probably giving him the element of suprise. Rather than continuing to combat the small group, Ichiro manipulated his sweat to form another spear for himself, actively thrusting it into the wall of the fortress. 

A recollection of the other, and he was planting that into the wall as well. Now as he stabbed each into the wall, he utilized his strength combined with them as a simple climbing tool as he attempted to put himself at an elevated position. Not only did he want an oversight of the village, but he wanted to be out of the way of any primary shots. 

To sum it up, he was using his spears to scale the wall now and avoid a direct approach with the enemy.* - Sun Nov  1 02:57:04 2015
<br><br><font color=teal>*Ricky(Lordlol45) says: Yes - Sun Nov  1 03:05:36 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) brought himself to the top of the wall, finding that his progress had gone unimpeded. His progress over the wall seemingly stealthy compared to how he would normally conduct himself. Now that he stood at the top however, he found himself still holding his two spears, bringing them along the way. He thought about attending to the gates and removing them to assist his comrade, but he figured the target was priority.

His eyes scanned the village for what he could see, but probably held nothing of importance. He did of course spot several buildings and proceeded to make his way down the wall, however on the inside of the gates. 

Should Ichiro still be capable of proceeding in stealth, he'd make a rush past as many buildings as possible, only making quick checks in his progress as he searched for the researcher, knowing that it was dire he find this man before things got worse. Regardless his legs were actively pumping a lot of energy through them.* - Sun Nov  1 03:31:12 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) stepped back as he raised his arms to cover his face. The poisonous cloud that entered his system only aggrovated him, causing him to grit his teeth as he made a mistake that could possibly be life or death. However, he had no idea considering he had no medical knowledge at his disposal.
leave the premises and 

Once clear of it however, he could obviously feel a great dent in his abilities, finding himself to move a bit more sluggishly and of course finding a loss in his strength, greatly reducing his main focus of combat. He knew he'd have to be a lot more cautious now. But he did take his efforts elsewhere, moving deeper into the small village to begin his search for the area north of the gates.

Rather than moving close for inspection, he remained back a bit, expecting his allies to come to his position soon. He hadn't wished to take on the next area alone of course.* - Sun Nov  1 04:08:44 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) observed as his partners made quick work of the troops, assuming they could join Ichiro in full force now. Keeping both of his spears at the ready, he trudged on like the brute he was and made his way to make an attempt at the barrier. He of course had no idea how this would play out, and simply started by throwing one of his spears at the barrier, wondering if it would either pass through or shatter against it.* - Sun Nov  1 04:30:56 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) only observed now as he stared down the various figures that remained opposite of him. His throw seemed to do nothing against the barrier, and his thoughts only left him to wonder what would be required should he want to pass through. He figured it'd be best to wait for Sado to make way with this. Therefore, Ichiro simpyl formed another spear as he waited, standing still as he expected for him to do away with the formation.* - Sun Nov  1 04:46:17 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) backs away with the onslaught of attacks coming at him. The rush of the weaponry and strike scoming for him were somewhat disheartening, considering he couldn't deal with them at his peak. Therefore, he proceeded to remove himself from the range, bringing up his arms as a defense for the moment while he observed a few of the projectiles either impaling his rough exterior or colliding with his body. Either way he'd still make a move back to safety, awaiting his allies.* - Sun Nov  1 04:59:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: I'll kill them. Every last priest... - Sun Nov  1 05:05:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sun Nov  1 05:10:11 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: . . .. - Sun Nov  1 05:19:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Sun Nov  1 05:25:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm not teaching you anything. - Sun Nov  1 05:25:32 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Right...*wink* - Sun Nov  1 05:26:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm really not. - Sun Nov  1 05:26:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Unless you're talking sexual.. - Sun Nov  1 05:26:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Then..maybe. - Sun Nov  1 05:26:24 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: . . . - Sun Nov  1 05:26:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So quiet.. - Sun Nov  1 05:28:06 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: You're weird. - Sun Nov  1 05:28:06 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Ichiro.... - Sun Nov  1 06:49:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sun Nov  1 06:50:01 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Hm? - Sun Nov  1 06:50:52 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Yeah, why? - Sun Nov  1 06:52:35 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Yo. - Sun Nov  1 06:53:26 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sun Nov  1 06:54:17 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Was wondering if you could teach me wind-styled element. - Sun Nov  1 06:54:17 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I'm not experienced in the element...I can't really teach it. - Sun Nov  1 06:55:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sun Nov  1 06:56:00 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Mizumi. - Sun Nov  1 06:56:00 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sun Nov  1 06:56:51 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: It's the spear...hand...guy. - Sun Nov  1 06:56:51 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I'm not around for the games. - Sun Nov  1 06:58:33 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Games pass the time. - Sun Nov  1 06:59:24 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: ... - Sun Nov  1 07:00:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Meh. - Sun Nov  1 07:01:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh.. - Sun Nov  1 07:13:04 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Yeah, Mizumi. - Sun Nov  1 07:13:04 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: I don't really....use that name..... - Sun Nov  1 07:13:04 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Their is a contract out on you. - Sun Nov  1 07:13:04 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: So if you could just die, that'd be great. - Sun Nov  1 07:13:04 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: There...There is a contract out on me...Gawd. - Sun Nov  1 07:13:55 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: omit- - Sun Nov  1 07:13:55 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Is it Kirie? Has to be Kirie.....Is it Kirie? - Sun Nov  1 07:13:55 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Nope. - Sun Nov  1 07:13:55 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Sun Nov  1 07:13:55 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Then It's violet.... - Sun Nov  1 07:13:55 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: You call a girl ugly once... - Sun Nov  1 07:13:55 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Bwahahaha. - Sun Nov  1 07:14:46 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Right. - Sun Nov  1 07:14:46 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: So you going to fight, run, turn out to be a clone? - Sun Nov  1 07:14:46 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I'm here to kill him. - Sun Nov  1 07:15:37 2015
<br><br><font color=teal>*ANBU Agent(LavenderTown) says: Yeah.....my life goals don't involve dying....soo...Could you not? - Sun Nov  1 07:15:37 2015
<br><br><font color=teal>*Asteroth(Lordlol45) thinks: Hrm. . What to do in a situation like this? - Sun Nov  1 07:16:28 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I could.  - Sun Nov  1 07:16:28 2015
