<br><font color=teal>*Heiwa(Wantpark) says: Yes. - Wed Dec  9 03:28:38 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: I would. - Wed Dec  9 03:37:10 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: If I'd played a part in it. - Wed Dec  9 03:37:10 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Why the fuck you lyin - Wed Dec  9 03:37:10 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: y u always lyin - Wed Dec  9 03:37:10 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Wed Dec  9 03:37:10 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Goodbye. - Wed Dec  9 03:39:44 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: See you later. - Wed Dec  9 03:41:26 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Well that went bad. - Wed Dec  9 03:41:26 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: A reccomendation. - Wed Dec  9 03:41:26 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Don't overplay the role. - Wed Dec  9 03:41:26 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: As I said before, they don't -care.- - Wed Dec  9 03:41:26 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Overplay the role? You thought I overplayed it? - Wed Dec  9 03:42:17 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Yes. - Wed Dec  9 03:42:17 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Hm..I got to work on that then. - Wed Dec  9 03:42:17 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Repeating yourself, like a broken record. Telling the story. They don't care. - Wed Dec  9 03:42:17 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: They just want what they want. - Wed Dec  9 03:42:17 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Eh. - Wed Dec  9 03:43:08 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Now. - Wed Dec  9 03:43:08 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: So, what should we do now? - Wed Dec  9 03:43:08 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Tell me, do you have any explosive tags? - Wed Dec  9 03:43:08 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Something destructive? - Wed Dec  9 03:43:08 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Yeah. Just one. - Wed Dec  9 03:44:00 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Hm. - Wed Dec  9 03:44:00 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: We need more. - Wed Dec  9 03:44:00 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Otherwise this will be pointless. - Wed Dec  9 03:44:00 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Like how many? - Wed Dec  9 03:44:00 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Wait..We have some for merch. - Wed Dec  9 03:44:51 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Roughly fifty to a hundred. - Wed Dec  9 03:44:51 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: They attempted to accuse us of terrorist threats. - Wed Dec  9 03:44:51 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: When we hadn't done any. - Wed Dec  9 03:44:51 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Well. - Wed Dec  9 03:44:51 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Just to make them a little happy, we shall appease them. - Wed Dec  9 03:45:42 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: What we'll do is simply plant some along the Mizukage's mansion. - Wed Dec  9 03:45:42 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Others along the bridge leading to the exit. - Wed Dec  9 03:45:42 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Woah, this is a new you. Heh. - Wed Dec  9 03:46:33 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Cut off a route inwards and effectively hinder trade. - Wed Dec  9 03:46:33 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I like the idea. - Wed Dec  9 03:46:33 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: The problem though, is security. - Wed Dec  9 03:46:33 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Of course they'll be on high alert, so be as covert as possible. - Wed Dec  9 03:46:33 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Then we wait until we're out to activate them. - Wed Dec  9 03:47:24 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Of course. - Wed Dec  9 03:47:24 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: The bridge will be easy, but the Mizukage's mansion will be a task. - Wed Dec  9 03:47:24 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: That it will. - Wed Dec  9 03:48:16 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Our best bet there is planting them within, rather than outside. - Wed Dec  9 03:48:16 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Hm..But how would we get inside? I doubt they'd let us in. - Wed Dec  9 03:48:16 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Simple. - Wed Dec  9 03:48:16 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Let me guess, we're going to kill some guards? - Wed Dec  9 03:49:07 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Yes. - Wed Dec  9 03:49:07 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Silently, however. - Wed Dec  9 03:49:07 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Make it as clean as possible. - Wed Dec  9 03:49:07 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Distract them, if you will. - Wed Dec  9 03:49:07 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: That's going to be difficult. I'm not the clean and silent type. - Wed Dec  9 03:49:07 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: At the least, get them away from the mansion. - Wed Dec  9 03:49:58 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Alright. - Wed Dec  9 03:49:58 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: --- - Wed Dec  9 03:49:58 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Actually. - Wed Dec  9 03:49:58 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: ? - Wed Dec  9 03:49:58 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: What we can do... - Wed Dec  9 03:49:58 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Destroy the bridge. - Wed Dec  9 03:49:58 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Attract attention there. - Wed Dec  9 03:49:58 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Ah. That makes sense. There's other exits from the village. - Wed Dec  9 03:50:49 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Yes. - Wed Dec  9 03:50:49 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: If need be, we can make haste over the walls. - Wed Dec  9 03:50:49 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I guess we send the caravan towards the bridge? - Wed Dec  9 03:50:49 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Mhm. - Wed Dec  9 03:50:49 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Make it look like we were attacked. - Wed Dec  9 03:50:49 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: We just need two bodies then. - Wed Dec  9 03:51:40 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Well. - Wed Dec  9 03:51:40 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: For realism. - Wed Dec  9 03:51:40 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: We can simply sell on the market. - Wed Dec  9 03:51:40 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Prepare the caravan, sell it to a willing buyer. - Wed Dec  9 03:52:32 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Surely someone, would enjoy travelling. - Wed Dec  9 03:52:32 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: That is true.  - Wed Dec  9 03:53:23 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: So we're going to sell everything first, then have someone buy the caravan and cause it to explode huh? - Wed Dec  9 03:54:14 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Indeed. - Wed Dec  9 03:54:14 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Let's get this plan to motion then. - Wed Dec  9 03:56:48 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Of course. - Wed Dec  9 03:58:30 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: You can handle such. Mercantile isn't something I can do. - Wed Dec  9 04:02:46 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Alright. - Wed Dec  9 04:03:37 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Good. - Wed Dec  9 04:27:31 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Has he set out? - Wed Dec  9 04:27:31 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: From last I saw, he was getting ready. - Wed Dec  9 04:27:31 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: But he's still in the village. - Wed Dec  9 04:27:31 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Damn. I should have given him an incentive to leave soon. Think I should go look for him? - Wed Dec  9 04:29:13 2015
<br><br><font color=teal>*Fujimoro, Ren(Master Roku) says: Probably, we need this to go quickly and swiftly. - Wed Dec  9 04:30:04 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Alright. - Wed Dec  9 04:30:56 2015
<br><br><font color=yellow>*Fujimoro, Ren(Master Roku) simply nodded at Tetsu's remark. The plan required precision and timing of course, and in order to follow up on this, Ren found himself trailing after the caravan. Although, he was a long way aways. His eyesigh was needed to confirm the descent upon the bridge.

Of course though, Ren found himself in a position where he could watch from afar. IT was when he spotted the caravan making its away onto the edge of the bridge that he acted. His movements carried back, away from his vantage point now. He lost eyesight but estimated the tme required to access the contents.

Eventually once he was out of range and within that of the Mizukage's mansion, Ren simply allows himself to access a singular handseal. One that signified the usage of explosive tags. The seal of confrontation taking place to enforce an explosion to take place. The opening result being the cataclismic destruction of the center of the bridge.

Regardless though, he'd make quick travel on towards the Mizukage's Mansion. Surely this would attract attention.* - Wed Dec  9 04:48:00 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Oi.... - Wed Dec  9 05:52:51 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Kida. - Wed Dec  9 05:52:51 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Is Kyubishu dead yet? - Wed Dec  9 05:52:51 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: ---Complications? - Wed Dec  9 05:53:42 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Like what? - Wed Dec  9 05:53:42 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Jesus. - Wed Dec  9 05:53:42 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Well,after the whole thing with that kid, we've been labled as criminals. - Wed Dec  9 05:54:33 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: And here we go again. - Wed Dec  9 05:55:24 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: We'll simply kill as many people as we can. - Wed Dec  9 05:55:24 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: And leave. - Wed Dec  9 05:55:24 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Yeah..That was the plan. - Wed Dec  9 05:55:24 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: That'll be a boredom....-killer-. - Wed Dec  9 05:55:24 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Com'on. - Wed Dec  9 05:55:24 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Let's go look. - Wed Dec  9 05:55:24 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: But the explosion didn't go off. - Wed Dec  9 05:55:24 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: What explosion? - Wed Dec  9 05:55:24 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Damn cheap tags. - Wed Dec  9 05:55:24 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: I didn't know you were an arsonist. - Wed Dec  9 05:56:16 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Oh, we were going to blow up the bridge then blow up the mansion. They think we're terrorists, we'll show them. - Wed Dec  9 05:56:16 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Hah! - Wed Dec  9 05:56:16 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: So you're going to be a terrorist? - Wed Dec  9 05:56:16 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: That isn't your style. - Wed Dec  9 05:56:16 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Why not bash the bridge in half? - Wed Dec  9 05:56:16 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: It was Ichiro's idea. - Wed Dec  9 05:56:16 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Who needs explosions? - Wed Dec  9 05:56:16 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I guess. Well, we can just cause a scene here and now. - Wed Dec  9 05:57:07 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: I still owe you an adventure. - Wed Dec  9 05:57:07 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: So, how about it? - Wed Dec  9 05:57:58 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Let's go. - Wed Dec  9 05:57:58 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Hm? Well, uh. . Sure. - Wed Dec  9 06:00:32 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: I'm honestly done. - Wed Dec  9 06:24:25 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: Fuck this game - Wed Dec  9 06:24:25 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: kill me - Wed Dec  9 06:24:25 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: No re. - Wed Dec  9 06:24:25 2015
<br><br><font color=teal>*Heiwa(Wantpark) says: I'm done. - Wed Dec  9 06:24:25 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) whispers: (so what now?) - Wed Dec  9 06:35:31 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) whispers: [No idea. Lol. What do you feel like doing?] - Wed Dec  9 06:37:13 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) whispers: (Uh.) - Wed Dec  9 06:38:04 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) whispers: (welll.) - Wed Dec  9 06:38:04 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) whispers: (up to you.) - Wed Dec  9 06:38:04 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) whispers: Orgy time?] - Wed Dec  9 06:39:47 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) whispers: [ Well, I mostly came back so I can kill Heiwa and Kyubishu, but my targets aren't around. soo yeah. lol.] - Wed Dec  9 06:39:47 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Uhhh. . . - Wed Dec  9 06:40:38 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) whispers: [And gtfo, ain't no orgy. You think we share?] - Wed Dec  9 06:40:38 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) whispers: [Want to go to another village?] - Wed Dec  9 06:40:38 2015
<br><br><font color=teal>*Rymei(X_Jake From State Farm_X) whispers: [lets kill Heiwa first] - Wed Dec  9 06:40:38 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) whispers: [He ain't coming back anytime soon.] - Wed Dec  9 06:41:29 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) whispers: (Let's just go.) - Wed Dec  9 06:42:20 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) whispers: [alright] - Wed Dec  9 06:42:20 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: .. Oh, shit, you okay? - Wed Dec  9 06:48:19 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: N-Not..really. - Wed Dec  9 06:48:19 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I-I'm not.. - Wed Dec  9 06:48:19 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: But it still...hurts.. - Wed Dec  9 06:48:19 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ......Oops. - Wed Dec  9 06:48:19 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: She's likely just sensitive there. - Wed Dec  9 06:48:19 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: You gonna be okay? - Wed Dec  9 06:48:19 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I-I'll..be fine..don't worry.. - Wed Dec  9 06:48:19 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ...Guesss we're definitly done forn ow. - Wed Dec  9 06:49:10 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Let's do it again, later.. - Wed Dec  9 06:49:10 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Yeah, that was... heh. Hella fun. - Wed Dec  9 06:49:10 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: -- Oh, Kiyoko, there you are! - Wed Dec  9 06:49:10 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) says: Yeah. - Wed Dec  9 06:50:01 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: How you doin? - Wed Dec  9 06:50:01 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) says: Fine - Wed Dec  9 06:50:01 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Glad tah hear it. - Wed Dec  9 06:50:01 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: ...... - Wed Dec  9 06:50:01 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: So, what brings you out herE? - Wed Dec  9 06:51:44 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: I'ma go home, Mitsu. - Wed Dec  9 06:51:44 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Aight, you do that. - Wed Dec  9 06:51:44 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Tomorrow, let's go eat at my restaurant. - Wed Dec  9 06:51:44 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Sure, yo. - Wed Dec  9 06:51:44 2015
<br><br><font color=teal>*Ari, Momura(JustCallMeGnar) says: Then spar, then get some dinner. - Wed Dec  9 06:51:44 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: I'm fine. - Wed Dec  9 06:53:26 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) thinks: What the fuck am I seeing? - Wed Dec  9 06:54:17 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) thinks: What's going on? - Wed Dec  9 06:54:17 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) thinks: Looking at this place is so fucking familiar and nostalgic. - Wed Dec  9 06:54:17 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) thinks: More assholes. - Wed Dec  9 06:55:08 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: . . . . - Wed Dec  9 06:56:51 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Oh, and... - Wed Dec  9 07:01:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: If you try n' start trouble in my town? - Wed Dec  9 07:01:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ... You're gonna have a bad time, so don't, 'kay? - Wed Dec  9 07:01:07 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Yeah, I know. I was on my good behavior last time. - Wed Dec  9 07:01:58 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mhrm. Just make sure your comraden are, yo. - Wed Dec  9 07:01:58 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: And... Chica. - Wed Dec  9 07:01:58 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: ...Uh'uh. - Wed Dec  9 07:01:58 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Whatever you say. - Wed Dec  9 07:01:58 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I think we got some things to talk about, soon 's you're not busy. - Wed Dec  9 07:01:58 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Feel me? - Wed Dec  9 07:01:58 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Too bad, it wasn't a request. - Wed Dec  9 07:02:49 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Money talk? - Wed Dec  9 07:02:49 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: If it's not a request. - Wed Dec  9 07:02:49 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: I assume it's a demand. - Wed Dec  9 07:02:49 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: A freindly one, but nonetheless- mhhrm. Though.. I can assure you of this- it might be a discussion worth having. - Wed Dec  9 07:02:49 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Don't care enough. - Wed Dec  9 07:03:40 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: I wonder what that's all about.  - Wed Dec  9 07:03:40 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: Let me do what I please. - Wed Dec  9 07:03:40 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: If it just so happens I have time. - Wed Dec  9 07:03:40 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: I might indulge you. - Wed Dec  9 07:03:40 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) says: Hm? - Wed Dec  9 07:05:23 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) says: ...I'm a chuunin? - Wed Dec  9 07:05:23 2015
<br><br><font color=teal>*Hassan, Kiyoko(HypnoticEssence) says: Someone was at the gates? - Wed Dec  9 07:05:23 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) thinks: Energy?  - Wed Dec  9 07:05:23 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ...Oh, a'right. I was handlin it, but.. - Wed Dec  9 07:05:23 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: If you want to take over instead- that's cool. Later, then? - Wed Dec  9 07:06:14 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) thinks: No one gives a shit about these ranks. - Wed Dec  9 07:06:14 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: Hello. We're merchants. Tetsu and Midori, here to sell goods. - Wed Dec  9 07:06:14 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: ....Yay..... - Wed Dec  9 07:06:14 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: ... - Wed Dec  9 07:06:14 2015
<br><br><font color=teal>*Itsujin, Tetsu(Shiziru101) says: She's just shy. - Wed Dec  9 07:06:14 2015
<br><br><font color=teal>*Yakato, Midori(MadameShredder) says: .... - Wed Dec  9 07:07:05 2015
