<br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sheesh.. - Sat Nov  7 05:03:21 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: So until then, Queen is all I shall acknowledge her as. - Sun Nov  8 00:04:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Tch.. - Sun Nov  8 00:09:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're so straight edged.. - Sun Nov  8 00:09:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: The ladies are never going to love that. - Sun Nov  8 00:09:23 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: That's fine. - Sun Nov  8 00:09:23 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: None will please my wishes anyways. - Sun Nov  8 00:10:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What are your wishes? - Sun Nov  8 00:11:05 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Personal. - Sun Nov  8 00:11:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Come on.. - Sun Nov  8 00:11:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What happens if I could make it true? - Sun Nov  8 00:11:05 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: You can't. - Sun Nov  8 00:11:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh.. - Sun Nov  8 00:17:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sounds like a challenge. - Sun Nov  8 00:17:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh.. - Sun Nov  8 00:19:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh.. - Sun Nov  8 00:20:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's just a person.. - Sun Nov  8 00:20:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I thought you were some sort of debt collector.. - Sun Nov  8 00:20:28 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Do I really look like a debt collector? - Sun Nov  8 00:21:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I don't know what they look like.. - Sun Nov  8 00:21:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Hm..Actually, that doesn't sound like a bad idea.  - Sun Nov  8 00:21:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Tell me.. - Sun Nov  8 00:22:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: When this guy stands there..does his nipples just pop out at you? - Sun Nov  8 00:22:11 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Nope. I have no interest in that stuff. - Sun Nov  8 00:23:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Then what do you have an interest in? - Sun Nov  8 00:23:02 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Becoming stronger of course. - Sun Nov  8 00:23:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ah.. - Sun Nov  8 00:23:02 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'm aiming to get to the top, and I'll use whatever means to get there. - Sun Nov  8 00:23:02 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Getting to the top, eh? - Sun Nov  8 00:23:53 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Even if I have to sell my soul, I'll do anything to get stronger. - Sun Nov  8 00:23:53 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) turned his head to look off into the distance, his eyes settling in on Kida as he entered the boundaries of Amegakure. For the most part, Ichiro knew that they were on friendly terms with outsiders and remained still, nonchalant one could say. Regardless though, he gave no response. Only due to the fact that he wasn't addressed. It didn't concern him until then.* - Sun Nov  8 00:23:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Selling your soul, eh? - Sun Nov  8 00:23:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sadly..I'm just a simple priest. - Sun Nov  8 00:23:53 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Of course. If you want true power, you have to be willing to sacrafice anything. - Sun Nov  8 00:23:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That is true.. - Sun Nov  8 00:24:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You see there are many heathens in this world. - Sun Nov  8 00:27:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm trying to lead them on the path to righteousness. - Sun Nov  8 00:27:18 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I don't know this Fickle-chan is, but I don't have any reason to kill her. - Sun Nov  8 00:27:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Really? - Sun Nov  8 00:27:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Didn't you say you'd do anything to get to the top? - Sun Nov  8 00:27:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Murdering potential competition..is a path for someone willing to do -anything-. - Sun Nov  8 00:28:09 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: She's not in my way, so there's no reason to go after her. - Sun Nov  8 00:28:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Now..now..Kida-kun..you shouldn't back down from your statements. - Sun Nov  8 00:28:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You did say that you would do anything, right? - Sun Nov  8 00:28:09 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I did. - Sun Nov  8 00:28:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Not that I'd want you to kill her. - Sun Nov  8 00:29:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She's my wife. - Sun Nov  8 00:29:00 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: But, just because I'll do anything, I wouldn't kill someone I don't know. - Sun Nov  8 00:29:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: The person you see infront of you is our slav--attendant. - Sun Nov  8 00:29:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Kida..does that sound like someone who wants to rise to the top at any cost? - Sun Nov  8 00:29:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's quite sad..the triangle that I reside in. - Sun Nov  8 00:30:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You see the man infront of you is madly in love with my wife. - Sun Nov  8 00:30:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: As luck may have it, I snatched her from his evil grasp. - Sun Nov  8 00:31:34 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I love no one. - Sun Nov  8 00:31:34 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Speak truth, not fantasy. - Sun Nov  8 00:32:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: He's also in denial. - Sun Nov  8 00:32:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: He refuses to admit that he loves my wife. - Sun Nov  8 00:32:25 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Because I refuse to lie. - Sun Nov  8 00:32:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Even though..she's kind of pudgy.. - Sun Nov  8 00:32:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Kida-kun, what can you do? - Sun Nov  8 00:33:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Go..on Ichiro-kun.. - Sun Nov  8 00:36:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Talk to the newcomer. - Sun Nov  8 00:36:41 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Um..Alright.. - Sun Nov  8 00:38:24 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: That masked man seems off. - Sun Nov  8 00:39:15 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: So, who is the leader of this settlement? - Sun Nov  8 00:39:15 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Our Queen. The one he referred to as 'Fickle-chan.' - Sun Nov  8 00:42:40 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Queen? - Sun Nov  8 00:44:22 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Hm.. - Sun Nov  8 00:44:22 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Are you guys like a cult or something? - Sun Nov  8 00:45:13 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Cult? No. - Sun Nov  8 00:46:04 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: This is a village just like any other. - Sun Nov  8 00:46:04 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: First time hearing a village having a Queen. - Sun Nov  8 00:46:04 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Political titles vary in different places. - Sun Nov  8 00:46:56 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: You have a point. - Sun Nov  8 00:47:47 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: So, does this village have a name? - Sun Nov  8 00:48:38 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Amegakure. - Sun Nov  8 00:48:38 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Fitting name. - Sun Nov  8 00:49:29 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I guess I'll call this place home. - Sun Nov  8 00:50:20 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: We'll see. - Sun Nov  8 00:50:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What? Don't think I'll be here long? - Sun Nov  8 00:50:20 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I said nothing along those lines, did I? - Sun Nov  8 00:51:12 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: You don't have to say what's implied. - Sun Nov  8 00:52:03 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: It wasn't implied either. - Sun Nov  8 00:52:54 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Anyway, where's this Queen Fickle-chan at? - Sun Nov  8 00:52:54 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Away. - Sun Nov  8 00:52:54 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Damn, what a shame. - Sun Nov  8 00:52:54 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I wanted to meet her in person. - Sun Nov  8 00:53:45 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Meh.. - Sun Nov  8 00:59:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She's around.. - Sun Nov  8 00:59:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She has a bad attitude half of the time. - Sun Nov  8 00:59:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You'll know because she smells funny. - Sun Nov  8 00:59:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I don't even know how she roped me into marrying her. - Sun Nov  8 01:00:35 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: That's a rather odd way to speak about your wife. - Sun Nov  8 01:03:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Sun Nov  8 01:03:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yeah well.. - Sun Nov  8 01:03:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Marriage is a scam. - Sun Nov  8 01:04:00 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: You're an odd priest, but you know what? I like that. - Sun Nov  8 01:04:51 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: We need more interesting people. - Sun Nov  8 01:04:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Thanks. - Sun Nov  8 01:04:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: When Fickle-chan arrives..she'll most likely greet me with a kiss if I'm here. - Sun Nov  8 01:04:51 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Isn't that right, Ichiro-kun? - Sun Nov  8 01:04:51 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Who knows. - Sun Nov  8 01:05:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Heh. - Sun Nov  8 01:05:42 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I see.. - Sun Nov  8 01:17:39 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Welp, I'm going to go take a quick nap. - Sun Nov  8 01:17:39 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: I guess i'll head that way soon. Have any scrolls I could work on while there? - Mon Nov  9 03:54:14 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: For Taijutsu? No, sorry. - Mon Nov  9 03:54:14 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Mon Nov  9 03:54:14 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: Earth or Water? - Mon Nov  9 03:54:14 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) turned his head to his right, observing the three new faces within Amegakure. They'd gotten some newcomers in the recent days, but never any more than one at a time. The introduction of the trio piquing Ichiro's interest. However, he still attempted to retain the same nonchalant feel that he normally gave as he spoke outwards with his deep, heavy voice.

"Hello. I assume you're all visitors?"* - Mon Nov  9 03:58:30 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I'll get to you on that, Mana. - Mon Nov  9 03:58:30 2015
<br><br><font color=teal>*Mana(Mirandawashere) says: I'll be off then. - Mon Nov  9 04:01:04 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: And it seems Sado isn't around to entertain them... - Mon Nov  9 04:01:55 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Then I suppose, I must welcome you all. - Mon Nov  9 04:03:37 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Thank you, but we have been here for several days. - Mon Nov  9 04:03:37 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Ah... - Mon Nov  9 04:04:28 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: Too absorbed in my training... - Mon Nov  9 04:04:28 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: ...... - Mon Nov  9 04:07:02 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Mon Nov  9 04:07:53 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: ..................... - Mon Nov  9 04:08:44 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Anywho.. - Mon Nov  9 04:08:44 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) lightly coughed.* - Mon Nov  9 04:08:44 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: Hm? - Mon Nov  9 04:09:36 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I apologize for the silence...Normally Sado is her for entertainment... - Mon Nov  9 04:09:36 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: How do you like it here for the most part, Owari? - Mon Nov  9 04:10:27 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...Sado is certainly...entertaining. - Mon Nov  9 04:11:18 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: It's well.... it's calmer than most villages. - Mon Nov  9 04:11:18 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Is this a place you'd like to claim as home? - Mon Nov  9 04:12:09 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ....what? - Mon Nov  9 04:13:00 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Would you like have this place as your home? Live here? Eat, sleep, all that stuff here..? - Mon Nov  9 04:13:52 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...I'm from Kirigakure. - Mon Nov  9 04:13:52 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I see, I see. - Mon Nov  9 04:17:16 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Alright then, nevermind. - Mon Nov  9 04:17:16 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ...Why would you ask that? - Mon Nov  9 04:18:08 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Just asking. Wanting to know where your mind is. - Mon Nov  9 04:19:50 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: To see where you're happy-.. - Mon Nov  9 04:19:50 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Comfortable. - Mon Nov  9 04:19:50 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I'm most comfortable moving around. - Mon Nov  9 04:20:41 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I see, I see. - Mon Nov  9 04:24:57 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Alright.. Let me think. - Mon Nov  9 04:25:48 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Do you want to head to Konoha? - Mon Nov  9 04:25:48 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: If you'd  like. - Mon Nov  9 04:26:40 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Talk to me, flower. - Mon Nov  9 04:27:31 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: I want to know what you'd like to do. - Mon Nov  9 04:27:31 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: ... - Mon Nov  9 04:28:22 2015
<br><br><font color=teal>*Hajimari, Owari(TenaciousRiven) says: I think we should go. - Mon Nov  9 04:28:22 2015
<br><br><font color=teal>*Mizeku, Ortho(DhatBoiNick) says: Consider it done. - Mon Nov  9 04:30:56 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) sighed now that the two had left, making way from the middle of the complex out into the woodlands just a bit away from Amegakure. He found it more relaxing there than standing amongst the many civilians---at least without his Queen in his presence.* - Mon Nov  9 04:42:01 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It seems your brother left you. - Mon Nov  9 04:50:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Guess he left you in my care.~ - Mon Nov  9 04:50:33 2015
<br><br><font color=teal>*Mizeku, Nina(Ninasky115) says: Why are you still here. - Mon Nov  9 04:50:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Because.. - Mon Nov  9 04:50:33 2015
<br><br><font color=teal>*Mizeku, Nina(Ninasky115) says: Are you some sort of pedophile? - Mon Nov  9 04:50:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: My little sister can't be left alone. - Mon Nov  9 04:50:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Actually, I'm not. - Mon Nov  9 04:50:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: People tend to say that. - Mon Nov  9 04:51:24 2015
<br><br><font color=teal>*Mizeku, Nina(Ninasky115) says: Good, leave me alone and go and molest that little boy. - Mon Nov  9 04:51:24 2015
<br><br><font color=teal>*Mizeku, Nina(Ninasky115) says: I'm going home. - Mon Nov  9 04:51:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That boy is a man.. - Mon Nov  9 04:51:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh yeah.. - Mon Nov  9 04:51:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: By the way, I'm not a pedophile. - Mon Nov  9 04:51:24 2015
<br><br><font color=yellow>*Engi, Ichiro(Master Roku) held out a single hand, cupping it just a bit as though he was planning to catch something from mid-air. Ichiro settled his eyes upon this palm, watching as golden perspiration took place in his hands and eventually worked its way outwards. Soon enough, Ichiro was holding a single spear in his hands. Shifting his hand, his grip had tightened and he pulled back the weapon now, letting both of his hands grip it. While he held it there, he proceeded to take a stance with the golden weapon at his side, almost as though he was preparing for a stabbing action. His next action however, was rather swift, bringing him forward as he thrusted the weapon into the air before himself. Following this action, his foot moved forward and he planted it sturdily into the ground, letting his eyes carry out before himself while he observed the area before him.

Eventually, Ichiro had reset and allowed himself to assume the original stance as he exhaled a short breath of air. With this action he repositioned his hands amongst the golden spear, recalling the two ends it held. His understanding of the spear only gave little knowledge, showing practically no proficiency whatsoever. Although, Ichiro knew he could utilize both ends and proceeded to do so. His initial action was a stab, just as he did on the first use. The secondary action, following after his stab was a pull upwards, as if he was attempting to cut something in two with one end before eventually bringing the second end in and making an akwards stab with that, only leaving one hand on it after this. This was of course, aimed for the general region of the head. A tactic he believed he could throw from as well.

Resetting his position, Ichiro believed that he could improve greatly in the use of a spear and better himself when using this ninjutsu specifically. With his weapon now lowered and at his side, he stood in a sort of squatting position as though he was attempting to get underneath the invisible opponent. A step forward and he made another active stabbing motion, turning this one directly into a upper slashing motion. A grunt followed shortly after when he performed a great spinning move, turning from the right and bring himself back to a basic stance from the left side. And of course, it hadn't taken much for him to prevent his weight from swinging outwards away from himself. Repeating his pattern, he eventually turned back to a regular and stagnant pose, checking to make sure his formation was correct.

