<br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Is Hideki still being Emo? - Thu Oct  1 19:08:35 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It was as it sound. - Thu Oct  1 19:13:42 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Would you be willing to pay for information, on to the whereabouts of one of your bloodline? - Thu Oct  1 19:14:33 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: No, I wouldn't pay for information regarding something my relative, or former relative possessed. - Thu Oct  1 19:14:33 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I meant where they were, not specifically their abilities. - Thu Oct  1 19:15:24 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I figured you'd be trying to round them up by now. - Thu Oct  1 19:15:24 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: I care nothing about the others Doujutsu.  - Thu Oct  1 19:16:16 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: I am curious. - Thu Oct  1 19:16:16 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: How you managed to come by this information. - Thu Oct  1 19:16:16 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: But I suppose it's of no consequence. - Thu Oct  1 19:16:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: A little bird flew by. - Thu Oct  1 19:17:07 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: A whispered of a sweeter tomorrow. - Thu Oct  1 19:17:07 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: I suppose I should inform you a little bit about myself. Information, and the pursuit of information is something the shinobi nation has sought to gain, time and time again. Even a sliver of information could be the divide between life, and death. - Thu Oct  1 19:17:58 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: I don't want to know. - Thu Oct  1 19:17:58 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I just think. - Thu Oct  1 19:17:58 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You'd care that your bloodline was in danger once again. - Thu Oct  1 19:18:49 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: What fool allowed himself to be destroyed, and his eyes pilfered- - Thu Oct  1 19:18:49 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: They always are. - Thu Oct  1 19:18:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But not by such a powerful enemy. - Thu Oct  1 19:18:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'd exercise caution, because this is a battle you may not be able to win. - Thu Oct  1 19:18:49 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: *Chuckles* You have a gold tongue, Seisuke-San. You once spoke of assisting people with problems, but all I see are potential bribes and cryptic warnings.  - Thu Oct  1 19:19:40 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Money makes the world go round. - Thu Oct  1 19:20:32 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Then continue to do what you do. Currency is only a means to an end.  - Thu Oct  1 19:21:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Exactly. - Thu Oct  1 19:21:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: ---But. - Thu Oct  1 19:21:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Because I value your company so much. - Thu Oct  1 19:21:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Erebus has gotten ahold of one of your clansmen. - Thu Oct  1 19:21:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Consider this free of charge. - Thu Oct  1 19:21:23 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: .................. - Thu Oct  1 19:22:14 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Gonna' cost you extra, Although I could use a good read on a Fire Jutsu Scroll, If you have any. - Thu Oct  1 19:23:56 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: How much? - Thu Oct  1 19:23:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: A scroll or two would be ideal. - Thu Oct  1 19:23:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Maybe if you actually hopped on skype that'd also help - Thu Oct  1 19:24:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: -omit-- - Thu Oct  1 19:24:48 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: *Sigh* - Thu Oct  1 19:24:48 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) thinks: Six thousad five hundred standing forces, in addition to Niza-Sama's own fighting force...  - Thu Oct  1 19:26:30 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) thinks: Konoha is going to pay. - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: I suppose. - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Though. - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Ah? - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Really? - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You're an angle. - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Angel* - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: I'm - No, I am leaving. - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hi person - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: But Konohagakure is going to be slag before this day is done.  - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: After you told me you'd help me with my traiining? - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That hurts.. - Thu Oct  1 19:27:21 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Possibly, I would've helped- Hello. - Thu Oct  1 19:28:12 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: But. - Thu Oct  1 19:28:12 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Don't be like that Ushinawa. - Thu Oct  1 19:29:04 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: I am being exactly like that. People have been keeping information from me regarding a relative of mine. I get messages from people I care nothing for telling me not to kill them. - Thu Oct  1 19:29:55 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: Threats from people who hide in the shadows. No, no. - Thu Oct  1 19:29:55 2015
<br><br><font color=teal>*Ushinawa(Dragonfile) says: I am done. - Thu Oct  1 19:29:55 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well. - Thu Oct  1 19:29:55 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That's fine. - Thu Oct  1 19:29:55 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Watch your back out there. - Thu Oct  1 19:30:46 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What is going on? - Thu Oct  1 19:30:46 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Nothing much. - Thu Oct  1 19:30:46 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: That turned sour very fast - Thu Oct  1 19:30:46 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Like the escalation. - Thu Oct  1 19:30:46 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Was wow. - Thu Oct  1 19:30:46 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I was actually about to look for you anywyay. - Thu Oct  1 19:30:46 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Me? - Thu Oct  1 19:33:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Mhm. - Thu Oct  1 19:33:20 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Shall we head to your place? - Thu Oct  1 19:34:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: For? - Thu Oct  1 19:34:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I did lose the bet yesterday. - Thu Oct  1 19:34:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And you owe me two more games~ - Thu Oct  1 19:34:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I have things to do today. - Thu Oct  1 19:34:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I wasn't going to keep you as a maid. - Thu Oct  1 19:34:11 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Aw really? - Thu Oct  1 19:34:11 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yeah. - Thu Oct  1 19:35:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm kind of relieved. - Thu Oct  1 19:35:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I don't look good in a maid's uniform. - Thu Oct  1 19:35:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm.. - Thu Oct  1 19:37:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I have no clue what to do with my day then. - Thu Oct  1 19:37:36 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hang out with your girlfriend. - Thu Oct  1 19:42:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Or something. - Thu Oct  1 19:42:43 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: She's asleep. - Thu Oct  1 19:42:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Hmm. - Thu Oct  1 19:43:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Sucks. - Thu Oct  1 19:43:34 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It definately does. - Thu Oct  1 19:44:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: that is still fucked up - Thu Oct  1 20:45:52 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Sup. - Thu Oct  1 20:57:48 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: How's it going? - Thu Oct  1 20:57:48 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Pretty good. - Thu Oct  1 20:58:40 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: M names Jubei, what about you? - Thu Oct  1 20:58:40 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Cool, cool. Nice to meet you. - Thu Oct  1 20:58:40 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Ergh, I mean.. I've been here for a bit but I haven't -really- been around.. - Thu Oct  1 20:59:31 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: At least for the good bits, I guess you could say I'm new here. - Thu Oct  1 21:00:22 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: No, I like to be proactive.. Plus..... - Thu Oct  1 21:01:13 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: I'm not really a people person. - Thu Oct  1 21:01:13 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Seems there aint much to do anyway. - Thu Oct  1 21:03:47 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Migrate?  - Thu Oct  1 21:03:47 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Like to another play around the village? - Thu Oct  1 21:03:47 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Won't I be like... - Thu Oct  1 21:05:29 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Hunted down and killed? - Thu Oct  1 21:05:29 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: I mean.. I don't know.. I feel like if I go anywhere I'ma ask for permission. - Thu Oct  1 21:06:20 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: I mean she's gonna show up soon, hopefully. Hm, given how you talk I guess it's fair to say she let's you go where you want, right? - Thu Oct  1 21:08:03 2015
<br><br><font color=teal>*Jubei(Dragonfile) thinks: Lucky.... - Thu Oct  1 21:08:54 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: I mean don't you get lonely...? - Thu Oct  1 21:09:45 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Who's that? - Thu Oct  1 21:10:36 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) thinks: That's cruel. - Thu Oct  1 21:10:36 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Man. - Thu Oct  1 21:11:28 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Seems like you live an interested life. - Thu Oct  1 21:12:19 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: One could say I envy you. - Thu Oct  1 21:12:19 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: That much is true. - Thu Oct  1 21:13:10 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Same. - Thu Oct  1 21:14:52 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: u ded m8. - Thu Oct  1 21:15:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: What to do...What to do. - Thu Oct  1 21:21:42 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Anything you care to do, Jubei? - Thu Oct  1 21:23:24 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Well. - Thu Oct  1 21:24:16 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: I'm as stumped as you are. - Thu Oct  1 21:24:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: When in doubt, rub one out. - Thu Oct  1 21:24:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: -omit- - Thu Oct  1 21:24:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I kind of. - Thu Oct  1 21:26:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Want to hit a spa - Thu Oct  1 21:26:49 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Anyone wanna' come? - Thu Oct  1 21:26:49 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) whispers: (hidden foreve---nigga..) - Thu Oct  1 21:29:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Can I. - Thu Oct  1 21:29:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Have sex with u Alice? - Thu Oct  1 21:29:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: -omit- - Thu Oct  1 21:29:23 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hello there Miss. - Thu Oct  1 21:31:05 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: Hey. - Thu Oct  1 21:31:05 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm Seisuke. - Thu Oct  1 21:31:56 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: Alice. - Thu Oct  1 21:31:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: It's a pleasure. - Thu Oct  1 21:31:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Are you a Shinobi by any chance? - Thu Oct  1 21:31:56 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: I am. - Thu Oct  1 21:31:56 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I see. - Thu Oct  1 21:32:48 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: How has your day been so far? - Thu Oct  1 21:32:48 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: Could've been better. I need to learn new techniques and advance in strength. - Thu Oct  1 21:33:39 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Understandable. - Thu Oct  1 21:33:39 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: What do you specialize in? - Thu Oct  1 21:33:39 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: I'm an elementalist but later on I'm branching off into kenjutsu. - Thu Oct  1 21:33:39 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Sounds fun. - Thu Oct  1 21:34:30 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: And maybe a more experienced usage of Shunshin. - Thu Oct  1 21:34:30 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: It's not fun right now. There's no one to learn from.. - Thu Oct  1 21:34:30 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I woould help if I could, But the most I can do is offer to get you a bottle of water after training. - Thu Oct  1 21:34:30 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm a bit useless in that sense. - Thu Oct  1 21:35:21 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: Huh. - Thu Oct  1 21:37:04 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Although, I was thinking of becomming a masseuse, in a village full of Shinobi stress relief would be ideal right? - Thu Oct  1 21:37:55 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: I personally prefer hot springs.~ - Thu Oct  1 21:40:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: That so? Or are you just saying that because I made an offer earlier~? - Thu Oct  1 21:41:20 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: It's my honest opinion. Your offer went diregarded. - Thu Oct  1 21:43:02 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I see, I hear Sunagakure has a great Hotspring, so if you ever drop by I'd reccomend it. - Thu Oct  1 21:43:53 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: It'd be unwise for me to travel. - Thu Oct  1 21:43:53 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm? - Thu Oct  1 21:43:53 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Why's that? - Thu Oct  1 21:44:44 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: Inept strength as a shinobi. - Thu Oct  1 21:48:09 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You could always buy a caravan. - Thu Oct  1 21:49:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: They're pretty safe. - Thu Oct  1 21:49:00 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And Sunagakure is an allied village. - Thu Oct  1 21:49:00 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Hiya! - Thu Oct  1 21:49:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hey Misa. - Thu Oct  1 21:49:52 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Looking nice as always. - Thu Oct  1 21:50:43 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: You too.~ - Thu Oct  1 21:50:43 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: How are you today? - Thu Oct  1 21:50:43 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: I really should get to learning more Fuuton and Suiton.. - Thu Oct  1 21:50:43 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'm doing well. - Thu Oct  1 21:50:43 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And, I'm sure if you hang around long enough Alice, you'll find what you're looking for. - Thu Oct  1 21:51:34 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Who's Alice? - Thu Oct  1 21:52:25 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: She soun- - Thu Oct  1 21:52:25 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: P<OT_ - Thu Oct  1 21:52:25 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Nah nigga. - Thu Oct  1 21:52:25 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: NAH NIGGA. - Thu Oct  1 21:52:25 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: She sounds like a crazy girl. - Thu Oct  1 21:52:25 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: I am. - Thu Oct  1 21:52:25 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: I don't -feel- crazy.. - Thu Oct  1 21:53:16 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: ... - Thu Oct  1 21:53:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: So. - Thu Oct  1 21:53:16 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Did you ever find the Misa Imposter? - Thu Oct  1 21:53:16 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: It is..? - Thu Oct  1 21:54:08 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Don't answer then. - Thu Oct  1 21:54:59 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Sheesh, so rude. - Thu Oct  1 21:54:59 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Sorry- - Thu Oct  1 21:54:59 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: I don't know what you asked. - Thu Oct  1 21:54:59 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: ... - Thu Oct  1 21:58:24 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: Rudeeeeeeeeeeeeeeee. - Thu Oct  1 21:58:24 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) thinks: Shit fam. - Thu Oct  1 22:04:22 2015
<br><br><font color=teal>*Jubei(Dragonfile) says: Son... - Thu Oct  1 22:10:20 2015
<br><br><font color=teal>*Yukitani, Alice(Get Jazzy) says: Give him the bukkake special. -omit- - Thu Oct  1 22:23:08 2015
<br><br><font color=teal>*Kush, Misa(Zoey-Lover) says: SMH - Thu Oct  1 23:22:52 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Seisuke - Fri Oct  2 01:09:32 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm? - Fri Oct  2 01:10:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I need your help/ - Fri Oct  2 01:10:24 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Follow me. - Fri Oct  2 01:11:15 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Yo. - Fri Oct  2 01:34:17 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Hmm, I guess its the same as always here - Fri Oct  2 01:42:49 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Well time to train again... - Fri Oct  2 02:22:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yo, stil awake? - Fri Oct  2 03:07:18 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... - Fri Oct  2 03:15:50 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Hi Lera - Fri Oct  2 17:18:56 2015
<br><br><font color=teal>*Lera(Bailey42) says: Hey Vi~ - Fri Oct  2 17:18:56 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: How are you hun - Fri Oct  2 17:19:47 2015
<br><br><font color=teal>*Lera(Bailey42) says: I'm doing pretty well thank you. What about you? - Fri Oct  2 17:19:47 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Im pretty good, i have been training mostly because everyone is so to them selves - Fri Oct  2 17:22:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: I know what you mean - Fri Oct  2 17:22:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: Its...way too quiet here latelz. - Fri Oct  2 17:22:20 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I wonder why? - Fri Oct  2 17:34:17 2015
<br><br><font color=teal>*Lera(Bailey42) says: I don't know.. - Fri Oct  2 17:34:17 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I wonder is Koeki up? - Fri Oct  2 17:34:17 2015
<br><br><font color=teal>*Lera(Bailey42) says: She looks asleep to me - Fri Oct  2 17:36:51 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Yea... like always... Im still working on all those jutsu you taught me... only mastering my original technique... its exhausting - Fri Oct  2 17:37:42 2015
<br><br><font color=teal>*Lera(Bailey42) says: Yeah...it does get a little tiring. You just have to keep at it though. - Fri Oct  2 17:38:33 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I need to... im at since a low skill level its getting demorilizing - Fri Oct  2 17:38:33 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...You're really good with those Katana though - Fri Oct  2 17:40:16 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Im good but I need to get better...I need to get faster... stronger... - Fri Oct  2 17:41:07 2015
<br><br><font color=teal>*Lera(Bailey42) says: And you will! - Fri Oct  2 17:41:58 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: I sure hope your right... Im almost close to mastering these blades... - Fri Oct  2 17:44:32 2015
<br><br><font color=teal>*Lera(Bailey42) says: And you'll probably be really strong with them... - Fri Oct  2 17:45:23 2015
