<br><font color=teal>*Trent(Fang7777) says: Hi. - Fri Nov  6 17:38:08 2015
"My name is Trent. "he said.* - Fri Nov  6 22:08:38 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: How old are you trent? - Fri Nov  6 22:09:29 2015
<br><br><font color=teal>*Trent(Fang7777) says: sixteen. - Fri Nov  6 22:09:29 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Good, you're the right age then ahah. - Fri Nov  6 22:10:20 2015
<br><br><font color=yellow>*Trent(Fang7777) takes the blunt holding it with two fingers looking at it. He rings it his lips pressing them on the end of it and then inhales slowly. THough quickly he moves the blunt fomr his mouth and coughs several times over..

* - Fri Nov  6 22:11:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Are you going to hand that back over, buddy? - Fri Nov  6 22:12:54 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Quit hoggin the weed. - Fri Nov  6 22:12:54 2015
<br><br><font color=teal>*Trent(Fang7777) says: Oh. Sorry. - Fri Nov  6 22:13:45 2015
<br><br><font color=yellow>*Trent(Fang7777) passes it back over to Yan.* - Fri Nov  6 22:13:45 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) thinks: This place is so barren. - Fri Nov  6 22:15:28 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Farm? - Fri Nov  6 22:16:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Fri Nov  6 22:16:19 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fujitora, a councilman, is a farmer. You should seek him out for information. He'd know more than anyone. - Fri Nov  6 22:16:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: L-Like uhm.. - Fri Nov  6 22:16:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh? - Fri Nov  6 22:16:19 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Thank you! - Fri Nov  6 22:17:10 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Straw hat..blade strewn on his back. - Fri Nov  6 22:17:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright. - Fri Nov  6 22:17:10 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: No problem. - Fri Nov  6 22:17:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Also..u-uhm.. - Fri Nov  6 22:17:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm new here.. - Fri Nov  6 22:17:10 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-My name is..M-Momura.. - Fri Nov  6 22:17:10 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Nice to meet ya'. I am Yan. - Fri Nov  6 22:17:10 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: This is Trent, the young lady behind you is Aoi. - Fri Nov  6 22:18:01 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I don't know much about anyone else to be honest. - Fri Nov  6 22:18:01 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright. - Fri Nov  6 22:18:01 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I have another friend w-who lives with me..B-But he's sleeping.. - Fri Nov  6 22:18:01 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Who's that? - Fri Nov  6 22:18:01 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-His name is...H-Hanai. - Fri Nov  6 22:18:01 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I don't believe I've met him though I'm sure I will. - Fri Nov  6 22:18:01 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright..Has l-lera been around..? - Fri Nov  6 22:18:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Lera...I've seen her but I'm not sure where she is at the mom--Oh wait, she traveled to Kirigakure. - Fri Nov  6 22:18:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: She'll be back soon. - Fri Nov  6 22:18:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh.. - Fri Nov  6 22:18:52 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I just..c-came from there.. - Fri Nov  6 22:18:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Was she not there? - Fri Nov  6 22:18:52 2015
<br><br><font color=teal>*Trent(Fang7777) says: Yeah, I am new. - Fri Nov  6 22:18:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I assume not. - Fri Nov  6 22:19:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Maybe you just missed her. - Fri Nov  6 22:19:44 2015
<br><br><font color=teal>*Trent(Fang7777) says: Just got my headband a few days ago. - Fri Nov  6 22:19:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-No we came..a b-bit ago. - Fri Nov  6 22:19:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: I hope she's okay. - Fri Nov  6 22:19:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-We were told to l-leave.. - Fri Nov  6 22:19:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You and Hanai? - Fri Nov  6 22:19:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Fri Nov  6 22:19:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: By the Mizukage? You weren't causing trouble in their village, were you? - Fri Nov  6 22:19:44 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-We wanted to stay.. - Fri Nov  6 22:20:35 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Alright...Well, just saying, if you cause any problems here. - Fri Nov  6 22:21:26 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..Just don't. We like to keep things simple. - Fri Nov  6 22:21:26 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-We won't..I-I don't like problems.. - Fri Nov  6 22:21:26 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Good to hear. - Fri Nov  6 22:21:26 2015
<br><br><font color=teal>*Trent(Fang7777) says: I need a sensei.. - Fri Nov  6 22:21:26 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm no sensei! - Fri Nov  6 22:21:26 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'm just a simple genin. - Fri Nov  6 22:21:26 2015
<br><br><font color=teal>*Trent(Fang7777) says: But you got on a chuunin vest? - Fri Nov  6 22:22:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Oh this old thing? - Fri Nov  6 22:22:17 2015
<br><br><font color=teal>*Trent(Fang7777) says: . . .  - Fri Nov  6 22:22:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Nahhhh. - Fri Nov  6 22:22:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I bought it at Kholes. - Fri Nov  6 22:23:08 2015
<br><br><font color=yellow>*Trent(Fang7777) stares at distance* - Fri Nov  6 22:23:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Huh.. - Fri Nov  6 22:23:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I think u-uhm.. - Fri Nov  6 22:24:51 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-When did l-lera leave? - Fri Nov  6 22:24:51 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I feel like I should check on Sanoke... - Fri Nov  6 22:24:51 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I don't know. - Fri Nov  6 22:24:51 2015
<br><br><font color=teal>*Trent(Fang7777) says: I want ot take a nap now. - Fri Nov  6 22:25:42 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I think I need to take care of something. - Fri Nov  6 22:25:42 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh.. - Fri Nov  6 22:25:42 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: Now I'm high and I have to deal with this. - Fri Nov  6 22:25:42 2015
<br><br><font color=teal>*Shokutsu(King Scrub) says: So, what's the priority today? - Fri Nov  6 22:25:42 2015
<br><br><font color=teal>*Trent(Fang7777) says: Hmm - Fri Nov  6 22:26:33 2015
<br><br><font color=teal>*Trent(Fang7777) says: I'll hit you up later Yan... - Fri Nov  6 22:26:33 2015
<br><br><font color=teal>*Trent(Fang7777) thinks: Got get some of that weed. - Fri Nov  6 22:26:33 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Head bandgonna make it look weird.0 - Sat Nov  7 05:05:04 2015
<br><br><font color=teal>*Mei(Fang7777) says: addidas are good shoes - Sat Nov  7 05:06:46 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) whispers: https://gyazo.com/0e7080457861548eea22b83288479d7a) - Sat Nov  7 05:22:59 2015
<br><br><font color=teal>*Mei(Fang7777) says: Mhm - Sat Nov  7 05:23:50 2015
<br><br><font color=teal>*Mei(Fang7777) says: not bad - Sat Nov  7 05:35:47 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Hm? - Sat Nov  7 05:40:54 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Hello? - Sat Nov  7 05:40:54 2015
<br><br><font color=teal>*Mei(Fang7777) says: Kon'nichiwa sir. - Sat Nov  7 05:40:54 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Can I help you? - Sat Nov  7 05:41:45 2015
<br><br><font color=teal>*Mei(Fang7777) says: Ie. I just came to say hi. - Sat Nov  7 05:42:36 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Oh? - Sat Nov  7 05:42:36 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I see. . . - Sat Nov  7 05:42:36 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Well Hello. - Sat Nov  7 05:42:36 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . . - Sat Nov  7 05:42:36 2015
<br><br><font color=teal>*Mei(Fang7777) says: It is nice to meet you sir. - Sat Nov  7 05:42:36 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Eh, Guess even if I am the new leader. - Sat Nov  7 05:43:28 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I should give my name. - Sat Nov  7 05:43:28 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: You can call me Jehan. - Sat Nov  7 05:43:28 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: God, I want my usual name back. - Sat Nov  7 05:43:28 2015
<br><br><font color=teal>*Mei(Fang7777) says: Nice to meet you Lord, Jehan. - Sat Nov  7 05:43:28 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Mhm, and you are? - Sat Nov  7 05:44:19 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: It's not that really.0 - Sat Nov  7 05:44:19 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: -omit- - Sat Nov  7 05:44:19 2015
<br><br><font color=teal>*Mei(Fang7777) says: I am Miss, Mei. - Sat Nov  7 05:45:10 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Miss Mei? - Sat Nov  7 05:45:10 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Well. . . - Sat Nov  7 05:46:01 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Anything else I can help you with? - Sat Nov  7 05:46:01 2015
<br><br><font color=teal>*Mei(Fang7777) says: Well you can call me Mei. You are my Lord. - Sat Nov  7 05:46:01 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: So stressed. . . - Sat Nov  7 05:46:52 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) thinks: Too much fighting today. - Sat Nov  7 05:46:52 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Heh, will do. - Sat Nov  7 05:46:52 2015
<br><br><font color=teal>*Mei(Fang7777) says: Well I can be your assostant. - Sat Nov  7 05:46:52 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Eh? - Sat Nov  7 05:47:44 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: What do you mean? - Sat Nov  7 05:47:44 2015
<br><br><font color=teal>*Mei(Fang7777) says: If you wish and only if you wish my Lord. I can help you with paper work and just organization  of the village. - Sat Nov  7 05:47:44 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: . . .I'm unsure about all of that. But for now if you'd like to stay nearby, and run messages or such, I am fine with. - Sat Nov  7 05:48:35 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Also. . . - Sat Nov  7 05:48:35 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Be prepared for a change in Mizu. . . - Sat Nov  7 05:49:26 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I have a bullseye painted on my back. - Sat Nov  7 05:49:26 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I'm simply trying to make Kirigakure better before someone finally hits the target. - Sat Nov  7 05:49:26 2015
<br><br><font color=teal>*Mei(Fang7777) says: That is depressing ot hear my lord. - Sat Nov  7 05:50:17 2015
<br><br><font color=teal>*Mei(Fang7777) says: But I apologize for the stress you are feeling. - Sat Nov  7 05:50:17 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: My life has worked that way for some time. - Sat Nov  7 05:50:17 2015
<br><br><font color=teal>*Mei(Fang7777) says: I can assist you with a shoulder rub if it would help. - Sat Nov  7 05:50:17 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: O-Oh? - Sat Nov  7 05:51:08 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I guess. - Sat Nov  7 05:51:08 2015
<br><br><font color=yellow>*Mei(Fang7777) approachs the mizukage taking quick steps. She finally finds her self standing behind him. She tilts her head to look down at his hat. Her hands are brought up form her side just to rest on his shoulders. She applies pressure to his shoulders with her hands and starts to rub. She rubs as if she is trying to relax the muscles in his shoulders.

"Tell me Lord Jehen how old are you?"she asked* - Sat Nov  7 05:54:33 2015
<br><br><font color=yellow>*Mei(Fang7777) Kept the shoulder rub gong kind of applying some more pressure to insure his muscles really got a good massage. Her eyes remain staring at the top of his hat, wondering what he might look like. 

"I am also in my late teens. But I see my self of a young adult more then a teenager any more. "She said.* - Sat Nov  7 06:00:32 2015
<br><br><font color=teal>*Mei(Fang7777) says: It just something I picked up. - Sat Nov  7 06:10:46 2015
<br><br><font color=teal>*Mei(Fang7777) says: Also I just have grown up. - Sat Nov  7 06:10:46 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I see, - Sat Nov  7 06:11:37 2015
<br><br><font color=teal>*Mei(Fang7777) says: I gotten more mature. - Sat Nov  7 06:11:37 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Oh? - Sat Nov  7 06:11:37 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: How so? - Sat Nov  7 06:11:37 2015
<br><br><font color=teal>*Mei(Fang7777) says: I learned theres more to life then getting trashed out on sake and throwing parties.  - Sat Nov  7 06:12:28 2015
<br><br><font color=teal>*Mei(Fang7777) says: Living the oh'so normal teenager life back thin that is. - Sat Nov  7 06:13:20 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I see. - Sat Nov  7 06:13:20 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Seems you've come to the same conclusion I have. - Sat Nov  7 06:13:20 2015
<br><br><font color=teal>*Mei(Fang7777) says: Now I strive to complete my goals in life.  - Sat Nov  7 06:14:11 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: Which are? - Sat Nov  7 06:15:02 2015
<br><br><font color=teal>*Mei(Fang7777) says: My first goal. - Sat Nov  7 06:16:44 2015
<br><br><font color=teal>*Mei(Fang7777) says: Is to become a well known surgon. - Sat Nov  7 06:16:44 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I see. - Sat Nov  7 06:17:36 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: An impressive goal. - Sat Nov  7 06:17:36 2015
<br><br><font color=teal>*Mei(Fang7777) says: Yeah. - Sat Nov  7 06:18:27 2015
<br><br><font color=teal>*Mei(Fang7777) says: Shared by many. - Sat Nov  7 06:18:27 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I'm sure you'll get there. - Sat Nov  7 06:18:27 2015
<br><br><font color=teal>*Mei(Fang7777) says: My other is to expand my knowledge and wolrds knowledge on medical ninjutsu. - Sat Nov  7 06:18:27 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I see. - Sat Nov  7 06:18:27 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: I'll be sure to help you if I come into contact with anyone that knows any. - Sat Nov  7 06:19:18 2015
<br><br><font color=teal>*Mei(Fang7777) says: Thank you. - Sat Nov  7 06:19:18 2015
<br><br><font color=teal>*Mei(Fang7777) says: How about you? - Sat Nov  7 06:19:18 2015
<br><br><font color=teal>***Mizukage**(Chaos Commander2015) says: My dream is simple. - Sat Nov  7 06:20:09 2015
