<br><font color=teal>*Hassan, Trilliam(ZaVante) says: We dont eat rice. - Sun Dec  6 08:41:23 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: You're being tactical. - Sun Dec  6 19:58:56 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) was actually looking for his friend Ai, but he would come across his kin Kuro. 
"Yo! Kuro how's it going?"

 In a flash Koji would see a young boy Tsuki's age releasing him from a stance quite similar to his own. Koji may be able to see many things but not at the moment cause his dou-jutsu be inactive. All he sees is a kkid close to his age in a spar with the LEGENDARY Hiroshiiiiii. However this boy would have Koji's attention.

* - Sun Dec  6 20:03:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm. - Sun Dec  6 20:03:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Koji. - Sun Dec  6 20:03:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I keep hearing about Tetsuki around here, but I cant find her. - Sun Dec  6 20:03:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Do you know where she goes? - Sun Dec  6 20:03:12 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmm, Tetsuki? I haven't seen her around but I can keep an eye out if that's what you need. - Sun Dec  6 20:04:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Please. - Sun Dec  6 20:04:54 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: Hm..? - Sun Dec  6 20:05:45 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Is she in trouble? - Sun Dec  6 20:07:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: No. - Sun Dec  6 20:07:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I hope not. - Sun Dec  6 20:07:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I just wanna' talk to her. - Sun Dec  6 20:07:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: She was my first friend here my age.. - Sun Dec  6 20:07:28 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Plus...she's been alone most of her life, I don't want her to be alone anymore. - Sun Dec  6 20:08:19 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hi. - Sun Dec  6 20:08:19 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Alright I'll do my best not to scare her. I'l put up missing posters and a 24hr unit. - Sun Dec  6 20:08:19 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'm Izanami @ Oto - Sun Dec  6 20:10:01 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: And uh, thank you Koji-san. - Sun Dec  6 20:10:01 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Isn't she the girl that Tetsujin brought to the village after he lost to Yukio? - Sun Dec  6 20:12:35 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Yeah. - Sun Dec  6 20:14:17 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Her dad really mistreated her... - Sun Dec  6 20:14:17 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) being approached by the individual who shared a few similar traits unless wearing contacts. Then, it'd just be a fellow approaching the young teen with a fellow greeting. 
"Hey there Otorius, I'm Koji nice to meet ya." 

Koji changed his approach ever since Shira reared his evil ass in here. Gotta make sure a brotha ain't evill trying to steal eyes and shid. Speaking jibrish Tenseigan @.@.* - Sun Dec  6 20:16:51 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hey, Koji. - Sun Dec  6 20:19:24 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: What's good, My Lady? - Sun Dec  6 20:19:24 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I'm swell just got back from a mission. - Sun Dec  6 20:21:07 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Hey. - Sun Dec  6 20:21:58 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hn? - Sun Dec  6 20:21:58 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) whispers: Oh hi Kiyoko-san. - Sun Dec  6 20:21:58 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: We need to amputate that arm and get testing started when you are comfortable. - Sun Dec  6 20:21:58 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) whispers: S-oh, okay uh...I guess I'm ready right now, im not doing anything important. - Sun Dec  6 20:22:49 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: You certain? - Sun Dec  6 20:23:40 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) whispers: I'm absolutely certain yeah, no need in me tugging around an arm I can't use right? Haha. - Sun Dec  6 20:23:40 2015
<br><br><font color=teal>*Nakano, Kiyoko(HypnoticEssence) whispers: Right right... then we should go ahead and head for the hospital. - Sun Dec  6 20:24:32 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Ohh, was it a fun one? - Sun Dec  6 20:26:14 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Yeah, I'll come along. - Sun Dec  6 20:27:05 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: It was interesting. - Sun Dec  6 20:27:05 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *:D* - Sun Dec  6 20:27:05 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Well have other interesting news. - Sun Dec  6 20:28:48 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You do? - Sun Dec  6 20:28:48 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Someone might be joining soon. His greeting skills are on fleek. - Sun Dec  6 20:28:48 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Who might that be? - Sun Dec  6 20:29:39 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Joining what? - Sun Dec  6 20:31:21 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: His name is Otorius. Hiroshi might be able to tell you more he sparred with him. I only caught the ending. - Sun Dec  6 20:33:55 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Is he strong? - Sun Dec  6 20:35:37 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Oh that guy? He's a noobie like me. He does that thing like you guys I think. - Sun Dec  6 20:35:37 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Which thing? - Sun Dec  6 20:35:37 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Uh remember when you and Bro were sparring Koji and the white haired lady? You sade you can't take a hit from them cause it goes right through. That thingy. - Sun Dec  6 20:36:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ohhh. That bullshit. - Sun Dec  6 20:37:20 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: .... - Sun Dec  6 20:37:20 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Yeah... it hurts - Sun Dec  6 20:37:20 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Your plants? - Sun Dec  6 20:40:44 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Hmm...I should get a book on kenjutsu... - Sun Dec  6 20:44:09 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) thinks: Hmm... I should test my summon against someone who wasn't about to become Chuunin... - Sun Dec  6 20:45:00 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hey! - Sun Dec  6 20:45:00 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Er.... okay? - Sun Dec  6 20:48:25 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Have to play it like bro. *mental nod* - Sun Dec  6 20:48:25 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) Otorius had escaped Koji's view quite miraculously, but he would appear in sight just as swiftly as he left. How did the boy do it? How many philosophers would it take to solve this inquiry? One, Two, Tree ----? The world may never know! 

"My queen look." 
Koji points.* - Sun Dec  6 20:56:06 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Finally someone with hair like mine. - Sun Dec  6 20:57:48 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hello. - Sun Dec  6 20:57:48 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: I WANTED TO POINT THAT OUT!! - Sun Dec  6 20:57:48 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: Ah, um, hello? - Sun Dec  6 21:00:22 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: Who're you? - Sun Dec  6 21:00:22 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Names Mirai. - Sun Dec  6 21:00:22 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: Nice to meet you, Mirai. But, um, why're you pointing at me? - Sun Dec  6 21:02:04 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) was just making sure Mirai got a good look at who Otorius was. 
"She'll explain it all she's really good. Mirai so far I really like him."
 
Koji just doesn't see everyone in his clan as family but those he fought alongside with and protected in the village as well. He wouldn't notice quite what Mitsunara said, but he understood something was admist. So, he'd dart after the homie. * - Sun Dec  6 21:08:03 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) would have notice d the abrupt behavior made by Mitsunara, and would have attempted to follow her and try to talk to the homie. As he didn't see just his immediate blood as family, but those e fought alongside with and protected. 

"Yo, I hope we didn't say anything to offend you." ("We" would stand for everyone in the arena.) 

"If so, I'm sorry. I couldn't quite hear exactly what you said, but I want to help if I can."* - Sun Dec  6 21:11:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: You should head back. You've got family waiting back there, right? Family you haven't seen in a long time. Go spend time with em. - Sun Dec  6 21:14:01 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: -- Before I pick you up and throw you at 'em. - Sun Dec  6 21:14:52 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) returns the smile as his face usually doesn't radiate with expresiion due to his blank eyes, and that made utilizing his facial expression all the more important. Koji was quite happy to see Ai appear during this time for what he was about to say was hopefully powerful for everyone hear.

"Alright I'll go back.. I've never been thrown haha and I don't want to be anytime soon. But, just know you're family to me at the very least. Sunagakure is more than just blood here. At least, to me. It's a practice I learned growing up and exemplified by Hassan... It's why I don't mind arresting my own and why Hassan had no qualms incocerating his own. Even Ai here is like a brother to me." 

Koji would head back as he finished unless impeded.* - Sun Dec  6 21:20:00 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) leaves the frame//* - Sun Dec  6 21:22:33 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) enters the frame after having a pleasant conversation with Mitsunara.* - Sun Dec  6 21:23:24 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: The way I carry myself? I'm pretty serious, if you ask me. I won't complain! You accepted me and so shall I. - Sun Dec  6 21:23:24 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: So are you willing to join the family? - Sun Dec  6 21:23:24 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: The family? You mean there's a family of Byakugan users? - Sun Dec  6 21:24:16 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Oh crap if he's going to have a teacher I'm going to need to pick it up a bit.... Where is Trill when you need him? - Sun Dec  6 21:24:16 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: those two and myself . - Sun Dec  6 21:24:16 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: Hm..! Well, why not? - Sun Dec  6 21:24:16 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: and a few others. - Sun Dec  6 21:24:16 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: You must be good... - Sun Dec  6 21:24:16 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: I won't let you down. Count me in. - Sun Dec  6 21:25:07 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Well then. - Sun Dec  6 21:25:07 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I suppose we can have dinner or something. - Sun Dec  6 21:25:07 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Do you like Unagi don? - Sun Dec  6 21:25:07 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: I only eat veggies! - Sun Dec  6 21:25:58 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: Ew - Sun Dec  6 21:25:58 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: That works. - Sun Dec  6 21:25:58 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) thinks: Today was a good day hoo-y-ee-uooo-.  - Sun Dec  6 21:25:58 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: Sometimes I eat a steak but that's only to keep my build nice and strong. - Sun Dec  6 21:25:58 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Well Koji - Sun Dec  6 21:27:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Kuro - Sun Dec  6 21:27:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Shall we? - Sun Dec  6 21:27:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Paine you can come too. - Sun Dec  6 21:27:40 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Unagi Don it is. - Sun Dec  6 21:28:32 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmm, I had a strict diet of veggies back in Kiri. - Sun Dec  6 21:29:23 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: So he's joining the family uh Koji. - Sun Dec  6 21:29:23 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) says: Um, sure. - Sun Dec  6 21:29:23 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Cool, you're in Otorius. We seem to have a full agreement. - Sun Dec  6 21:31:05 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: Sweet! - Sun Dec  6 21:35:21 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Today has been such a good day. - Sun Dec  6 21:35:21 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Hey, Koji. - Sun Dec  6 21:45:36 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: You know anyone good with swords? - Sun Dec  6 21:46:27 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I do but I had to take an oath not to say. - Sun Dec  6 21:46:27 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Darn. - Sun Dec  6 21:46:27 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Anyone else? - Sun Dec  6 21:47:18 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Try asking Mitsunara? - Sun Dec  6 21:47:18 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Who's that again? - Sun Dec  6 21:47:18 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: The young woman who was here earlier. Reading the book? She sparred with Mirai and I? - Sun Dec  6 21:48:09 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Oh!...she~ kinda scares me. - Sun Dec  6 21:49:00 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmm? Nah she's nice I just talked to her. - Sun Dec  6 21:49:52 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: She has a weird vibe to her... Maybe I'm just over thinking stuff. - Sun Dec  6 21:50:43 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) Passed Mirai the Sacred family scrolls after that his hopes of preseving the clan was coming into reality.* - Sun Dec  6 22:08:38 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Koji nii! - Mon Dec  7 00:14:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: *internal laughter*. . . You get'em Kyu. . .  - Mon Dec  7 00:23:28 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Tsuki....how are you today? - Mon Dec  7 00:26:01 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Awesome - Mon Dec  7 00:29:26 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: I'm working on a surprise for you. Going to be awesome I forgot to cover sadly so it's sitting right open in the fridge. - Mon Dec  7 00:30:17 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hey trilliam. - Mon Dec  7 00:35:24 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Can we go talk really fast? - Mon Dec  7 00:35:24 2015
<br><br><font color=teal>*Hassan, Trilliam(ZaVante) says: Huh oh sure Iza. - Mon Dec  7 00:46:30 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: The fridge? - Mon Dec  7 00:52:28 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Is it food? - Mon Dec  7 00:53:20 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Maaaybe. - Mon Dec  7 00:53:20 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) seems to be terrible at surprises.* - Mon Dec  7 00:53:20 2015
<br><br><font color=teal>*Hiroshi(Marchie15) thinks: I should think of some more really good ones to do~ hmmm. Gwaaaaa? Nah that's a bad guy cry. - Mon Dec  7 01:00:09 2015
<br><br><font color=yellow>*Hokuma, Koji(Akainu_Hellhound) was happy to sense the happiness radiating from Tsuki.* - Mon Dec  7 01:16:22 2015
<br><br><font color=teal>*Tsukinomi(Original Ziare) says: Hehehe.. - Mon Dec  7 01:16:22 2015
<br><br><font color=teal>*Hiroshi(Marchie15) says: Eh~ I guess. It's mostly so I have some kind of close combat stuff. - Mon Dec  7 01:20:38 2015
