<br><font color=teal>*Rias(LionHunter) says: Whats happening? - Fri Nov  6 03:43:34 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: *Sighs* - Sat Nov  7 02:57:55 2015
<br><br><font color=teal>*Rias(LionHunter) says: No theyarent they are precious~ - Sat Nov  7 02:58:46 2015
<br><br><font color=yellow>*Rias(LionHunter) shifted her head from side to side, she enjoyed her meal, "I trained all day with Z so it I couldnt tell. What are all of your names, im Rias~"* - Sat Nov  7 03:04:44 2015
<br><br><font color=teal>*Higashi, Nori(Shawn45) says: Nori. - Sat Nov  7 03:07:18 2015
<br><br><font color=teal>*Rias(LionHunter) says: Akira, Nori... and you are... - Sat Nov  7 03:09:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Heiwa. - Sat Nov  7 03:10:43 2015
<br><br><font color=teal>*Rias(LionHunter) says: Nice to meet you all~ - Sat Nov  7 03:15:50 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: You two. - Sat Nov  7 03:16:41 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: You too.* - Sat Nov  7 03:17:32 2015
<br><br><font color=teal>*Rias(LionHunter) says: Thanks cutie~ - Sat Nov  7 03:17:32 2015
<br><br><font color=yellow>*Rias(LionHunter) took a drink of her tea and finished off her ramen bowl* - Sat Nov  7 03:19:15 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Heh. - Sat Nov  7 03:20:06 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hm? - Sat Nov  7 03:20:06 2015
<br><br><font color=teal>*Ziare(Meekee) says: You finished that quickly. - Sat Nov  7 03:20:06 2015
<br><br><font color=teal>*Rias(LionHunter) says: Im a growing girl~ - Sat Nov  7 03:20:06 2015
<br><br><font color=teal>*Ziare(Meekee) says: Right... - Sat Nov  7 03:20:57 2015
<br><br><font color=teal>*Ziare(Meekee) says: Not like you need to grow anymore. - Sat Nov  7 03:21:48 2015
<br><br><font color=teal>*Rias(LionHunter) says: .... excuse me? - Sat Nov  7 03:24:22 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: She took that as a weight joke... - Sat Nov  7 03:25:13 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: You're dead dude... - Sat Nov  7 03:25:13 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hm? Did you fart? - Sat Nov  7 03:26:04 2015
<br><br><font color=teal>*Rias(LionHunter) says: ... - Sat Nov  7 03:26:04 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: ... - Sat Nov  7 03:26:56 2015
<br><br><font color=yellow>*Rias(LionHunter) would glare at himbut it would be useless... she was all too familiar with his way of speaking. She flicked his forehead and said, "Your lucky I love you" she said * - Sat Nov  7 03:27:47 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: So uh... - Sat Nov  7 03:36:19 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Have you two known each other a long time? - Sat Nov  7 03:36:19 2015
<br><br><font color=teal>*Ziare(Meekee) says: Too long. - Sat Nov  7 03:36:19 2015
<br><br><font color=teal>*Rias(LionHunter) says: Since wewere children - Sat Nov  7 03:37:10 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Heh, That must be nice to have a childhood friend. - Sat Nov  7 03:38:01 2015
<br><br><font color=teal>*Ziare(Meekee) says: Youd think. - Sat Nov  7 03:38:52 2015
<br><br><font color=teal>*Rias(LionHunter) says: Please he loooooves me - Sat Nov  7 03:38:52 2015
<br><br><font color=teal>*Ziare(Meekee) says: She's high on something at all times. - Sat Nov  7 03:38:52 2015
<br><br><font color=teal>*Rias(LionHunter) says: Thats mean of you to say Z - Sat Nov  7 03:39:44 2015
<br><br><font color=teal>*Rias(LionHunter) says: He will think im a druggie - Sat Nov  7 03:39:44 2015
<br><br><font color=teal>*Ziare(Meekee) says: He probably doesnt.. - Sat Nov  7 03:40:35 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Meh, I don't mind. - Sat Nov  7 03:40:35 2015
<br><br><font color=teal>*Rias(LionHunter) says: I dont do any of that - Sat Nov  7 03:41:26 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Me either, I just don't care if people do. - Sat Nov  7 03:42:17 2015
<br><br><font color=teal>*Rias(LionHunter) says: Are you joining the torny? - Sat Nov  7 03:44:00 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Me? - Sat Nov  7 03:45:42 2015
<br><br><font color=teal>*Rias(LionHunter) says: Any of you - Sat Nov  7 03:45:42 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: No. - Sat Nov  7 03:45:42 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hell no, too much work. - Sat Nov  7 03:47:24 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Same, Plus I haven't really been training much lately. - Sat Nov  7 03:48:16 2015
<br><br><font color=teal>*Rias(LionHunter) says: I see - Sat Nov  7 03:48:16 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Been kinda lax in my shinobi life I guess. - Sat Nov  7 03:48:16 2015
<br><br><font color=teal>*Rias(LionHunter) says: Ok - Sat Nov  7 03:49:58 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: So uh, You guys must be stronger than me then. - Sat Nov  7 03:51:40 2015
<br><br><font color=teal>*Rias(LionHunter) says: In some aspects  maybe - Sat Nov  7 03:53:23 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Well, I guess thats true. - Sat Nov  7 03:54:14 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Still...I should probably up my training. - Sat Nov  7 03:55:05 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: But enough about training I guess... - Sat Nov  7 03:57:39 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: What do you guys do outside of shinobi stuff? - Sat Nov  7 03:57:39 2015
<br><br><font color=teal>*Rias(LionHunter) says: Talk, have fun, play - Sat Nov  7 03:58:30 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hang out. - Sat Nov  7 03:59:21 2015
<br><br><font color=teal>*Ziare(Meekee) says: Sleep. - Sat Nov  7 03:59:21 2015
<br><br><font color=teal>*Ziare(Meekee) says: Watch stars. - Sat Nov  7 03:59:21 2015
<br><br><font color=teal>*Ziare(Meekee) says: Sleep. - Sat Nov  7 03:59:21 2015
<br><br><font color=teal>*Ziare(Meekee) says: Relax. - Sat Nov  7 03:59:21 2015
<br><br><font color=teal>*Ziare(Meekee) says: Sleep. - Sat Nov  7 03:59:21 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Heh, you guys are funny. - Sat Nov  7 03:59:21 2015
<br><br><font color=teal>*Rias(LionHunter) says: Thanks - Sat Nov  7 04:00:12 2015
<br><br><font color=teal>*Ziare(Meekee) says: ... - Sat Nov  7 04:01:04 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I guess it's true what they say. - Sat Nov  7 04:03:37 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Opposites really do attract. - Sat Nov  7 04:03:37 2015
<br><br><font color=teal>*Rias(LionHunter) says: What do you mean? - Sat Nov  7 04:04:28 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Well like. - Sat Nov  7 04:07:02 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Rias, you're really friendly, outgoing and full of energy. - Sat Nov  7 04:07:02 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Your friend here seems the exact opposite of that. - Sat Nov  7 04:07:53 2015
<br><br><font color=teal>*Ziare(Meekee) says: Thanks man.. - Sat Nov  7 04:08:44 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: It's not a bad thing. - Sat Nov  7 04:09:36 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: It's just funny is all. - Sat Nov  7 04:09:36 2015
<br><br><font color=teal>*Rias(LionHunter) says: Its just how he is - Sat Nov  7 04:09:36 2015
<br><br><font color=teal>*Ziare(Meekee) says: Tch. - Sat Nov  7 04:15:34 2015
<br><br><font color=teal>*Ziare(Meekee) says: What now Rias? - Sat Nov  7 04:24:57 2015
<br><br><font color=teal>*Rias(LionHunter) says: Nothing... im full now.. watch to watch the stars - Sat Nov  7 04:42:52 2015
<br><br><font color=teal>*Ziare(Meekee) says: Sure. - Sat Nov  7 04:47:08 2015
<br><br><font color=teal>*Rias(LionHunter) says: Nice to meet you Akira~ - Sat Nov  7 04:48:51 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: You too Rias. - Sat Nov  7 04:49:42 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: See you guys around. - Sat Nov  7 04:49:42 2015
<br><br><font color=teal>*Ziare(Meekee) says: Mmmm.. - Sat Nov  7 04:49:42 2015
<br><br><font color=yellow>*Rias(LionHunter) // "Shall we?"she said grabbing Z's arm and winking at Akira, "See youl ater cutie~"* - Sat Nov  7 04:50:33 2015
<br><br><font color=teal>*Ziare(Meekee) says: Why are we here? - Sat Nov  7 04:53:58 2015
<br><br><font color=teal>*Rias(LionHunter) says: Isnt this your spot? - Sat Nov  7 04:56:32 2015
<br><br><font color=teal>*Ziare(Meekee) says: Hmm? - Sat Nov  7 04:56:32 2015
<br><br><font color=teal>*Ziare(Meekee) says: I'm usually on my roof. - Sat Nov  7 04:56:32 2015
<br><br><font color=teal>*Ziare(Meekee) says: But this would do fine. - Sat Nov  7 04:57:23 2015
<br><br><font color=teal>*Rias(LionHunter) says: Your star gazing spot - Sat Nov  7 04:57:23 2015
<br><br><font color=teal>*Ziare(Meekee) says: Mhm. - Sat Nov  7 04:57:23 2015
<br><br><font color=teal>*Rias(LionHunter) says: O ok - Sat Nov  7 04:57:23 2015
<br><br><font color=yellow>*Rias(LionHunter) went to his usual spot and slowly got on the ground until she rested her back on the grass* - Sat Nov  7 04:58:14 2015
<br><br><font color=yellow>*Rias(LionHunter) would pick up on the stars quickly as she followed his finger,  she nodded her head. "There is alot stars out here"* - Sat Nov  7 05:09:20 2015
<br><br><font color=teal>*Ziare(Meekee) says: Yep. - Sat Nov  7 05:09:20 2015
<br><br><font color=teal>*Ziare(Meekee) says: If you look closely you can see planetes. - Sat Nov  7 05:11:53 2015
<br><br><font color=teal>*Rias(LionHunter) says: Planets? - Sat Nov  7 05:12:44 2015
<br><br><font color=teal>*Ziare(Meekee) says: Mhm. - Sat Nov  7 05:12:44 2015
<br><br><font color=teal>*Ziare(Meekee) says: People think they are large things that rotate around us. - Sat Nov  7 05:13:36 2015
<br><br><font color=teal>*Ziare(Meekee) says: Like gods. - Sat Nov  7 05:13:36 2015
<br><br><font color=teal>*Rias(LionHunter) says: Thats so intimidating - Sat Nov  7 05:15:18 2015
<br><br><font color=teal>*Ziare(Meekee) says: Right? - Sat Nov  7 05:16:09 2015
<br><br><font color=teal>*Rias(LionHunter) says: So Gods and planets are out there in the sky? - Sat Nov  7 05:17:52 2015
<br><br><font color=teal>*Ziare(Meekee) says: I bet. - Sat Nov  7 05:18:43 2015
<br><br><font color=teal>*Ziare(Meekee) says: It really makes you feel insinificant. - Sat Nov  7 05:18:43 2015
<br><br><font color=teal>*Rias(LionHunter) says: It does... - Sat Nov  7 05:19:34 2015
<br><br><font color=teal>*Ziare(Meekee) says: They say gods can do anything. - Sat Nov  7 05:22:59 2015
<br><br><font color=teal>*Rias(LionHunter) says: Like control time? - Sat Nov  7 05:22:59 2015
<br><br><font color=teal>*Ziare(Meekee) says: I bet. - Sat Nov  7 05:22:59 2015
<br><br><font color=teal>*Rias(LionHunter) says: Gravity? - Sat Nov  7 05:26:24 2015
<br><br><font color=teal>*Ziare(Meekee) says: What about it? - Sat Nov  7 05:27:15 2015
<br><br><font color=teal>*Ziare(Meekee) says: Like manipulating it? - Sat Nov  7 05:29:48 2015
<br><br><font color=teal>*Ziare(Meekee) says: That'd be godly in its own right. - Sat Nov  7 05:29:48 2015
<br><br><font color=teal>*Rias(LionHunter) says: Yea - Sat Nov  7 05:30:40 2015
<br><br><font color=teal>*Rias(LionHunter) says: Well its amazing - Sat Nov  7 05:30:40 2015
<br><br><font color=teal>*Ziare(Meekee) says: Yeah. - Sat Nov  7 05:33:13 2015
