<br><font color=teal>*Reguel(Airide) says: He went somewhere with some girl. - Thu Oct  1 00:17:55 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Right, I apologize. - Thu Oct  1 01:09:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Thank you uh.. - Thu Oct  1 01:10:49 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: What's his name? - Thu Oct  1 01:10:49 2015
<br><br><font color=teal>*Reguel(Airide) says: Reguel, I'm studying to be a Medic. - Thu Oct  1 01:10:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Thu Oct  1 01:10:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'm in a wheel chair <@Niza> - Thu Oct  1 01:10:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Right, thank you Reguel. - Thu Oct  1 01:10:49 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hideki...I am sorry that I let this happen... - Thu Oct  1 01:11:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: It happened in an instant. - Thu Oct  1 01:11:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No one saw it coming. - Thu Oct  1 01:11:40 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Are...Are you in pain? - Thu Oct  1 01:11:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah. - Thu Oct  1 01:11:40 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Thu Oct  1 01:11:40 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I'd figure he'd still be in pain with such severe injuries. - Thu Oct  1 01:12:32 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Is there an estimated recovery time yet? - Thu Oct  1 01:12:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Doctors told me one month. - Thu Oct  1 01:12:32 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Thu Oct  1 01:12:32 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I see... - Thu Oct  1 01:12:32 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: And if I helped? - Thu Oct  1 01:12:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Don't know. - Thu Oct  1 01:12:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Maybe ess. - Thu Oct  1 01:12:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Less* - Thu Oct  1 01:12:32 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Right. - Thu Oct  1 01:15:56 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Good. - Thu Oct  1 01:15:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Oh.. - Thu Oct  1 01:15:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Niza. - Thu Oct  1 01:15:56 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: We need more medics around here. - Thu Oct  1 01:15:56 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Yes? - Thu Oct  1 01:15:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Mamoru and Mariana also got injured. - Thu Oct  1 01:15:56 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I see. - Thu Oct  1 01:15:56 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: How did she get injured? - Thu Oct  1 01:16:48 2015
<br><br><font color=teal>*Hideki(Assassin241) says: She punched him.. - Thu Oct  1 01:16:48 2015
<br><br><font color=teal>*Hideki(Assassin241) says: And he turned to a thousand pieces - Thu Oct  1 01:16:48 2015
<br><br><font color=teal>*Hideki(Assassin241) says: and turned into steel senbon.. - Thu Oct  1 01:16:48 2015
<br><br><font color=teal>*Hideki(Assassin241) says: And impaled them. - Thu Oct  1 01:16:48 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I'll be talking to Tetsujin when I get the chance. - Thu Oct  1 01:16:48 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Although... - Thu Oct  1 01:16:48 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: She should have listened to my warnings before... - Thu Oct  1 01:16:48 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I guess that's why I haven't seen her.  I wonder if she's able to treat her self, even a little. - Thu Oct  1 01:16:48 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I got the worst part... - Thu Oct  1 01:17:39 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Broken femurs, a broken ribcage.. - Thu Oct  1 01:17:39 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ...... - Thu Oct  1 01:23:37 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: so - Thu Oct  1 01:28:44 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: omit - Thu Oct  1 01:28:44 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
When he got hugged, it hurt like a mother fucker. He clenched his teeth, holding back the pain. And once she released, He exhaled slowly. "It just... Happened, he just charged at me, barely any time to react. But it's my ribs and my femurs. They're both broken." even with Misa's medical ninjutsu, it would nearly be impossible to heal broken limbs.* - Thu Oct  1 01:32:09 2015
<br><br><font color=teal>*Reguel(Airide) says: Right...Raikage, are there any leftover medical scrolls you can lean me? I need to self study. - Thu Oct  1 01:33:00 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I've no idea. - Thu Oct  1 01:33:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I leave that knowledge to the other medics. - Thu Oct  1 01:33:52 2015
<br><br><font color=teal>*Reguel(Airide) says: ...Right. - Thu Oct  1 01:35:34 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: It is. - Thu Oct  1 01:42:24 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I'm also being trained by Yukio. The two have taught me a lot, and helped me see things in a wider perspective. - Thu Oct  1 01:43:15 2015
<br><br><font color=teal>*Reguel(Airide) says: Well lucky you. - Thu Oct  1 01:43:15 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I'm training to be a monk. - Thu Oct  1 01:44:06 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: With Yukio we do meditations, and with Niza, we practice self defense. - Thu Oct  1 01:44:06 2015
<br><br><font color=teal>*Reguel(Airide) says: Hmm. - Thu Oct  1 01:47:31 2015
<br><br><font color=teal>*Reguel(Airide) says: Self defense. - Thu Oct  1 01:47:31 2015
<br><br><font color=yellow>*Hideki(Assassin241) stared blankly at the other side of the wall. Being hospitalized really sucks, and he was already starting to feel some pain in his ribcage, fantastic.* - Thu Oct  1 01:47:31 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Well. - Thu Oct  1 01:51:47 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Shall we begin, Kuro? - Thu Oct  1 01:51:47 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Sure. - Thu Oct  1 01:52:38 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Of course. - Thu Oct  1 01:54:20 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Shall we be off? - Thu Oct  1 01:56:03 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Fuck. - Thu Oct  1 01:56:03 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: My. - Thu Oct  1 01:56:03 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Life. - Thu Oct  1 01:56:03 2015
<br><br><font color=teal>*Reguel(Airide) says: Hmm. - Thu Oct  1 02:02:01 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . - Thu Oct  1 02:08:00 2015
<br><br><font color=teal>*Reguel(Airide) says: I'm bored. - Thu Oct  1 02:12:16 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Hi bored. - Thu Oct  1 02:12:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Thu Oct  1 02:12:16 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Clever. - Thu Oct  1 02:12:16 2015
<br><br><font color=yellow>*Hideki(Assassin241) started to roll himself out of the room with his wheel chair, this was a slow process regardless.* - Thu Oct  1 02:13:07 2015
<br><br><font color=yellow>*Hideki(Assassin241) sighed.

"....I don't want to be a bother." as he continued to roll himself out of the room.* - Thu Oct  1 02:14:49 2015
<br><br><font color=yellow>*Hideki(Assassin241) got rolled into the bedroom.* - Thu Oct  1 02:17:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Thanks. - Thu Oct  1 02:18:14 2015
<br><br><font color=yellow>*Hideki(Assassin241) stayed silent, as he looked at Misa. "Why do you care so much?" he asked rather curious.* - Thu Oct  1 02:19:56 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: It's be-... - Thu Oct  1 02:19:56 2015
<br><br><font color=yellow>*Hideki(Assassin241) raised an eyebow, and nodded his head. "I see, I see." he smiled, but it soon faded, as he poked her forearm "I thought you didn't want to be a medical ninja."* - Thu Oct  1 02:22:30 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----- - Thu Oct  1 02:24:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: <*Coughs*> - Thu Oct  1 02:24:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Right. - Thu Oct  1 02:24:12 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Thu Oct  1 02:25:04 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: i'll hit you... - Thu Oct  1 02:25:04 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: And you can't roll off this bed... - Thu Oct  1 02:25:04 2015
<br><br><font color=yellow>*Hideki(Assassin241) continued to sit on his wheel chair, as he heard Misa's comment, he waved his hands infront of him "No no no! Don't do that!" * - Thu Oct  1 02:25:55 2015
<br><br><font color=teal>*Hideki(Assassin241) says: But - Thu Oct  1 02:25:55 2015
<br><br><font color=teal>*Hideki(Assassin241) says: omit - Thu Oct  1 02:25:55 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Was on the bed* - Thu Oct  1 02:25:55 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I never realized.. - Thu Oct  1 02:26:46 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: How vulnerable I am right now. - Thu Oct  1 02:26:46 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: And my paranoia. - Thu Oct  1 02:26:46 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Is just now kicking in. - Thu Oct  1 02:26:46 2015
<br><br><font color=yellow>*Hideki(Assassin241) stroked his chin. "Hmm...I do have one in mind, but in order for me to teach this to you, I need to see how far you've progressed in your summoning technique." he stated rather blankly, this is how Hanabi did Hideki's training, and he in return will do the same to Misa.* - Thu Oct  1 02:30:11 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
The snake scurried it's way toward Hideki's chest, to where he looked at Misa and frowned. "Practice it a little more, and I'll teach you how to summon snakes out of your sleeves, and use them effectively in battle." he stated as he stared at the snake that was on his chest. He then looked at Misa. "Why did you turn around when I asked you that question, Misa?"* - Thu Oct  1 02:36:09 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: She has a senbon in her ponytail.. - Thu Oct  1 02:37:00 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: That's clever as fuck. - Thu Oct  1 02:37:00 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Considering Hideki's current situation, he couldn't have stopped the snake even if he tried too, but it slipped under his clothing, and when it did, he winced in pain. Considering his ribcage was broken and having a snake scurry in his clothing just made the pain hella worse. "Why are you on the defensive though?" he asked as she raised her fist up toward him, although Misa had yet to put the senbon back into her hair. When he looked at Misa, who had her hair down, she looked rather beautiful. * - Thu Oct  1 02:39:34 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I like your hair like that, Misa. - Thu Oct  1 02:39:34 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Alright. - Thu Oct  1 02:44:41 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Hey... - Thu Oct  1 02:53:13 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hey. - Thu Oct  1 02:53:13 2015
<br><br><font color=yellow>*Hideki(Assassin241) gently grabbed the plate, and placed it on his lap, carefully of course. He looked at the single cup of tea, as he then said "Mind getting rid of your snake thats in my cloths?" * - Thu Oct  1 02:54:56 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Reached into his cloths, and grabbed the snake that was hiding in his cloths. Or atleast attempted to, if he couldn't have grabbed it, a large white snake came out of his back and went in search for the snake that was in his cloths, and if it found the snake, it would constrict it, attempting to send it back to the Ryuchi cave.* - Thu Oct  1 03:00:54 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
The large white snake constricted the snake that was in his cloths, constricting it to the point where it got unconcious. And sending the snake back to Ryuchi cave, both snakes disappeared in a plume of smoke as he looked at Misa. "Usually you wield a single handsign, and with that you can disperse them upon command. Or, if they get bored of you, they'll just disperese themselves." he stated looking at Misa.* - Thu Oct  1 03:06:01 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Right. - Thu Oct  1 03:07:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Where they come from I have yet to know. Hanabi had yet to tell me, to be honest. - Thu Oct  1 03:08:35 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Thu Oct  1 03:09:26 2015
<br><br><font color=yellow>*Hideki(Assassin241) tapped her forehead. "I'll figure it out soon though. Don't worry." he stated giving Misa a warm smile.* - Thu Oct  1 03:12:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ------------------------ - Thu Oct  1 03:14:33 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
The tea spilled all over his thighs, as the plate also seemed to fall over on the floor. The tea was still rather hot regardless of their previous conversation. Hideki clenched his teeth, not trying to yell or scream in pain. Considering this -really- fucking hurt. He closed his eyes shut, trying to hold the pain in. He definately didn't deserve this, but in Misa's eyes, it seems he did.* - Thu Oct  1 03:16:16 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . . - Thu Oct  1 03:17:58 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -------- - Thu Oct  1 03:17:58 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Yo~ - Thu Oct  1 03:17:58 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Did you miss me? - Thu Oct  1 03:17:58 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Oh! - Thu Oct  1 03:18:49 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: Why is he still here!!!! - Thu Oct  1 03:18:49 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Hideki! - Thu Oct  1 03:18:49 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Nice - Thu Oct  1 03:18:49 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) thinks: he wasn't allowed to live here! - Thu Oct  1 03:18:49 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Getting a hand job! - Thu Oct  1 03:18:49 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: I am sorry bro. - Thu Oct  1 03:18:49 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: ------------------- - Thu Oct  1 03:19:40 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: I did not mean to rain on your parade. - Thu Oct  1 03:19:40 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Got his crotch dabbed with a towel, Hideki however, formed several handsigns, as he extened his sleeve outward, his hand of course was behind Misa, as 4 snakes came out of his sleeve going toward Bernadotte. From their mouths extended swords, they were aimed to impale his arms and legs.* - Thu Oct  1 03:19:40 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) thinks: The Lord Approves. - Thu Oct  1 03:19:40 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Knock next time.. - Thu Oct  1 03:20:32 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) thinks: The lord doesn't approve. - Thu Oct  1 03:21:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Knock first.. - Thu Oct  1 03:21:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Asshole. - Thu Oct  1 03:21:23 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: ..... - Thu Oct  1 03:21:23 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Thi.....s......is....not...violence worthy - Thu Oct  1 03:22:14 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
The snakes that impaled him, disappeared in a plume of smoke. However his wounds were still there, Hideki himself had bandages around his ribcage area, the same was to be said about his femurs. Considering those limbs were broken from previous events. His hand however was still behind Misa, he slowly retracted his hand away from behind her, and gently rested it on his lap. As he glared at Bernadotte. It was one of those death glares in a way. Hideki then spoke toward him. "I apologize for my actions."* - Thu Oct  1 03:23:56 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: ..... - Thu Oct  1 03:24:48 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: D-Do.. - Thu Oct  1 03:24:48 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: You - Thu Oct  1 03:24:48 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: T-Think... - Thu Oct  1 03:24:48 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: An apology is enough.. - Thu Oct  1 03:24:48 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yes. I do. - Thu Oct  1 03:25:39 2015
<br><br><font color=yellow>*Hideki(Assassin241) carefully got into his wheel chair, and started to stroll off with it. He was rather bored, and didn't want to just sit in bed all day.* - Thu Oct  1 03:34:11 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Thu Oct  1 03:35:02 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: What are you doing out of bed? - Thu Oct  1 03:35:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Uh.... - Thu Oct  1 03:35:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Um.... - Thu Oct  1 03:35:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ... - Thu Oct  1 03:35:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Exploring. - Thu Oct  1 03:35:02 2015
<br><br><font color=yellow>*Hideki(Assassin241) continued to roll in the wheel chair.

1 speed stat is 1 speed.* - Thu Oct  1 03:35:53 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Thu Oct  1 03:36:44 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Yooooooooooooooooooooooooo. - Thu Oct  1 03:36:44 2015
<br><br><font color=yellow>*Hideki(Assassin241) was pushed on his wheel chair.* - Thu Oct  1 03:37:36 2015
<br><br><font color=yellow>*Hideki(Assassin241) continued to lay on the bed, his head resting on the soft pillow. He stared at the ceiling, wondering why the fuck he faced Tetsujin in close combat. It was obviously a bad idea to begin with. And he regretted doing so, he let himself down, but not just that, he also worried his friends. Which he tried preventing to do by isolating himself from them. But no matter what he did, they always came into his life. I guess it couldn't be helped regardless.

He continued to stare at the ceiling, sighing.* - Thu Oct  1 03:46:08 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: He turned his body into steel... - Thu Oct  1 03:46:08 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Into Steel.. - Thu Oct  1 03:46:08 2015
<br><br><font color=teal>*Hideki(Assassin241) says: .....Things. - Thu Oct  1 03:52:57 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: ....Why don't you like talking to me? - Thu Oct  1 03:52:57 2015
<br><br><font color=teal>*Hideki(Assassin241) says: What makes you think I don't? - Thu Oct  1 03:52:57 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: You keep either avoiding me...or not telling me anything. - Thu Oct  1 03:53:48 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I always tell you everything, though. - Thu Oct  1 03:54:40 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: You said Things, just now. - Thu Oct  1 03:54:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Thu Oct  1 03:54:40 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Damn. - Thu Oct  1 03:54:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Well, I was just thinking that I was a fool to fight Tetsujin. - Thu Oct  1 03:55:31 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I got my friends hurt in their effort in trying to save me. - Thu Oct  1 03:55:31 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: That's what happens when you try to take on the world by yourself. - Thu Oct  1 03:58:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Thu Oct  1 03:58:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: But I wasn't! - Thu Oct  1 03:58:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: He came at me! - Thu Oct  1 03:58:04 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Thu Oct  1 04:00:38 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: What were you doing? - Thu Oct  1 04:01:29 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I was training with Niza-sama. - Thu Oct  1 04:01:29 2015
<br><br><font color=teal>*Hideki(Assassin241) says: And he just -showed- up. - Thu Oct  1 04:01:29 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Thu Oct  1 04:04:03 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: Don't train outside? - Thu Oct  1 04:04:54 2015
<br><br><font color=yellow>*Hideki(Assassin241) tapped her forehead.

