<br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Thu Oct  8 22:10:46 2015
<br><br><font color=yellow>*Hideki(Assassin241) quickly and effectively, created handsigns himself, as katon chakra built up in his bodies system, he mixed it with the oxygen in his body, infusing the two elements together, his chest expanded, he opened his mouth and sent forth a fireball toward one of the paper birds.* - Thu Oct  8 23:49:45 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: --- - Thu Oct  8 23:50:36 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Is that a no? - Thu Oct  8 23:56:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: We can. After this, Cypher. - Thu Oct  8 23:56:35 2015
<br><br><font color=teal>*Hideki(Assassin241) says: We'll also get Ortho in this. - Thu Oct  8 23:56:35 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: ---- - Fri Oct  9 00:00:00 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I feel....a disturbence.. - Fri Oct  9 00:00:00 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Guys. - Fri Oct  9 00:00:51 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I'm making Hebi - Fri Oct  9 00:01:42 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Us 3 and Ortho - Fri Oct  9 00:01:42 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: --omit- - Fri Oct  9 00:01:42 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Well, atleast I know the range. - Fri Oct  9 00:04:16 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: ALLYOU NINJAS UGLY! - Fri Oct  9 00:07:40 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: HAHAHA!SEXY NINJA PRIVILEGES@ - Fri Oct  9 00:08:32 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) says: -omit- - Fri Oct  9 00:08:32 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) whispers: Are they killing her? - Fri Oct  9 00:22:11 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Welp. - Fri Oct  9 01:08:16 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) thinks: Sulphur.. Hn.. - Fri Oct  9 01:08:16 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: We outchea. - Fri Oct  9 01:08:16 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Fri Oct  9 01:08:16 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: I'm not needed here I guess.. - Fri Oct  9 01:09:07 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I'm getting.. sick of doing that.. - Fri Oct  9 01:55:12 2015
<br><br><font color=yellow>*Hideki(Assassin241) somehow made it into a house, he leaned against one of the walls and shifted his gaze toward Ortho, he walked over toward him and placed his hand ontop of his right shoulder. "You listen to me.......You listen good......I understand that running isn't always the best thing to do, but it's the only way we can survive until we are all stronger. I've probably lost the love of my life, aswell as all my family members......." he paused, as he closed his eyes, and clenched his teeth. He reopened his eyes and continued to look at Ortho, his sharingan staring into his eyes.

"One day, Ortho. We will arise and have our revenge, do you understand? But right now we must wait to act, patience is key....Look at the people around you. These are the people that you will have to trust for now on. Except for this idiot here that's running around." he stated rather annoyed.* - Fri Oct  9 01:58:36 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: . . . - Fri Oct  9 01:59:28 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: One.. - Fri Oct  9 01:59:28 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Two.. - Fri Oct  9 01:59:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Calm....Ambrocio. - Fri Oct  9 01:59:28 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Fuck. - Fri Oct  9 01:59:28 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... Hmph.. - Fri Oct  9 02:02:01 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Good...Good.. - Fri Oct  9 02:06:17 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'm going to go check the outside. - Fri Oct  9 02:08:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Anyone else want to come with? - Fri Oct  9 02:08:00 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: I might as well. It's been a while since I've been back here anyways. - Fri Oct  9 02:08:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . - Fri Oct  9 02:09:42 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ..Nnh. - Fri Oct  9 02:09:42 2015
<br><br><font color=yellow>*Hideki(Assassin241) pulled up to the scene with his niggas.* - Fri Oct  9 02:10:33 2015
<br><br><font color=yellow>*Hideki(Assassin241) placed his hand on Ambrocio's shoulder.* - Fri Oct  9 02:11:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Calm.. - Fri Oct  9 02:11:24 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Why are these people staring at us.. - Fri Oct  9 02:12:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Let's go. - Fri Oct  9 02:13:07 2015
<br><br><font color=yellow>*Hideki(Assassin241) glared at Isshin. "Right..." as they went off, his Uchiha Crest was easily visable on the back of his shirt.* - Fri Oct  9 02:18:14 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... - Fri Oct  9 02:19:05 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: How about we play a game of dice? - Fri Oct  9 02:20:48 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: .... - Fri Oct  9 02:20:48 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Seventeen, Eighteen.. - Fri Oct  9 02:20:48 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ..... - Fri Oct  9 02:25:04 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Go fish. - Fri Oct  9 02:25:55 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: .... - Fri Oct  9 02:25:55 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: He..hehe... - Fri Oct  9 02:25:55 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) thinks: What the fuck is go fish? - Fri Oct  9 02:25:55 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ....... - Fri Oct  9 02:25:55 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: I do not have a fishing rodd with me at the moment... - Fri Oct  9 02:25:55 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: I can't....do that. - Fri Oct  9 02:25:55 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: Sorry. - Fri Oct  9 02:25:55 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) thinks: This..stupid..motherfucker.. - Fri Oct  9 02:25:55 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: I dont even know how to fish. - Fri Oct  9 02:26:46 2015
<br><br><font color=yellow>*Hideki(Assassin241) got up and started to walk to the square. "I'll be right back."* - Fri Oct  9 02:28:28 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Now -you're- the fucking fish! - Fri Oct  9 02:29:20 2015
<br><br><font color=yellow>*Hideki(Assassin241) appeared at the square.* - Fri Oct  9 02:30:11 2015
<br><br><font color=yellow>*Hideki(Assassin241) leaves thinking someone important was coming, guessed not.* - Fri Oct  9 02:31:53 2015
<br><br><font color=yellow>*Hideki(Assassin241) slapped the fucking dice away. "....No.." he flashed back to the time he kept losing at dice back at his home.* - Fri Oct  9 02:34:27 2015
<br><br><font color=yellow>*Hideki(Assassin241) slapped that shit out too.* - Fri Oct  9 02:35:18 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: ...... - Fri Oct  9 02:35:18 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: You want to fight mate?! - Fri Oct  9 02:36:09 2015
<br><br><font color=yellow>*Hideki(Assassin241) stared at this man.* - Fri Oct  9 02:36:09 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: That is what I thought! - Fri Oct  9 02:36:09 2015
<br><br><font color=yellow>*Hideki(Assassin241) punched this man in the face. He looked at Ambrocio. "You get to punch him later."* - Fri Oct  9 02:37:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ...Yes.. - Fri Oct  9 02:38:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Fri Oct  9 02:39:34 2015
<br><br><font color=teal>*Hideki(Assassin241) says: .... - Fri Oct  9 02:39:34 2015
<br><br><font color=yellow>*Hideki(Assassin241) buys a caravan for his nigga's fuck Bernadotte.* - Fri Oct  9 02:42:59 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ..... - Fri Oct  9 03:28:12 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Mmnh.. - Fri Oct  9 03:30:46 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----- - Fri Oct  9 03:35:02 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Meat pie?.. - Fri Oct  9 03:35:02 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Its human meat -omit- - Fri Oct  9 03:35:53 2015
<br><br><font color=yellow>*Hideki(Assassin241) stopped daydreaming and stood next to Ambrocio.* - Fri Oct  9 03:35:53 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What? - Fri Oct  9 03:35:53 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Mhm...Chopped steak in a soft bread pie. - Fri Oct  9 03:37:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----- - Fri Oct  9 03:37:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . - Fri Oct  9 03:37:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Steak and cheese. - Fri Oct  9 03:37:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Steamed and baked. - Fri Oct  9 03:37:36 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Nevermind. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Baen it is good to see you here. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: I need everyones help. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . . - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Will you help me? - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Who is Fujitora foolin. - Fri Oct  9 03:39:18 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Bitch, who are you? - Fri Oct  9 03:40:09 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: With what?..The crops not growing? - Fri Oct  9 03:41:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I can help fertilize. - Fri Oct  9 03:41:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Some herbs here. - Fri Oct  9 03:41:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Some water, so on. - Fri Oct  9 03:41:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: You look better with the lights off. - Fri Oct  9 03:41:52 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Oh, what's good. - Fri Oct  9 03:42:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Here trying to rebuild this place. - Fri Oct  9 03:42:43 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Will you help me? - Fri Oct  9 03:42:43 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Called me here to help rebuild? - Fri Oct  9 03:42:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: He has a fight with Tetsujin to worry about..I don't really think he can help. - Fri Oct  9 03:43:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I called you here because of the blades left on Tethy's will. - Fri Oct  9 03:43:34 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I gave this place three million Yen, where did it al go? - Fri Oct  9 03:43:34 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: What can you offer me? - Fri Oct  9 03:43:34 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: When was this? - Fri Oct  9 03:43:34 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Before Tethys death...But in his will he left people TONS of money... - Fri Oct  9 03:43:34 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: That money i gave him was meant for the village.. - Fri Oct  9 03:44:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: It is gone. - Fri Oct  9 03:44:25 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Tsk.. - Fri Oct  9 03:44:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: The village was destroyed as you can se Fujitora. - Fri Oct  9 03:44:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I do not know anything about any money. - Fri Oct  9 03:44:25 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What would you want Baen? - Fri Oct  9 03:45:16 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: There is not much I can offer you. - Fri Oct  9 03:45:16 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: I'm not even sure. I have no use for money. I'm already powerful. Tetsujin's giving me his title and by extension his life. - Fri Oct  9 03:45:16 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Speaking of the blades of the will... - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: How is Niza doing? - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Then there is nothing I can offer you. - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I read Tethys Will....Kiba Blades sound interesting. - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I do not know. - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I have been here. - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: But Kirie... - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Niza almost died. - Fri Oct  9 03:46:08 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Kumogakure got destroyed essentially. - Fri Oct  9 03:46:59 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: ... - Fri Oct  9 03:46:59 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: What? - Fri Oct  9 03:46:59 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I was there several days ago. - Fri Oct  9 03:46:59 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: This was very recent. - Fri Oct  9 03:47:50 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Kenshin came in and killed himself and a few people. - Fri Oct  9 03:48:41 2015
<br><br><font color=teal>*Ossa, Baen(Ama No Murakumo) says: Almost killed Niza, but hey, shinobi life. - Fri Oct  9 03:48:41 2015
<br><br><font color=yellow>*Hideki(Assassin241) tapped Ambrocio's shoulder. "Let's go back to Kumogakure then.." he stated as he picked up Ortho aswell. He called for a caravan of course that they took back to Kumogakure.* - Fri Oct  9 03:52:06 2015
<br><br><font color=yellow>*Hideki(Assassin241) pulled up to the scene with this niggas.* - Fri Oct  9 03:57:13 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ...... - Fri Oct  9 03:58:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hideki, where were you.... - Fri Oct  9 03:58:04 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I was kidnapped. - Fri Oct  9 03:58:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: People died, Hideki, a lot of them.... - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I couldn't do anything but run away... - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: And? - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I've lost a lot of people myself.. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: You could've helped them, that's what! - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Hideki(Assassin241) says: That's life kid. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... Mmn. - Fri Oct  9 03:58:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ,,,,,,,Well, I'll get stronger so that I don't have to deal with that life. Watch me... - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I thought we lost this man.. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: ... *Face twitch.* - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Good luck Nina. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I don't need luck. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah you do. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I won't lose anyone else on my watch. - Fri Oct  9 03:59:47 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Keep thinking that. - Fri Oct  9 04:00:38 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Thought the same thing. - Fri Oct  9 04:00:38 2015
