<br><font color=teal>*Hideki(Assassin241) says: omit - Sun Oct  4 05:08:28 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: .... - Sun Oct  4 05:11:02 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hideki. - Sun Oct  4 05:11:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Sun Oct  4 05:11:02 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: You come to me. - Sun Oct  4 05:11:02 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: With lies. - Sun Oct  4 05:11:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ------------------ - Sun Oct  4 05:11:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -------------------------------------------------------- - Sun Oct  4 05:11:53 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I believed you'd joined me. - Sun Oct  4 05:11:53 2015
<br><br><font color=teal>*Hideki(Assassin241) says: *Coughs* - Sun Oct  4 05:11:53 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Listen, in my defense. - Sun Oct  4 05:11:53 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: In manhood. - Sun Oct  4 05:11:53 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I wa- - Sun Oct  4 05:11:53 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Nah listen. - Sun Oct  4 05:11:53 2015
<br><br><font color=teal>*Lyala(BoyFlareon) thinks: If he was holding back, I will cry.  - Sun Oct  4 05:11:53 2015
<br><br><font color=teal>*Lyala(BoyFlareon) thinks: Because he would be underground, dead. - Sun Oct  4 05:11:53 2015
<br><br><font color=teal>*Hideki(Assassin241) says: She is really good. At acting. - Sun Oct  4 05:11:53 2015
<br><br><font color=teal>*Lyala(BoyFlareon) thinks: Ah, good. - Sun Oct  4 05:12:44 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Pt. - Sun Oct  4 05:12:44 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: It was not the acting. - Sun Oct  4 05:12:44 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Sir. - Sun Oct  4 05:12:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Sun Oct  4 05:12:44 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: It was these. - Sun Oct  4 05:12:44 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: ---- - Sun Oct  4 05:12:44 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Mhm. - Sun Oct  4 05:12:44 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I see. - Sun Oct  4 05:12:44 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Good with your hands. - Sun Oct  4 05:12:44 2015
<br><br><font color=yellow>*Hideki(Assassin241) sighed.* - Sun Oct  4 05:12:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Sun Oct  4 05:12:44 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: A good woman indeed. - Sun Oct  4 05:12:44 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Keep eyes on this one Hideki. - Sun Oct  4 05:12:44 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Or I will. - Sun Oct  4 05:13:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---------- - Sun Oct  4 05:13:36 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Did I do something wrong? - Sun Oct  4 05:13:36 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: No. - Sun Oct  4 05:13:36 2015
<br><br><font color=yellow>*Hideki(Assassin241) went over toward Aiyana.* - Sun Oct  4 05:13:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Who did this to you? - Sun Oct  4 05:13:36 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: You've done just fine. - Sun Oct  4 05:13:36 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Alright. - Sun Oct  4 05:13:36 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: What? - Sun Oct  4 05:14:27 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Your face.. - Sun Oct  4 05:14:27 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Who. - Sun Oct  4 05:14:27 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Did. - Sun Oct  4 05:14:27 2015
<br><br><font color=teal>*Hideki(Assassin241) says: It. - Sun Oct  4 05:14:27 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) whispers: Who is Seisuko... - Sun Oct  4 05:15:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ------------------------------------- - Sun Oct  4 05:15:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I see.... - Sun Oct  4 05:15:18 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: Was his name, Seisuke? - Sun Oct  4 05:15:18 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: He should've stated I was his brother as well. - Sun Oct  4 05:15:18 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: I'm not talking about my Injuries Hideki..It is irrelevant. - Sun Oct  4 05:15:18 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Oh. - Sun Oct  4 05:16:09 2015
<br><br><font color=teal>*Reguel(Airide) says: Raikage, that's going on? - Sun Oct  4 05:16:09 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Speaking out loud. - Sun Oct  4 05:16:09 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Once again. - Sun Oct  4 05:16:09 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Sun Oct  4 05:16:09 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hold on.. - Sun Oct  4 05:16:09 2015
<br><br><font color=teal>*Lyala(BoyFlareon) thinks: This village is very interesting. - Sun Oct  4 05:16:09 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: Seisuke. - Sun Oct  4 05:16:09 2015
<br><br><font color=teal>*Niza(Chevy Malibu) thinks: Come summertime, no female is safe. - Sun Oct  4 05:17:00 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Anyways. - Sun Oct  4 05:17:00 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: As for what's going on? - Sun Oct  4 05:17:00 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I've no idea. - Sun Oct  4 05:17:00 2015
<br><br><font color=yellow>*Hideki(Assassin241) got tired of these stupid ass nigga's fighting, as soon as he came close to them, two large white snakes instantaneously wrapped around both of the individuals. Binding there movements completely.* - Sun Oct  4 05:17:00 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Some people have returned from the Private Exams. - Sun Oct  4 05:17:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: That is all. - Sun Oct  4 05:17:52 2015
<br><br><font color=teal>*Reguel(Airide) says: How dull. - Sun Oct  4 05:17:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hideki is utilizing his training. - Sun Oct  4 05:17:52 2015
<br><br><font color=teal>*Bernadotte(Iron Zorro) says: MESS ON SOMEONE YOUR OWN SIZE! - Sun Oct  4 05:17:52 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: To subdue these two. - Sun Oct  4 05:17:52 2015
<br><br><font color=yellow>*Hideki(Assassin241) got headbutted, releasing his snake, however the man Bernadotte grew a pair of balls, quickly and effectively he used the technique Niza taught him, he quickly turned around and jetted his hand toward Bernadotte's Adam's Apple.* - Sun Oct  4 05:19:34 2015
<br><br><font color=teal>*Reguel(Airide) says: Raikage, I still want Taijutsu training, as for now, I'm going back to study Medical ninjutsu, I'll send you money and a list of things I'll need for experiments. - Sun Oct  4 05:19:34 2015
<br><br><font color=yellow>*Hideki(Assassin241) he grabbed Bernadotte by his shoulders, he then brang his knee toward his gut region.* - Sun Oct  4 05:20:25 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Hideki. - Sun Oct  4 05:20:25 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Please. - Sun Oct  4 05:20:25 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Stop this. - Sun Oct  4 05:20:25 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Everyone. - Sun Oct  4 05:20:25 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Stop this. - Sun Oct  4 05:20:25 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: Before I stop it. - Sun Oct  4 05:20:25 2015
<br><br><font color=teal>*Reguel(Airide) says: I can stop them myself. - Sun Oct  4 05:20:25 2015
<br><br><font color=teal>*Reguel(Airide) says: Some exam. - Sun Oct  4 05:21:16 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: There is no exam. - Sun Oct  4 05:21:16 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: That exam's over. - Sun Oct  4 05:21:16 2015
<br><br><font color=yellow>*Hideki(Assassin241) had some quick reflexes, quickly and effectively he side stepped the puke. He was not about to get vomit all over his nice cloak, however he activated his three tomoe sharingan, as he backed up from all the conflict for now.* - Sun Oct  4 05:22:59 2015
<br><br><font color=yellow>*Hideki(Assassin241) got flexed on by Niza, however the attack did wash over toward Hideki, he was stunned momentarily by the technique.* - Sun Oct  4 05:31:31 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: Fuck these people. - Sun Oct  4 05:36:38 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Reguel, if my name comes out of your mouth.. - Sun Oct  4 05:38:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: One more time.. - Sun Oct  4 05:38:20 2015
<br><br><font color=teal>*Reguel(Airide) says: Hideki. - Sun Oct  4 05:38:20 2015
<br><br><font color=teal>*Reguel(Airide) says: Hideki. - Sun Oct  4 05:38:20 2015
<br><br><font color=teal>*Reguel(Airide) says: Hideki. - Sun Oct  4 05:38:20 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Stop it. - Sun Oct  4 05:38:20 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Why must we act in such a maner? - Sun Oct  4 05:38:20 2015
<br><br><font color=teal>*Reguel(Airide) says: He just hates me for no reason, such an emotional person. - Sun Oct  4 05:40:03 2015
<br><br><font color=teal>*Reguel(Airide) says: Is it because something I said? - Sun Oct  4 05:40:54 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: If I get hit with one more thing... I'm going to fucking lose it....... - Sun Oct  4 05:40:54 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: No, that's what you'd want.. I'm not letting you do shit to me. - Sun Oct  4 05:40:54 2015
<br><br><font color=yellow>*Hideki(Assassin241) was playing -no- fucking games, he demanded respect, and if this man Reguel wanted to test him, then by all means he was going to show absolutely -no- fucking mercy. It doesn't matter who was here to see it, he was going to whoop this little man's ass. However, there is a major factor, and that was the fact that his speed wasn't all the greatest, so in a calmly manner he walked toward the left, passing Bernadotte.* - Sun Oct  4 05:41:45 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Hideki, just calm down.. - Sun Oct  4 05:42:36 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: .....This is perfect. - Sun Oct  4 05:44:19 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Go near him.. - Sun Oct  4 05:45:10 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Hm... - Sun Oct  4 05:48:35 2015
<br><br><font color=yellow>*Hideki(Assassin241) turned his heels facing Reguel, he glared at the man. His sharingan examining him up and down. "All I got to say is, if he doesn't start showing some respect real soon.. He'll end up like Himura." he stated loud enough for Niza to hear.* - Sun Oct  4 05:52:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: . . . . . - Sun Oct  4 05:52:00 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: ... - Sun Oct  4 05:52:00 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: This nigga.. - Sun Oct  4 05:52:00 2015
<br><br><font color=teal>*Amon(William O. Wisper) thinks: Just.. - Sun Oct  4 05:52:00 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) thinks: This once. - Sun Oct  4 05:53:42 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Sun Oct  4 05:54:33 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Who the fuck is this. - Sun Oct  4 05:54:33 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Tend to my wounds? - Sun Oct  4 05:55:24 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I have no more wounds. - Sun Oct  4 05:55:24 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) says: . . . - Sun Oct  4 05:55:24 2015
<br><br><font color=teal>*Hideki(DhatBoiNick) says: Niza.. I've been lusting after yo for so long.. - Sun Oct  4 05:56:16 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: --- - Sun Oct  4 05:56:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Sun Oct  4 05:56:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: YO - Sun Oct  4 05:56:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: THERES - Sun Oct  4 05:57:07 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Niza. - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Can you please. - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: PLEASE. - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Put me and Reguel in an arena. - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Why do you dislike him so much? - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: He's done nothing to you. - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Before I slap you slap my dick against your jaw region with so much strength you develop a fucking over-bite! - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Hideki(Assassin241) says: He needs to show some damn respect. - Sun Oct  4 05:58:49 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Respect is not given, but earned. - Sun Oct  4 05:59:40 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Just stay calm.... Hideki. - Sun Oct  4 05:59:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Fuck you Kuro. - Sun Oct  4 05:59:40 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Act like a respectable individual and then respect will come. You're too emotional right now, and treading down a dark path. - Sun Oct  4 05:59:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You don't know anything. - Sun Oct  4 06:00:32 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Meditate and find inner peace. - Sun Oct  4 06:00:32 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) whispers: Hideki.... - Sun Oct  4 06:00:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Fuck - Sun Oct  4 06:00:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You. - Sun Oct  4 06:00:32 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Kuro. - Sun Oct  4 06:00:32 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: You've changed a lot since the death of Hanabi.  - Sun Oct  4 06:01:23 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Thats not what changed me. - Sun Oct  4 06:01:23 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: You're digging a hole for yourself. - Sun Oct  4 06:02:14 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Fight me. - Sun Oct  4 06:02:14 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Right now. - Sun Oct  4 06:02:14 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: I will not. - Sun Oct  4 06:02:14 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Cause your a puss. - Sun Oct  4 06:02:14 2015
<br><br><font color=teal>*Misa(FatFreeCupcakes) whispers: Hideki...Please... - Sun Oct  4 06:02:14 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: No, because there's no reason to fight. - Sun Oct  4 06:02:14 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: You're acting like a child right now, longing for attention. - Sun Oct  4 06:03:05 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Think not of yourself, but of those that remain. You still have family on this world. - Sun Oct  4 06:03:05 2015
<br><br><font color=teal>*Kuro(Ichigo10101) says: Think of Heiwa. - Sun Oct  4 06:03:05 2015
<br><br><font color=teal>*Lyala(BoyFlareon) thinks: Sigh, I can't really calm down Hideki so I'll just stand back then. - Sun Oct  4 06:03:56 2015
<br><br><font color=yellow>*Hideki(Assassin241) got a hand on his shoulder, he glared at Reguel, then he glared at Kuro. "You both irritate me. Both of you do." he jerked his shoulder away from Misa. "I told you to stop fucking coming near me.." he started to walk off, he was about to explode.* - Sun Oct  4 06:05:39 2015
<br><br><font color=teal>*Reguel(Airide) says: You had a chance to strike me. - Sun Oct  4 06:05:39 2015
<br><br><font color=teal>*Amon(William O. Wisper) says: Today.. Has been an interesting day. - Sun Oct  4 06:09:55 2015
<br><br><font color=teal>*Lyala(BoyFlareon) thinks: Well, I should let Hideki relax and I am on my way.  - Sun Oct  4 06:10:46 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . . - Sun Oct  4 06:12:28 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: She acts so innocent.. - Sun Oct  4 06:12:28 2015
<br><br><font color=teal>*Hideki(Assassin241) whispers: I'll be at the ramen shop..Sorry.. - Sun Oct  4 06:13:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Heiwa.. - Sun Oct  4 06:21:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Don't ever date girls. - Sun Oct  4 06:21:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: They're trouble. - Sun Oct  4 06:21:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Although if you find the right one. - Sun Oct  4 06:21:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Do I date guys then? - Sun Oct  4 06:21:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Then you'll be fine. - Sun Oct  4 06:21:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Sun Oct  4 06:21:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No. - Sun Oct  4 06:21:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Okay.. - Sun Oct  4 06:21:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Are you and Miss Misa dating then? - Sun Oct  4 06:22:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Sun Oct  4 06:22:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No. - Sun Oct  4 06:22:43 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Oh. Okay. Hey, can you show me that fireball jutsu you were talking about? - Sun Oct  4 06:23:34 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Sure. - Sun Oct  4 06:23:34 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'll show yo. - Sun Oct  4 06:23:34 2015
<br><br><font color=teal>*Hideki(Assassin241) says: you* - Sun Oct  4 06:23:34 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Let's go. - Sun Oct  4 06:24:25 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Alright. - Sun Oct  4 06:25:16 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Pay close attention, Heiwa. - Sun Oct  4 06:25:16 2015
<br><br><font color=yellow>*Hideki(Assassin241) quickly started to form several handsigns, and upon forming the handsigns, he had the katon chakra within his bodies system, having it manifest for a short while, he then mixed it with the oxygen, having the two elements mix together, his chest expanded as he opened his mouth wide, sending forth a large fireball that soon impacted the ground, that flung forth debris and caused a smokescreen to appear in the area they were generally in, but it soon subsided.* - Sun Oct  4 06:26:59 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Nicely done. Don't overdue yourself, Heiwa. - Sun Oct  4 06:39:47 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: *pant* Right. - Sun Oct  4 06:40:38 2015
<br><br><font color=yellow>*Hideki(Assassin241) arrives with Heiwa.* - Sun Oct  4 06:40:38 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Hi. - Sun Oct  4 06:42:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hey. - Sun Oct  4 06:42:20 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: How did the training go? - Sun Oct  4 06:42:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Good, Heiwa is getting the ropes down. - Sun Oct  4 06:43:12 2015
<br><br><font color=yellow>*Hideki(Assassin241) ||
Ain't see that middle finger.* - Sun Oct  4 06:44:54 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Hm. - Sun Oct  4 06:44:54 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Soooo, what's going on? - Sun Oct  4 06:45:45 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Are you okay, Hideki? - Sun Oct  4 06:45:45 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'm fine. - Sun Oct  4 06:46:36 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Alright, I'm glad. - Sun Oct  4 06:46:36 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Who's this, Uncle Hideki? - Sun Oct  4 06:47:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: This is Lyala.. - Sun Oct  4 06:47:28 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Uncle? Oh.. - Sun Oct  4 06:48:19 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Hello! My name is Lyala. - Sun Oct  4 06:50:01 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Oh. My name is Heiwa. - Sun Oct  4 06:50:52 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: So, Heiwa, how are you? *smiles* - Sun Oct  4 06:52:35 2015
<br><br><font color=yellow>*Hideki(Assassin241) went snoozin somewhere safe.* - Sun Oct  4 06:53:26 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Hideki, was it? - Sun Oct  4 17:58:11 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hm? - Sun Oct  4 17:58:11 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Yeah. - Sun Oct  4 17:58:11 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Snitches after you. - Sun Oct  4 17:59:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Snitches? - Sun Oct  4 17:59:02 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Ye'. - Sun Oct  4 17:59:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Who snitched? - Sun Oct  4 17:59:02 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Some dude named Kilm. - Sun Oct  4 17:59:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: He's a pussy. - Sun Oct  4 17:59:02 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Dunno, they living in Sunagakure now. Him and his possie. - Sun Oct  4 17:59:53 2015
<br><br><font color=teal>*Yamanshi Kojiro(Dragonfile) says: Just be careful, you know? - Sun Oct  4 17:59:53 2015
<br><br><font color=teal>*Hideki(Assassin241) says: His possie ain't shit either. - Sun Oct  4 17:59:53 2015
<br><br><font color=teal>*Niza(Chevy Malibu) says: I've been under the effects of this technique before. The intensity of it seems unrealistic to  be...well...real, so I associated it with genjutsu. - Sun Oct  4 17:59:53 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Oh..Hrm. Hey, Hideki! Can I try something on you? - Sun Oct  4 18:01:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: No. - Sun Oct  4 18:01:36 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Why not? - Sun Oct  4 18:01:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Not know, Heiwa. - Sun Oct  4 18:02:27 2015
