<br><font color=teal>*Komaru(JustCallMeGnar) says: S-Stop being so mean.. - Wed Oct  7 03:47:50 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Are you a rank or something here? - Wed Oct  7 22:36:48 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Nope. - Wed Oct  7 22:36:48 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: But if it'll make you want to talk to me longer. - Wed Oct  7 22:37:39 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I'll say yes. - Wed Oct  7 22:37:39 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Then why are you in here? - Wed Oct  7 22:37:39 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: I don't know, probably because It makes pretty women think I'm important. - Wed Oct  7 22:37:39 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Wed Oct  7 22:38:30 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ..... - Wed Oct  7 22:38:30 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Umm......okay then. - Wed Oct  7 22:38:30 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hello. - Wed Oct  7 22:38:30 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hiya.~ - Wed Oct  7 22:39:21 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Wed Oct  7 22:39:21 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Hi. - Wed Oct  7 22:39:21 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: I don't think she likes me. - Wed Oct  7 22:39:21 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: Time to put on the Smolder. - Wed Oct  7 22:39:21 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ----- - Wed Oct  7 22:40:12 2015
<br><br><font color=yellow>*Nina(Ninasky115) blinked and looked over at Hideki, wondering why he said hi again, but waved nicely at him with a big smile. After looking over at Cypher, she'd blink lightly. "Umm, hi?"* - Wed Oct  7 22:40:12 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ---- - Wed Oct  7 22:41:04 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I said Hi twice.. - Wed Oct  7 22:41:04 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: Fuck. - Wed Oct  7 22:41:04 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Hello there, I don't believe I got your name~? - Wed Oct  7 22:41:04 2015
<br><br><font color=yellow>*Nina(Ninasky115) blinked again, her small body showing that she was quite young. In fact, she was only 9, but her lack of profile-making skills didn't help. "I'm Nina.~"* - Wed Oct  7 22:41:55 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hii.~ - Wed Oct  7 22:43:37 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: So. - Wed Oct  7 22:43:37 2015
<br><br><font color=teal>*Hideki(Assassin241) says: ..... - Wed Oct  7 22:43:37 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Have you seen. - Wed Oct  7 22:43:37 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: My Mixtape in stores? - Wed Oct  7 22:43:37 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Are you ready to train, Cypher. - Wed Oct  7 22:43:37 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: If I flirt with her, It's an investment for when she's' of age. - Wed Oct  7 22:43:37 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) thinks: Idea.. - Wed Oct  7 22:43:37 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Yeah. - Wed Oct  7 22:43:37 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Would you like some Candy Nina~? - Wed Oct  7 22:43:37 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: -omit- - Wed Oct  7 22:43:37 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I want to train too.~ - Wed Oct  7 22:44:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Let's go. - Wed Oct  7 22:44:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: -- - Wed Oct  7 22:44:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Uh, sure. - Wed Oct  7 22:44:28 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Wed Oct  7 22:45:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Are you coming. - Wed Oct  7 22:45:20 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Alright. - Wed Oct  7 22:45:20 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: This became. - Wed Oct  7 22:46:11 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: A Day care. - Wed Oct  7 22:46:11 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Two little kids. - Wed Oct  7 22:46:11 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Watch and admire, the Shining Star which is Me. - Wed Oct  7 22:46:11 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I can hold my own! - Wed Oct  7 22:46:11 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Feel free to stare in adoration. - Wed Oct  7 22:46:11 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Call me Senpai. - Wed Oct  7 22:46:11 2015
<br><br><font color=teal>*Hideki(Assassin241) says: . . . - Wed Oct  7 22:46:11 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I want to join too! - Wed Oct  7 22:47:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: First things first. - Wed Oct  7 22:47:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: What are your elements? - Wed Oct  7 22:47:02 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Wind.~ - Wed Oct  7 22:47:02 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Wind, Fire, And Earth. - Wed Oct  7 22:47:02 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: ...I don't have the wind element.. - Wed Oct  7 22:47:02 2015
<br><br><font color=teal>*Hideki(Assassin241) thinks: I do have fire. - Wed Oct  7 22:47:02 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Fire and water. - Wed Oct  7 22:47:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Alright. - Wed Oct  7 22:47:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Well... - Wed Oct  7 22:47:02 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Do you know Fireball Jutsu? - Wed Oct  7 22:47:53 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Nope, I only know wind-based Techniques. - Wed Oct  7 22:47:53 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Like what?~ - Wed Oct  7 22:47:53 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Stuff, I can't teach anyone, unless they marry into my clan. - Wed Oct  7 22:47:53 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Uhh, that's weird.... - Wed Oct  7 22:48:44 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Maybe. - Wed Oct  7 22:48:44 2015
<br><br><font color=teal>*Nina(Ninasky115) says: How about we have teams?~ - Wed Oct  7 22:48:44 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: The two Nine year olds. - Wed Oct  7 22:48:44 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Can fight eachother. - Wed Oct  7 22:48:44 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..I'm six. - Wed Oct  7 22:48:44 2015
<br><br><font color=teal>*Hideki(Assassin241) says: That would be unfair. - Wed Oct  7 22:49:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Heiwa is very skilled in genjutsu. - Wed Oct  7 22:49:36 2015
<br><br><font color=teal>*Hideki(Assassin241) says: He would beat her in less than mere seconds. - Wed Oct  7 22:49:36 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: --- - Wed Oct  7 22:49:36 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Well. - Wed Oct  7 22:50:27 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: What can we do Sensei? - Wed Oct  7 22:50:27 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Maybe us two against you.~ - Wed Oct  7 22:51:18 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Sure. - Wed Oct  7 22:51:18 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Two? Who? You and him? - Wed Oct  7 22:52:09 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Me and you. - Wed Oct  7 22:52:09 2015
<br><br><font color=teal>*Hideki(Assassin241) says: --- - Wed Oct  7 22:52:09 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: ---- - Wed Oct  7 22:53:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: I'd rather not face Heiwa.. - Wed Oct  7 22:53:00 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Then what are we gonna do.....? - Wed Oct  7 22:53:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: His genjutsu prowess is truly something to be scared of to tell you the truth. - Wed Oct  7 22:53:00 2015
<br><br><font color=teal>*Hideki(Assassin241) says: He has potential, which is good. - Wed Oct  7 22:53:00 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Hideki-sensei. - Wed Oct  7 22:53:52 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: How about. - Wed Oct  7 22:53:52 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: We go at it? - Wed Oct  7 22:53:52 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Sure. - Wed Oct  7 22:53:52 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Show them how it's done. - Wed Oct  7 22:53:52 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I still want to train though, that's the problem! - Wed Oct  7 22:53:52 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Well then. - Wed Oct  7 22:54:43 2015
<br><br><font color=teal>*Hideki(Assassin241) says: You both come at me. - Wed Oct  7 22:54:43 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: Let's be--- - Wed Oct  7 22:54:43 2015
<br><br><font color=teal>*Zetseun, Cypher(Jjking218) says: *sigh* - Wed Oct  7 22:54:43 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Alrighty.~ - Wed Oct  7 22:54:43 2015
<br><br><font color=yellow>*Nina(Ninasky115) nodded and walked over towards towards Cypher. "Okay, lets do this then." Dropping to the ground a bit, her playful demeanor seemed to disappear as she had began trying. Moving forward as quickly as she could, she tried to approach Hideki quickly enough to get in a close enough to engage in close-quarters combat.

Without a single hesitation, she'd slide forward and pull both of her hands up to cover her face yet give her enough room to see Hideki and his actions. Moving forward, she'd attempt to jab her left arm forward towards his stomach region, since she was pretty short compared to the young adult.* - Wed Oct  7 22:58:08 2015
<br><br><font color=yellow>*Nina(Ninasky115) watched as Hideki had jumped back from both attacks, the boy beside him seeming to appear out of nowhere. Though, she was pretty focused at that moment. Pulling her hands together, her feet steady on the ground, she'd attempt to flow her hands through a series of handseals fluidly, nothing too special.

Pulling her head back, she'd hold the seal up to her chest and move forward, her mouth shooting forward four air bullets towards him. They were blunt, but moved fast as a bullet of wind. They flew towards the center of his chest, left, and right knee. Hopefully it'd hit him hard enough to immobilize him for a few seconds so that her partner could capitalize on the attack.* - Wed Oct  7 23:09:13 2015
<br><br><font color=yellow>*Nina(Ninasky115) was panting hard now, moving back a bit as her arms dropped to her sides weakly. "I'm sorry, I thought I'd be better than just three...." She hadn't even noticed how much the bullets took out of her reserves.* - Wed Oct  7 23:20:19 2015
<br><br><font color=yellow>*Nina(Ninasky115) blinked as she watched that everyone was about to leave. Sighing a little, she'd sit down in place and just sit there, maybe even meditating. She'd bat her eyes open lightly when she heard the scroll hit the ground. "Thank you."* - Wed Oct  7 23:35:40 2015
<br><br><font color=teal>*Hideki(Assassin241) says: Mhm. - Wed Oct  7 23:36:32 2015
<br><br><font color=yellow>*Nina(Ninasky115) looked down at the scroll lightly. First, she'd read the scroll a bit to see what she was getting into, trying to see what she was really getting into. Looking down at the text, she'd sigh as she stood up, keeping the scroll on the ground. She comprehended everything that the text had said before turning a bit. "Hm, lets see what this'll do."* - Thu Oct  8 00:29:26 2015
<br><br><font color=yellow>*Nina(Ninasky115) turned her head towards the distance once again. Nodding as she'd get back to work, she'd grin and bring her hand up. "Shunshin no Jutsu!~" After saying that, she'd aim to shove her chakra through her system to allow her a quick burst of movement in which she'd move faster than the regular human eye.

With that, she was capable of creating the puff of smoke easily, but that was about it for the first try. "Damnit..." Turning her head lightly, she'd notice the boy had come back from wherever he'd went. "Hey there." With this, she'd wave at him and turn her head back over towards the distance where she was trying to move to.* - Thu Oct  8 00:39:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Learning. - Thu Oct  8 00:43:05 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Learning what? - Thu Oct  8 00:43:05 2015
<br><br><font color=teal>*Nina(Ninasky115) says: A jutsu. - Thu Oct  8 00:43:56 2015
<br><br><font color=teal>*Nina(Ninasky115) says: It's called Shunshin. - Thu Oct  8 00:44:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: What's it do? - Thu Oct  8 00:45:39 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Makes me move fast. - Thu Oct  8 00:45:39 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Basically, anyway. - Thu Oct  8 00:46:30 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Is it what Uncle Hideki gave to you? - Thu Oct  8 00:47:21 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Yeah.... - Thu Oct  8 00:48:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Is it a wind jutsu? - Thu Oct  8 00:49:04 2015
<br><br><font color=teal>*Nina(Ninasky115) says: No it isn't. - Thu Oct  8 00:49:04 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Oh.  - Thu Oct  8 00:49:55 2015
<br><br><font color=yellow>*Nina(Ninasky115) nodded as he turned his attention to the reading, before standing up. Smiling, she'd look towards him and pull her hands up once more, doing the handseal. Pushing her chakra once more, she'd suddenly appear behind him with a smile, her only phrase being, "hi again.~" Of course she'd be a bit woozy so she wouldn't be doing too much moving.* - Thu Oct  8 00:55:53 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hehe.~ - Thu Oct  8 01:08:41 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Don't do stuff like that.  - Thu Oct  8 01:10:24 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Maybe.~~ - Thu Oct  8 01:11:15 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Hrng. How do you do it? Show me. - Thu Oct  8 01:12:06 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Show you? What do I get out of it? - Thu Oct  8 01:12:06 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ... - Thu Oct  8 01:12:57 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: What do you want? - Thu Oct  8 01:12:57 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What do you have?~ - Thu Oct  8 01:12:57 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Nothing really. - Thu Oct  8 01:14:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Nothing at all huh? - Thu Oct  8 01:15:31 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I have a shuriken..and some string.. - Thu Oct  8 01:16:22 2015
<br><br><font color=teal>*Nina(Ninasky115) says: No thank you, I prefer jutsu. - Thu Oct  8 01:17:13 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..You don't have the fire or water element. - Thu Oct  8 01:19:47 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Then I guess you can't learn, huh? Hehe. - Thu Oct  8 01:21:29 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..What do you want instead? - Thu Oct  8 01:21:29 2015
<br><br><font color=teal>*Nina(Ninasky115) says: You can get your uncle to train me.~ - Thu Oct  8 01:22:20 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: --Huh? - Thu Oct  8 01:23:12 2015
<br><br><font color=teal>*Nina(Ninasky115) says: You know what I said.~ - Thu Oct  8 01:24:03 2015
<br><br><font color=teal>*Nina(Ninasky115) says: And he's clearly strong, I need a teacher, so why not? - Thu Oct  8 01:24:03 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: He doesn't know Wind Ninjutsu, right? - Thu Oct  8 01:24:03 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Besides he's the one who showed you that. - Thu Oct  8 01:24:54 2015
<br><br><font color=teal>*Nina(Ninasky115) says: There's more to being a shinobi than elements. - Thu Oct  8 01:25:45 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Like what? - Thu Oct  8 01:25:45 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Mastering jutsu, working as a team, building bonds to work off of. - Thu Oct  8 01:26:36 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..Whatever. - Thu Oct  8 01:26:36 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I can ask him if you want. Why not ask Mister Mamarou, though? - Thu Oct  8 01:27:28 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Who? - Thu Oct  8 01:28:19 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: He uses a sword. - Thu Oct  8 01:30:01 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: And is really fast with it. - Thu Oct  8 01:30:01 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So why should I ask him? - Thu Oct  8 01:30:52 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: He said he'd help me.. - Thu Oct  8 01:30:52 2015
<br><br><font color=teal>*Gin(TheGraveyardPoet) says: Hi! - Thu Oct  8 01:31:44 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hello. - Thu Oct  8 01:34:17 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Nina. - Thu Oct  8 01:38:33 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: You here for training too? - Thu Oct  8 01:44:32 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Hm. - Thu Oct  8 01:45:23 2015
<br><br><font color=teal>*Gin(TheGraveyardPoet) says: O-Oh.. Yeah! - Thu Oct  8 01:53:04 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: What're you workin' on? - Thu Oct  8 01:53:55 2015
<br><br><font color=teal>*Gin(TheGraveyardPoet) says: Uh.. - Thu Oct  8 01:55:37 2015
<br><br><font color=teal>*Gin(TheGraveyardPoet) says: Taijutsu. - Thu Oct  8 01:55:37 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Oh? Well. - Thu Oct  8 01:55:37 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Would you like to spar? - Thu Oct  8 01:55:37 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Maybe I should find a permanent teacher. - Thu Oct  8 01:58:11 2015
<br><br><font color=teal>*Gin(TheGraveyardPoet) says: I'm not so.. Good at Taijutsu though. - Thu Oct  8 01:59:02 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Why're you working on it then? - Thu Oct  8 02:00:44 2015
<br><br><font color=teal>*Gin(TheGraveyardPoet) says: Well.. I want to get good at it. - Thu Oct  8 02:02:27 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well, I can spar you. We can get better together. - Thu Oct  8 02:02:27 2015
<br><br><font color=teal>*Gin(TheGraveyardPoet) says: Or decent at least.. - Thu Oct  8 02:02:27 2015
<br><br><font color=teal>*Gin(TheGraveyardPoet) says: -- O-Okay! - Thu Oct  8 02:02:27 2015
<br><br><font color=teal>*Gin(TheGraveyardPoet) says: What about you Heiwa? - Thu Oct  8 02:03:18 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I don't really..use Taijutsu. - Thu Oct  8 02:03:18 2015
<br><br><font color=teal>*Gin(TheGraveyardPoet) says: Oh. - Thu Oct  8 02:03:18 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well, you can just watch I guess. - Thu Oct  8 02:05:00 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Mm. - Thu Oct  8 02:05:52 2015
<br><br><font color=teal>*Gin(TheGraveyardPoet) says: You can make the first move. - Thu Oct  8 02:06:43 2015
<br><br><font color=teal>*Nina(Ninasky115) says: No thank you.~ - Thu Oct  8 02:06:43 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Thu Oct  8 02:07:34 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Sure thing. - Thu Oct  8 02:07:34 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Hm..They're going to spar...Should I stay or go train somemoe. - Thu Oct  8 02:12:41 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: Hm...Training is more important. - Thu Oct  8 02:13:32 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Would anyone like to spar? - Thu Oct  8 02:16:57 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Those two are about to spar. - Thu Oct  8 02:16:57 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Umm, I'm not that good, but if you're willing to spar a nine year old.... - Thu Oct  8 02:16:57 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I need more of a challenge. - Thu Oct  8 02:18:40 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: So I'll pass. - Thu Oct  8 02:19:31 2015
<br><br><font color=teal>*Nina(Ninasky115) thinks: Didn't want to spar you anyway. - Thu Oct  8 02:19:31 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Yes a challenge. - Thu Oct  8 02:21:13 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..I think Hideki would be at the house if you want to spar him. - Thu Oct  8 02:23:47 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: I see. - Thu Oct  8 02:23:47 2015
<br><br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Thanks kid. - Thu Oct  8 02:23:47 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ...... - Thu Oct  8 02:23:47 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: So you use Taijutsu? - Thu Oct  8 02:24:38 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm trying to use everything, but I have no genjutsu. - Thu Oct  8 02:24:38 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So hopefully you'll be around me all of the time to back me up. - Thu Oct  8 02:25:29 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Huh? Do you go on, like, missions and stuff? - Thu Oct  8 02:27:12 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Not much. - Thu Oct  8 02:27:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Have you been on one before? - Thu Oct  8 02:28:54 2015
<br><br><font color=teal>*Nina(Ninasky115) says: No. - Thu Oct  8 02:28:54 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Me neither.. - Thu Oct  8 02:29:45 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Then maybe we should form up a team or something. - Thu Oct  8 02:29:45 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: I don't know if my uncle would like that.. - Thu Oct  8 02:30:36 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Things can get dangerous out there. - Thu Oct  8 02:30:36 2015
<br><br><font color=teal>*Nina(Ninasky115) says: And we can get dangerous too. - Thu Oct  8 02:31:28 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Trust me, we'll be fine. Maybe he can train us as a team. - Thu Oct  8 02:31:28 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Aren't most squads three, though? - Thu Oct  8 02:34:52 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well, lets get a third.~ - Thu Oct  8 02:38:17 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Do you know anybody? - Thu Oct  8 02:42:33 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Not really. - Thu Oct  8 02:42:33 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: What about that guy you were going to spar? - Thu Oct  8 02:47:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: He seems too scared. - Thu Oct  8 02:49:23 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Lets go and find your uncle first and see if he'd agree. - Thu Oct  8 02:50:14 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Fine. Okay.. - Thu Oct  8 02:52:48 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ...... - Thu Oct  8 11:45:16 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: .... - Thu Oct  8 11:45:16 2015
