<br><font color=teal>*Nina(Ninasky115) says: Yeah yeah. - Tue Nov  3 04:55:40 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . . - Tue Nov  3 05:56:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: I already introduced myself I thought? - Tue Nov  3 05:56:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: Yea. . .pretty sure I did, oh well. - Tue Nov  3 05:57:07 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I see. - Tue Nov  3 05:57:07 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Anyway. . . - Tue Nov  3 05:58:49 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well, training. - Tue Nov  3 05:59:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Just saying.~ - Tue Nov  3 05:59:40 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Hit the gym. - Tue Nov  3 05:59:40 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 05:59:40 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: My body isn't exactly one to get stronger from that sort of training Mizukage. - Tue Nov  3 05:59:40 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I thought you'd know that. - Tue Nov  3 06:00:32 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: Hmm. - Tue Nov  3 06:01:23 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: There are plenty of things to do. - Tue Nov  3 06:01:23 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Nothing exactly fun though. - Tue Nov  3 06:01:23 2015
<br><br><font color=teal>***Mizukage**(AxelFraire) says: If you excuse me I have to get to work. - Tue Nov  3 06:01:23 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: - - Tue Nov  3 06:01:23 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Of course. - Tue Nov  3 06:01:23 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: - - Tue Nov  3 06:03:05 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Knowing us? Are we going somewhere? - Tue Nov  3 06:03:05 2015
<br><br><font color=teal>*Nina(Ninasky115) says: No idea.. - Tue Nov  3 06:04:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Well regardless. - Tue Nov  3 06:04:48 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Anything you guys want to do? - Tue Nov  3 06:04:48 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Not like we can do much. - Tue Nov  3 06:05:39 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Well, all the shops are back open. - Tue Nov  3 06:05:39 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: We could all go grab a meal. . . - Tue Nov  3 06:07:21 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Or train. - Tue Nov  3 06:07:21 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I dunno. - Tue Nov  3 06:07:21 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well, lets train. - Tue Nov  3 06:08:12 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 06:09:04 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: What do you recommend? - Tue Nov  3 06:10:46 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: For training that is. - Tue Nov  3 06:10:46 2015
<br><br><font color=teal>*Nina(Ninasky115) says: No idea. - Tue Nov  3 06:13:20 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 06:14:11 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well, ask that girl. She might know something. - Tue Nov  3 06:15:53 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: What girl? - Tue Nov  3 06:16:44 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Oh, I meant him. Sorry. - Tue Nov  3 06:16:44 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: ....... - Tue Nov  3 06:18:27 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: ...... - Tue Nov  3 06:21:52 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So uhhh, what's going on...? - Tue Nov  3 06:23:34 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 06:24:25 2015
<br><br><font color=yellow>*Nina(Ninasky115) runs to the mansion as well?* - Tue Nov  3 06:29:32 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: *Cough* I nominate myself as the new Mizukage -Omit, cause too soon- - Tue Nov  3 06:35:31 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ... Is... the lady - Tue Nov  3 06:40:38 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: ...Well? - Tue Nov  3 06:43:12 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .Nothing. - Tue Nov  3 06:43:12 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Elon can you sense anything? - Tue Nov  3 06:44:03 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: She most likely was burnt to a crisp. - Tue Nov  3 06:44:03 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ...... - Tue Nov  3 06:44:03 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: .... - Tue Nov  3 06:44:03 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: I'll see. - Tue Nov  3 06:44:03 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: ............. - Tue Nov  3 06:44:54 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: ....Nothing. - Tue Nov  3 06:49:10 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: So.... is...... she.... - Tue Nov  3 06:49:10 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: As I said. - Tue Nov  3 06:49:10 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Likely burnt to nothing. - Tue Nov  3 06:49:10 2015
<br><br><font color=teal>*Elon(Chevy Corolla) says: .... - Tue Nov  3 06:50:52 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .What do we do now? - Tue Nov  3 06:51:44 2015
<br><br><font color=teal>*Elon(Chevy Corolla) thinks: I've done it again... - Tue Nov  3 06:51:44 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: . . . . - Tue Nov  3 06:52:35 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: W-Who will lead us now? - Tue Nov  3 06:53:26 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: I will! -omit- - Tue Nov  3 06:53:26 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: He have to lead ourselves for know... - Tue Nov  3 06:53:26 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: No one can take her place  - Tue Nov  3 06:53:26 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 06:54:17 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: You're distraught. - Tue Nov  3 06:54:17 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Someone has to replace her. - Tue Nov  3 06:54:17 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ...She's not. - Tue Nov  3 06:54:17 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Could any of you handle an assassination attempt that Kirie couldn't? - Tue Nov  3 06:55:08 2015
<br><br><font color=teal>*Nina(Ninasky115) says: ....... - Tue Nov  3 06:55:08 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Not reall, fuck you Marco. -omit- - Tue Nov  3 06:57:42 2015
<br><br><font color=yellow>*Nina(Ninasky115) sighed and turned her head, beginning to walk away as well. She had a brother to find, and maybe a village to get out of. When she arrived, everything started going bad. And that's just bad in itself.* - Tue Nov  3 06:57:42 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ...I.... need a moment... we need to inform the villagers and tighten security.. well from what e have leftr - Tue Nov  3 06:59:24 2015
<br><br><font color=teal>*Nina(Ninasky115) says: I'm going to find my brother, I'm not in the mood to deal with this. - Tue Nov  3 06:59:24 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: ...Is he thinking Nina did it? - Tue Nov  3 06:59:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Oh. - Tue Nov  3 06:59:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Aight. - Tue Nov  3 06:59:24 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Have fun. - Tue Nov  3 06:59:24 2015
<br><br><font color=teal>*Ari, Hanai(KenichiMD) says: ..... - Tue Nov  3 07:00:16 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: I think it's time to move on. - Tue Nov  3 07:01:07 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: The kage was the one who promised me protection. - Tue Nov  3 07:01:07 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: She is gone. - Tue Nov  3 07:01:07 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: With her gone there goes my guardian again...they just keep dying.. - Tue Nov  3 07:01:07 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Nina. - Tue Nov  3 07:01:07 2015
<br><br><font color=teal>*Nina(Ninasky115) says: What. - Tue Nov  3 07:01:07 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Mind if I come with you? - Tue Nov  3 07:01:07 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Come with me for what. - Tue Nov  3 07:01:58 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: . .  - Tue Nov  3 07:01:58 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Or that can be ignored, I suppose. - Tue Nov  3 07:01:58 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: You said you were off to find someone. - Tue Nov  3 07:01:58 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Yeah, I am. - Tue Nov  3 07:01:58 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: So, I asked if I could come. - Tue Nov  3 07:01:58 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Why do you want to come? - Tue Nov  3 07:02:49 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . .I no longer have the protection I was promised here. - Tue Nov  3 07:02:49 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So you want to come with me for protection? - Tue Nov  3 07:03:40 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Hrm.. - Tue Nov  3 07:03:40 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Did anyone get visuals on what happened? - Tue Nov  3 07:03:40 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Well, I can't exactly stay here. - Tue Nov  3 07:03:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: None of us were here. - Tue Nov  3 07:03:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Well, no offense, but the last people I was close to, said I wasn't their family. - Tue Nov  3 07:03:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: So I have a small circle. - Tue Nov  3 07:03:40 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Like, really small right now. - Tue Nov  3 07:03:40 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Stupid girl. - Tue Nov  3 07:04:32 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Eh. . . - Tue Nov  3 07:04:32 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Hrm. . .Would be difficult. - Tue Nov  3 07:04:32 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Does the village yet have a police force? - Tue Nov  3 07:05:23 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: This area should be blocked off for a few days. To see if clues can be gathered. - Tue Nov  3 07:05:23 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: No. She wasn't able to decide rankings or the like before the death. - Tue Nov  3 07:05:23 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Whatever, I guess you can come with. - Tue Nov  3 07:05:23 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: We were in rebuilding. - Tue Nov  3 07:05:23 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Hell. Hopefully her body is still in tact-- Ah. . . - Tue Nov  3 07:05:23 2015
<br><br><font color=teal>*Nina(Ninasky115) says: But if you cross me, I'll have people to hurt you. - Tue Nov  3 07:05:23 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: A village without structure. Pity.. - Tue Nov  3 07:05:23 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: . . . - Tue Nov  3 07:06:14 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Alright then, - Tue Nov  3 07:06:14 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Anyone you want to say bye to? - Tue Nov  3 07:07:05 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: Not really. - Tue Nov  3 07:07:05 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Okay. - Tue Nov  3 07:07:05 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: There's not much salvageable with that being the case. - Tue Nov  3 07:07:05 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Oh, Ortho. - Tue Nov  3 07:07:05 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Hrm? Salvage. . . Perhaps not. But you can maybe find out what triggered the combustion. - Tue Nov  3 07:07:56 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: And maybe from that. .  - Tue Nov  3 07:07:56 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Try to theorize a killer? - Tue Nov  3 07:07:56 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: To be able to do this while the village is on high alert means it was a very proficient shinobi. - Tue Nov  3 07:07:56 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Or someone that Kirie trusted. - Tue Nov  3 07:07:56 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Well then. . . You are a young shinobi of the village, yes? - Tue Nov  3 07:08:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: A very prof - I am. - Tue Nov  3 07:08:48 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I'll leave it to you. Compile a list of those who were seen to be close to your late leader. - Tue Nov  3 07:08:48 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: -- Hell, anyone that has any connection whatsoever. - Tue Nov  3 07:08:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ... - Tue Nov  3 07:08:48 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: She kept herself away from most others. - Tue Nov  3 07:09:39 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..An explosion. - Tue Nov  3 07:09:39 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: . . .It isn't hard. Also, have the men that guard the exits screen anyone that seeks to leave. The murderer could very well be taking an escape. - Tue Nov  3 07:09:39 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Screen them for what? - Tue Nov  3 07:09:39 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Who's the idiot that left their stove on? - Tue Nov  3 07:09:39 2015
<br><br><font color=teal>*Nina(Ninasky115) says: This isn't a joke Heiwa. - Tue Nov  3 07:10:30 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Anything suspicious -- And rather, don't even let them leave. - Tue Nov  3 07:10:30 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: . . . - Tue Nov  3 07:10:30 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: Explosive tags wouldn't leave an immediately dis - who said it was a joke? - Tue Nov  3 07:10:30 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: A simple stove being left on doesn't destroy an entier mansion. - Tue Nov  3 07:10:30 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: entire* - Tue Nov  3 07:10:30 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Ehh? True. - Tue Nov  3 07:10:30 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: It can. Kirie wouldn't die that way. - Tue Nov  3 07:11:21 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Anyway- - Tue Nov  3 07:11:21 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: This person seems to be trying and take charge. . .suspicious. Must mean he had something to gain if the place blew. - Tue Nov  3 07:11:21 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Kirie died? - Tue Nov  3 07:11:21 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ...Yes. - Tue Nov  3 07:11:21 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: ..... - Tue Nov  3 07:11:21 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Alright. - Tue Nov  3 07:11:21 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: Who's the next scrub to step up? - Tue Nov  3 07:11:21 2015
<br><br><font color=teal>*Heiwa(PythonJedi) says: ..... - Tue Nov  3 07:11:21 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Ortho. Stop. - Tue Nov  3 07:11:21 2015
<br><br><font color=teal>*Nina(Ninasky115) says: Now. - Tue Nov  3 07:11:21 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) says: No one. - Tue Nov  3 07:12:12 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: The village has yet to recover from the tragedy. . . - Tue Nov  3 07:12:12 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I can assume that the intelligent, higher-ranked shinobi will for ma brief council. - Tue Nov  3 07:12:12 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: To decide on decisions.. - Tue Nov  3 07:12:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Is it really expected for us to? It's been only a little bit.. - Tue Nov  3 07:12:12 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Those two. Scum. Both of them. - Tue Nov  3 07:13:04 2015
<br><br><font color=yellow>*Nina(Ninasky115) looked at Ortho in anger, anger that she had never felt for him in his entire life. She'd take a step forward before speaking. "Ortho, bring your ass back here and stop acting like a jackass to Kirigakure. Show some damn respect." It seemed that she was extremely serious about this, and especially since it took someone close to her.* - Tue Nov  3 07:13:55 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Now now. . . - Tue Nov  3 07:14:46 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: I assume. . . An intelligent man such as yourself. - Tue Nov  3 07:14:46 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Woudl realize the suspicion that is immediately garnered, no? - Tue Nov  3 07:14:46 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: He doesn't care. - Tue Nov  3 07:14:46 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: What happened now? - Tue Nov  3 07:38:40 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: What are you doing?! - Tue Nov  3 07:43:47 2015
<br><br><font color=yellow>*Nina(Ninasky115) watched as Ortho unleashed the giant fireball at the group of shinobi that belonged to Kirigakure. But she was the horrible one for going rogue. That made sense, didn't it? Ortho destroys some shinobi of the village, but she's the bad one. Mhm. Anyway, it was time for a reaction, and she knew the best one to get to Ortho. Something that had to be done. Running to be in the sight of Ortho at the very least, she'd begin yelling at him, quite loudly.

"Ortho, look at this!" She'd pull out her Kirigakure headband, holding it in blind sight. "You see this!? This means I am a Kirigakure kunoichi like those people that you just killed! And that means, you have to kill me too. Will you do that Ortho, huh? Would you erase all of those times you left me alone to keep me happy just to ruin it all in less than a minute!?"* - Tue Nov  3 07:44:38 2015
<br><br><font color=yellow>*Nina(Ninasky115) looked down and gripped her hands tightly. Tears streamed down her face as she turned to Thaenan. Her hands were bleeding from the amount of pressure she was putting into them. There were too many emotions running through her body at once for her to control what was happening. Looking at his feet and nothing else, she would begin speaking to him. "You should stay here. After what happened, being with me isn't safe at all." After saything that, Nina would turn around and begin walking away. Not towards anywhere specific, just away from the area that she was in.* - Tue Nov  3 08:34:59 2015
