<br><font color=teal>*Uchiha, Mitarashi(Maruka) says: It's worth a shot. - Wed Dec  9 02:34:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I don't care. - Wed Dec  9 04:01:04 2015
<br><br><font color=teal>*Takuma(Brosis55) says: But you're paying. - Wed Dec  9 04:01:04 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I'm almost broke. - Wed Dec  9 04:01:04 2015
<br><br><font color=teal>*Takuma(Brosis55) says: But, I'll be right back. - Wed Dec  9 04:01:55 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: We've won. - Wed Dec  9 04:13:00 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Promotions arei n order. - Wed Dec  9 04:13:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ----- - Wed Dec  9 04:29:13 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You earned it.= - Wed Dec  9 04:29:13 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: -- - Wed Dec  9 04:29:13 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: The girl. - Wed Dec  9 04:29:13 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Hello.~ - Wed Dec  9 04:30:04 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hello... I was informed of your. - Wed Dec  9 04:30:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Deal. - Wed Dec  9 04:30:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Mhm.~ - Wed Dec  9 04:30:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I heard there was a warrrrrrrrrrrrrr.~ - Wed Dec  9 04:30:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I came to ....clean up. - Wed Dec  9 04:30:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Those fallen. - Wed Dec  9 04:31:47 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: .......... - Wed Dec  9 04:31:47 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Who belong to Sunagakure. - Wed Dec  9 04:31:47 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: If they have not ... - Wed Dec  9 04:31:47 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Picked their fallen. - Wed Dec  9 04:31:47 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Why are  - Wed Dec  9 04:31:47 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: OFf the ground I have no qualms. - Wed Dec  9 04:31:47 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: You talking - Wed Dec  9 04:31:47 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Liike a - Wed Dec  9 04:32:38 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Retard? - Wed Dec  9 04:32:38 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: .. - Wed Dec  9 04:32:38 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ...... - Wed Dec  9 04:32:38 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Ha. - Wed Dec  9 04:32:38 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: There was a war, and we're doing well all things considered. - Wed Dec  9 04:32:38 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: A war made you retarded? - Wed Dec  9 04:33:29 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: If you're attempting to entice a reaction, a negative one. - Wed Dec  9 04:33:29 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It will not work. - Wed Dec  9 04:33:29 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: She's... asking a serious question. - Wed Dec  9 04:34:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Like.. that's really.. - Wed Dec  9 04:34:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: How, uh... - Wed Dec  9 04:34:20 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) whispers: ..... - Wed Dec  9 04:34:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I don't know how to explainit.. - Wed Dec  9 04:34:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: She's -that- naive. - Wed Dec  9 04:34:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Well.. innocent.. - Wed Dec  9 04:35:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I don't know.. - Wed Dec  9 04:35:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Oblivious? - Wed Dec  9 04:35:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) whispers: She's... Very strange.- Innocent she nearly ate Takuma's arm off! - Wed Dec  9 04:35:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Yeah.. obl- - Wed Dec  9 04:35:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I'm talking mind wise, my lord.. - Wed Dec  9 04:35:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: She's like a newborn baby.. - Wed Dec  9 04:35:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Normal stuff she doesn't comprehend> - Wed Dec  9 04:35:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Unless taught.. well.. explained of.. - Wed Dec  9 04:35:12 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: . . . - Wed Dec  9 04:36:03 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Awwwww you don't want to play again? Your toad guest seemed to enjoy me.~ Why do you hate me so?~ - Wed Dec  9 04:36:03 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You nearly bit off Takuma's arm. - Wed Dec  9 04:36:03 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Pish posh! - Wed Dec  9 04:37:45 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I merely nommed on his shoulder. - Wed Dec  9 04:37:45 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: He's fine now isn't he? - Wed Dec  9 04:37:45 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: Perfectly fine. - Wed Dec  9 04:37:45 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: No...  - Wed Dec  9 04:37:45 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: I fixed him and he has no hard feelings towards me. - Wed Dec  9 04:38:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: Heh. - Wed Dec  9 04:41:10 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: its* - Wed Dec  9 04:42:01 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: as a kage - Wed Dec  9 04:50:33 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Wed Dec  9 04:59:05 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Then let us settle for that.... - Wed Dec  9 04:59:05 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: What the fuck - Wed Dec  9 04:59:05 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ...wha? - Wed Dec  9 04:59:56 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: If I didn't know better I'd think you didn't like me Tease-kun.~ - Wed Dec  9 04:59:56 2015
<br><br><font color=yellow>*Takuma(Brosis55) coughed.

Slowly backed away.* - Wed Dec  9 04:59:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ..No, no.. I have no use for such things anymore. - Wed Dec  9 05:00:48 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: ...such things? - Wed Dec  9 05:01:39 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: It's a long story. - Wed Dec  9 05:02:30 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: One that I'm not going to tell you. - Wed Dec  9 05:02:30 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Or anyone for that matter. - Wed Dec  9 05:02:30 2015
<br><br><font color=teal>*Yuriko(TenaciousRiven) says: But... I REALLY like stories.~ - Wed Dec  9 05:02:30 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: This isn't a story, its a nightmare. - Wed Dec  9 05:03:21 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Takuma. - Wed Dec  9 05:03:21 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Let's go. - Wed Dec  9 05:03:21 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: One that I'm not going to relive... But eh. - Wed Dec  9 05:03:21 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Eiyu-sama. - Wed Dec  9 05:03:21 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Let's change the sub- Hm? - Wed Dec  9 05:03:21 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: We're going to go to Konoha. - Wed Dec  9 05:04:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: --- - Wed Dec  9 05:04:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Konoha? - Wed Dec  9 05:04:12 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Yeah. - Wed Dec  9 05:04:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You're insane. - Wed Dec  9 05:04:12 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: We're in war against them, if I'm right. - Wed Dec  9 05:04:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: For what purpose? - Wed Dec  9 05:04:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: -- - Wed Dec  9 05:04:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: The war is over. - Wed Dec  9 05:04:12 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: --- - Wed Dec  9 05:04:12 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Takuma. - Wed Dec  9 05:04:12 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: You're a bitch. - Wed Dec  9 05:04:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: We have our independence... - Wed Dec  9 05:04:12 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Hahaha! - Wed Dec  9 05:04:12 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: How did we do it, sir? - Wed Dec  9 05:05:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: The war isn't over, Raikage.. - Wed Dec  9 05:05:04 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Got you bitch. - Wed Dec  9 05:05:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: All due respect.. - Wed Dec  9 05:05:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: The Hokage is a bitch. - Wed Dec  9 05:05:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: She'll die by my arrow. - Wed Dec  9 05:05:04 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Perhaps, but we've been given time to rebuild, and the treaty means they get what they desire... Basically, Eiji. - Wed Dec  9 05:05:04 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: During months of fighting. - Wed Dec  9 05:05:04 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: They were not able to defeat us. - Wed Dec  9 05:05:04 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: So a treaty was proposed. - Wed Dec  9 05:05:55 2015
<br><br><font color=teal>*Takuma(Brosis55) says: You can never be to sure, Eiyu. - Wed Dec  9 05:05:55 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: We give them cattle, they give us raw ore. - Wed Dec  9 05:05:55 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Though, I will not use the ore they give us. - Wed Dec  9 05:05:55 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: True. - Wed Dec  9 05:05:55 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: But it's why I've built outposts, and a wall that should deter most... Konohagakure was also foolish, I think their Hokage has the intelligence of a green bean. - Wed Dec  9 05:06:46 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Heh. - Wed Dec  9 05:06:46 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: We could always infiltrate in. . . - Wed Dec  9 05:06:46 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: They won't know. - Wed Dec  9 05:06:46 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Well. - Wed Dec  9 05:07:37 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ...Sigh* - Wed Dec  9 05:07:37 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: . . . . . . - Wed Dec  9 05:07:37 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Kiri may be - - Wed Dec  9 05:08:28 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Bet she bites off his shoulder. - Wed Dec  9 05:08:28 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: If we can handle Konoha for you. - Wed Dec  9 05:08:28 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hn? - Wed Dec  9 05:08:28 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Let's say we remove of the Hokage. - Wed Dec  9 05:08:28 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Under the guise of another village. - Wed Dec  9 05:08:28 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: That takes away one opponent. - Wed Dec  9 05:08:28 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hmmm..... - Wed Dec  9 05:08:28 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: And might focus Sunagakure on another enemy. - Wed Dec  9 05:08:28 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: As savage as it might be. - Wed Dec  9 05:08:28 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: We should use Kirigakure as a scapegoat. - Wed Dec  9 05:08:28 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Seems reasonable. - Wed Dec  9 05:08:28 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: That's just it. - Wed Dec  9 05:09:20 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: I just don't want to get attacked first. - Wed Dec  9 05:09:20 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: We need to attack first. - Wed Dec  9 05:09:20 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: What kind of men are we if we just stand here and let them kill our smallfolk? - Wed Dec  9 05:09:20 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Kirigakure, Sunagakure, and Konohagakure are -all- tied in. - Wed Dec  9 05:09:20 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: They'd -assume- it was us. - Wed Dec  9 05:09:20 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Given the circumstances. - Wed Dec  9 05:09:20 2015
<br><br><font color=teal>*Takuma(Brosis55) says: If we're transformed as their own shinobi. - Wed Dec  9 05:10:11 2015
<br><br><font color=teal>*Takuma(Brosis55) says: They won't know what's true. - Wed Dec  9 05:10:11 2015
<br><br><font color=teal>*Takuma(Brosis55) says: And what's false. - Wed Dec  9 05:10:11 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: So, Rias is dealt with... Then what do we do? - Wed Dec  9 05:10:11 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: We have our treaty. - Wed Dec  9 05:10:11 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Konoha is weak. - Wed Dec  9 05:10:11 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Wed Dec  9 05:11:02 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: BET. - Wed Dec  9 05:11:02 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: SHE. - Wed Dec  9 05:11:02 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: BITES. - Wed Dec  9 05:11:02 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: HIS. - Wed Dec  9 05:11:02 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: SHOULDER. - Wed Dec  9 05:11:02 2015
