<br><font color=yellow>*Termine, Jover(Bosshoggoutlaw) Boxer and big eater* - Mon Nov  2 22:10:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Aren't you going to check it out? - Thu Nov  5 23:27:34 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Oh how lively Konoha has become. - Fri Nov  6 01:13:23 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: When did he get the booze? - Fri Nov  6 01:13:23 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: I've been here the entire time. - Fri Nov  6 01:13:23 2015
<br><br><font color=teal>*Index(Jjking217) says: Zues is it..? - Fri Nov  6 01:50:04 2015
<br><br><font color=teal>*Index(Jjking217) says: Zeus* - Fri Nov  6 01:50:04 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: And you are? - Fri Nov  6 01:50:04 2015
<br><br><font color=teal>*Index(Jjking217) says: A sergeant from the Gezo, would you mind if I speak with you inside? - Fri Nov  6 01:50:04 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: . . . . . . . . - Fri Nov  6 01:53:29 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Fine. - Fri Nov  6 01:53:29 2015
<br><br><font color=teal>*Index(Jjking217) says: Hey, Rias. - Fri Nov  6 02:20:48 2015
<br><br><font color=teal>*Rias(LionHunter) says: Hi hun~ - Fri Nov  6 02:20:48 2015
<br><br><font color=teal>*Index(Jjking217) says: I apologize about earlier. - Fri Nov  6 02:20:48 2015
<br><br><font color=teal>*Index(Jjking217) says: Shall we continue where we left off? - Fri Nov  6 02:20:48 2015
<br><br><font color=teal>*Rias(LionHunter) says: Sure - Fri Nov  6 02:20:48 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Yo. Err.... Zues. - Fri Nov  6 02:24:12 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Yes? - Fri Nov  6 02:27:37 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Can I join the village? - Fri Nov  6 02:28:28 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Hmmm where did Ray go. - Fri Nov  6 02:29:20 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Hmmmm. - Fri Nov  6 02:31:02 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Sure. - Fri Nov  6 02:31:02 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: I don't particularly mind. - Fri Nov  6 02:31:02 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Alright. - Fri Nov  6 02:31:53 2015
<br><br><font color=teal>*Ziare(Meekee) says: Oh...The Hokage.. - Fri Nov  6 02:32:44 2015
<br><br><font color=teal>*Ziare(Meekee) says: You must be feeling better than. - Fri Nov  6 02:32:44 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Mmmm. - Fri Nov  6 02:37:00 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: I'm feeling better. - Fri Nov  6 02:37:00 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: When do I get my headband? - Fri Nov  6 02:38:43 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Well. - Fri Nov  6 02:38:43 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: You have to do a couple of missions for me. - Fri Nov  6 02:38:43 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Go out and clean up some trash for me. - Fri Nov  6 02:38:43 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: If you can do that, you'll get your headband. - Fri Nov  6 02:38:43 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Trash? - Fri Nov  6 02:44:41 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Where? - Fri Nov  6 02:44:41 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Around Konoha. - Fri Nov  6 02:48:06 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Alright. - Fri Nov  6 02:54:56 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Go. - Fri Nov  6 02:55:47 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Hello, Takeda. - Fri Nov  6 03:30:46 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Oi, We need to talk about some shit. - Fri Nov  6 03:31:37 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Like what? - Fri Nov  6 03:31:37 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Like how you expect the fucking impossible from me. - Fri Nov  6 03:33:20 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: ..... - Fri Nov  6 03:35:02 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: You won't die, Takeda. - Fri Nov  6 03:35:02 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Sheesh. - Fri Nov  6 03:35:02 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: No no, I'm not done. - Fri Nov  6 03:35:02 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I get fuck all respect around here, fuck. all. - Fri Nov  6 03:35:53 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I make it my duty to introduce myself to every fucking genin we get now. - Fri Nov  6 03:35:53 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Yet for some reason, over time. - Fri Nov  6 03:35:53 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: These fuckers hate me, - Fri Nov  6 03:36:44 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I can't even ask foreigners two fucking questions about who they ae and why they're here. - Fri Nov  6 03:38:27 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: They don't give a shit about me. - Fri Nov  6 03:38:27 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: This isn't even fair on me Zeus, not even a little. - Fri Nov  6 03:39:18 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: . . . . - Fri Nov  6 03:40:09 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Mmmhmmmm..... - Fri Nov  6 03:40:09 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: If you get a Private rank. - Fri Nov  6 03:40:09 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: You realize you would get all the respect you deserve? - Fri Nov  6 03:40:09 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: No, I won't. - Fri Nov  6 03:40:09 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Plus the fact that you never even asked me if I want all this crap. - Fri Nov  6 03:41:00 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: You just dumped two -incredibly- stressful things on me and said 'deal with it'. - Fri Nov  6 03:41:00 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I never wanted all this, not at my age. - Fri Nov  6 03:41:52 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I've barely even experienced life in some peoples eyes. - Fri Nov  6 03:41:52 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Yet you want me to take on two incredibly taxing roles. - Fri Nov  6 03:42:43 2015
<br><br><font color=teal>*Rias(LionHunter) says: Whats happening? - Fri Nov  6 03:43:34 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Takeda. - Fri Nov  6 03:52:06 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Your youth is what is going to move you through this predicament. - Fri Nov  6 03:52:57 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: I've already arranged -everything- for you. - Fri Nov  6 03:52:57 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: You just need to enter and compete. - Fri Nov  6 03:52:57 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: You can stand there and activate those seals on your wrists. - Fri Nov  6 03:52:57 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: And you would be winning the exams. - Fri Nov  6 03:52:57 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: It's all fine, Takeda. - Fri Nov  6 03:54:40 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Calm down. - Fri Nov  6 03:54:40 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: I'll teach you a new technique if it means you will win. - Fri Nov  6 03:54:40 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Everyone I have met. - Fri Nov  6 03:56:22 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Thinks i'm going to die. - Fri Nov  6 03:56:22 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: You haven't even told me what these seals do. - Fri Nov  6 03:57:13 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: They'll help. - Fri Nov  6 04:01:29 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Just point them at your opponent. - Fri Nov  6 04:01:29 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: And put chakra on them. - Fri Nov  6 04:01:29 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Helpful. - Fri Nov  6 04:03:12 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: You know, you once told me your not cut out for this. - Fri Nov  6 04:04:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Yet despite all this, you haven't asked me once if I wanted to go through with this. - Fri Nov  6 04:04:54 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: There's no real need to ask you. - Fri Nov  6 04:04:54 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I'm just your scapegoat, your way out. - Fri Nov  6 04:04:54 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: It's a free win. - Fri Nov  6 04:04:54 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Stop letting fear absorb you. - Fri Nov  6 04:05:45 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: You don't even know if you're fighting.  - Fri Nov  6 04:05:45 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: It's not even fear anymore, it's just anger. - Fri Nov  6 04:05:45 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I don't even want your job and yet your forcing it on me. - Fri Nov  6 04:06:36 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Can't wait till we have some kind of uprising or riot when people find out our perfectly good hokage is stepping down for a twelve year old. - Fri Nov  6 04:08:19 2015
