<br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Ehh? - Tue Dec  8 12:34:20 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: MY MIND IS BEING INVADED! - Tue Dec  8 12:43:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ............................. - Tue Dec  8 12:44:35 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) sighed out and closed her eyes.* - Tue Dec  8 12:44:35 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) whispers: Help! - Tue Dec  8 12:45:26 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) whispers: The person says everything I do! - Tue Dec  8 12:45:26 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .......*Sigh* - Tue Dec  8 12:45:26 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Shut up. - Tue Dec  8 12:45:26 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ....... - Tue Dec  8 12:46:17 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: B-But.. - Tue Dec  8 12:46:17 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I don't want to be stup- - Tue Dec  8 12:46:17 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: I am stupid. - Tue Dec  8 12:46:17 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: --------------- - Tue Dec  8 12:46:17 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: GET OUT! - Tue Dec  8 12:46:17 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: YOU'RE NOT WELCOMED HERE! - Tue Dec  8 12:46:17 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) grabbed onto his shoulders and started to shake him. "YOU ARENT CRAZY YOU ARE JUST TALKING ABOUT YOUR CONSCIOUS THAT IS YOURSELF TALKING TO YOURSELF!"* - Tue Dec  8 12:48:00 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: O-Oh Kaaaay!! - Tue Dec  8 12:49:42 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: Hi conscious! - Tue Dec  8 12:49:42 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) released him with a small push -away- from her.* - Tue Dec  8 12:49:42 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: My name's Tsubasa- - Tue Dec  8 12:49:42 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .............. - Tue Dec  8 12:50:33 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I didn't even push you hard, how are you that far away. - Tue Dec  8 12:50:33 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) stood up and walked over to Tsubasa and she looked down to him whie blowing a bubble. "Come on, we are gonna train or something."* - Wed Dec  9 08:06:49 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) nodded and then started to walk North between the houses and out of the village to the North Eastern Falls.* - Wed Dec  9 08:12:48 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) got a little fucking lost, she wasn't very good with this area since usually she was visiting Kumogakure more than not. "Right uh, this probably will work, do you just use your sword?"* - Wed Dec  9 08:17:04 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) rose a brow at him saying he could hold his own in a fist fight. "Alright, what have you been working on lately? We can see what I can help with." <he's like seriously chill right now, his ups and downs are worse than mine.>* - Wed Dec  9 08:20:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You think you can take me on with all these arms? - Wed Dec  9 08:23:53 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: No, but I'm still willing to give it a shot. - Wed Dec  9 08:23:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Right okay...no sword, no ninjutsu? - Wed Dec  9 08:27:18 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) really meant the no ninjutsu on her part and then rush towards him in a charge and aimed to sent out a kick between his legs with a sweep outwards to try and seperate his legs and throw off his balance as all of her balance was perfectly on her other foot. With quick jabs her hands started thrusting out in rapid attacks with all of her arms to his shoulders, chest, belly, and such. She wasn't hitting any vital areas as she normally would, she wanted to see how he would react before going too hard on him.* - Wed Dec  9 08:40:06 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) cringed some as his shin crashing with her own hurt some. She was shocked... that he managed to cause her some pain as it radiated up through her leg. She pulled the leg back and eyed him carefully. She got a few of her hits out and then cringed as he slammed his fist against such a tender area on a female. "Tch.." 

She leaned back and rolled the shoulder he had struck before aiming to send on fist into his low gut just above his groin and another one aimed to try and uppercut him as her other fists became palms and tried to knock his blocking arms out of the way.* - Wed Dec  9 08:55:28 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) || OH SHIT--- Kari widened her eyes and stepped back, she didn't think her attack would be so successful. As he seemed to recover so quickly though her eyes narrows, instead of bringing up her arms as he had predicted she might she leaned back reflexively to avoid the slap but he did manage to kick out towards her torso and arms only for a few of them to grip onto his leg in several different places with fingers pressing in against muscles and nerves at various places along her body. 

It only took a few seconds and a shooting pain and then numbing went up his leg. he managed to make her body hurt but she did not stumble back, instead when she had finished the assault on his leg she tossed him back with force by the leg to force him onto his backside.* - Wed Dec  9 09:05:42 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: Attacking her upper body is pointless.. - Wed Dec  9 09:10:49 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: Going for her legs is my best option, but the lower set of her arms can protect that.. - Wed Dec  9 09:10:49 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: Going for the arms in general is suicide. - Wed Dec  9 09:11:40 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) thinks: I know what I must do. - Wed Dec  9 09:11:40 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) rose a brow and remained in a stance waiting for him.* - Wed Dec  9 09:11:40 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) || <Oh not done?> She widened her eyes and tried to move away but wasn't fast enough and he scooped her up, she widened her eyes even further and pushed all her arms against his body and then used her upper arm with a bent elbow and cocked it to the opposite side of her body to try and clock him in the temple with her elbow and forearm.* - Wed Dec  9 09:18:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Who even does that?  - Wed Dec  9 09:19:21 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) hit the ground hard, she gasped out and choked as the breath was forced out of her lungs. She rolled over onto her front and was on all fours as she hyperventilated and tried to regain herself.* - Wed Dec  9 09:22:46 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) rolled over on her side and then back as she panted out, "F-fuck... not doing that ever again."* - Wed Dec  9 09:25:20 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) chuckled through panting breathes and eyes closed. "You okay? I hope I didn't give you a concussion."* - Wed Dec  9 09:27:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Did you learn anything? - Wed Dec  9 09:29:36 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Yupp. - Wed Dec  9 09:29:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Good good. - Wed Dec  9 09:31:18 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Yeah, thanks. - Wed Dec  9 09:32:09 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: First time I've actually trained. - Wed Dec  9 09:32:09 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Good good. - Wed Dec  9 09:33:52 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) sat up and looked over at his sword, "i wonder how you would have done with your sword and my ninjutsu."* - Wed Dec  9 09:33:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I don't know. - Wed Dec  9 09:37:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I've never fought someone with a sword like that. - Wed Dec  9 09:37:16 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: They're lucky that you haven't. - Wed Dec  9 09:38:59 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hah. - Wed Dec  9 09:38:59 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You seem different, Tsu-san. - Wed Dec  9 09:38:59 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: What you mean? - Wed Dec  9 09:39:50 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You are acting much more...humble and reserved. - Wed Dec  9 09:40:41 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Ehh? - Wed Dec  9 09:41:32 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: You think so..? - Wed Dec  9 09:41:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Yeah. - Wed Dec  9 09:41:32 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Is that a bad thing? - Wed Dec  9 09:42:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: No its a good thing. - Wed Dec  9 09:43:15 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Ahh, okay then.. - Wed Dec  9 09:44:06 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Good, good. - Wed Dec  9 09:44:06 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) stood up and walked over to his sword and picked it up. Crap it was heavy as shit. She held it a bit lower and carried it over to him and held it out.* - Wed Dec  9 09:45:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: That ...is really freakin heavy. - Wed Dec  9 09:48:22 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Hmm? Yeah. - Wed Dec  9 09:49:13 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Took me a while to get used to it. - Wed Dec  9 09:49:13 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Yeah I couldn't even carry that on my back I don't think. - Wed Dec  9 09:50:56 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Are you looking to learn how? - Wed Dec  9 09:52:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Nah, probabaly not, I'd probably cut an arm off. - Wed Dec  9 09:52:38 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I'm guessing you're talking about one of your own. - Wed Dec  9 09:53:29 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Yeah. - Wed Dec  9 09:53:29 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Oi, are you hungry? - Wed Dec  9 09:56:54 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Uhhh, yeah. - Wed Dec  9 09:56:54 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I'd go for a bite. - Wed Dec  9 09:56:54 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You like spicy food? - Wed Dec  9 09:57:45 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Is there any other way to have food? - Wed Dec  9 09:57:45 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) extended a hand out towards him to help him up, shocking, I know.* - Wed Dec  9 09:57:45 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Heeeeeeeeeeeeeeeeeell yeah. - Wed Dec  9 09:58:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Did I just find a new food buddy?! - Wed Dec  9 09:58:36 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) helped him up and then released him. "Good good, let's get going, I don't wanna cook so we will just have to hit the cafe." She headed off back home.* - Wed Dec  9 10:02:52 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) walked into the cafe and sat down in a booth and then looked over the menu. "Amegakure has such weak sauce spicy food, if you like spicy how can you even stand to eat here? Or maybe you are a fraud!" She gasped dramatically and looked over to Tsu with narrowed eyes. "Can you even handle green curry!"* - Wed Dec  9 10:13:58 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) gasped out and flicked his shoulder, "MISSY?!" She shook her head and then called a waiter over with a loud shout and wave of her hand, "OI GET OVER HERE TWO GREEN CURRIES! EXTRA SAUCE, ---" she cut off and looked deviously at Tsubasa, "and only -water-.~" She knew this was a death sentence for those who didn't know how to deal with spicy food. * - Wed Dec  9 10:21:39 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: And you don't know that I'm the QUEEN of spiciness! - Wed Dec  9 10:23:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: ..That sounded wrong. - Wed Dec  9 10:23:21 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ...... - Wed Dec  9 10:24:12 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: If you're the queen.. - Wed Dec  9 10:25:04 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Then.. - Wed Dec  9 10:25:04 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I'M THE GOD! - Wed Dec  9 10:25:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: PFFFFFFFFFFFFFFFFFFFFFFFFFTTTTTTTTTTTTTTT! - Wed Dec  9 10:25:04 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) called out abnoxiously for the waiter, "WHERE ARE THOSE CURRIES MISTER? WE HAVE A COMPETITION?!?!?!?!?!?"* - Wed Dec  9 10:25:55 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: New best friend, check. - Wed Dec  9 10:25:55 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: WOAHHHHHHHHHHHHHHHHH. - Wed Dec  9 10:26:46 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) shoook her finger at Tsu, "better watch out, what happens WHEN you lose? HUH HUH HUUUUUUUUUH?"* - Wed Dec  9 10:27:37 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) widened her eyes and a devious grin formed on her lips, "Your on."* - Wed Dec  9 10:29:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ......mn...  - Wed Dec  9 10:30:11 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) was extremely confident she would win, "the same.~" Just then the food was sat before them with the waiter rolling his eyes and muttering something about them needing to shut the fuck up as he walked away. Two green curry bowls, and two waters.* - Wed Dec  9 10:31:02 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: No way he can win. - Wed Dec  9 10:34:27 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) began to dig in as she ate the food like it was any other dish. Groaning at the delicious spiciness burning her lips and making them turn red as she watched Tsu across the table and continued to devour without taking a single drink of water.* - Wed Dec  9 10:36:09 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: ....Haaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa. - Wed Dec  9 10:40:25 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) paused and looked over towards him. "You can always give up.~"* - Wed Dec  9 10:42:08 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) shrugged and went back to casually eating with no trouble. "Maaaaaaaaaaaaaaaan this is some good green curry, maybe I was wrong about Amegakure. Extra spicy!" She nommed some more and giggled occasionally while watching him.* - Wed Dec  9 10:45:32 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) giggled wildly at how much he was sweating, it was too funny to her. She finished her food and then picked up her water to sip simply to clean her pallet. ---nope, her water got stolen from her. "Nng... hmph, okay I guess you need it." She called for a waiter to bring some milk and another water. "I knew you coudn't beat me."* - Wed Dec  9 10:51:31 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) || The waiter brought the milk and water, she took the water and started to sip slowly while watching him with a snide look.* - Wed Dec  9 10:54:04 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) waited patiently.* - Wed Dec  9 11:00:03 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Alright.. - Wed Dec  9 11:00:03 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I want to say you cheated.. - Wed Dec  9 11:00:03 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: But you won that fair and square.. - Wed Dec  9 11:00:03 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Indeed I did. - Wed Dec  9 11:00:54 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Hmph.. - Wed Dec  9 11:02:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I'll save that favor. - Wed Dec  9 11:03:28 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ..Hmphhhh! - Wed Dec  9 11:04:19 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hehe. - Wed Dec  9 11:06:01 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Do you ever travel? - Wed Dec  9 11:06:01 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Nah. - Wed Dec  9 11:06:52 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I'd get myself killed. - Wed Dec  9 11:06:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Really? - Wed Dec  9 11:06:52 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Mhm. - Wed Dec  9 11:12:00 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I don't know how you tolerate the real me. - Wed Dec  9 11:12:00 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: That's sad. - Wed Dec  9 11:12:00 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I'm acting.. like this so you won't hate me-. - Wed Dec  9 11:12:51 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Eh, not really. - Wed Dec  9 11:12:51 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....hate you? - Wed Dec  9 11:13:42 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Yeah. - Wed Dec  9 11:14:33 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: It usually happens. - Wed Dec  9 11:15:24 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ..All the time actually. - Wed Dec  9 11:15:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Eh... I don't hate you. - Wed Dec  9 11:15:24 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Ever since I graduated the academy, haha. Was always labeled as 'insane' and 'only getting by because I'm comedic'-.. Eventually you would have. - Wed Dec  9 11:16:16 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: As long as I stay like -this-.. Everything will be fine. - Wed Dec  9 11:16:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...You know you don't have to pretend. - Wed Dec  9 11:17:07 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I'm serious. - Wed Dec  9 11:17:58 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Paranoia is a killer, Kuro-chan. - Wed Dec  9 11:17:58 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) smirked a bit.* - Wed Dec  9 11:18:49 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Still.. - Wed Dec  9 11:27:21 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Today was fun without having you feel uncomfortable. - Wed Dec  9 11:27:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I mean yeah...but I had fun with you before too. - Wed Dec  9 11:29:04 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ..Seriously..? - Wed Dec  9 11:29:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I mean sure we got along a lot better today but I like you how you normally are too.. you just upset me or make me feel weird sometimes but then you get hit and I feel better. - Wed Dec  9 11:29:55 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Which.. do you prefer better? - Wed Dec  9 11:33:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Being -real-. - Wed Dec  9 11:33:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Sure this is nice, but is it -you-? - Wed Dec  9 11:33:20 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: ..I mean.. - Wed Dec  9 11:33:20 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: Yes and no.. - Wed Dec  9 11:33:20 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: -This-.. is more controlled.. - Wed Dec  9 11:34:11 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: But it -is- me.. - Wed Dec  9 11:34:11 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I can be like this naturally.. but not for long. - Wed Dec  9 11:34:11 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: The other.. me.. that's the most common. - Wed Dec  9 11:34:11 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Becuase this isn't natural...that's why you can't hold it. - Wed Dec  9 11:35:02 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I guess.. - Wed Dec  9 11:35:53 2015
<br><br><font color=teal>*Ookina, Tsubasa(Itachi4x4) says: I don't know.. - Wed Dec  9 11:35:53 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) reached over and nudged his shoulder with her knuckles, "be yourself kay Tsu-san?"* - Wed Dec  9 11:37:36 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) wraps her six arms around Lera's body. Mine.* - Fri Dec 11 08:21:42 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Oh. - Fri Dec 11 08:21:42 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Dis is fine. - Fri Dec 11 08:21:42 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) walked up to the area, and as she looked him over it was easy to quickly notice the new tattoo since she knew his form pretty well by now. Walking over and sitting down beside him she stared out across the valley as if she had simply been here only a moment ago sitting with him rather than being gone several months. "Promotion, huh?"* - Fri Dec 11 08:28:32 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: They said I had nothing to fight for.. - Fri Dec 11 08:34:30 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: So I should just give up.. so I kind've told myself that the first hundred-two kills is for you. - Fri Dec 11 08:34:30 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) took the paper and then widened her eyes as she saw the kill count. She was speechless and breathless... she simply stared with dilated eyes at the paper.* - Fri Dec 11 08:35:21 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) parted her lips and then looked up to him as he whispered so casually. She pointed at the paper with her hands trembling and her lips parted and closed a few times as she tried to speak. Soon enough she managed to stress out a whisper, "You... killed a hundred and two people....for me?"* - Fri Dec 11 08:39:37 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) let the paper flutter to the floor and wrapped her upper arms around the back of his neck and pulled him in. Presing her forehead against his own as she breathed out her sweet cotton candy breath against his own lips and whispered as her eyes slowly trailed up from his lips to his eyes.* - Fri Dec 11 08:42:11 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I love you, Sogeki. - Fri Dec 11 08:42:11 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) || For a moment she had a little panic attack, how he shook his head worried her quite a bit. She bit down on her tongue as those few moments felt like a life time as she waited for a bigger reaction than a simple shaking of his head. When his hand came up and rest on her cheek she sighed out through flared nostril's and then felt her eyes burn as he nodded and said those four enormous words back to her. 

Biting down on her lip and gasping out with a soft laugh she leaned forward and pressed her lips into his and kissed him with passion and several small kisses in a row. Her throat whining out as she wrapped her arms tighter up around the back of his neck to pull him close.* - Fri Dec 11 08:58:24 2015
