<br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: -- - Sat Nov 28 00:28:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sat Nov 28 00:49:29 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You mentioned... a purification. - Sat Nov 28 00:49:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's very hurtful. - Sat Nov 28 00:49:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yes, and? - Sat Nov 28 00:49:29 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: If I submitted to ---is it though? It's the truth, so it shouldn't hurt. - Sat Nov 28 00:50:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sat Nov 28 00:50:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So you'd want to be purified? - Sat Nov 28 00:50:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: If I submitted to this purification, would that serve as payment? - Sat Nov 28 00:50:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Interesting.. - Sat Nov 28 00:50:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You against it initially.. - Sat Nov 28 00:50:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: And what does this purifcation entail. - Sat Nov 28 00:50:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I accept your deal. - Sat Nov 28 00:51:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Now..let me just go prepare.. - Sat Nov 28 00:51:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Wait... what is the purification? - Sat Nov 28 00:51:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Sat Nov 28 00:51:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sorry.. - Sat Nov 28 00:51:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm busy.. - Sat Nov 28 00:51:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I have to locate someone. - Sat Nov 28 00:51:12 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Sat Nov 28 00:51:12 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: She didn't even make the offer though? - Sat Nov 28 00:51:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sat Nov 28 00:52:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Let's see.. - Sat Nov 28 00:52:54 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Okay...then. - Sat Nov 28 00:53:45 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) says: . . . - Sat Nov 28 00:55:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Phew. - Sat Nov 28 00:59:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That was a lot of work. - Sat Nov 28 00:59:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Are you ready? - Sat Nov 28 01:02:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? Of course. - Sat Nov 28 01:02:17 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I've already sent a message. - Sat Nov 28 01:03:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Let's hope there's a reply. - Sat Nov 28 01:03:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Calm down, I didn't mention you. - Sat Nov 28 01:03:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Eh? - Sat Nov 28 01:04:00 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I am not worried...and to who if I can ask? - Sat Nov 28 01:04:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's not important. - Sat Nov 28 01:04:51 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: What are they going to do to me? - Sat Nov 28 01:05:42 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: What now? - Sat Nov 28 01:05:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sat Nov 28 01:09:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: For now we just wait. - Sat Nov 28 01:09:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I can't start the purification process without first securing my end of the deal. - Sat Nov 28 01:09:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You get to relax, and live your life.~ - Sat Nov 28 01:09:58 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...o-oh. - Sat Nov 28 01:09:58 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Why...do you have...wait. - Sat Nov 28 01:09:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Why? - Sat Nov 28 01:09:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Because what happens if they are unable to contact me? - Sat Nov 28 01:09:58 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Why do you have to uphold your end of the deal -first-.... - Sat Nov 28 01:10:49 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I take my deals seriously. - Sat Nov 28 01:10:49 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Because.. - Sat Nov 28 01:10:49 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'd rather not owe you for anything if I had failed to deliver my part. - Sat Nov 28 01:10:49 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...okay... I suppose that makes sense...but I would like you to tell me about this purification process. - Sat Nov 28 01:10:49 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There's nothing you need to worry about. - Sat Nov 28 01:10:49 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I can see you're already on the proper path. - Sat Nov 28 01:11:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What you said to me had confirmed it. - Sat Nov 28 01:11:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That was enjoyable to hear. - Sat Nov 28 01:12:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: What I said? - Sat Nov 28 01:12:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....are you.... going to -change- me somehow? - Sat Nov 28 01:12:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Maybe this was a bad offer. - Sat Nov 28 01:13:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yes. - Sat Nov 28 01:15:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're free. - Sat Nov 28 01:15:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Change you? - Sat Nov 28 01:16:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Why would I want to change you? - Sat Nov 28 01:16:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...okay... will I... be free? - Sat Nov 28 01:16:48 2015
<br><br><font color=teal>*Kurina, Abraxas(Chaos Commander2015) thinks: This will hopefully be the last I see of either one of these two. - Sat Nov 28 01:20:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sat Nov 28 01:20:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Free? - Sat Nov 28 01:20:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm not going to take away your free will. - Sat Nov 28 01:20:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Why are you so worried about that? - Sat Nov 28 01:20:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...okay.... - Sat Nov 28 01:20:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Because... wouldn't anyone be worried about that? - Sat Nov 28 01:21:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's not like you won't change. - Sat Nov 28 01:21:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: But it's not going to be as radical. - Sat Nov 28 01:21:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Okay... - Sat Nov 28 01:21:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Really..is that such a big price to pay? - Sat Nov 28 01:21:55 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Not... necessarily for some people, to me it is. - Sat Nov 28 01:21:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm a priest, I have to keep things proper. - Sat Nov 28 01:22:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's not like I'm asking you to become a prostitute, or erotic. - Sat Nov 28 01:22:46 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....I know that. - Sat Nov 28 01:22:46 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I was curious if you were going to try and make me follow you like Ichiro has been forced. - Sat Nov 28 01:22:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ichiro hasn't been forced.. - Sat Nov 28 01:22:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hahahaha. - Sat Nov 28 01:23:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You thought Ichiro was forced to do anything? - Sat Nov 28 01:23:37 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...he was forced to leave with the woman. - Sat Nov 28 01:23:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: He wasn't forced into anything. - Sat Nov 28 01:23:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ichiro joined that girl of his own free will. - Sat Nov 28 01:24:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: He's her bodyguard. - Sat Nov 28 01:24:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're quite a confused girl. - Sat Nov 28 01:24:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....I see.... - Sat Nov 28 01:24:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Then why was he so ashamed? - Sat Nov 28 01:24:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ashamed? I don't know..maybe he has feelings for her? - Sat Nov 28 01:25:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I thought that too but she quickly corrected me. - Sat Nov 28 01:26:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hahaha. - Sat Nov 28 01:29:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: He's hurt! - Sat Nov 28 01:29:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Man.. - Sat Nov 28 01:29:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Romantic comedies are hilarious, aren't they? - Sat Nov 28 01:29:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...I guess. - Sat Nov 28 01:29:36 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) sighed out and began to chew her gum that had been hidden beneath her tongue again and blew a bubble. Her expression had become placid again.* - Sat Nov 28 01:30:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Sheesh, you're so energetic. - Sat Nov 28 01:31:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Is that relief, I feel? - Sat Nov 28 01:31:18 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Is what a relief? - Sat Nov 28 01:32:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That I've decided to help you. - Sat Nov 28 01:39:50 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...yes it is but at the same time I am still wary of whatever this purification is and why you want it so badly. - Sat Nov 28 01:40:41 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What..do you really want to change it? - Sat Nov 28 01:43:15 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...No, I agreed. - Sat Nov 28 01:44:06 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I am not that fool you dealt with before who dared to enter into my affairs. - Sat Nov 28 01:44:57 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hahaha. - Sat Nov 28 01:45:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: So is there something we can do until we hear back? - Sat Nov 28 01:49:13 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Sat Nov 28 01:50:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..I'm waiting for Lord Mizukage's response. - Sat Nov 28 01:50:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....Oh. - Sat Nov 28 01:50:56 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) sighed out.* - Sat Nov 28 01:51:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Unless.. - Sat Nov 28 01:51:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You actually want to search for them. - Sat Nov 28 01:51:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What happens if they start moving for here, when we leave? - Sat Nov 28 01:51:47 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I don't know where they are or there intentions... only you do. - Sat Nov 28 01:52:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: So I will wait until you tell me what to do. - Sat Nov 28 01:52:38 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well! - Sat Nov 28 01:53:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If'd you like you can take your clothes off. - Sat Nov 28 01:54:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....... - Sat Nov 28 01:54:20 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) blew a bubble and popped it.* - Sat Nov 28 01:54:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Let's see.. - Sat Nov 28 02:13:58 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...yes? - Sat Nov 28 02:14:49 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ah.. - Sat Nov 28 02:21:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That came out wrong.. - Sat Nov 28 02:21:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I meant, there's no need to be so secretive about yourself. - Sat Nov 28 02:22:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: What do you mean? - Sat Nov 28 02:23:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Nothing..nothing. - Sat Nov 28 02:24:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You should go relax, read a book. - Sat Nov 28 02:25:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....why? - Sat Nov 28 02:26:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What do you mean.. - Sat Nov 28 02:28:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It might take some time.. - Sat Nov 28 02:28:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You surely don't want to hang around me. - Sat Nov 28 02:28:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....oh... - Sat Nov 28 02:29:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I mean.... - Sat Nov 28 02:29:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I don't really ... read books for enjoyment? - Sat Nov 28 02:29:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: This village is filled with children. - Sat Nov 28 02:29:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You seem older than even the kage. - Sat Nov 28 02:29:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You are strange, but you are more..... like me, atleast than anyone else. - Sat Nov 28 02:29:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: So why shouldn't I want to be around you? - Sat Nov 28 02:31:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Unless you want me to wait somewhere else. - Sat Nov 28 02:31:53 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Nov 28 02:32:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I don't own you. - Sat Nov 28 02:32:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I can't tell you what to do.. - Sat Nov 28 02:32:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ..............I know you don't own me. - Sat Nov 28 02:32:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I'm saying if you want me to wait somewhere else, out of like privacy or whatever. - Sat Nov 28 02:33:36 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) shrugged and blew another bubble and popped it.* - Sat Nov 28 02:33:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You won't be surprised to find out that the village doesn't have much to offer. - Sat Nov 28 02:33:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Not yet.. - Sat Nov 28 02:36:09 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...well then what do you have an issue with me waiting here with you? - Sat Nov 28 02:37:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Nope. - Sat Nov 28 02:37:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Do tell me why are you so interested in Ichiro-kun? - Sat Nov 28 02:37:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If you've met them before.. - Sat Nov 28 02:38:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You should've said everything you had to. - Sat Nov 28 02:38:43 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...He's my brother. - Sat Nov 28 02:39:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh? - Sat Nov 28 02:39:34 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Yes. - Sat Nov 28 02:40:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ichiro-kun never told me he had a sister.. - Sat Nov 28 02:40:25 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I would appreciate if you didn't tell the Mizukage that.... - Sat Nov 28 02:40:25 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...thats the same thing that the girl said before kissing me............... - Sat Nov 28 02:40:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Is it? - Sat Nov 28 02:40:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: She is a quick learner.. - Sat Nov 28 02:42:08 2015
