<br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Fuckk.. I have nooothing.. - Mon Dec  7 09:02:17 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Oh shit he went for it? - Mon Dec  7 09:27:02 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Wait really? - Mon Dec  7 09:27:02 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I don't see why not. - Mon Dec  7 09:27:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Okay so.... - Mon Dec  7 09:28:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Do the people in the village still call me a traitor? - Mon Dec  7 09:28:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: No. - Mon Dec  7 09:28:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Kay your turn, just roll one dice for dare or truth. - Mon Dec  7 09:29:36 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) still didn't drink the alcohol.* - Mon Dec  7 09:30:27 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmm.. - Mon Dec  7 09:30:27 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Dare.. - Mon Dec  7 09:30:27 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) stood up and walked over towards him, she was hesitant only becuase of that look in his eyes. She settled down onto his lap and pulled her feet up onto the edge of the seat between his legs so that her heels were barely brushing against the bottom side of his groin as she leaned back into him.* - Mon Dec  7 09:33:00 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hm...  - Mon Dec  7 09:34:43 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Does it bother you that I don't strive for sex or kissing or whatever? That I'm disgusted by some things? - Mon Dec  7 09:34:43 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hm.. okay. - Mon Dec  7 09:37:16 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...nngng.. - Mon Dec  7 09:38:59 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Just a sip, don't have to gulp it. - Mon Dec  7 09:39:50 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) took the liquor and then hesitantly brought it to her lips but she struggled to get herself to drink it. It smelled so bad... eventually she took a sip and then nearly gagged so hard her entire body lurched a bit foward. She force the bottle onto the table and turned in against his chest as she tried to recover, it was so terrible! Her face was flushing red from the liquor in her system, even a little bit going down her throat burned... * - Mon Dec  7 09:40:41 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: I rather have the poison any day. - Mon Dec  7 09:44:06 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Ohh? - Mon Dec  7 09:44:06 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: It's really not bad once you get past the burning. - Mon Dec  7 09:44:57 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Besides.. my poison on you have special uses.~ - Mon Dec  7 09:44:57 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ---w-what? - Mon Dec  7 09:45:48 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Mhm.. Special uses. - Mon Dec  7 09:45:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: A-anyway... let's see. - Mon Dec  7 09:46:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Does it scare you to use the poison on me? The risk? - Mon Dec  7 09:46:40 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Sometimes I worry that you'll grow to sincerely 'hate' the poison.. but apart from that no. - Mon Dec  7 09:47:31 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ....what? - Mon Dec  7 09:47:31 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) frowned as she looked up to him, "but I told you I like it."* - Mon Dec  7 09:48:22 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Mn.. kay, your turn.~ - Mon Dec  7 09:50:56 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmm. - Mon Dec  7 09:50:56 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: When I told you there is a little ownership when I say "claim".. does that make you think me different? - Mon Dec  7 09:51:47 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....it... - Mon Dec  7 09:52:38 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: It makes me feel a lot of things. - Mon Dec  7 09:53:29 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: It scares me, it excites me... it makes me feel loved... it makes things surprising.... and... it makes me feel safe. - Mon Dec  7 09:53:29 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....was that okay - Mon Dec  7 09:56:54 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ? - Mon Dec  7 09:56:54 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Yeah.. It really was.. - Mon Dec  7 09:56:54 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: O-okay... uhm... when I'm under the poison... is there something you want to do that you haven't done yet? Like other than the ass thing you talked about. - Mon Dec  7 09:57:45 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: One thing.. - Mon Dec  7 09:58:36 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I thought of it earlier when we were by the mountain. - Mon Dec  7 09:58:36 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Remember when I said "we'll see when I put it in your face"? - Mon Dec  7 09:59:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....*nods* - Mon Dec  7 09:59:28 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I was.. thinking about.. in your mouth. - Mon Dec  7 09:59:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....p-put what in my mouth. - Mon Dec  7 10:00:19 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Take a guess. - Mon Dec  7 10:01:10 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) gasped faintly and looked away coyly.* - Mon Dec  7 10:02:01 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: O-oh...but...wouldn't that..... taste weird... - Mon Dec  7 10:02:01 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I.. don't know.. I mean there's only one way for -you- to find out. - Mon Dec  7 10:02:52 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Nng..but you -tasted-...the...stuff. - Mon Dec  7 10:03:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: God it makes me sick feeling just talking about it...so gooey... - Mon Dec  7 10:03:44 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I know.. and I liked it, but I don't know if -you- would. - Mon Dec  7 10:04:35 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) swallowed hard with a small gag directly before. "It... we...lets...take that part slow."* - Mon Dec  7 10:04:35 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Y-your turn. - Mon Dec  7 10:05:26 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmm. - Mon Dec  7 10:06:17 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Are you scared of me claimed you.. behind there to the point you don't want me to? - Mon Dec  7 10:07:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Not... exactly? - Mon Dec  7 10:17:23 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmm.. - Mon Dec  7 10:19:56 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Alright then.. - Mon Dec  7 10:19:56 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Don't know.. if that gives me the okay or not.. - Mon Dec  7 10:20:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: I mean... I'm scared but .... I know that I want to try it eventually. - Mon Dec  7 10:20:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...for you at least. - Mon Dec  7 10:20:48 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: ..Really? - Mon Dec  7 10:22:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Yeah. - Mon Dec  7 10:23:21 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..Wow... - Mon Dec  7 10:25:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: A-Alright then.. - Mon Dec  7 10:25:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Uhm... lets see here. So when you.. tried to take me by force and all that? What made you like decide to do that, like what moment was happening when you just decided you -had- to have me?? - Mon Dec  7 10:26:46 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Mmmm.. - Mon Dec  7 10:26:46 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I guess it was something that was built up.. like realizing you're a savage then seeing you laying there after freeing me.. Just a turn on after a turn on.. - Mon Dec  7 10:28:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...seeing me weak? - Mon Dec  7 10:28:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....unable to move? - Mon Dec  7 10:29:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I didn't- - Mon Dec  7 10:29:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I-.. - Mon Dec  7 10:29:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Why did you free me from the poison before doing it? - Mon Dec  7 10:30:11 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Because of the look on your face. - Mon Dec  7 10:30:11 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Felt bad deep down.. - Mon Dec  7 10:30:11 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: And I made a promise. - Mon Dec  7 10:30:11 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: You free me, I free you. - Mon Dec  7 10:31:02 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: So you felt bad...about making me defenseless...when you were about to make me the most defenseless I could possibly feel. Ironic. - Mon Dec  7 10:31:02 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Not trying to make you feel like shit... ---erg... that probably felt bad didn't it? I can talk about these things pretty easily... sorry. - Mon Dec  7 10:31:53 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Conflicted views.. - Mon Dec  7 10:31:53 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Get me back with a dare. - Mon Dec  7 10:32:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...sure. - Mon Dec  7 10:33:36 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: W-wha... - Mon Dec  7 10:34:27 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) trembled some and looked away but soon enough she started to pull off her hoodie and dropped it to the ground. She sat on his lap now with her many arms folded across her torso and her slim toned belly revealed and her petite breasts in their plain black bra, clearly she didn't wear fancy undergarments but more so what was useful to her fighting style (sports bras, etc). She flushed a deep red as she sat there with shoes, pants, and all that good stuff still on with her length black and red highlighed hair cascading over her upper body.* - Mon Dec  7 10:37:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I'll.. never get used to that.. - Mon Dec  7 10:40:25 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....to what? - Mon Dec  7 10:41:16 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Your body. - Mon Dec  7 10:42:08 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: O-oh. - Mon Dec  7 10:42:59 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Uh...where were we? - Mon Dec  7 10:45:32 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Your turn. - Mon Dec  7 10:46:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Oh. - Mon Dec  7 10:46:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Hm. - Mon Dec  7 10:46:24 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: You gonna always tell the truth right? - Mon Dec  7 10:46:24 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..Yeah. - Mon Dec  7 10:47:15 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Do you let me win? - Mon Dec  7 10:47:15 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: With what? - Mon Dec  7 10:48:06 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: When we fight. - Mon Dec  7 10:48:06 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Cause either you are stupid, I'm super lucky, or I'm just seeing something wrong. - Mon Dec  7 10:48:57 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Or you are letting me win. - Mon Dec  7 10:48:57 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I hold back, yes. But your ability to target pressure points capitalize on the moment. - Mon Dec  7 10:49:48 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Why do you hold back? - Mon Dec  7 10:49:48 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Eh.. - Mon Dec  7 10:52:22 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I just don't want to fight you seriously. - Mon Dec  7 10:52:22 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....Hmph. - Mon Dec  7 10:52:22 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) smacked him lightly on the cheek with her palm.* - Mon Dec  7 10:53:13 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Hmph.. - Mon Dec  7 10:56:38 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmmm.. - Mon Dec  7 10:57:29 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Are you uncomfortable right now? - Mon Dec  7 10:57:29 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...no. - Mon Dec  7 10:58:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: A little...-bare-. - Mon Dec  7 10:58:20 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmmm... - Mon Dec  7 10:59:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....what? - Mon Dec  7 10:59:12 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: Said... - Mon Dec  7 11:00:03 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: I'm having temptations.. - Mon Dec  7 11:00:03 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: ....t-touch  me. - Mon Dec  7 11:00:54 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) whispers: You're giving.. me the okay? - Mon Dec  7 11:01:45 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Oh... that...wasn't a question... - Mon Dec  7 11:01:45 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) whispers: Uhm... Touch... me? - Mon Dec  7 11:02:36 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Is.. this a test..? - Mon Dec  7 11:03:28 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) 's heart began to race as she felt his rough hands going over her soft unscared skin.* - Mon Dec  7 11:03:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Y-you gotta keep playing the game though. - Mon Dec  7 11:03:28 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: No I just asked you a question.~ - Mon Dec  7 11:06:01 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..... - Mon Dec  7 11:06:01 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hmph. - Mon Dec  7 11:06:01 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I'm guessing you already know the answer.~ - Mon Dec  7 11:06:01 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: ..Perfect.~ - Mon Dec  7 11:06:52 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) nearly jumped and then sat there a bit as she tried to decide if she wanted to take off the bra. She then sat up and slowly pulled it off over her head and let it fall to the ground as her petite breasts were exposed to the cool air and hardened ever so slightly.* - Mon Dec  7 11:07:44 2015
<br><br><font color=teal>***Raikage**(Dragonfile) thinks: I;ll be sure to use my weapon on her. - Mon Dec  7 21:45:10 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: ... - Mon Dec  7 21:45:10 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) approached the area having been gone a solid six months, after what happened last time she was here? She had stayed away and only provided information via reports at minimum and professional detail.* - Mon Dec  7 21:46:01 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) waved out towards Menma and noted how the kage ignored her. With a slow sigh out she stepped forward to his side but a few feet away, certainly more far away than in the past.* - Mon Dec  7 22:04:48 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Somehow... I doubt that. The strength to swing around that big 'ol thing... - Mon Dec  7 22:06:30 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: But not to pierce my skin with it? - Mon Dec  7 22:06:30 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I'm not buyin it. - Mon Dec  7 22:06:30 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Y'know? - Mon Dec  7 22:06:30 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Hahaha. - Mon Dec  7 22:06:30 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Don't think Sogeki has seen me yet. - Mon Dec  7 22:07:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: ....crap. - Mon Dec  7 22:07:21 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah... guess I'll give you my name, now. - Mon Dec  7 22:09:04 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Mitsunara. - Mon Dec  7 22:09:04 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) hesitantly held her hand out towards the Raikage, palm up.* - Mon Dec  7 22:09:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Name's Alberto. - Mon Dec  7 22:09:55 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Del. - Mon Dec  7 22:09:55 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Rio. - Mon Dec  7 22:09:55 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Hey Aero-kun. - Mon Dec  7 22:10:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I see, Alberto.. - Mon Dec  7 22:10:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Del.. - Mon Dec  7 22:10:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Rio. - Mon Dec  7 22:10:46 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Nice to meetcha. - Mon Dec  7 22:10:46 2015
<br><br><font color=yellow>*Engi, Kariudo(-Assassin.R-) frowned at what he said as she looked down at her hand. His words sounded.. -really- permanent. She shook he head and followed after him to privacy of the manor walls.* - Mon Dec  7 22:12:28 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Of course. - Mon Dec  7 22:12:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah... - Mon Dec  7 22:12:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Guess I'm done here, for now.. Hey! - Mon Dec  7 22:12:28 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) thinks: So much for that. - Mon Dec  7 22:12:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: You know any good swordspeople elsewhere, Alberto.. - Mon Dec  7 22:12:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Del.. - Mon Dec  7 22:12:28 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Rio? - Mon Dec  7 22:12:28 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) thinks: And he ignored me, *mental sigh*---Ouch...I should stop doing that..it hurts. - Mon Dec  7 22:13:20 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ... - Mon Dec  7 22:13:20 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Hm? - Mon Dec  7 22:15:02 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...have your discussion, Sogeki. - Mon Dec  7 22:15:02 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Very well. - Mon Dec  7 22:15:02 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: He looks well.... - Mon Dec  7 22:15:02 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .... - Mon Dec  7 22:16:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Leave it to Sogeki. - Mon Dec  7 22:16:44 2015
