<br><font color=teal>*Sanoke(Gamuhz2) says: He's too carefree. - Tue Dec  1 02:05:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I wouldn't be opposed to sponsoring that. Give me some ideas, as well as some pries. - Tue Dec  1 02:22:56 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Let's have a stabbing contest. - Tue Dec  1 02:22:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: ... - Tue Dec  1 02:22:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-Noo.. - Tue Dec  1 02:22:56 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-We should.. - Tue Dec  1 02:22:56 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hey.. - Tue Dec  1 02:23:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: G-Get a bunch of fruit..o-okay.. - Tue Dec  1 02:23:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: T-Throw it in the a-air.. - Tue Dec  1 02:23:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-And see who destroys m-more. - Tue Dec  1 02:23:47 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: We could have a world wide cultre festvile. - Tue Dec  1 02:23:47 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: And stab them. - Tue Dec  1 02:23:47 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-We could call it..f-fruit ninja.. - Tue Dec  1 02:23:47 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: It would bring in a ton of money. - Tue Dec  1 02:23:47 2015
<br><br><font color=teal>*Squirtle(Ichigo10101) says: I'll fight you all with my Squirtle-Fu! - Tue Dec  1 02:25:29 2015
<br><br><font color=teal>*Squirtle(Osmanesanogo) says: this is no - Tue Dec  1 02:26:20 2015
<br><br><font color=teal>*Squirtle(Osmanesanogo) says: t - Tue Dec  1 02:26:20 2015
<br><br><font color=teal>*Squirtle(Osmanesanogo) says: YOU ARE ALL - Tue Dec  1 02:26:20 2015
<br><br><font color=teal>*Squirtle(Osmanesanogo) says: HERE TO FIGHT - Tue Dec  1 02:26:20 2015
<br><br><font color=teal>*Squirtle(Osmanesanogo) says: THE HUMANS - Tue Dec  1 02:26:20 2015
<br><br><font color=teal>*Yuda(Booty Eater) whispers: what that mouth bout - Tue Dec  1 02:27:12 2015
<br><br><font color=teal>*Yuda(Booty Eater) whispers: omit - Tue Dec  1 02:27:12 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: -omit- - Tue Dec  1 02:30:36 2015
<br><br><font color=yellow>*Yuda(Booty Eater) stabs this nigga in the back.* - Tue Dec  1 02:30:36 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: fagboy - Tue Dec  1 02:33:10 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: omit - Tue Dec  1 02:33:10 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Sure will. - Tue Dec  1 02:34:01 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Thanks again for the mission. - Tue Dec  1 02:34:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: No problemo. Also, not sure if you heard the announcement. - Tue Dec  1 02:34:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: But if you have any ideas or events you'd want sponsor. See me. - Tue Dec  1 02:34:52 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: ... - Tue Dec  1 02:34:52 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Church! - Tue Dec  1 02:35:44 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: -omit- - Tue Dec  1 02:35:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Maid Cafe? - Tue Dec  1 02:36:35 2015
<br><br><font color=teal>*Yoko(Dark_Kadaj12) says: .... - Tue Dec  1 02:36:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <*Tilts head to side*> What's that? - Tue Dec  1 02:37:26 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: -omit- - Tue Dec  1 02:38:17 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: .... - Tue Dec  1 02:39:08 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: M-Maid cafe? - Tue Dec  1 02:39:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Anyone else? - Tue Dec  1 03:04:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Guess not. - Tue Dec  1 03:17:32 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm, - Tue Dec  1 03:19:15 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Wait. - Tue Dec  1 03:19:15 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: What are we talking about? - Tue Dec  1 03:20:06 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Events for Sunagakure to host. - Tue Dec  1 03:20:06 2015
<br><br><font color=teal>*Aoi(ByeFelicia) says: Shouldn't we be focusing on reparations? - Tue Dec  1 03:20:57 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yes. I have to keep the village lively. - Tue Dec  1 03:20:57 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: They're going fine. - Tue Dec  1 03:20:57 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: We're just about done. - Tue Dec  1 03:20:57 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: I agree with the swim suit contest!  - Tue Dec  1 03:22:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yes. - Tue Dec  1 03:22:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I already have o-one from kirigakure.. - Tue Dec  1 03:22:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: D-Do you wanna c-come see it..c-chikyu? - Tue Dec  1 03:23:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: There was one in Kirigakure? - Tue Dec  1 03:23:31 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: N-Nooo. - Tue Dec  1 03:23:31 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I j-just bought one..i-it was on sale.. - Tue Dec  1 03:23:31 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: We could also have a bunch of mini-contests in with the swimsuit. Like smashing watermelons, and stuff like that! And sure, I love to see. - Tue Dec  1 03:23:31 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yeaa. - Tue Dec  1 03:23:31 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: A-Alright, c-come on chikyu.. - Tue Dec  1 03:23:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh, that'd be cool. But the villagers are dull sometimes. - Tue Dec  1 03:24:22 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: O-Oh. - Tue Dec  1 03:24:22 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'd hope it wouldn't just be you guys jonining. - Tue Dec  1 03:24:22 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: joining* - Tue Dec  1 03:24:22 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-Well..uhm..t-think about it.. - Tue Dec  1 03:24:22 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Festivle is better. - Tue Dec  1 03:32:03 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Joining what? - Tue Dec  1 03:32:03 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: We can like have events. - Tue Dec  1 03:32:54 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: And food. - Tue Dec  1 03:32:54 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: So what is going on here people? - Tue Dec  1 03:35:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Doesn't seem like much is going on anywhere right now. - Tue Dec  1 03:36:19 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmmm. - Tue Dec  1 03:38:01 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What is going on here Trill? - Tue Dec  1 03:38:52 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Swim suit contest or something. - Tue Dec  1 03:38:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Whaa? - Tue Dec  1 03:38:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: If this is a swim suit contest where are all of the participants? - Tue Dec  1 03:40:35 2015
<br><br><font color=teal>*Aoi(ByeFelicia) thinks: That idea is so idiotic... - Tue Dec  1 03:42:17 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Well since nothing is really happening here right now I am going to get some food. - Tue Dec  1 03:45:42 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh? Not today. - Tue Dec  1 03:55:05 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It's something in the works, I guess./ - Tue Dec  1 03:55:05 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What is Sanoke? - Tue Dec  1 03:55:56 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I just want to know. - Tue Dec  1 03:56:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Swimsuit competition, I'd guess. Unsure if I'll go through with it. - Tue Dec  1 03:57:39 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Where are they gettig the water from - Tue Dec  1 03:57:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: We have water. - Tue Dec  1 03:57:39 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Where? - Tue Dec  1 03:57:39 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Do you own a house? - Tue Dec  1 03:58:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Go turn on the sink. - Tue Dec  1 03:58:30 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Good point. - Tue Dec  1 03:58:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: A lot of the water tends to be underground. - Tue Dec  1 03:59:21 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Even then. I can easily have some water summoned if need be. - Tue Dec  1 03:59:21 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Wow you can do that Sanoke? - Tue Dec  1 04:00:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Mhm! C'mon, it wouldn't be that hard. - Tue Dec  1 04:00:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Well I damn sure can't do it. - Tue Dec  1 04:01:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: So it is a pretty impressive feat to me. - Tue Dec  1 04:01:04 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmm. - Tue Dec  1 04:05:20 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: So a pool in the back of my shop would like be awesome. - Tue Dec  1 04:05:20 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: I wonder. - Tue Dec  1 04:06:11 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You should get it Trill. - Tue Dec  1 04:07:02 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: If I forge gramps signature. - Tue Dec  1 04:07:02 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmmm. - Tue Dec  1 04:07:02 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I think it would be fun to have a pool around here. - Tue Dec  1 04:07:02 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Plus you could make some money off of it. - Tue Dec  1 04:07:02 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmmm. - Tue Dec  1 04:07:53 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Money. - Tue Dec  1 04:07:53 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yea man. - Tue Dec  1 04:08:44 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Money. - Tue Dec  1 04:08:44 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Money? - Tue Dec  1 04:08:44 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Yeah Byson Im broke now. - Tue Dec  1 04:08:44 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Why? - Tue Dec  1 04:08:44 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Since gramps left. - Tue Dec  1 04:08:44 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Oh thats terrible... - Tue Dec  1 04:08:44 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Plus Iza and her brothers moved in with me. - Tue Dec  1 04:09:36 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: I can give you some if you want - Tue Dec  1 04:09:36 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Add in Kinami and Testkui. - Tue Dec  1 04:09:36 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Reallly that would be like awesome. - Tue Dec  1 04:09:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Bry must be loaded. . . .  - Tue Dec  1 04:09:36 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: All that will only last a month? - Tue Dec  1 04:13:00 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Yeah. - Tue Dec  1 04:13:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What do you do with it? - Tue Dec  1 04:13:00 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Kinami and the others arent chep - Tue Dec  1 04:13:00 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hiro. - Tue Dec  1 04:13:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: ? - Tue Dec  1 04:13:00 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Well at least its never boring at your house - Tue Dec  1 04:13:52 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Everytime one of us uses a training field the place is left in shambles. - Tue Dec  1 04:13:52 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: We get fined for that. - Tue Dec  1 04:13:52 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Who? - Tue Dec  1 04:13:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: We were just there and it is fine. - Tue Dec  1 04:13:52 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You need to control yourself bro. - Tue Dec  1 04:13:52 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Bitch please. - Tue Dec  1 04:22:24 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Lera do you know any lightnign justu. - Tue Dec  1 04:23:15 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Only a few... - Tue Dec  1 04:23:15 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmmm. - Tue Dec  1 04:24:06 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: You probably know them already. - Tue Dec  1 04:24:06 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmmm. - Tue Dec  1 04:24:06 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: The same ones Master Kilm knew? - Tue Dec  1 04:24:06 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Fuck it make me Kazekage! -omit- - Tue Dec  1 04:24:57 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: More than likely. - Tue Dec  1 04:24:57 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Man. - Tue Dec  1 04:24:57 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Its like there is no one who Proffesionalizes in lightning thats crazy. - Tue Dec  1 04:25:48 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uh. . What's with the circle? - Tue Dec  1 04:25:48 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Dont you? - Tue Dec  1 04:25:48 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Its the circle... - Tue Dec  1 04:25:48 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Of life. - Tue Dec  1 04:25:48 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: -omit- - Tue Dec  1 04:26:40 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: We are praying - Tue Dec  1 04:26:40 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: -omit- - Tue Dec  1 04:26:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: We are? - Tue Dec  1 04:26:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Not sure Sanoke. - Tue Dec  1 04:26:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: I like it though. - Tue Dec  1 04:26:40 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Yeah I bet you like tight circles huh? - Tue Dec  1 04:27:31 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: ............... - Tue Dec  1 04:27:31 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Oh you can dance Lera? - Tue Dec  1 04:27:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Not very good. It's why she's so hesistant. - Tue Dec  1 04:27:31 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: .....How the heck did you know that..? - Tue Dec  1 04:27:31 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Bitch dont take my pills - Tue Dec  1 04:27:31 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Come on Lera bust a move. - Tue Dec  1 04:27:31 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: -omit- - Tue Dec  1 04:27:31 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Hell no... - Tue Dec  1 04:28:22 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: ..... - Tue Dec  1 04:28:22 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: COward! - Tue Dec  1 04:28:22 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Pay me. - Tue Dec  1 04:28:22 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Whaa? - Tue Dec  1 04:28:22 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Ten thousand yen. - Tue Dec  1 04:29:13 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Pfft Pocket change. - Tue Dec  1 04:29:13 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: He is actually paying her? - Tue Dec  1 04:29:13 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: You payin' people to dance? - Tue Dec  1 04:29:13 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: That is pocket change? - Tue Dec  1 04:29:13 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Ain't going higher. - Tue Dec  1 04:29:13 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: -- - Tue Dec  1 04:29:13 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Count it as a mission and I'll dance. - Tue Dec  1 04:29:13 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: The- - Tue Dec  1 04:29:13 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: The fuck? - Tue Dec  1 04:29:13 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Whaaa? - Tue Dec  1 04:29:13 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: ,,,, - Tue Dec  1 04:29:13 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Well damn...now I have to dance. - Tue Dec  1 04:29:13 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Hey. - Tue Dec  1 04:29:13 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: This is fun - Tue Dec  1 04:29:13 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Isn't that faggot a priest. - Tue Dec  1 04:30:04 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: ..... - Tue Dec  1 04:30:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Hrm? The hell is wrong with you, kid? - Tue Dec  1 04:30:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What's wrong with you Nami? - Tue Dec  1 04:30:04 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: You shinobi are so fun - Tue Dec  1 04:30:04 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Nothing. - Tue Dec  1 04:30:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *shrugs* Alright. - Tue Dec  1 04:30:04 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Bry you have a lot of money don't you? - Tue Dec  1 04:31:47 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Yes I do - Tue Dec  1 04:31:47 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: You want to slide another mill my way? - Tue Dec  1 04:31:47 2015
<br><br><font color=yellow>*Yuda(Booty Eater) tripped Lera.* - Tue Dec  1 04:33:29 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Sure if you need it or i or if it provides fun - Tue Dec  1 04:33:29 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hm..... - Tue Dec  1 04:34:20 2015
<br><br><font color=teal>*Yuda(Booty Eater) thinks: That's for not lettin' me hit the diddy bop... - Tue Dec  1 04:36:03 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hey Marco. - Tue Dec  1 04:36:54 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: I swear what is Yuda thinking? - Tue Dec  1 04:36:54 2015
<br><br><font color=teal>*Marco(Gtgoku55) says: Evening. - Tue Dec  1 04:37:45 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hey there Marco. - Tue Dec  1 04:37:45 2015
<br><br><font color=yellow>*Yuda(Booty Eater) dropped hard to the ground obviously. He had no counter whatsoever. "Cool..."* - Tue Dec  1 04:38:36 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Did you make those Cards for me? - Tue Dec  1 04:38:36 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: ...... - Tue Dec  1 04:39:28 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: What kind of priest? - Tue Dec  1 04:40:19 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Hoe. - Tue Dec  1 04:40:19 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: . . .  - Tue Dec  1 04:40:19 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: One million is still pocket change... - Tue Dec  1 04:40:19 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: -omit- - Tue Dec  1 04:40:19 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: You quite good Lera - Tue Dec  1 04:40:19 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: Hmmm. - Tue Dec  1 04:40:19 2015
<br><br><font color=teal>*Hassan, Trilliam(VantetheGreat) says: That was cool. - Tue Dec  1 04:41:10 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Thanks... - Tue Dec  1 04:41:10 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: You have earned it! - Tue Dec  1 04:41:10 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: Never doing that again though... - Tue Dec  1 04:41:10 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeet! - Tue Dec  1 04:41:10 2015
<br><br><font color=teal>*Yuda(Booty Eater) says: Quite good hoe, says the priest. - Tue Dec  1 04:41:10 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) says: .... - Tue Dec  1 04:41:10 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Its fine I was impressed... - Tue Dec  1 04:42:01 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: Just ignore it - Tue Dec  1 04:42:01 2015
<br><br><font color=teal>*Hassan, Lera(DyslexicFairyDinosaur) thinks: It'll go away. - Tue Dec  1 04:42:01 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Yuda you need to watch your mouth man. - Tue Dec  1 04:42:01 2015
