<br><font color=teal>*Ketsuki(SephirothSage) says: !? - Sat Oct 31 01:26:11 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: It's nothing. - Sat Oct 31 01:26:11 2015
<br><br><font color=teal>*Ziare(Meekee) says: Takeda. - Sat Oct 31 01:26:11 2015
<br><br><font color=teal>*Ziare(Meekee) says: We can't do anything. - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: A'right then... I'm headed out to the training field, I think. - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Ziare(Meekee) says: Can I tag along? - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Peace out for now, yeah? - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Ketsuki(SephirothSage) says: Hrm? Sure, if you want.  - Sat Oct 31 01:27:02 2015
<br><br><font color=teal>*Ziare(Meekee) says: You look more friendly than the guy to my left though. - Mon Nov  2 03:31:37 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: She just hasn't been around. - Mon Nov  2 03:31:37 2015
<br><br><font color=teal>*Ziare(Meekee) says: What's your name miss? - Mon Nov  2 03:34:11 2015
<br><br><font color=teal>*Totsuka, Amaterasu(Tsundere-san) says: Totsuka, Amaterasu. - Mon Nov  2 03:35:02 2015
<br><br><font color=teal>*Totsuka, Amaterasu(Tsundere-san) says: Say... any of you know helpful Earth, Fire or Water jutsu? - Mon Nov  2 03:36:44 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Yeah. - Mon Nov  2 03:37:36 2015
<br><br><font color=teal>*Totsuka, Amaterasu(Tsundere-san) says: Show me some stuff, please? - Mon Nov  2 03:37:36 2015
<br><br><font color=teal>*Totsuka, Amaterasu(Tsundere-san) says: It'll be hard expecting that moving faster will make me better at combat.. I mean... that Speed Comet guy did it.. but.. - Mon Nov  2 03:38:27 2015
<br><br><font color=teal>*Totsuka, Amaterasu(Tsundere-san) says: Hm.... - Mon Nov  2 03:38:27 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Well. - Mon Nov  2 03:41:00 2015
<br><br><font color=teal>*Ziare(Meekee) says: Can I join you guys? - Mon Nov  2 03:41:00 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I can show you an earth, fire and water jutsu if you'd like. - Mon Nov  2 03:41:52 2015
<br><br><font color=teal>*Ziare(Meekee) says: I don't know any elemental jutsu, but it's always fun to watch. - Mon Nov  2 03:41:52 2015
<br><br><font color=teal>*Totsuka, Amaterasu(Tsundere-san) says: Just one of each..? Eh.... - Mon Nov  2 03:41:52 2015
<br><br><font color=teal>*Totsuka, Amaterasu(Tsundere-san) thinks: I shouldn't be picky, though. It was his choice to help me out.. - Mon Nov  2 03:41:52 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I mean, I can teach you some more later. - Mon Nov  2 03:42:43 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Those are just the ones i'm most experienced with. - Mon Nov  2 03:42:43 2015
<br><br><font color=teal>*Totsuka, Amaterasu(Tsundere-san) says: Oh. - Mon Nov  2 03:42:43 2015
<br><br><font color=teal>*Totsuka, Amaterasu(Tsundere-san) says: I see... well, that makes sense. - Mon Nov  2 03:42:43 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Also I don't see why not, Ziare. - Mon Nov  2 03:43:34 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: But it's up to Totsuka. - Mon Nov  2 03:43:34 2015
<br><br><font color=teal>*Totsuka, Amaterasu(Tsundere-san) says: I don't have an issue with other participants. - Mon Nov  2 03:44:25 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Also, will your friend be coming too Totsuka? - Mon Nov  2 03:45:16 2015
<br><br><font color=teal>*Totsuka, Amaterasu(Tsundere-san) says: Who? - Mon Nov  2 03:45:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: The guy standing next to you. - Mon Nov  2 03:46:08 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Mon Nov  2 03:47:50 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) thinks: That's the first time someone has ever called me a man. - Mon Nov  2 03:49:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hello everyone. - Mon Nov  2 22:35:56 2015
<br><br><font color=teal>*Koh(Lip) says: Hello again. - Mon Nov  2 22:39:21 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Good day, Koh. - Mon Nov  2 22:42:46 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Kyu, are you busy? - Mon Nov  2 22:43:37 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Uh? - Mon Nov  2 22:58:59 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Not really. - Mon Nov  2 22:58:59 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Well. - Mon Nov  2 22:59:50 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I want you to spar Koh. - Mon Nov  2 22:59:50 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Why? - Mon Nov  2 23:00:41 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Well, Two reasons. - Mon Nov  2 23:01:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: One, I want to see what Koh can do. - Mon Nov  2 23:01:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: And the second reason is a secret. - Mon Nov  2 23:01:32 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Why don't you spar him yourself then? - Mon Nov  2 23:01:32 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Because of the second reason. - Mon Nov  2 23:02:24 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: What is the second reason? - Mon Nov  2 23:05:48 2015
<br><br><font color=teal>*Koh(Lip) says: Deez nuts - Mon Nov  2 23:06:40 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Well, The second reason is I was to observe you. - Mon Nov  2 23:07:31 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: To see what I can do? - Mon Nov  2 23:07:31 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Mmm...Kinda. - Mon Nov  2 23:08:22 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: *sigh* - Mon Nov  2 23:08:22 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: I guess. - Mon Nov  2 23:08:22 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Raikage. - Tue Nov  3 00:49:55 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: We need to speak. - Tue Nov  3 00:49:55 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: About..? - Tue Nov  3 00:49:55 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Well, I don't. - Tue Nov  3 00:49:55 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: But the Hokage needs to see you soon. - Tue Nov  3 00:49:55 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Hm. Okay. - Tue Nov  3 00:50:46 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Also uh, On a personal note. - Tue Nov  3 00:53:20 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: How have you been? - Tue Nov  3 00:53:20 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) says: Fine. - Tue Nov  3 00:59:18 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Hm, Ok then. - Tue Nov  3 01:00:09 2015
<br><br><font color=yellow>*Kyushiki(Maruka) pulls out his bubble pip and begins to blow into it while placing chakra into them. Filling the air with glisining chakra filled bubbles. The bubbles would stay within the area of the Kage mansion and up in the air right above the trees.* - Tue Nov  3 01:13:48 2015
<br><br><font color=teal>*Kami, Ryuu(Legendary_Darkness) says: Greetings, fellow Konohagakure villagers. - Tue Nov  3 01:16:22 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Sup. - Tue Nov  3 01:16:22 2015
<br><br><font color=teal>*Kami, Ryuu(Legendary_Darkness) says: I am currently selling weapons -- Mostly Katanas, Zanbatou's and Broadswords. - Tue Nov  3 01:17:13 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: How much? - Tue Nov  3 01:17:13 2015
<br><br><font color=teal>*Kami, Ryuu(Legendary_Darkness) says: Katanas for 100 Yen, Zanbatou's for 200, Broadswords for 150. - Tue Nov  3 01:17:13 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: - - Tue Nov  3 01:17:13 2015
<br><br><font color=teal>*Kami, Ryuu(Legendary_Darkness) says: Rather cheap, wouldn't you agree? - Tue Nov  3 01:17:13 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: I gave that sword to my friend by the way Ryuu. - Tue Nov  3 01:18:04 2015
<br><br><font color=teal>*Kami, Ryuu(Legendary_Darkness) says: Did she enjoy it? - Tue Nov  3 01:18:04 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Let me get like three Katana. - Tue Nov  3 01:18:04 2015
<br><br><font color=teal>*Kami, Ryuu(Legendary_Darkness) says: Three Katanas? - Tue Nov  3 01:18:04 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Yup. - Tue Nov  3 01:18:04 2015
<br><br><font color=teal>*Kami, Ryuu(Legendary_Darkness) says: Alright...Coming right up. - Tue Nov  3 01:18:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Yeah, She did. - Tue Nov  3 01:18:56 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: She would be around right now but she's on a trip to Suna. - Tue Nov  3 01:19:47 2015
<br><br><font color=yellow>*Kyushiki(Maruka) handed this man his 300 yen.* - Tue Nov  3 01:21:29 2015
<br><br><font color=teal>*Kami, Ryuu(Legendary_Darkness) says: Can I make you any other weapon? - Tue Nov  3 01:21:29 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Nope. - Tue Nov  3 01:21:29 2015
<br><br><font color=teal>*Kami, Ryuu(Legendary_Darkness) says: Very well. - Tue Nov  3 01:22:20 2015
<br><br><font color=yellow>*Kyushiki(Maruka) continues to blow bubbles from his pipe.* - Tue Nov  3 01:22:20 2015
<br><br><font color=yellow>*Kyushiki(Maruka) blows even more bubbles from his pipe.* - Tue Nov  3 01:28:19 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: Kyu. - Tue Nov  3 01:42:49 2015
<br><br><font color=teal>*Ume(TenaciousRiven) thinks: Uhoh. - Fri Nov  6 01:13:23 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Oh how lively Konoha has become. - Fri Nov  6 01:13:23 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: When did he get the booze? - Fri Nov  6 01:13:23 2015
<br><br><font color=teal>*Thaenan(Chaos Commander2015) thinks: I've been here the entire time. - Fri Nov  6 01:13:23 2015
<br><br><font color=teal>*Index(Jjking217) says: Why you looking at my Dick. - Fri Nov  6 01:15:56 2015
<br><br><font color=teal>*Index(Jjking217) says: You got something to say? - Fri Nov  6 01:15:56 2015
<br><br><font color=teal>*Index(Jjking217) says: -omit- - Fri Nov  6 01:15:56 2015
<br><br><font color=teal>*Index(Jjking217) says: Ortho and Ume sitting under the tree. - Fri Nov  6 01:19:21 2015
<br><br><font color=teal>*Index(Jjking217) says: K-I-S-S-I-N-G. - Fri Nov  6 01:19:21 2015
<br><br><font color=teal>*Index(Jjking217) says: -omit- - Fri Nov  6 01:19:21 2015
<br><br><font color=teal>*Ortho(DhatBoiNick) says: lmaoooo - Fri Nov  6 01:23:37 2015
<br><br><font color=teal>*Index(Jjking217) says: Zues is it..? - Fri Nov  6 01:50:04 2015
<br><br><font color=teal>*Index(Jjking217) says: Zeus* - Fri Nov  6 01:50:04 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: And you are? - Fri Nov  6 01:50:04 2015
<br><br><font color=teal>*Index(Jjking217) says: A sergeant from the Gezo, would you mind if I speak with you inside? - Fri Nov  6 01:50:04 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: . . . . . . . . - Fri Nov  6 01:53:29 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Fine. - Fri Nov  6 01:53:29 2015
<br><br><font color=teal>*Index(Jjking217) says: Hey, Rias. - Fri Nov  6 02:20:48 2015
<br><br><font color=teal>*Rias(LionHunter) says: Hi hun~ - Fri Nov  6 02:20:48 2015
<br><br><font color=teal>*Index(Jjking217) says: I apologize about earlier. - Fri Nov  6 02:20:48 2015
<br><br><font color=teal>*Index(Jjking217) says: Shall we continue where we left off? - Fri Nov  6 02:20:48 2015
<br><br><font color=teal>*Rias(LionHunter) says: Sure - Fri Nov  6 02:20:48 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Yo. Err.... Zues. - Fri Nov  6 02:24:12 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Yes? - Fri Nov  6 02:27:37 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Can I join the village? - Fri Nov  6 02:28:28 2015
<br><br><font color=teal>*Termine, Jover(Bosshoggoutlaw) says: Hmmm where did Ray go. - Fri Nov  6 02:29:20 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Hmmmm. - Fri Nov  6 02:31:02 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Sure. - Fri Nov  6 02:31:02 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: I don't particularly mind. - Fri Nov  6 02:31:02 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Alright. - Fri Nov  6 02:31:53 2015
<br><br><font color=teal>*Ziare(Meekee) says: Oh...The Hokage.. - Fri Nov  6 02:32:44 2015
<br><br><font color=teal>*Ziare(Meekee) says: You must be feeling better than. - Fri Nov  6 02:32:44 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Mmmm. - Fri Nov  6 02:37:00 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: I'm feeling better. - Fri Nov  6 02:37:00 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: When do I get my headband? - Fri Nov  6 02:38:43 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Well. - Fri Nov  6 02:38:43 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: You have to do a couple of missions for me. - Fri Nov  6 02:38:43 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Go out and clean up some trash for me. - Fri Nov  6 02:38:43 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: If you can do that, you'll get your headband. - Fri Nov  6 02:38:43 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Trash? - Fri Nov  6 02:44:41 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Where? - Fri Nov  6 02:44:41 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Around Konoha. - Fri Nov  6 02:48:06 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Alright. - Fri Nov  6 02:54:56 2015
<br><br><font color=teal>*Taka, Shinjin(RuinousAnchor) says: Go. - Fri Nov  6 02:55:47 2015
<br><br><font color=teal>*Kurt(Zygman) says: Greetings. - Fri Nov  6 20:22:49 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Sup. - Fri Nov  6 20:22:49 2015
<br><br><font color=teal>*Garachi(Moonsplitter) says: Excuse me, anyone know where i can find some chakra paper? - Fri Nov  6 20:43:18 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Nope. - Fri Nov  6 20:43:18 2015
<br><br><font color=teal>*Kurt(Zygman) says: Sorry, No. - Fri Nov  6 20:44:09 2015
<br><br><font color=teal>*Garachi(Moonsplitter) says: Kyu where did you get that embeded - Fri Nov  6 20:45:52 2015
<br><br><font color=teal>*Garachi(Moonsplitter) says: *omit* - Fri Nov  6 20:45:52 2015
<br><br><font color=teal>*Garachi(Moonsplitter) says: *on your prof* - Fri Nov  6 20:45:52 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Tell me. - Sat Nov  7 19:02:11 2015
<br><br><font color=teal>*Heiwa(PythonJedi) thinks: Considering he asked for said sorrows, that's more of a cop out. - Sat Nov  7 19:03:02 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Then I'll tell you my story. - Sat Nov  7 19:03:53 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: You don't get to laugh. - Sat Nov  7 19:04:44 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: This isn't funny. - Sat Nov  7 19:04:44 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Calm your selfs. - Sat Nov  7 19:04:44 2015
<br><br><font color=teal>*Ziare(Meekee) says: It's just funny. - Sat Nov  7 19:04:44 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Jesus Ziare. - Sat Nov  7 19:04:44 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Do you want to just get out of here? - Sat Nov  7 19:05:36 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: I can't stand to listen to this. - Sat Nov  7 19:05:36 2015
<br><br><font color=teal>*Ziare(Meekee) says: I don't mind. - Sat Nov  7 19:05:36 2015
<br><br><font color=teal>*Ziare(Meekee) says: Not like he's bothering me. - Sat Nov  7 19:05:36 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: You're a child with no sense of what it means to be a man.. Tell me your fucking story.... - Sat Nov  7 19:05:36 2015
<br><br><font color=teal>*Ziare(Meekee) says: HE's funny. - Sat Nov  7 19:05:36 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: It was funny at first. - Sat Nov  7 19:06:27 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Now it's just sad. - Sat Nov  7 19:06:27 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: He's trying to act like everyone dad. - Sat Nov  7 19:06:27 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Whats happening? - Sat Nov  7 19:06:27 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I'll tell you what. - Sat Nov  7 19:06:27 2015
<br><br><font color=teal>*Ziare(Meekee) says: It's the big man? - Sat Nov  7 19:06:27 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: You tell me your story and I leave you be. - Sat Nov  7 19:07:18 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Fuck both of you... Let's see you save yourselves when shit goes down. - Sat Nov  7 19:14:59 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: You called them a child. - Sat Nov  7 19:15:50 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: But you just threw a tempertantrum. - Sat Nov  7 19:15:50 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Pff. - Sat Nov  7 19:15:50 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I rather take my anger out on an object. - Sat Nov  7 19:15:50 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Rather than an individual. - Sat Nov  7 19:16:41 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Would be better to control it. - Sat Nov  7 19:16:41 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: But I guess its not something you can do at your age. - Sat Nov  7 19:17:32 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Fuck up. - Sat Nov  7 19:17:32 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: No? - Sat Nov  7 19:17:32 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: The twelve year old has better control then you have. - Sat Nov  7 19:18:24 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) thinks: Which one of us is twelve..? - Sat Nov  7 19:20:06 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: He hasn't seen what I have.. - Sat Nov  7 19:20:06 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: But if you keep talking. - Sat Nov  7 19:20:06 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I'll give you a glimpse. - Sat Nov  7 19:20:06 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: So your trying to show off your power now? - Sat Nov  7 19:20:57 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: We are talking about self control. - Sat Nov  7 19:20:57 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Not how strong you are. - Sat Nov  7 19:20:57 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: We're also dealing with respect. - Sat Nov  7 19:20:57 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Which you seem to lack. - Sat Nov  7 19:20:57 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: In instances like this. - Sat Nov  7 19:20:57 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Aden - Sat Nov  7 19:20:57 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: It's best to nip it in the bud. - Sat Nov  7 19:20:57 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: You've been disrespecting - Sat Nov  7 19:20:57 2015
<br><br><font color=teal>*Akira(Ultimate_Odyssey) says: Everyone here. - Sat Nov  7 19:21:48 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: I don't need to respect a child. - Sat Nov  7 19:21:48 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Because you all deserve it. - Sat Nov  7 19:21:48 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: I'm pretty sure I'm the oldest out of everyone here. - Sat Nov  7 19:21:48 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I don't give a fuck how old you are. - Sat Nov  7 19:21:48 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: Didn't say you did. - Sat Nov  7 19:21:48 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: If anyone lacked respect its you. - Sat Nov  7 19:22:40 2015
<br><br><font color=teal>*Ziare(Meekee) says: The big man comes through. - Sat Nov  7 19:22:40 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: I give it where it's needed.... - Sat Nov  7 19:22:40 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: "Should I nip it in the bud?" - Sat Nov  7 19:22:40 2015
<br><br><font color=teal>*Ziare(Meekee) says: You should listen to him. - Sat Nov  7 19:22:40 2015
<br><br><font color=teal>*Kyushiki(Maruka) says: You can't give what you don't have. - Sat Nov  7 19:23:31 2015
<br><br><font color=teal>*Aden(TenaciousDeeznuts) says: Or rather deserved.. Nah, he's jus- You keep talking like you know everything.. But you really don'. - Sat Nov  7 19:23:31 2015
