<br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Doing what must be done.. It isn't just the people that want this, but the shinobi, and I. - Tue Dec  8 06:53:00 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: You think my carrot. - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: Can walk? - Tue Dec  8 07:16:54 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: You're high. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I don't want to risk my frogs! - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: MY CARROT CAN'T RUN. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: LIKE YOUR FROGS. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: HE'S DISABLED FROM THE WAIST-DOWN. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: YOUR CARROT CAN FUCKING GO UNDERGROUND - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: MY FROGS CAN HOP. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: HE'S NOT A MOLE. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: HE IS NOW. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: I ONLY HAVE ONE. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I ONLY HAVE ONE. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: YOU HAVE MULTIPLE FROGS. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: LIES. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: NO YOU DON'T. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: LIAR. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: FUCK YOU. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Takuma(Brosis55) says: FUCK YOU! - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: ... - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Must I remind you. - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>***Raikage**(Dragonfile) says: Of the situation at hand? - Tue Dec  8 07:17:45 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: . . . - Tue Dec  8 07:18:36 2015
<br><br><font color=teal>*Takuma(Brosis55) says: . . . - Tue Dec  8 07:18:36 2015
<br><br><font color=teal>*Takuma(Brosis55) says: He started it.  . - Tue Dec  8 07:18:36 2015
<br><br><font color=teal>*Kirisaki, Eiji(KingSoraHearts) says: .....Liar. - Tue Dec  8 07:18:36 2015
<br><br><font color=teal>*Takuma(Brosis55) says: . . . . . - Tue Dec  8 07:18:36 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Fuck you.  . - Tue Dec  8 07:18:36 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Use the frogs, Takuma. Eiji you prepare for anything as well. - Tue Dec  8 07:18:36 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Raikage. - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm? - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: What are you planning to do? - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Tch, that is the question of the day now isn't it? - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: What would you do if this were your home, and people were trying to claim it as their own? - Tue Dec  8 07:37:23 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Then I'm guessing your going to war. - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: War. This talk of war is a bit far fetched. - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: My sole intention is to gain independence. - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Sunagakure talks of helping us in a bind. - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: But they forgot when their own nation was destroyed. - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Who was it that helped them? - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: In turn. - Tue Dec  8 07:39:05 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: They are hypocrites. - Tue Dec  8 07:39:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Our destruction was a product of Edge, a Sunagakure shinobi at heart. - Tue Dec  8 07:39:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Oh think Ima back down.. Sigh. - Tue Dec  8 07:40:48 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: When the ones that fucked the village over was kire* - Tue Dec  8 07:48:28 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: .... - Tue Dec  8 08:12:22 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Aright. - Tue Dec  8 08:12:22 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: I'm here. - Tue Dec  8 08:12:22 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: We're safe. - Tue Dec  8 08:12:22 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: ..I'm glad you've come. - Tue Dec  8 08:12:22 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: You sound like you doubted it. - Tue Dec  8 08:12:22 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: No. - Tue Dec  8 08:12:22 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: But I am ready for anything. - Tue Dec  8 08:13:13 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Tell me, Raikage! - Tue Dec  8 08:14:04 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Hm? - Tue Dec  8 08:14:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: How many lives you wish for my to claim? - Tue Dec  8 08:14:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: Take that number and double it, call it the Rage of Eiyu! - Tue Dec  8 08:14:04 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) says: me* - Tue Dec  8 08:14:56 2015
<br><br><font color=yellow>*Uchiha, Mitarashi(Maruka) crossed his arms and let out a heavy sigh. He was now stuck fighting a war that had nothing to do with him at all. And with they way it seems Kumogakure is going to be killed off by Sunagakure and Konoha. Thought it would be to his own good that he take his brother and leave Kumo to fight its own wars, he can't do that at all. It would have gone agaisnt his pride as a shinobi and his own vows to himself. So at this point, Mitarashi couldn't help but smirk and let out a randomly loud laugh. He'd then move his hands down to his sides as his laughter begins to subside. Then with the movement of his feet, he'd make his way towards Eiyu's side and look at him and place one of his hands onto his shoulder. 

"You've been kind to me and my brother in our times of need. So its probably our time to repay you right?" he'd say, not even waiting for an answer before he would continue. "Shinko has One Hundred Million yen in the bank. Do you need any of it?"* - Tue Dec  8 08:22:36 2015
<br><br><font color=yellow>*Uchiha, Mitarashi(Maruka) crossed his arms and let out a heavy sigh. He was now stuck fighting a war that had nothing to do with him at all. And with they way it seems Kumogakure is going to be killed off by Sunagakure and Konoha. Thought it would be to his own good that he take his brother and leave Kumo to fight its own wars, he can't do that at all. It would have gone agaisnt his pride as a shinobi and his own vows to himself. So at this point, Mitarashi couldn't help but smirk and let out a randomly loud laugh. He'd then move his hands down to his sides as his laughter begins to subside. Then with the movement of his feet, he'd make his way towards Eiyu's side and look at him and place one of his hands onto his shoulder. 

"You've been kind to me and my brother in our times of need. So its probably our time to repay you right?" he'd say, not even waiting for an answer before he would continue. "Shinko has One Hundred Million yen in the bank. Do you need any of it?"[Repost]* - Tue Dec  8 08:27:44 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I'll be at the border. . . - Tue Dec  8 08:39:40 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Eiyu. - Tue Dec  8 08:39:40 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: No. - Tue Dec  8 08:39:40 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Why not? - Tue Dec  8 08:39:40 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Do we not want to give them a challenge? - Tue Dec  8 08:39:40 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Too dangerous. - Tue Dec  8 08:39:40 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: We also have no idea. - Tue Dec  8 08:39:40 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: If the enemy is coming ... From which direction. - Tue Dec  8 08:40:32 2015
<br><br><font color=yellow>*Uchiha, Mitarashi(Maruka) gave a not do Eiyu as he had named how much he would need. Mitarashi then grabbed onto a scroll from his pocket and began to write on it. Once he was finished, he'd send the bird off with plans to transfer 15million yen from Shinkogakure to Kumogakure.* - Tue Dec  8 08:49:55 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Can I get a ride? - Tue Dec  8 09:01:00 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: So this is it, huh..? - Tue Dec  8 09:01:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Haha, lived the gladiator life... - Tue Dec  8 09:01:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: A true fucking savage.. - Tue Dec  8 09:01:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Very well.. - Tue Dec  8 09:01:52 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: I live the Savagery life. - Tue Dec  8 09:01:52 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Fuck these nigga's. - Tue Dec  8 09:01:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: Very well, Raikage.. - Tue Dec  8 09:01:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: I got you, don't you worry.. - Tue Dec  8 09:01:52 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) thinks: For my brothers MS..... - Tue Dec  8 09:01:52 2015
<br><br><font color=teal>*Hei, Sogeki(DhatBoiNick) thinks: We in this shit.. - Tue Dec  8 09:01:52 2015
<br><br><font color=yellow>*Uchiha, Mitarashi(Maruka) took a deep breath as he slide his main katana from its sheathe and held it to his side.

"Got damn....... My first war......." he said, clearly being nervious.* - Tue Dec  8 09:04:25 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Hey. . .Kid. . .You nervous? - Tue Dec  8 09:05:16 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Kid? - Tue Dec  8 09:06:08 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: You look the same age as me. - Tue Dec  8 09:06:08 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: - - Tue Dec  8 09:06:59 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Thats more petty then savage. - Tue Dec  8 09:06:59 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Savagery. - Tue Dec  8 09:06:59 2015
<br><br><font color=teal>*Takuma(Brosis55) says: AT. - Tue Dec  8 09:06:59 2015
<br><br><font color=teal>*Takuma(Brosis55) says: It's. - Tue Dec  8 09:06:59 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Finest. - Tue Dec  8 09:06:59 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Fuck you Alberto. - Tue Dec  8 09:07:50 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Del. - Tue Dec  8 09:07:50 2015
<br><br><font color=teal>*Takuma(Brosis55) says: rio. - Tue Dec  8 09:07:50 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Who? - Tue Dec  8 09:07:50 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: We running a train? - Tue Dec  8 09:18:04 2015
<br><br><font color=yellow>*Uchiha, Mitarashi(Maruka) arrives with 20 other black Kumo shinobi.* - Tue Dec  8 09:18:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *THROWS GANG SIGNS* - Tue Dec  8 09:21:29 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: What happened? - Tue Dec  8 09:36:51 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Hm? - Tue Dec  8 09:36:51 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Nothin so far. - Tue Dec  8 09:37:42 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I couldn't get a clear view. - Tue Dec  8 09:37:42 2015
<br><br><font color=teal>*Takuma(Brosis55) says: But theres a lot of em. - Tue Dec  8 09:37:42 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: FUCKK YOUU - Tue Dec  8 09:43:40 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) whispers: (Paine said she would help me out if I ever called lol - Tue Dec  8 09:46:14 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I fucked yo bitch - Tue Dec  8 09:50:30 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: and yo bitch - Tue Dec  8 09:50:30 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Tue Dec  8 09:50:30 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: You get the front I get the back - Tue Dec  8 10:09:16 2015
<br><br><font color=yellow>*Uchiha, Mitarashi(Maruka) took her asshole virginity for funzzys* - Tue Dec  8 10:13:32 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: 3k isn't a massive army - Tue Dec  8 10:16:06 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Hey, Mita. - Tue Dec  8 23:10:56 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Whats up? - Tue Dec  8 23:10:56 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Nothing much. - Tue Dec  8 23:10:56 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Just a bit bored---Which is surprising during war-time. - Tue Dec  8 23:10:56 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Mhm.... - Tue Dec  8 23:10:56 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: What've you been up to? - Tue Dec  8 23:12:38 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: You should know that. - Tue Dec  8 23:12:38 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Didn't the Raikage tell you? - Tue Dec  8 23:12:38 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Rebuilding Shinkogakure right? - Tue Dec  8 23:13:29 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: That would have to wait. - Tue Dec  8 23:14:20 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: But I do now own Shinko so thats a start. - Tue Dec  8 23:14:20 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: That's good. - Tue Dec  8 23:15:12 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: At least bandits haven't taken it over. - Tue Dec  8 23:15:12 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Mhm. - Tue Dec  8 23:17:45 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: But I'm slowly beginning to think about if I should really rebuild Shinko or onot. - Tue Dec  8 23:18:36 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: not* - Tue Dec  8 23:18:36 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Why's that? - Tue Dec  8 23:18:36 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: I don't know. - Tue Dec  8 23:18:36 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I feel like...You should do what's the best for you. - Tue Dec  8 23:21:10 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: I have to also do whats best for you as well. - Tue Dec  8 23:21:10 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: You can rebuild Shinkogakure, But It will never be -our- Shinkogakue. - Tue Dec  8 23:21:10 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: SHinkogakure* - Tue Dec  8 23:21:10 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Ortho...Eri...Hatsujin they're gone. - Tue Dec  8 23:21:10 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: I feel like we're both to young to run a Village. - Tue Dec  8 23:22:01 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: We have time. - Tue Dec  8 23:22:01 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: I know. - Tue Dec  8 23:22:52 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: You there. - Wed Dec  9 00:46:30 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Hm? - Wed Dec  9 00:48:12 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Hello. - Wed Dec  9 00:49:04 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: You wear that emblem on your back proudly> - Wed Dec  9 00:49:04 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: I guess you could say that. - Wed Dec  9 00:49:55 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: You guess? - Wed Dec  9 00:49:55 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Many months ago you would have been hunted down for that insignia...And now you only say..You guess? - Wed Dec  9 00:51:37 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Pretty much. - Wed Dec  9 00:53:20 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: You don't care much for your clan do you. - Wed Dec  9 00:53:20 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: I care alot for my clan. - Wed Dec  9 00:53:20 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Could of fooled me. - Wed Dec  9 00:54:11 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Well you don't judge someone by their clothing. - Wed Dec  9 00:54:11 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: What? - Wed Dec  9 00:54:11 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: What drives me? - Wed Dec  9 00:59:18 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: I don't know anymore. - Wed Dec  9 01:00:09 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) thinks: Go on.. - Wed Dec  9 01:00:09 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Only thing I can say is its to protect the family I have left. - Wed Dec  9 01:00:09 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: What would you be willing to do, to protect them? - Wed Dec  9 01:01:00 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Die. - Wed Dec  9 01:01:00 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Not less. - Wed Dec  9 01:01:00 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Nothing* - Wed Dec  9 01:01:00 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: And even more if needed. - Wed Dec  9 01:01:00 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: What is your name. - Wed Dec  9 01:01:52 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Mitarashi. - Wed Dec  9 01:01:52 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: You? - Wed Dec  9 01:01:52 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: Aiyana. - Wed Dec  9 01:02:43 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Nice to meet you. - Wed Dec  9 01:02:43 2015
<br><br><font color=teal>*Aiyana(PrisonerOfWar) says: You remind me of my late brother. - Wed Dec  9 01:02:43 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: I do? - Wed Dec  9 01:02:43 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: Huh? - Wed Dec  9 01:17:13 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: It's pretty quiet now. .  - Wed Dec  9 01:39:24 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) thinks: I'm going to have to force Menma to cut his hair...... - Wed Dec  9 02:22:56 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) thinks: He looks like a female from the back. - Wed Dec  9 02:22:56 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Stop looking at my ass Nii-san~. - Wed Dec  9 02:22:56 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: -omit- - Wed Dec  9 02:22:56 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You are the winner. - Wed Dec  9 02:24:38 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: We should do it again some time, But there was no winner. - Wed Dec  9 02:25:29 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: This was definately a tie. - Wed Dec  9 02:25:29 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: You were the better man, but I will accept it as a tie if you deem it so. - Wed Dec  9 02:25:29 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Yeah, It was definately a tie. - Wed Dec  9 02:26:20 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) thinks: He's probably trying to console my pride, but I know I lost there's no way to get around that. Though, I don't mind.... I am glad our shinobi are powerful like this. - Wed Dec  9 02:26:20 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: We will begin. - Wed Dec  9 02:26:20 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: To strengthen the frontline. - Wed Dec  9 02:27:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: We have. - Wed Dec  9 02:27:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Several options. - Wed Dec  9 02:27:12 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: One. - Wed Dec  9 02:28:03 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: We increase the strength of our air-support. - Wed Dec  9 02:28:03 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Two.. - Wed Dec  9 02:28:03 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Create Kunai launchers at the enemies flanks. - Wed Dec  9 02:28:03 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I vote one and two. - Wed Dec  9 02:28:03 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Good choice. - Wed Dec  9 02:28:54 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Hm. - Wed Dec  9 02:28:54 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: K. - Wed Dec  9 02:28:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: We'll all be helping. - Wed Dec  9 02:28:54 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: Let's assess our enemies. - Wed Dec  9 02:28:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Construct them. - Wed Dec  9 02:28:54 2015
<br><br><font color=teal>*Uchiha, Menma(The Kuro Neko) says: First. - Wed Dec  9 02:28:54 2015
<br><br><font color=yellow>*Uchiha, Mitarashi(Maruka) throws more stacks.* - Wed Dec  9 02:28:54 2015
<br><br><font color=teal>*Uchiha, Mitarashi(Maruka) says: -omit- - Wed Dec  9 02:28:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: They have. - Wed Dec  9 02:28:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Takena hold. - Wed Dec  9 02:28:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: Taken hold. - Wed Dec  9 02:28:54 2015
<br><br><font color=teal>*Minatabi Eiyu(Dragonfile) says: East. - Wed Dec  9 02:28:54 2015
