<br><font color=teal>*Muhhamed Hassan(Ziare1) says: And wouldn't have endangered any. - Sun Nov  1 10:34:27 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: This will be YOUR nnightmare on Sunas block! - Sun Nov  1 10:39:34 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: Yes! - Sun Nov  1 10:39:34 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: I can see it now! - Sun Nov  1 10:40:25 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: An old fart slayin the next of kin! - Sun Nov  1 10:40:25 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: Ate their hearts! - Sun Nov  1 10:40:25 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: Drank their blood! - Sun Nov  1 10:40:25 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: We'll meet again when I meet my demise. - Sun Nov  1 10:40:25 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: Wash your hand face in blackened mud! - Sun Nov  1 10:40:25 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If you calm down, i'll even spar you. - Sun Nov  1 10:40:25 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'll need some way to pass the time of eternity. - Sun Nov  1 10:41:16 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: PUT ME ON MY BODY! - Sun Nov  1 10:41:16 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: Get back here! I'll put you down just as we prisoners planned to put down Kastya! - Sun Nov  1 10:42:59 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: Locking me behind bars, I'll never forget that thot! - Sun Nov  1 10:43:50 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: We'll never forget the sin! - Sun Nov  1 10:44:41 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: Never forget you human filth! - Sun Nov  1 10:44:41 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Shut.. or i'll kill you. - Sun Nov  1 10:44:41 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Shut up* - Sun Nov  1 10:44:41 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: Killl? You possess no ehart, you worthy titty sucking butch of a baby of this generation! - Sun Nov  1 10:45:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ....... - Sun Nov  1 10:45:32 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: None of you have the balls! - Sun Nov  1 10:45:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: //Shukaku"Kill him." - Sun Nov  1 10:45:32 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: I am Trbus! True! Champion! Of the Labyrinth!   - Sun Nov  1 10:46:24 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Sun Nov  1 10:46:24 2015
<br><br><font color=yellow>*Sanoke(Gamuhz2) leaves Tribus be. .

Although, the head is taken and thrown into the wilderness so the animals can asasult it or whatever. After all, he didn't want any of the neighborhood kids to stumble upon a talking, demon ic head.

That said, attention falls onto Jiki.

"Hey! You're back to normal. So what the fuck was that, though? I've seen a lot of nifty jutsus. But that. . .Ya seemed. . . different. Your flow of chakra fluxuated, and it became a lot more . . Uh. Angry?"* - Sun Nov  1 10:46:24 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: You all will abandon a warrior here?! - Sun Nov  1 10:47:15 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: HUH! - Sun Nov  1 10:47:15 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: A god?! - Sun Nov  1 10:48:06 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) says: --Is just a head on the ground like Hidan-- - Sun Nov  1 10:48:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Roger. - Sun Nov  1 10:48:57 2015
<br><br><font color=teal>*Labyrinth, Tribus(Sephiroth3000) thinks: DON' LET ME BE DEVOURED LIKE THIS! - Sun Nov  1 10:49:48 2015
<br><br><font color=yellow>*Sanoke(Gamuhz2) fills mouth with mud.* - Sun Nov  1 10:50:40 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Is it... over? - Sun Nov  1 10:54:56 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Indeed. - Sun Nov  1 11:04:19 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: That dude was impossible to fight. - Sun Nov  1 11:08:35 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Still can't believe he forced me into that... tch. - Sun Nov  1 11:08:35 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: So. . . That form. - Sun Nov  1 11:17:07 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: The hell was that? - Sun Nov  1 11:17:07 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm.. - Sun Nov  1 11:17:07 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: A side of me, that people dislike. - Sun Nov  1 11:18:49 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: The reason why I can't sleep. - Sun Nov  1 11:18:49 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: The reason why I can't sleep. - Sun Nov  1 11:19:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) whispers: Oooh! -- Uh. Explain it in more detail? -- In fact, later. - Sun Nov  1 11:26:30 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) whispers: *nod* Later it is. - Sun Nov  1 11:26:30 2015
<br><br><font color=teal>*Yuudai(Assassin241) thinks: Loneliness continues to consume me.. - Sun Nov  1 23:54:01 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Kaguya  - Mon Nov  2 00:59:44 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: -Omit- - Mon Nov  2 00:59:44 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: It's so quiieeet! - Mon Nov  2 01:34:43 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Right then/ - Mon Nov  2 01:41:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You guys alright? - Mon Nov  2 01:41:32 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Mhm. - Mon Nov  2 01:46:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hello, Everyone. - Mon Nov  2 01:47:31 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What's up. - Mon Nov  2 01:50:04 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Deez nuts - Mon Nov  2 01:51:47 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Mon Nov  2 01:52:38 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yeah. It's one of those days. - Mon Nov  2 01:53:29 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: No one has moved or said a thing. - Mon Nov  2 01:53:29 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I wonder why. - Mon Nov  2 01:55:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'unno. It be like that sometimes. - Mon Nov  2 01:56:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I don't even think anyone has asked for a mission. - Mon Nov  2 01:56:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Gimmie a mission bitch. - Mon Nov  2 01:56:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: -omit- - Mon Nov  2 01:56:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Speaking of missions. - Mon Nov  2 01:56:03 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Do you have any that need to be done? - Mon Nov  2 01:56:03 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Bitch, earn the right to get a mission. - Mon Nov  2 01:56:54 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: -omit- - Mon Nov  2 01:56:54 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Bitch who even are you ? -omit- - Mon Nov  2 01:57:45 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey Iza hows it going. - Mon Nov  2 01:57:45 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Bitch, face me when you talk to me. -omit- - Mon Nov  2 01:59:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uhm. - Mon Nov  2 02:00:19 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: So I know you all are probably tense given that. . .Well. We're kinda just waiting to be attacked. - Mon Nov  2 02:01:10 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: But you all can still relax, y'know. Have fun and shit, y'know? - Mon Nov  2 02:01:10 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Oh mind if I tag along its been awahile since me adn you done any one a solid. - Mon Nov  2 02:02:52 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I don't look weak hoes in the face omit- - Mon Nov  2 02:03:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I doubt we're going to get anything. - Mon Nov  2 02:06:17 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmm. - Mon Nov  2 02:09:42 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I need to find me a lightning master. - Mon Nov  2 02:10:33 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Missions? - Mon Nov  2 02:13:07 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm. - Mon Nov  2 02:13:07 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Yeah. - Mon Nov  2 02:13:07 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Yeah, of course. - Mon Nov  2 02:15:40 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: ... - Mon Nov  2 02:21:39 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmmm. - Mon Nov  2 02:21:39 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Mission!!! - Mon Nov  2 02:21:39 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ryo you should come with. - Mon Nov  2 02:21:39 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: I have to turn in a mission, also. - Mon Nov  2 02:22:30 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: What kind of mission is it? - Mon Nov  2 02:22:30 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I have no ideal. - Mon Nov  2 02:24:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ohhh and gramps. - Mon Nov  2 02:24:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Can I like have my won special lik squad huh? - Mon Nov  2 02:24:12 2015
<br><br><font color=teal>*Marrisa(Roxinea) says: Sir yes Sir. .  - Mon Nov  2 04:04:03 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Geez. . She lost an arm. - Mon Nov  2 04:04:03 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Shit is crazy. Never try to become a private. - Mon Nov  2 04:04:03 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Hi, Sanoke. - Mon Nov  2 04:08:19 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: My Byakugan is on. - Mon Nov  2 04:08:19 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Stop looking at my butt. - Mon Nov  2 04:08:19 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: <*Scratches his nose*> Uh. Sorry? Figured you'd enjoy it.  - Mon Nov  2 04:10:01 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Ya did anything today? The village is getting a little stale. - Mon Nov  2 04:10:01 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Nope. - Mon Nov  2 04:13:26 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Nothing to do around here. - Mon Nov  2 04:13:26 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Indeed. So anywho, want to go do anything? Like grab a bite to eat. I dunno. - Mon Nov  2 04:15:08 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Are you trying to eat me out Sanoke? - Mon Nov  2 04:16:51 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: If so you're being very indirect about it. - Mon Nov  2 04:16:51 2015
<br><br><font color=yellow>*Sanoke(Gamuhz2) 's face immediately gains a layering of red.

"Ergh. . I wasn't. But I guess? I dunno. Is that what you want to do?" The teen questioned in an uneasy tone. He's unsure if Mirai is trying to hint at something, or if she's serious.* - Mon Nov  2 04:18:33 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: No you're just being very weird. - Mon Nov  2 04:19:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What? Err. . .Is that good or bad? - Mon Nov  2 04:19:24 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: It's meh. - Mon Nov  2 04:21:07 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Anyways. - Mon Nov  2 04:21:07 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Where is Paine? - Mon Nov  2 04:21:07 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I haven't seen her all day.  - Mon Nov  2 04:21:58 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Why? - Mon Nov  2 04:23:40 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Was suppose to learn from her. - Mon Nov  2 04:30:30 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh. So that's what you two were doing. - Mon Nov  2 04:33:04 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I stopped by the other day, you were day dreaming. - Mon Nov  2 04:33:55 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I was probably out of it. - Mon Nov  2 04:42:27 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You were. I'm guessing you want to learn some kicks? - Mon Nov  2 04:43:18 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Mhm. - Mon Nov  2 04:43:18 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Not really your style. Y'dont seem like much of a kicker. - Mon Nov  2 04:43:18 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: It's Taijutsu. - Mon Nov  2 04:44:09 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Taijutsu is my style. - Mon Nov  2 04:44:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: If ya say soo. I wonder if I can still beat ya with just pure taijutsu still. - Mon Nov  2 04:50:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: -- Not that I rely on it. I've been getting pretty handy with my tanto. - Mon Nov  2 04:50:08 2015
<br><br><font color=yellow>*Sanoke(Gamuhz2) shows off real fast.

He swipes the Tanto, swift enough that his hands appeared to be blurs. "Legit, right?"* - Mon Nov  2 04:50:59 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Ew no. - Mon Nov  2 05:06:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: What. .? - Mon Nov  2 05:10:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You don't like swordplay? - Mon Nov  2 05:10:36 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yo, yo. - Mon Nov  2 06:10:20 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Anywho. What was that thing about the other day? - Mon Nov  2 06:10:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Mon Nov  2 06:11:12 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: That's.. the reason why I can't sleep. - Mon Nov  2 06:11:12 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh! Makes sense. - Mon Nov  2 06:13:45 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Wow. So that meditating didn't help at all? - Mon Nov  2 06:13:45 2015
<br><br><font color=yellow>*Sanoke(Gamuhz2) ||He nods, recalling the shift in Tetsumi's chakra during the incident. It was un-nerving to be completely honest. And clearly, there had been two different energy sources functioning in one physical body.

"So there's two Tetsumis. . Hrm! Just beat up the Sandy Tetsumi next time, if he's a problem. You can make him come out, can't ya?" Sanoke said in a nonchalant manner. Which was surprising, considering he had just seen the malicious chakra that swirled around in Tetsumi's insides.

--- Then came the summoning technique.

On cue, Sanoke can't help but to life. It was a -Raccoon- for god sake. "Hahaha! A raccoon! Haha, you're learning from a raccoon?" said the boy that often wore a giant turtle shell on his back.

He kneels, an d goes to prod the rodent on the forehead. "How strong are you, Mr. Raccoon?"* - Mon Nov  2 06:42:46 2015
<br><br><font color=yellow>*Sanoke(Gamuhz2) stifles a giggle.

As the raccoon airs his frustration, Sanoke looked on -- at first with confusion, then with clear amusement. Was this rodent serious? "Wow. I'm guessing you don't have one of the intelligent familiars? I thought it'd be able to talk like mine can," the warrior remarked. His index finger moves, and presses against the fury specimen's head.

He scratches back and forth.

"Want some food little guy? I got some garbage sealed up in a scroll.. Don't ask why," Sanoke continued with an awkward cough.

That said, the subject swiftly takes a change, and is redirected back to Tetsumi. "As for you! -- Good. Now ya just gotta master that dark chakra." That's what he called it, referencing the energy that had been granted due to his connection with the bijuu or chakra demon. "--Wait. . . I think Kilm summons raccoons too."* - Mon Nov  2 07:04:57 2015
<br><br><font color=yellow>*Sanoke(Gamuhz2) wasn't caught slipping.

Just as the raccoon leaps ahead, the warrior does a swift step to the side. No matter how trivial the action may have seemed, Sanoke moved with a level of grace unbefitting of the nonchalant and feeble act he usually held. It was almost as if his feet never touched the floor, as his body smoothly glided several paces towards the north, then east -- as he encircles the jinchuuriki.

"Your raccoon is pretty fiesty. He reminds me of Ganba's brother. Gonbi. Well. . . He's like fifty percent as fiesty."

Sanoke stated as per usual with a nod. Quickly, his facial features change, gaining a hint of curiosity. "Wait. If what I've been toldi s right. . . All summons have their own secret land. You ever been to the raccoon world? And if so, what is it like? Can I come too? I wonder if there would be any interesting fighters."

He asks in a tirelessly fashion, one question coming after the other. The prospect of there being another summoning land, much like the turtle oasis, was pretty enticing. Normally, Sanoke wasn't one for battling senselessly, but that's only because there were rarely opponents that intrigued him. "And I'm sure you'll be able to master the chakra thingy. Just gotta follow what you did before to gain a level of control."* - Mon Nov  2 07:33:07 2015
<br><br><font color=yellow>*Sanoke(Gamuhz2) ||He continued to move around in circles.

A single seal is spawned, allowing for a doton clone to form. Casually, it seeps into the ground, using it's earthen natured chakra to follow and keep up with the rowdy Raccon. "Geez. . . This thing is too much. Take a time out. . ." Sano remarked casually. At once, two hands shoot out the ground, intent on pulling the raccoon, and capturing it underneath the surface.

Only his head would left above the dirt.

That settled, Sanoke shuffles on back with a yawn. "As for. . Letting you see. I'll need to check on that. They don't like to bring outsiders to the sacred land. But I'm kind of like a big deal, so I'll see what I can do. Oh. . . When we finally have our spar? Gonna go use that monster form? I think you'll need it," the teen stated confidently. Like stated before. . . He never showed interest in fighting na opponent, unless they showed intriguing skills.

And of course, with the display from the previous day, Tetsumi had certainly fit the description.* - Mon Nov  2 08:12:22 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Though... It'd probably be fun.. - Mon Nov  2 08:25:10 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Tetsumi Jiki thinks: Though... It'd probably be fun.. - Mon Nov  2 08:52:28 2015
<br><br><font color=yellow>*Sanoke(Gamuhz2) chips in a comment of his own, once the topic had remained about the summoning world. "Indeed. They don't want just anyone to see the sacred lands -- let alone touch the contract. I got enough flak for letting my teacher just make a connection. The leader gave me a lot of shit for it. Believe it or not, turtles are very prideful. Not to be confused with arrogance," Sanoke notes.

As the secondary comment is dished, he scratches his nose, amused by the claim.

"I dunno. I think you'd need it. I don't think your sand would be able to keep up with me otherwise," Sanoke remarks. Without warning, he goes to show off his speeds, which can be said to be one of the fastest in all the lands -- although there were a few that could feasibly rival, if not surpass. Indeed, it was as if Sanoke had been utilizing shunshin, considering the extreme velocity. Such momentum was built up on the fly scarily enough.

He moved in a circlar formation, running constantly about Tetsumi's frame. In this state, Sanoke's can't even be perceived. Rather, you would only be capable of determining or detecting simple colors, and that's only if your perception was high enough. It's speedy -- so much that a cloud of dust inevitably picks up along the pathway, arising and obscuring vision. 

Pretty much. . . He's Rock Lee-ing in this bitch.

Cue stopping after a laps. "See? I noted your fighting style before. You use sand -- or well, iron particles -- for both offense and defense. It's almost as if it has  mind if its own."

* - Mon Nov  2 09:16:22 2015
<br><br><font color=yellow>*Sanoke(Gamuhz2) ||He releases a hearty chuckle, quite fond of his own speed.

"Yeah. How mis-leading, right? You'd expect a turtle summoner to be slow as hell. Albeit. . . turtles being slow is a common misconception. It's actually their cousin -- the tortoises -- that are slow as balls. Most turtles actually can be very fast, in short distances," Sanoke states, geek-ing out for just a moment.

"Although, the reason I won't spar you immediately is cause I need to finish working on my new jutsu. It'll be badass!" That stated, the chunnin twirls on over, and sits down.

"Really. . . -Really- badass." Yes, he's really egging on how awesome his technique will be,* - Mon Nov  2 09:53:55 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Wow. You don't even want to know a little about it? - Mon Nov  2 10:02:27 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Mon Nov  2 10:03:18 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Didn't think you'd tell me. Most people are secret about certain stuff. - Mon Nov  2 10:03:18 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Oh.. - Mon Nov  2 10:03:18 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: And... - Mon Nov  2 10:03:18 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ...thanks... - Mon Nov  2 10:03:18 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: For talkin' to Kana that is. - Mon Nov  2 10:04:09 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh. So you two patched things out? - Mon Nov  2 10:13:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I heard about, uhm. . .The interference. - Mon Nov  2 10:13:32 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ....Yeah....That... *face turned red* Made things.... strange. - Mon Nov  2 10:14:24 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Though... She forgive me, but I don't believe she actually does. - Mon Nov  2 10:15:15 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: She's... hard to read. - Mon Nov  2 10:15:15 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I know she likes me, but at times its hard to tell. - Mon Nov  2 10:16:06 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Huh? Just ask her out again. - Mon Nov  2 10:22:56 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... All right,, I'll try that. - Mon Nov  2 10:23:47 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: DOn't be so shy! Women like it when you're confident. - Mon Nov  2 10:25:29 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Ask Mirai all about me, man. - Mon Nov  2 10:25:29 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: You should be excited. Have you seen Kana's chest? It's huge. - Mon Nov  2 10:25:29 2015
