<br><font color=teal>*Reguel(Airide) says: ... - Sun Nov  1 20:07:02 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: BS - Sun Nov  1 21:23:50 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: -Omit- - Sun Nov  1 21:24:41 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: -Omit- - Sun Nov  1 21:24:41 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: You going? - Sun Nov  1 21:27:15 2015
<br><br><font color=teal>*Ryutou, Ai(Sennalove) says: Target training. - Sun Nov  1 21:28:06 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: . . . Well, are you going to answer? - Sun Nov  1 21:28:57 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: You have a point there. - Sun Nov  1 21:30:40 2015
<br><br><font color=teal>*Kana(Zoey-Lover) says: Though I'm interested. - Sun Nov  1 21:31:31 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Morning everyone..Iza how'd your meditation go? - Sun Nov  1 21:31:31 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: O-Oh... Morning..  - Sun Nov  1 21:32:22 2015
<br><br><font color=teal>*Kana(Zoey-Lover) thinks: . . . Is he for real? - Sun Nov  1 21:40:54 2015
<br><br><font color=teal>*Reguel(Airide) says: That was a boring rip. - Sun Nov  1 21:57:07 2015
<br><br><font color=teal>*Reguel(Airide) says: Hm. - Sun Nov  1 22:01:23 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Well then.. - Sun Nov  1 22:05:39 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: We'll talk together.. - Sun Nov  1 22:05:39 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: All of us. - Sun Nov  1 22:05:39 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Understood..  - Sun Nov  1 22:10:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Hm? - Sun Nov  1 22:15:53 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: It's fine. - Sun Nov  1 22:15:53 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You followed my orders. - Sun Nov  1 22:15:53 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And we accomplished what we needed. - Sun Nov  1 22:15:53 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You all had no direction. - Sun Nov  1 22:17:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And no leadership. - Sun Nov  1 22:17:36 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Hm...Now I wonder..Where is Tetsumi.. - Sun Nov  1 22:18:27 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey gramps any word on my goggles. - Sun Nov  1 22:21:00 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I been eating bread because those things broke me. - Sun Nov  1 22:21:00 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Where you going Zen? - Sun Nov  1 22:21:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Search for him. - Sun Nov  1 22:21:52 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Well I know where he might be.. - Sun Nov  1 22:22:43 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Sir Hassan, sorry I blanked out during the fight. - Sun Nov  1 22:44:54 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: I don't know what happened. - Sun Nov  1 22:44:54 2015
<br><br><font color=teal>*Ryomen(Punkamainia) thinks: The one chance I could show him my potential, and I failed. - Sun Nov  1 22:45:45 2015
<br><br><font color=teal>*Reguel(Airide) says: Ah, did he give you the chuunin test as well? - Sun Nov  1 22:49:10 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Nah. - Sun Nov  1 22:49:10 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: There was a prison beak. - Sun Nov  1 22:50:01 2015
<br><br><font color=teal>*Reguel(Airide) says: I see. - Sun Nov  1 22:55:08 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmm. - Sun Nov  1 23:11:21 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I guess I'll go find me some fun. - Sun Nov  1 23:12:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: If anyone is looking for me I'll be in my shop. - Sun Nov  1 23:12:12 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Alright. - Sun Nov  1 23:12:12 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Wait. - Sun Nov  1 23:13:04 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Trilliam, do you have any jutsu you need to work on? - Sun Nov  1 23:13:55 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Nope. - Sun Nov  1 23:13:55 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I am some what a perfectionist. - Sun Nov  1 23:13:55 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Aw, nevermind then. It wouldn't be of benefit to you. - Sun Nov  1 23:14:46 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: As soon as i learn something I don't stop in my usage till its  some what perfect. - Sun Nov  1 23:14:46 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: All of my justu Teachers have dissapered. - Sun Nov  1 23:14:46 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: I was going to say we can practice jutsu together. - Sun Nov  1 23:14:46 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Kilim is all Kilimy and Katsunae is all in her thoughts Yan is all i dont evevn know where he is at. - Sun Nov  1 23:15:37 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: And my Aunt lera dosent even vist any more. - Sun Nov  1 23:15:37 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmm we could do that. - Sun Nov  1 23:15:37 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Maybe Ill figure out some new moves for myself. - Sun Nov  1 23:16:28 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: The thing is, it won't benefit you, since your jutsu are mastered. - Sun Nov  1 23:16:28 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Beats being in my shop by my self. - Sun Nov  1 23:16:28 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: If you're up for it. - Sun Nov  1 23:18:11 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Lets goooo. - Sun Nov  1 23:19:02 2015
<br><br><font color=yellow>*Ryomen(Punkamainia) would head towards the training field with Trilliam.* - Sun Nov  1 23:20:44 2015
<br><br><font color=yellow>*Ryomen(Punkamainia) would simply nod. All Ryomen really needed to do was perform one jutsu until he could reach his final mastery level. He had learned the jutdu earlier that day, and had began mastering it as soon as he could. He'd face Trilliam, his gaze set on the boy. Seals were performed rather quickly, thanks to the shinobi's training his hand seal speed. While the seals were being performed, chakra in his chest slowly built up, gathering and accumulating rather quickly. The execution of the final hand seal would initiate the technique, springing it into action. The chakra welled in his chest took on the features and characteristics of Katon.

The Katon-based chakra was sent billowing up his throat, a good amount being conjured. Ryomen took in a deep breath, beginning to exhale once he finished. As he exhaled, the stream of chakra spewed out, heading right in Trilliam's direction. As soon as the chakra came in contact with the gases in the environment, it lit aflame. Ryomen was literally spewing fire from his mouth. Facing the stream fire, it would look like a bullet, but it was in fact a stream. After learning it, Ryomen reseached more on the technique in one of the smaller libraries, where he learned it was a good combaination technique.

As he spewed fire, he thought of the combination technique. It worked in excellence with some Doton-based techniques, and naturally with Fuuton-based techniques. This, like many other Katon techniques, was versatile, and had many uses. Some of them happened to serve as offense, defense, and as well as in combination. In all honesty, Ryomen was kind of happy that Kilm taught him this technique.* - Sun Nov  1 23:34:24 2015
<br><br><font color=yellow>*Ryomen(Punkamainia) arched his brow. It seemed Trilliam wanted to turn this into a spar of some sorts, especially since he used one of his main combos. Ryomen wasn't too sure of sparring, since he all he wanted to do was perform jutsu. As the earthen balls were shot, collided with the stream of fire, and sent in both directions, Ryomen could do nothing but dodge. He would slide towards his right side, the balls of earth shooting right past him. He watched the dome form over the clone and Trilliam himself.

Ryomen would only continue to fire the same jutsu over and over, simply wanting to build his mastery with it. Forming only one hand seal, "Tiger," he'd launch the jutsu once more, firing yet another bullet stream of fire in the general vicinity of Trilliam's done and the surrounding clones. The heat intensified, the temperature in the area rising each and every time he used a fire jutsu. A bead of sweat trailed down the side of his face.


* - Mon Nov  2 00:05:07 2015
<br><br><font color=yellow>*Ryomen(Punkamainia) smirked. Trilliam wanted anae, then he had one. With his new technique, and some of his other ones, he knew hencpuld easily counter some of his adversary's jutsu. The Doton-covered shuriken were launched by one of the clones. "Tch." He performed a single hand seal, zooming completely off course, and around towards the dome. The chakra welled up in his system, the boy keeping the Tiger seal for better control. Once he was ready, then the chakra would come up from his throat once more, permeating the air and catching fire. A bullet stream was sent directly towards the solid dome.

Ryomen hoped to use his heat to melt some of the rocks in the dome and create an opening. If successful, some of the fire would permeate through, filling the dome and creatng uncomfortable, hot conditions inside. If either successful or unsuccessful, the fire would also serve as some splash damage, rebounding off the dome and reflecting some fire onto the clones around the outside of the dome to burn them.* - Mon Nov  2 00:41:48 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Tell me which coruse of action went through because that decieds what justus i used - Mon Nov  2 01:01:26 2015
<br><br><font color=yellow>*Ryomen(Punkamainia) had just been dancing around the field--what he usually did. He was unlucky in that all of his attacks were dodged. If anything, he was only lucky in that his fire effecitvely pieces the earthen dome, the flames filling the inside. However, he was suddenly caught off guard, being pulled down into the earth suddenly. His foot, along with the rest of his body up to his neck, was covered in Trilliam's chakra. This would effecitvely cause him to slip into the ground without warning. The feeling being weird, seeing that it was his first time succumbing to the jutsu, he'd just be rooted in place, waiting for Trilliam's next move.

Ryomen rolled his eyes, it did seem annoying to be trapped in the jutsu, as when seen on other peoples' faces. He'd simply sigh, staring out in tHe open, "Alright you won Trilliam. You won the unofficial, spontaneous spar."* - Mon Nov  2 01:15:05 2015
<br><br><font color=yellow>*Ryomen(Punkamainia) dug himself out of the ground, quickly retorting at Trilliam's response. "I expected you to shoot back at my technique, not stand there and take it. That's why I wanted you to master a jutsu as well, so we can train the potency of the jutsu against each other. I thought that was implicitly understood, but I guess that's my fault." He'd smile as the compliment, "Running around? Oh, it's something that I do a lot, always got to stay on your toes, I guess." He'd laugh, complimenting himself as as well. The sudden turn in Trilliam's mood bothered him, causing him to arch his brow,  "Trilliam, don't down yourself like that. It's not just about learning jutsu, it's also about practicing your capabilites with them, and making do with what you have. I don't think I'm getting Hassan's approval anytime soon, actually. If anything, you have everyone else's approval, and I don't. People are willing to teach you so much, whereas I have to work to even think of something for myself."* - Mon Nov  2 01:34:43 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: They only reason they teach me is because I annoy the hell out of them. - Mon Nov  2 01:36:25 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: They figure give him a scroll and he'll go away. - Mon Nov  2 01:37:16 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: I'm afraid of doing thst. - Mon Nov  2 01:37:16 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: I don't want to bug too many people. - Mon Nov  2 01:37:16 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Though actually, Hassan was willing to teach me, so long that I stuck with Fuuton ninjutsu, and only Fuuton ninjutsu. - Mon Nov  2 01:38:08 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: I was thrilled, but I declined it because I want to train my other elements as well. - Mon Nov  2 01:38:08 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Eh well you should have went with that. - Mon Nov  2 01:38:08 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Just train under him for a few years. - Mon Nov  2 01:38:59 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Then do the other stuff. - Mon Nov  2 01:38:59 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Not everyday the god of wind offers to train you. - Mon Nov  2 01:38:59 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: I guess. - Mon Nov  2 01:38:59 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Id kill for the oppurtianuty to train with gramps. - Mon Nov  2 01:38:59 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Maybe that could work. - Mon Nov  2 01:38:59 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: But....Sadly Im the black sheep of the family I was born with out wind. - Mon Nov  2 01:39:50 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Its like Im cursed. - Mon Nov  2 01:39:50 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: It just gets to me sometimes knowing I'l never get to be like my gramps ever. - Mon Nov  2 01:39:50 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Who says you can't leaen wind? - Mon Nov  2 01:40:41 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Who says you're cursed. - Mon Nov  2 01:40:41 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: ? - Mon Nov  2 01:40:41 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: People say they're cursed for not being born into your family. - Mon Nov  2 01:40:41 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Where as you're lucky to them. - Mon Nov  2 01:41:32 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Who knows, you might be lucky in not being born with the ability to use wind. - Mon Nov  2 01:41:32 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Alway. - Mon Nov  2 01:41:32 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Think. - Mon Nov  2 01:41:32 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Positive. - Mon Nov  2 01:41:32 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Trust me I tried hard when I was young my Dad even tried to force the wind out of me it just doesn't work for me  and yeah Being on of the other Hassans is great I mean look at Iza she's 7 and can do all types of cool stuff. - Mon Nov  2 01:43:15 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Even my stupid Uncle Fuji is rumored to be ahead of his time. - Mon Nov  2 01:44:06 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Then that just means you need to work harder. - Mon Nov  2 01:45:48 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Be lucky that you're still alive to even work harder. - Mon Nov  2 01:46:40 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: You have no Ideal. - Mon Nov  2 01:46:40 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Oh, I do. - Mon Nov  2 01:46:40 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Use your predicament as your drive. - Mon Nov  2 01:46:40 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: To keep progressing, to go harder. - Mon Nov  2 01:47:31 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: I'm scared of dying. - Mon Nov  2 01:47:31 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: I'm scared of falling behind my peers. - Mon Nov  2 01:48:22 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: I'm scared of not being able to protect them. - Mon Nov  2 01:48:22 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: I'm scared that my new home--my original home, - Mon Nov  2 01:48:22 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Is going to be stripped away from me. - Mon Nov  2 01:49:13 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: I'm scared that I won't live up to my bloodline and my heritage. - Mon Nov  2 01:49:13 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: And yet, I use my fears to my advantage. - Mon Nov  2 01:49:13 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: To train and work harder, somI don't have ro encounter them. - Mon Nov  2 01:49:13 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Fear death for what...The Hassan tribe is immortal sooo yeah thats something i dont worry about at all . At a young age I was taught everybody dies but not everybody lives. - Mon Nov  2 01:50:04 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: In this world, Trilliam, nothing is immortal. - Mon Nov  2 01:50:56 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Even the "Hassan tribe" can die off. - Mon Nov  2 01:50:56 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: As bad as kt may seem, it's true. - Mon Nov  2 01:50:56 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: That's why you fight to protect it. - Mon Nov  2 01:50:56 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Or you can just choose to sulk like you are now, and get left behind. - Mon Nov  2 01:51:47 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Yeah.... - Mon Nov  2 01:52:38 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) thinks: He doesnt know my Dad's power makes gramps seem like a new born kitten. - Mon Nov  2 01:53:29 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: C'mon, let's head back. - Mon Nov  2 01:54:20 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: I can't afford to get emotional right now. - Mon Nov  2 01:54:20 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Sure. - Mon Nov  2 01:55:12 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Bitch, earn the right to get a mission. - Mon Nov  2 01:56:54 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: -omit- - Mon Nov  2 01:56:54 2015
<br><br><font color=yellow>*Ryomen(Punkamainia) makes his way back to the gathering. He'd seem a little disturbed.* - Mon Nov  2 01:56:54 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Bitch who even are you ? -omit- - Mon Nov  2 01:57:45 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey Iza hows it going. - Mon Nov  2 01:57:45 2015
<br><br><font color=teal>*Chikyu Kasanari(Crimson Cresent) says: Bitch, face me when you talk to me. -omit- - Mon Nov  2 01:59:28 2015
<br><br><font color=teal>*Reguel(Airide) says: I'm bored. - Mon Nov  2 01:59:28 2015
<br><br><font color=teal>*Reguel(Airide) says: Also who's the ir; - Mon Nov  2 01:59:28 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Uhm. - Mon Nov  2 02:00:19 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: So I know you all are probably tense given that. . .Well. We're kinda just waiting to be attacked. - Mon Nov  2 02:01:10 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: But you all can still relax, y'know. Have fun and shit, y'know? - Mon Nov  2 02:01:10 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Oh mind if I tag along its been awahile since me adn you done any one a solid. - Mon Nov  2 02:02:52 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: I don't look weak hoes in the face omit- - Mon Nov  2 02:03:44 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I doubt we're going to get anything. - Mon Nov  2 02:06:17 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmm. - Mon Nov  2 02:09:42 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I need to find me a lightning master. - Mon Nov  2 02:10:33 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Missions? - Mon Nov  2 02:13:07 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm. - Mon Nov  2 02:13:07 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Yeah. - Mon Nov  2 02:13:07 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Yeah, of course. - Mon Nov  2 02:15:40 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: ... - Mon Nov  2 02:21:39 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hmmmm. - Mon Nov  2 02:21:39 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Mission!!! - Mon Nov  2 02:21:39 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ryo you should come with. - Mon Nov  2 02:21:39 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: I have to turn in a mission, also. - Mon Nov  2 02:22:30 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: What kind of mission is it? - Mon Nov  2 02:22:30 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: I have no ideal. - Mon Nov  2 02:24:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Ohhh and gramps. - Mon Nov  2 02:24:12 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Can I like have my won special lik squad huh? - Mon Nov  2 02:24:12 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hello everyone. - Mon Nov  2 02:36:09 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Hi. - Mon Nov  2 02:36:09 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hows it going Hiro - Mon Nov  2 02:36:09 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: So so.  Still trying to get myself together. - Mon Nov  2 02:37:00 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Wait. . . Who are you? *looks at Ryomen* - Mon Nov  2 02:37:52 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: He is way cool. - Mon Nov  2 02:38:43 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: I'm Ry--Thanks Yrilliam. - Mon Nov  2 02:38:43 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Anyway, I - Mon Nov  2 02:38:43 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: I'm Ryomen. - Mon Nov  2 02:38:43 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Nice to meet you I am Hiroshi. - Mon Nov  2 02:39:34 2015
<br><br><font color=teal>*Ryomen(Punkamainia) says: Nice to meet you, Hiroshi. - Mon Nov  2 02:39:34 2015
