<br><font color=teal>*Hokuma, Mizora(Dandere-chan) says: It's a spar. - Sun Dec  6 02:48:06 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: As for training.. I could stand to train a bit more.. Heh. - Sun Dec  6 02:55:47 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: We could do a few team spars. - Sun Dec  6 02:56:38 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Oh, she's doing -that- kind of training with her boyfriend. - Sun Dec  6 02:57:29 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Never mind guys, we can train here. - Sun Dec  6 02:57:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah, seems so. - Sun Dec  6 02:57:29 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hah, I wish them a good time, I S'pose! - Sun Dec  6 02:57:29 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Sucks. I really wanted some serious training too. - Sun Dec  6 02:58:20 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Don't get pregnant Momura. - Sun Dec  6 02:59:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: K-Kinami. - Sun Dec  6 02:59:12 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: W-We'l- - Sun Dec  6 02:59:12 2015
<br><br><font color=teal>*Hokuma, Kuro(Ichigo10101) thinks: They left me behind.. - Sun Dec  6 03:00:03 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Welp, I have no one to train with now.... - Sun Dec  6 03:00:54 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: .....Man. - Sun Dec  6 03:02:36 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ugh.. Heh. - Sun Dec  6 03:04:19 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: I need to find a sparring partner. - Sun Dec  6 03:05:10 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah, that so huh..? Mrm.. - Sun Dec  6 03:05:10 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Well, I'd offer, but you don't seem interested. Heh. - Sun Dec  6 03:06:01 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hah! Let me... rest up a moment, get my chakra back in hand.. and I'll take you on with a smile! - Sun Dec  6 03:06:01 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: See, I never saw you before that one spar.. - Sun Dec  6 03:07:44 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: And we all know what that means. - Sun Dec  6 03:10:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh. Go get her. - Sun Dec  6 03:10:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: -- Hahhhh. - Sun Dec  6 03:10:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'll proctor a private examination. - Sun Dec  6 03:10:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: I'll do it. Where do they live? - Sun Dec  6 03:10:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Do it! - Sun Dec  6 03:10:17 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: This'll be funny. - Sun Dec  6 03:10:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I don't know. - Sun Dec  6 03:10:17 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Should have their names nearby, though. - Sun Dec  6 03:11:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Check near the weapon's shop. - Sun Dec  6 03:11:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Kinami, you know where they live? - Sun Dec  6 03:11:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Eh? Oh, you got this? - Sun Dec  6 03:11:08 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ahh.. a'right. - Sun Dec  6 03:11:08 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) thinks: Bah, a little tired. - Sun Dec  6 03:12:00 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Koji. This your little sister? - Sun Dec  6 03:12:51 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Can't find them. - Sun Dec  6 03:15:24 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Just make an announcement. - Sun Dec  6 03:15:24 2015
<br><br><font color=teal>*Ryujin, Ivel(OmniKage) says: Hey. - Sun Dec  6 03:15:24 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: ...Welp, I'll go look for 'em! - Sun Dec  6 03:15:24 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Didn't know you had a sister. - Sun Dec  6 03:16:16 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Sanoke... - Sun Dec  6 03:16:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Yo? - Sun Dec  6 03:16:16 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Just make an announcement. - Sun Dec  6 03:16:16 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh. Yeah, good idea. - Sun Dec  6 03:17:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Can't find 'em. - Sun Dec  6 03:17:07 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Ah, Yo. - Sun Dec  6 03:18:49 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Hanai, Momura. - Sun Dec  6 03:18:49 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Sanoke wanted you. - Sun Dec  6 03:18:49 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I know. - Sun Dec  6 03:18:49 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I'm going to f-fight kinami..f-for chuunins.. - Sun Dec  6 03:18:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Hmmm something going on? - Sun Dec  6 03:18:49 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Ohhhh. - Sun Dec  6 03:18:49 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh, there you go. - Sun Dec  6 03:19:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Would you two prefer to fight in private? - Sun Dec  6 03:19:40 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: I-I don't care...I-I won't be holding back.. - Sun Dec  6 03:19:40 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: To save potential ace-manuevers from  being in the public eye, obviously. - Sun Dec  6 03:19:40 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Private would be nice. - Sun Dec  6 03:19:40 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Damnit. . I wanted to watch. - Sun Dec  6 03:19:40 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Can we just invite people? - Sun Dec  6 03:20:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Y-Yea.. - Sun Dec  6 03:20:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'd suppose. - Sun Dec  6 03:20:32 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hanai and kuro..and..uhm..M-Mitsunara..and H-Hideo.. - Sun Dec  6 03:20:32 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) thinks: Sure is a lot of people, jeez. - Sun Dec  6 03:20:32 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) thinks: Well damn she got an entire list. .  - Sun Dec  6 03:20:32 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: I'll let you all two one each. - Sun Dec  6 03:21:23 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: .. - Sun Dec  6 03:21:23 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: Hanai and Kuro. - Sun Dec  6 03:21:23 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: H-Hanai. - Sun Dec  6 03:21:23 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Hiroshi can be mine. - Sun Dec  6 03:21:23 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: Actually, her list is fine. - Sun Dec  6 03:22:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: Oh, alright. - Sun Dec  6 03:22:14 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: Wait what? - Sun Dec  6 03:22:14 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: So I can't come? - Sun Dec  6 03:22:14 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: You and Mitsunara are my choices. - Sun Dec  6 03:22:14 2015
<br><br><font color=teal>*Kinami Hassan(Ninasky115) says: While she has hanai and kuro - Sun Dec  6 03:22:14 2015
<br><br><font color=teal>*Sanoke(Gamuhz2) says: THat's works then. - Sun Dec  6 03:22:14 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Eh? A'right.. - Sun Dec  6 03:22:14 2015
<br><br><font color=teal>*Hideo, Hiroshi(Anonymouse player) says: *shrugs* As long as I get to go. - Sun Dec  6 03:22:14 2015
<br><br><font color=teal>*Akimora, Mitsunara(SephirothCaged) says: Should be fun. - Sun Dec  6 03:23:05 2015
<br><br><font color=teal>*Momura(JustCallMeGnar) says: S-Sanoke-san - Sun Dec  6 03:23:05 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) says: mm... - Sun Dec  6 03:52:57 2015
<br><br><font color=yellow>*Arata, Kirsu(Holycalvin) Was minding his own business wandering through the sandy village of Sunagakure.  He didn't have much to do, and was looking for something to get into.  He hoped that there was some beautiful females somewhere to stare at or something, so far his life seemed so dull in Sunagakure, he couldn't wait any longer to go out and do things that would allow him to feast upon beautiful women.  All of this was true even though he was only 12.* - Sun Dec  6 06:27:24 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: Phew..I'm tired. - Sun Dec  6 19:54:40 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: It's fine. - Sun Dec  6 19:58:56 2015
<br><br><font color=teal>*Otorius(OtoTheChannel) says: You're being tactical. - Sun Dec  6 19:58:56 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Hm. - Sun Dec  6 20:03:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Koji. - Sun Dec  6 20:03:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I keep hearing about Tetsuki around here, but I cant find her. - Sun Dec  6 20:03:12 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: Do you know where she goes? - Sun Dec  6 20:03:12 2015
<br><br><font color=teal>*Hokuma, Koji(Akainu_Hellhound) says: Hmm, Tetsuki? I haven't seen her around but I can keep an eye out if that's what you need. - Sun Dec  6 20:04:03 2015
