<br><font color=teal>*Asteroth(Lordlol45) says: Beat it. - Tue Nov  3 09:58:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'll start by eliminating those who don't reach my standards, okay? - Wed Nov  4 06:19:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I hope there won't be any problems?~ - Wed Nov  4 06:24:00 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Those who don't reach your standards? I suppose that means.. - Wed Nov  4 06:26:33 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Those who are even lazier than you. - Wed Nov  4 06:26:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe.. - Wed Nov  4 06:26:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If that was the case, you'd fail. - Wed Nov  4 06:26:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're the laziest one of us all.~ - Wed Nov  4 06:26:33 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Regardless of whether or not I'm lazy or not. - Wed Nov  4 06:28:16 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I'm the Queen. - Wed Nov  4 06:28:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Of who? - Wed Nov  4 06:28:16 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: We've gone through this one-hundred times, boy. - Wed Nov  4 06:30:49 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh... - Wed Nov  4 06:33:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Did we? - Wed Nov  4 06:33:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I tend to forget useless information.. - Wed Nov  4 06:33:23 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Mind refreshing my memory? - Wed Nov  4 06:33:23 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . .Ah. So you're not just useless due to laziness. - Wed Nov  4 06:37:39 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Is there actual mental ineptness? - Wed Nov  4 06:37:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Wed Nov  4 06:38:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe.. - Wed Nov  4 06:38:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Depends.. - Wed Nov  4 06:38:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You still can't refresh my memory? - Wed Nov  4 06:38:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Are you this incapable as a "Queen"? - Wed Nov  4 06:38:30 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I am the Queen of Amegakure, tool. - Wed Nov  4 06:39:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Wed Nov  4 06:42:46 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: You askedm e. - Wed Nov  4 06:42:46 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: 'What are you the Queen of?' That's the answer. - Wed Nov  4 06:42:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Did..I? - Wed Nov  4 06:43:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: When did I do that? - Wed Nov  4 06:43:37 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . You're making me mad again.. - Wed Nov  4 06:43:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Am I? - Wed Nov  4 06:44:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Thu Nov  5 05:12:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Wake up..ya' bum. - Thu Nov  5 05:17:52 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Thu Nov  5 05:37:29 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: The hell do you want? - Thu Nov  5 05:37:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Finally awake..? - Thu Nov  5 05:37:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ready to say, "Uguu"? - Thu Nov  5 05:37:29 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Come on..~ - Thu Nov  5 05:44:19 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Never. - Thu Nov  5 05:53:42 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Do you intend to join that tournament? - Thu Nov  5 05:53:42 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Tournament? - Thu Nov  5 05:55:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe.. - Thu Nov  5 05:57:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Playing for myself would be funny. - Thu Nov  5 05:57:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Are you participating? - Thu Nov  5 05:59:40 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Of course not. - Thu Nov  5 06:02:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Afraid? - Thu Nov  5 06:07:21 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Scared? - Thu Nov  5 06:08:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You don't have to be scared.~ - Thu Nov  5 06:09:04 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I'm not afraid. I am just no fool. - Thu Nov  5 06:11:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're actually afraid! - Thu Nov  5 06:14:11 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hahahahaha! - Thu Nov  5 06:14:11 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: No. - Thu Nov  5 06:38:56 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I just know my own limitations. - Thu Nov  5 06:39:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Yeah..your limits are due to fear. - Thu Nov  5 06:41:29 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Nope. I just know direct combat isn't my forte. - Thu Nov  5 06:44:54 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're sad.. - Thu Nov  5 06:56:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If only you were stronger.~ - Thu Nov  5 06:56:51 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I don't need strength. Just patience. - Thu Nov  5 06:58:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ugh.. - Thu Nov  5 07:04:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're such a lazy bum. - Thu Nov  5 07:04:32 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Says you. - Thu Nov  5 07:07:05 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I've done a lot. - Thu Nov  5 07:07:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Thu Nov  5 07:08:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Compared to me what have you done? - Thu Nov  5 07:08:48 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Acquire a Kingdom. Work on making ghouls, resurrecting the dead. - Thu Nov  5 07:16:28 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Don't talk about accomplishments. - Thu Nov  5 07:17:20 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: You've done nothing. You've even said so.  - Thu Nov  5 07:17:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're so sad. - Thu Nov  5 07:51:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ? - Thu Nov  5 09:21:04 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . ? - Thu Nov  5 09:25:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Saaad! - Thu Nov  5 09:33:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You know you shouldn't be so jealous of me.. - Thu Nov  5 09:33:52 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Hrm? Evening. Anything new been occuring in Suna? - Thu Nov  5 14:13:45 2015
<br><br><font color=teal>*Index(Jjking217) says: Not quite, the tides are shifting. - Thu Nov  5 14:13:45 2015
<br><br><font color=teal>*Index(Jjking217) says: I don't believe I'll be going back there for a while--On the same note, I should be exclusively here for you for the next few days. - Thu Nov  5 14:14:36 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: For what reason? - Thu Nov  5 14:14:36 2015
<br><br><font color=teal>*Index(Jjking217) says: For what reason am I here? Or won't be going back? - Thu Nov  5 14:15:28 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Both. - Thu Nov  5 14:15:28 2015
<br><br><font color=teal>*Index(Jjking217) says: Do I need a reason to want and serve my Queen? And, there's no longer any reason for me to be there, Sunagakure is going on a mad hunt for one of their Chunnin. I don't care much for it, especially if they get riled up over a single person. - Thu Nov  5 14:17:10 2015
<br><br><font color=teal>*Index(Jjking217) says: Although. - Thu Nov  5 14:23:08 2015
<br><br><font color=teal>*Index(Jjking217) says: I did just drop in 'today' to tell you I was near by. - Thu Nov  5 14:23:08 2015
<br><br><font color=teal>*Index(Jjking217) says: I plan to continue my training today. - Thu Nov  5 14:24:00 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: 'Nearby.'  What do you mean? And if someone in Sunagakure is causing trouble. . is a loose canon even. - Thu Nov  5 14:26:33 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Don't get caught up in their mess. - Thu Nov  5 14:26:33 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: It'll only put your life at risk. - Thu Nov  5 14:26:33 2015
<br><br><font color=teal>*Index(Jjking217) says: I didn't intend to. - Thu Nov  5 14:27:24 2015
<br><br><font color=teal>*Index(Jjking217) says: But. - Thu Nov  5 14:27:24 2015
<br><br><font color=teal>*Index(Jjking217) says: I planned to go train unless you needed me, I won't be more than a A few hour's travel is what I mean. - Thu Nov  5 14:27:24 2015
<br><br><font color=teal>*Index(Jjking217) says: So if needed I'll get back fairly soon. - Thu Nov  5 14:27:24 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Where specifically will you be? - Thu Nov  5 14:29:07 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: -- I might want to have you enter that tournament, after all. - Thu Nov  5 14:29:07 2015
<br><br><font color=teal>*Index(Jjking217) says: Haven't decided. - Thu Nov  5 14:29:07 2015
<br><br><font color=teal>*Index(Jjking217) says: But I'm sure. - Thu Nov  5 14:29:58 2015
<br><br><font color=teal>*Index(Jjking217) says: There are those better equipped. - Thu Nov  5 14:29:58 2015
<br><br><font color=teal>*Index(Jjking217) says: But if you insist, I won't mind joining. - Thu Nov  5 14:29:58 2015
<br><br><font color=teal>*Index(Jjking217) says: Oh by the way, I retrieved some information. - Thu Nov  5 14:29:58 2015
<br><br><font color=teal>*Index(Jjking217) says: I'm sure you'll be happy to heart. - Thu Nov  5 14:30:49 2015
<br><br><font color=teal>*Index(Jjking217) says: Hear* - Thu Nov  5 14:30:49 2015
<br><br><font color=teal>*Index(Jjking217) says: Maybe even get me a rewar---Nevermind. But the information is regarding Sunagakure. - Thu Nov  5 14:30:49 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: SHoot. - Thu Nov  5 14:37:39 2015
<br><br><font color=teal>*Index(Jjking217) says: Sunagakure has a Jounin by the name of Marissa. - Thu Nov  5 14:40:12 2015
<br><br><font color=teal>*Index(Jjking217) says: She utilizes the Fire and Wind Elements. - Thu Nov  5 14:40:12 2015
<br><br><font color=teal>*Index(Jjking217) says: Just passed the Private Exam at the cost of her arm, She has little control over her emotions but tries to act Heroic. - Thu Nov  5 14:40:12 2015
<br><br><font color=teal>*Index(Jjking217) says: She utilizes a fan. - Thu Nov  5 14:40:12 2015
<br><br><font color=teal>*Index(Jjking217) says: Confirmed Techniques she knows, Divine Wind, Gale Palm, Chakra Flow utilizing the wind Element, Wind Release Air Bullets, Great Break Through, Rotating Shuriken, and Shadow Shuriken. - Thu Nov  5 14:41:04 2015
<br><br><font color=teal>*Index(Jjking217) says: She had a former relationship with a man known as Ortho. - Thu Nov  5 14:41:55 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Ah. Intriguing, although not too relevant for the present. - Thu Nov  5 14:41:55 2015
<br><br><font color=teal>*Index(Jjking217) says: I think it may be. - Thu Nov  5 14:41:55 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I don't want anything to do with Sunagakure. It's very powerful, as you would know. - Thu Nov  5 14:41:55 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: --ANd how so? - Thu Nov  5 14:41:55 2015
<br><br><font color=teal>*Index(Jjking217) says: I feel like Sunagakure intends to expand. - Thu Nov  5 14:41:55 2015
<br><br><font color=teal>*Index(Jjking217) says: And Amegakure is a target. - Thu Nov  5 14:41:55 2015
<br><br><font color=teal>*Index(Jjking217) says: Though that's just a feeling, I've had for the past few weeks. - Thu Nov  5 14:42:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Honestly.. - Fri Nov  6 23:52:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Fickle-chan..what are you doing? - Fri Nov  6 23:52:44 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Hrm? - Fri Nov  6 23:52:44 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: What do you mean? - Fri Nov  6 23:53:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eh? - Fri Nov  6 23:54:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I mean.. - Fri Nov  6 23:54:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Normally you don't walk too far. - Fri Nov  6 23:54:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Your fat normally stops you from doing so. - Fri Nov  6 23:55:18 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . I am free to move as I please. - Fri Nov  6 23:55:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: No..no.. - Fri Nov  6 23:57:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Fickle-chan..I must say..I've grown tired of Kirigakure's lack of support in my problems.. - Fri Nov  6 23:57:52 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: . . . - Fri Nov  6 23:59:34 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: What? Why so? - Fri Nov  6 23:59:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: To think.. - Fri Nov  6 23:59:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That I assisted them in their time of need! - Fri Nov  6 23:59:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: WOE! - Sat Nov  7 00:00:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: WOOOEEE IS I! - Sat Nov  7 00:00:25 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: You realize.. - Sat Nov  7 00:00:25 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Kirigakure has been getting destroyed for the past week, yes? - Sat Nov  7 00:01:16 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Many being incinerated, or devoured by creatures. - Sat Nov  7 00:01:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Really? - Sat Nov  7 00:02:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hahahahahaha! - Sat Nov  7 00:02:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hahahahahahahahahaha! - Sat Nov  7 00:02:08 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I supposed I should get my money from them. - Sat Nov  7 00:02:08 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: How much? And yes, that would be wise. It's amusing. . . - Sat Nov  7 00:02:59 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: To see how ignorant you are of worldly events. - Sat Nov  7 00:02:59 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm..? - Sat Nov  7 00:05:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: How much.. - Sat Nov  7 00:05:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Two million.. - Sat Nov  7 00:05:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ignorant..I do have my moments. - Sat Nov  7 00:05:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: When you've been studying as much as I have.. - Sat Nov  7 00:05:32 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There's no time for events that stray from the path. - Sat Nov  7 00:05:32 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Sure.. - Sat Nov  7 00:14:04 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I'm surprised that reconstruction efforts haven't yet been complete. - Sat Nov  7 00:14:04 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Really? - Sat Nov  7 00:14:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: They started.. - Sat Nov  7 00:14:56 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Long ago, yes. - Sat Nov  7 00:14:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: But due to the recent events..they most likely reverted. - Sat Nov  7 00:14:56 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Please. - Sat Nov  7 00:15:47 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: The attack wasn't -that- massive. - Sat Nov  7 00:15:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Honestly..it doesn't matter to me what they use the money for. - Sat Nov  7 00:15:47 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Slaves, murder, maybe even slander? - Sat Nov  7 00:16:38 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Whatever they choose to do. I'm fine with.~ - Sat Nov  7 00:16:38 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Well I doubt there's a lot of use for it now. The person you gave the money too is likely dead. - Sat Nov  7 00:18:20 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: In addition, the bulk ofthe funds likely went to rebuilding the village itself. - Sat Nov  7 00:19:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well.. - Sat Nov  7 00:22:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I will be going back to inform anyone that's left of my kind and generous donation. - Sat Nov  7 00:22:36 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Good luck. I'd go but. . i prefer not to be at risk of being eaten. - Sat Nov  7 00:23:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Eaten? - Sat Nov  7 00:24:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: By what? - Sat Nov  7 00:24:19 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Another Giant Snake? - Sat Nov  7 00:24:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Really? - Sat Nov  7 00:24:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So afraid of a giant snake? - Sat Nov  7 00:24:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: When will your cowardly nature end? - Sat Nov  7 00:24:19 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Do you want me to promise to protect you? - Sat Nov  7 00:25:10 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hahahaha! - Sat Nov  7 00:25:10 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I don't. You've proven inept in that regards already. - Sat Nov  7 00:34:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Oh? - Sat Nov  7 00:35:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're referring to that man? - Sat Nov  7 00:35:24 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: Indeed. - Sat Nov  7 00:35:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It's true you probably would've been dead if not for Mizumi.. - Sat Nov  7 00:35:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Then again it's your fault. - Sat Nov  7 00:35:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Never let an enemy get that close. - Sat Nov  7 00:36:16 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: He could practically teleport.. - Sat Nov  7 00:36:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I'm surprised you don't have any demons to help you. - Sat Nov  7 00:37:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Maybe your laziness is your own downfall? - Sat Nov  7 00:37:07 2015
<br><br><font color=teal>*Asteroth(Lordlol45) says: I sent my Demons to battle. - Sat Nov  7 00:37:58 2015
