<br><font color=teal>*Rokujou, Kida(Shiziru101) says: Say what? - Fri Nov 27 00:59:18 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: What? - Fri Nov 27 01:14:40 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ... - Fri Nov 27 01:15:31 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You.... - Fri Nov 27 01:15:31 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Shit..I fucked up. - Fri Nov 27 01:15:31 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Saw Ichiro's balls harden like steel? - Fri Nov 27 01:15:31 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ........ - Fri Nov 27 01:15:31 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: No. - Fri Nov 27 01:15:31 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: When? - Fri Nov 27 01:15:31 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: GAAAAAAAAAAAAAAAAAAAAAAAAAAAAAY! - Fri Nov 27 01:15:31 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: The hell... - Fri Nov 27 01:15:31 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Oh my god. - Fri Nov 27 01:15:31 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You're so queer. - Fri Nov 27 01:15:31 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'm not. - Fri Nov 27 01:15:31 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Fri Nov 27 01:15:31 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I  see you in a new light Kida. - Fri Nov 27 01:16:22 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ..... - Fri Nov 27 01:16:22 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: I really fucked up. Damn. - Fri Nov 27 01:16:22 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Soooo queer. - Fri Nov 27 01:16:22 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Don't see me in a new light. See me in the old light. - Fri Nov 27 01:16:22 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: The one before five minutes ago. - Fri Nov 27 01:16:22 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I'd prefer not to see you in any light. - Fri Nov 27 01:16:22 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ... - Fri Nov 27 01:17:13 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Heh. - Fri Nov 27 01:17:13 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Is she calling me ugly, or she saying she wants me in bed?...I won't think farther. - Fri Nov 27 01:18:04 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: So, Kirigakure? - Fri Nov 27 01:18:04 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Let's stop by Konohagakure first. - Fri Nov 27 01:18:04 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Get a room. - Fri Nov 27 01:18:04 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ---- - Fri Nov 27 01:18:04 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Not in the way you're thinking. - Fri Nov 27 01:18:04 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Sure. - Fri Nov 27 01:18:04 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What way? - Fri Nov 27 01:18:56 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: We've shared a room before in Kiri. - Fri Nov 27 01:18:56 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: We've shared a HOUSE. - Fri Nov 27 01:21:29 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: In Kirigakure. - Fri Nov 27 01:21:29 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Sigh. Let's go already. - Fri Nov 27 01:21:29 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: This'll be fine. - Fri Nov 27 01:22:20 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: It should be. - Fri Nov 27 01:23:12 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I'll be back. - Fri Nov 27 01:25:45 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Why are you all the way in the corner? - Fri Nov 27 01:43:40 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Eh. - Fri Nov 27 01:43:40 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Why is that a problem? - Fri Nov 27 01:45:23 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Just make whatever, Ichiro. - Fri Nov 27 01:45:23 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Alright. - Fri Nov 27 01:46:14 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) didn't see the reason as to why he kept his disguise on, so he tore it all off. He'd start with the belt he wore, then the robes. Before you knew it, he had stripped himself down to his under clothes.  "I hate wearing disguises," he muttered, glancing shortly before raiding the closet of the room.  He'd quickly find suitable clothes for his style, dressing himself.* - Fri Nov 27 01:47:05 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ..... - Fri Nov 27 01:47:56 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: Fuck - Fri Nov 27 01:48:48 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) noticed Shiro's reaction in the corner. He raised a brow, questioning her, "What?"* - Fri Nov 27 01:48:48 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ---NOTHING. - Fri Nov 27 01:51:21 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Nothing at all... - Fri Nov 27 01:51:21 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ... - Fri Nov 27 01:51:21 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: I wonder if it's because she misses Sado. - Fri Nov 27 01:51:21 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Alright. - Fri Nov 27 01:51:21 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Look!~ - Fri Nov 27 01:57:20 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Food! - Fri Nov 27 01:57:20 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Yeeees! - Fri Nov 27 01:57:20 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I really need to pay you two back for all of this sometime. - Fri Nov 27 01:57:20 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: In yen or blood. - Fri Nov 27 01:57:20 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: You already payed me. - Fri Nov 27 01:58:11 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: In a way. - Fri Nov 27 01:58:11 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: How did I pay you? - Fri Nov 27 01:59:02 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Paying in blood? - Fri Nov 27 01:59:53 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Like if you need someone killed. - Fri Nov 27 01:59:53 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: --- - Fri Nov 27 01:59:53 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Heh. - Fri Nov 27 01:59:53 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: You payed me by making me realize something deeply wrong with me. - Fri Nov 27 02:00:44 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: But uh... - Fri Nov 27 02:01:36 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Enough of that soft shit. - Fri Nov 27 02:01:36 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Cute... - Fri Nov 27 02:03:18 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: A little. - Fri Nov 27 02:04:09 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) thought to himself, imagining Shiro bringing a bag of blood to the two. He chuckled for a moment before regaining his composure. Upon witnessing the ramen being delivered to him, he smiled and nodded his head. "Thanks," he spoke as he grabbed ahold of some chop-sticks. 

The sticks rested inbetween his hands, suspended above the bowl of ramen. With a simple use of force, he separated the sticks, turning the singular item into a duo. He held the sticks in his right hand, gripping them in such a way as to allow him to grab and hold items. 

He dug the tip of the sticks into the broth of the ramen, using the sticks as a pincer to grab ahold of some noodles. Once he had a firm grip, he'd raise it up to his open mouth and began to chow down. One after another, he slurped and chewed the noodles. He'd even drink some of the broth with the use of a spoon. 

"I missed your cooking. Hell, having to eat squirrels and whatever using a camp fire is not the best," he squeezed in between scarfing his food. In just minutes, he was already halfway done with his meal.

"So, what happened after we parted? I know Ichiro went to Kumo, what about you Shiro? Stayed in Kiri?"* - Fri Nov 27 02:07:34 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: How long it took before you realized we weren't in the village? - Fri Nov 27 02:14:24 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ...A day. - Fri Nov 27 02:15:15 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Maybe three---don't question me! - Fri Nov 27 02:16:06 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Just curious. - Fri Nov 27 02:21:13 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Oh right, Ichiro made a point before about having disguises and fake names. - Fri Nov 27 02:21:13 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: We have one, but you don't. - Fri Nov 27 02:21:13 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: His fake name is Engi, mine is Daki. - Fri Nov 27 02:21:13 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . . . .  . . - Fri Nov 27 02:23:47 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: That's sooo gay. - Fri Nov 27 02:23:47 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Why would we need disguises and fake names? - Fri Nov 27 02:23:47 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Who do we need to hide from? - Fri Nov 27 02:23:47 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Just in case. - Fri Nov 27 02:23:47 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I mean we did take that guy's eye and tongue out in Kiri. - Fri Nov 27 02:24:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ..... - Fri Nov 27 02:24:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Oh. - Fri Nov 27 02:24:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: By the way. - Fri Nov 27 02:24:38 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ? - Fri Nov 27 02:24:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Does Ichiro or you have a bigger penis? - Fri Nov 27 02:24:38 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Just asking. - Fri Nov 27 02:24:38 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I don't know. I never saw his, he never saw mine. - Fri Nov 27 02:25:29 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: That's a random question. - Fri Nov 27 02:25:29 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Thought you saw his. - Fri Nov 27 02:25:29 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Hehe. - Fri Nov 27 02:25:29 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Fri Nov 27 02:25:29 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: I didn't..I just worded it incorrectly. - Fri Nov 27 02:25:29 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Also. - Fri Nov 27 02:26:20 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: The codenames. - Fri Nov 27 02:27:12 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I can't use mine. - Fri Nov 27 02:27:12 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Not anymore. - Fri Nov 27 02:27:12 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Why? - Fri Nov 27 02:27:12 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: It's my family name. - Fri Nov 27 02:27:12 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Oh.. - Fri Nov 27 02:28:03 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Well mine is just my name backwards.. - Fri Nov 27 02:28:03 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I mean. - Fri Nov 27 02:28:03 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Mine works. - Fri Nov 27 02:28:54 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Outside of Kumogakure. - Fri Nov 27 02:28:54 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: And Amegakure. - Fri Nov 27 02:28:54 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: But I figure it'll spread pretty quick with my sister around. - Fri Nov 27 02:28:54 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: So new names for all of us. - Fri Nov 27 02:31:28 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Uh huh. - Fri Nov 27 02:32:19 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: So. - Fri Nov 27 02:32:19 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I'll call Kida 'Dick.' - Fri Nov 27 02:32:19 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: And I'll call Ichiro 'Ass.' - Fri Nov 27 02:32:19 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Seems legitimate. - Fri Nov 27 02:32:19 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Sure. - Fri Nov 27 02:32:19 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Call me anything. - Fri Nov 27 02:32:19 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . . - Fri Nov 27 02:32:19 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You'll make me feel sorry for you. - Fri Nov 27 02:32:19 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Nah. - Fri Nov 27 02:32:19 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Don't. - Fri Nov 27 02:32:19 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: What you call me. - Fri Nov 27 02:33:10 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Is probably what I'm looking at. - Fri Nov 27 02:33:10 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Most of the time. - Fri Nov 27 02:33:10 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: What about you? Should we call you Tits then? - Fri Nov 27 02:33:10 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ---- - Fri Nov 27 02:37:26 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ...... - Fri Nov 27 02:37:26 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You know what. - Fri Nov 27 02:37:26 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I hate you two. - Fri Nov 27 02:37:26 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: In a good way. - Fri Nov 27 02:37:26 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: This is going to sound a little perverted. - Fri Nov 27 02:38:17 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: And maybe it is in some sort of perverted intention. - Fri Nov 27 02:38:17 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: But can I see both of your. . . . . . - Fri Nov 27 02:38:17 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: The fuck am I saying? - Fri Nov 27 02:38:17 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Hm? - Fri Nov 27 02:38:17 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: ..... - Fri Nov 27 02:38:17 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ............. - Fri Nov 27 02:39:08 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: You know what? - Fri Nov 27 02:39:08 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I'm going to sound like a slut if I say anything.  - Fri Nov 27 02:39:08 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: I just want to compare your sizes. - Fri Nov 27 02:39:08 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Oh. - Fri Nov 27 02:39:08 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: That's all. - Fri Nov 27 02:39:08 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Nothing more, nothing less. - Fri Nov 27 02:39:08 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ..... - Fri Nov 27 02:40:00 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: Why did I think this would happen? - Fri Nov 27 02:40:00 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: So just do it. - Fri Nov 27 02:40:00 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Oh. - Fri Nov 27 02:40:00 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Uh. - Fri Nov 27 02:40:00 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Why the sudden interest? - Fri Nov 27 02:40:51 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: This is awkward. - Fri Nov 27 02:40:51 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) thinks: But she asked. - Fri Nov 27 02:40:51 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Hey - Fri Nov 27 02:40:51 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Can we do it like... - Fri Nov 27 02:40:51 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: One at a time? - Fri Nov 27 02:40:51 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: One of us leaves, shows you, then the other comes in? - Fri Nov 27 02:41:42 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ....... - Fri Nov 27 02:43:24 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: How am I going... - Fri Nov 27 02:43:24 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: To compare them... - Fri Nov 27 02:43:24 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Just do it side by side. - Fri Nov 27 02:43:24 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Kida, don't question me. - Fri Nov 27 02:43:24 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: .... - Fri Nov 27 02:44:16 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: .... - Fri Nov 27 02:44:16 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: ........... - Fri Nov 27 02:47:40 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) looked over at Ichiro, then at Shiro, the back at Ichiro again. He let out a sigh, shrugging his shoulders. As awkward the stituation was, he followed through. Kida turned his body towards the bed, directing his vision to Shiro and Shiro only.  He was going to refrain from looking over at Ichiro's direction due to the situation.

He took a deep breath, placing his thumbs into the inner bands of his pants, gripping ahold of the band, lowering his trousers.  The pants fell down below his knees, revealing his male member. * - Fri Nov 27 02:49:23 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: Guess we bond more and more every day. - Fri Nov 27 02:55:21 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: . . . - Fri Nov 27 02:55:21 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Let's hope it doesn't go any further now. - Fri Nov 27 02:55:21 2015
<br><br><font color=yellow>*Rokujou, Kida(Shiziru101) continued to stare at Shiro, at least until he pulled his pants up.  * - Fri Nov 27 02:55:21 2015
<br><br><font color=teal>*Engi, Ichiro(Master Roku) says: I doubt it will. - Fri Nov 27 02:55:21 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) thinks: That was awkward as fuck. - Fri Nov 27 02:56:12 2015
<br><br><font color=teal>*Rokujou, Kida(Shiziru101) says: Let's not do that again. - Fri Nov 27 02:56:12 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Yeah. - Fri Nov 27 02:57:55 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) says: Okay. - Fri Nov 27 02:57:55 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: I'm so fucking weird. - Fri Nov 27 02:57:55 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: ---WAIT. - Fri Nov 27 02:57:55 2015
<br><br><font color=teal>*Shizan, Shiro(MadameShredder) thinks: Why do I care?! - Fri Nov 27 02:57:55 2015
