<br><font color=teal>*Marrisa(Roxinea) says: Hello. .  - Thu Oct  1 05:32:48 2015
<br><br><font color=teal>*Domon(KazutoAyamu) says: Hi. - Thu Oct  1 05:34:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hrm..roll like what? - Sat Oct  3 00:04:16 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: ... - Sat Oct  3 00:05:07 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So, about that proposition for knowledge?~ - Sat Oct  3 00:05:07 2015
<br><br><font color=teal>*Takeda Hideyoshi(Theodysseygamer) says: .............................................. - Sat Oct  3 00:05:58 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ............................... - Sat Oct  3 00:09:23 2015
<br><br><font color=teal>*Erebus(DhatBoiNick) says: We'll discuss this later. - Sat Oct  3 00:11:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So..! - Sat Oct  3 00:14:30 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What's up, friends?!~ - Sat Oct  3 00:16:12 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Hello. - Sat Oct  3 00:16:12 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: What are you doing? - Sat Oct  3 00:17:04 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Standing in a line. - Sat Oct  3 00:19:37 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You know what they say about lines? - Sat Oct  3 00:20:28 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: They usually lead to death. - Sat Oct  3 00:21:20 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Sometimes. - Sat Oct  3 00:21:20 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You really wanna take that chance? - Sat Oct  3 00:23:53 2015
<br><br><font color=teal>*Sabo(Chevy Impalla) says: ....What? - Sat Oct  3 00:24:44 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Are you suggesting that this line in particular is going to lead to death? - Sat Oct  3 00:24:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It could. - Sat Oct  3 00:25:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Think about it..what happens if a tiger just runs through here.. - Sat Oct  3 00:25:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Tigers are attracted to lines. - Sat Oct  3 00:25:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: That's why they have them on their bodies. - Sat Oct  3 00:26:27 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: It all makes sense. - Sat Oct  3 00:26:27 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: ... - Sat Oct  3 00:29:00 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) thinks: That does make sen- ... This guy is completely weird. What the hell is he even talking about. - Sat Oct  3 00:29:00 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: You certainly like to ramble. - Sat Oct  3 00:29:52 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) thinks: .. That mans way of speech, and fighting capablities always makes me want to smile. Almost anyways.  - Sat Oct  3 04:23:40 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Seriously hate when you do that. - Sat Oct  3 04:25:23 2015
<br><br><font color=teal>*Arnitanu(Brosis55) thinks: --- - Sat Oct  3 04:25:23 2015
<br><br><font color=teal>*Suitengu(KazutoAyamu) says: He is sooo dead. - Sat Oct  3 04:36:28 2015
<br><br><font color=teal>*Suitengu(KazutoAyamu) says: There is no way he can win. - Sat Oct  3 04:38:11 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Well that was fun to watch. - Sat Oct  3 05:02:04 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: Hnnggg - Sat Oct  3 05:02:04 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: HNNNNNNNNNNNNNNNNNNNNNNNGGGGGGGGGGG - Sat Oct  3 05:02:04 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: . . .Did I miss the good parts? - Sat Oct  3 05:02:56 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Uhhh.. - Sat Oct  3 05:02:56 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: We were... - Sat Oct  3 05:02:56 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: I don't know what we were going to do. - Sat Oct  3 05:02:56 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Are you alright? - Sat Oct  3 05:02:56 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: HNNGG! - Sat Oct  3 05:02:56 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: You missed him getting hit one time before the last. - Sat Oct  3 05:02:56 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: Not much different? - Sat Oct  3 05:03:47 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: Nothing different. - Sat Oct  3 05:03:47 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: ---- - Sat Oct  3 05:03:47 2015
<br><br><font color=teal>*Arnitanu(Brosis55) thinks: Money? - Sat Oct  3 05:03:47 2015
<br><br><font color=teal>*Arnitanu(Brosis55) thinks: ....Fuck. - Sat Oct  3 05:03:47 2015
<br><br><font color=teal>*Arnitanu(Brosis55) says: Hng... - Sat Oct  3 05:03:47 2015
<br><br><font color=teal>*Maloth(Gtgoku88) says: Is 'kay. . .Just tire liddle.. - Sat Oct  3 05:03:47 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: . . .What now? - Sat Oct  3 05:05:29 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I don't know. But this place is a wreck now, to say the least. - Sat Oct  3 05:05:29 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: That man certainly knows how to swing a hammer. - Sat Oct  3 05:05:29 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Oh.. - Sat Oct  3 05:05:29 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: You beat him up and took his money? - Sat Oct  3 05:05:29 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: That's pretty mean. - Sat Oct  3 05:06:20 2015
<br><br><font color=teal>*Lyala(BoyFlareon) says: Brother. - Sat Oct  3 05:06:20 2015
<br><br><font color=teal>*Reisen(BigBootyJudy) says: Okay then. . . - Sat Oct  3 05:07:12 2015
<br><br><font color=teal>*Ambrocio(XenoKuthric) says: Omit - - Sat Oct 10 03:36:19 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ill take the D rank - Sat Dec  5 23:47:12 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: yes - Sun Dec  6 00:05:58 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Eel - Sun Dec  6 00:09:23 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Gantai was given to me by seto - Sun Dec  6 00:09:23 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Electric man was given to me by zeno its my t2 lycan buff - Sun Dec  6 00:10:14 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: .... - Sun Dec  6 20:10:52 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Have...you two...seen Eiyu? - Sun Dec  6 20:10:52 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ... - Sun Dec  6 20:11:44 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: I see... - Sun Dec  6 20:11:44 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ... - Sun Dec  6 20:11:44 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: Thank...you - Sun Dec  6 20:11:44 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) walks over to the wall and leans on it* - Sun Dec  6 20:11:44 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: He's always so distant and only looking for Eiyu.... - Sun Dec  6 20:13:26 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ..... - Sun Dec  6 20:16:00 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) brought his right hand up to grab the zipper that held his coat closed and slowly turned his gaze to look at Kariudo. It may not look like it but he was cringing internally as someone was trying to interact with him.

"....." he stood quiet trying to think of something to say "...I..am..." he said with a pause better words and it is worth noting that he was wearing a coat with a very high chollar so his monotone voice would be muffled a bit "...He...has..to..make up...for something.." he continued as he stared at the female who had approached him.* - Sun Dec  6 20:19:24 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Sun Dec  6 20:21:58 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Are you trying to talk with uh, Akito? - Sun Dec  6 20:21:58 2015
<br><br><font color=teal>*Takuma(Brosis55) says: He's pretty anti-social. - Sun Dec  6 20:21:58 2015
<br><br><font color=teal>*Akito(KazutoAyamu) thinks: He understands... - Sun Dec  6 20:21:58 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...I'm antisocial too. - Sun Dec  6 20:22:49 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Antisocial party? - Sun Dec  6 20:22:49 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Akito is pretty isolated, he doesn't really talk with many people. Once every blue moon, he'll conversate. - Sun Dec  6 20:22:49 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) fiddled with his zipper a bit "....What..he said...and...sure...you..party....over...there...and I...party..over here........." coughs.* - Sun Dec  6 20:23:40 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: .....Hah. - Sun Dec  6 20:24:32 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Is that his version of fuck off? - Sun Dec  6 20:24:32 2015
<br><br><font color=teal>*Akito(KazutoAyamu) thinks: So vulgar... - Sun Dec  6 20:25:23 2015
<br><br><font color=teal>*Takuma(Brosis55) says: It's just his version of wanting to be left alone. - Sun Dec  6 20:25:23 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) Shook his head slowly then nodded even more slowly at Takumas comment.* - Sun Dec  6 20:25:23 2015
<br><br><font color=teal>*Akito(KazutoAyamu) thinks: He knows what's up. - Sun Dec  6 20:26:14 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Eh, might not be able to wait for him. - Sun Dec  6 20:27:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Takuma do you train? - Sun Dec  6 20:27:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: Course he trains. - Sun Dec  6 20:27:56 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: He's normal. - Sun Dec  6 20:27:56 2015
<br><br><font color=teal>*Akito(KazutoAyamu) thinks: Social interaction qouta met. - Sun Dec  6 20:27:56 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yeah, I train. - Sun Dec  6 20:27:56 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) pushed off the wall and walked south to disappear into the village.* - Sun Dec  6 20:27:56 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) walks back into the scene as he heard the word training
* - Sun Dec  6 20:30:30 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) scoots* - Sun Dec  6 20:31:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Well, I was wondering if you wanted to train before I left... but also I was wondering if you'd make sure Sogeki trains while I'm gone. - Sun Dec  6 20:31:21 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: He doesn't train at all apparently. - Sun Dec  6 20:32:12 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) scoot scoots* - Sun Dec  6 20:32:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ... - Sun Dec  6 20:32:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) thinks: That's sort of cute. - Sun Dec  6 20:32:12 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Sun Dec  6 20:32:12 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Well, Sogeki is pretty strong. - Sun Dec  6 20:32:12 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...I kick his ass all the time. - Sun Dec  6 20:33:04 2015
<br><br><font color=teal>*Takuma(Brosis55) says: -- - Sun Dec  6 20:33:04 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Word? - Sun Dec  6 20:33:04 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) coughs* - Sun Dec  6 20:33:04 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ...Un..true... - Sun Dec  6 20:33:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ...Akito-san that time doesn't count. - Sun Dec  6 20:33:04 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: He used his poison. - Sun Dec  6 20:33:04 2015
<br><br><font color=yellow>*Akito(KazutoAyamu) Coughs once again "....You..used...string...or..something..."* - Sun Dec  6 20:33:55 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Yo, string? - Sun Dec  6 20:33:55 2015
<br><br><font color=teal>*Takuma(Brosis55) says: What kind of string? - Sun Dec  6 20:33:55 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: ....all he has to do is cut me -once- with the poison and I've lost. - Sun Dec  6 20:33:55 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: --- - Sun Dec  6 20:33:55 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Like, do you mean wires? - Sun Dec  6 20:34:46 2015
<br><br><font color=teal>*Engi, Kariudo(-Assassin.R-) says: Crafty string. - Sun Dec  6 20:34:46 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: .... - Sun Dec  6 20:34:46 2015
<br><br><font color=teal>*Akito(KazutoAyamu) says: ....It came from...inside of her mouth... - Sun Dec  6 20:34:46 2015
