<br><font color=teal>*Kilm(Vysasi) says: Tell him I've found Ushi's will . . . - Sun Oct  4 16:56:44 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: -omit- - Sun Oct  4 17:24:54 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Where do you think I can get 50 million yen from? - Sun Oct  4 17:24:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Hm. - Sun Oct  4 17:24:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Well. - Sun Oct  4 17:24:54 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: There's an easy method. - Sun Oct  4 17:25:45 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: You'd probably get a free promotion for it as well. - Sun Oct  4 17:25:45 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: But you'll oppose it. - Sun Oct  4 17:25:45 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And what's that? - Sun Oct  4 17:25:45 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Continue Noriko's witch hunt. - Sun Oct  4 17:25:45 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Eh, so. . . About a katana from the Gezo? - Sun Oct  4 17:25:45 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: And send the bodies to the Gezo. - Sun Oct  4 17:25:45 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Sir Hassan who do I give this money to for the construction of rebuilding and  furnishing the church... - Sun Oct  4 17:26:36 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Witch hunt? - Sun Oct  4 17:26:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: That goes against what the village stands for. - Sun Oct  4 17:26:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Exactly. - Sun Oct  4 17:26:36 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Give it to an investor. - Sun Oct  4 17:26:36 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Would you accept. - Sun Oct  4 17:27:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Shinobi Donations? - Sun Oct  4 17:27:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: OR constructor. - Sun Oct  4 17:27:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: No. - Sun Oct  4 17:27:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: How much do you need? - Sun Oct  4 17:27:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: This is a village, not a charity case. - Sun Oct  4 17:27:28 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) thinks: A baptism tub, holy water supply, a bible for every member ... My attendence will skyrocket - Sun Oct  4 17:27:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I mean, Isn't it natural I'm a shinobi of this Village. - Sun Oct  4 17:28:19 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'd like to donate some funds to help it get back on it's feet. - Sun Oct  4 17:28:19 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I won't take anything from you guys. - Sun Oct  4 17:28:19 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Thats like a father taking money from his kid. - Sun Oct  4 17:28:19 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Completely out of the question. - Sun Oct  4 17:28:19 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: I'll buy you a years supply of cigarrettes. - Sun Oct  4 17:29:10 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: And this entire conversation started just because I asked about a katana. Sheesh. - Sun Oct  4 17:29:10 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: *cough* - Sun Oct  4 17:29:10 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: As good as that sounds...I will have to decline. - Sun Oct  4 17:29:10 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: You left me behind. - Sun Oct  4 17:29:10 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Hm? - Sun Oct  4 17:29:10 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Well I think I should start on that construction... - Sun Oct  4 17:30:01 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You were safer back in Kirigakure. - Sun Oct  4 17:30:01 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Plus Koeki is really angry. - Sun Oct  4 17:30:01 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: This is actually the safest place right now. - Sun Oct  4 17:30:01 2015
<br><br><font color=teal>*Lera(Bailey42) says: I don't blame her. Everyone has upped and left, come here instead. - Sun Oct  4 17:30:01 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: She wants all Kiri ninja back in the village. - Sun Oct  4 17:30:01 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: She wrote me a letter. - Sun Oct  4 17:30:01 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: All caps. - Sun Oct  4 17:30:01 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Bold. - Sun Oct  4 17:30:01 2015
<br><br><font color=teal>*Lera(Bailey42) says: Anyway... - Sun Oct  4 17:30:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Pops... - Sun Oct  4 17:30:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: I got something real important to tell you... - Sun Oct  4 17:30:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Pops? - Sun Oct  4 17:30:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Well, you're basically my dad now. - Sun Oct  4 17:30:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: So pops. - Sun Oct  4 17:30:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) thinks: She's definitely gotten bolder. - Sun Oct  4 17:30:52 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) thinks: She used to be too shy to speak... - Sun Oct  4 17:30:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Anyways.. - Sun Oct  4 17:30:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: Reaaaall important. - Sun Oct  4 17:30:52 2015
<br><br><font color=teal>*Lera(Bailey42) says: ..... - Sun Oct  4 17:34:17 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Did he just pretend I didn't say anything? - Sun Oct  4 17:35:08 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: I'm backing off . . . - Sun Oct  4 17:35:08 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: U-Uh.... - Sun Oct  4 17:37:42 2015
<br><br><font color=teal>*Lyan, Bryson(Ninjagangster90210) says: Well this has become dangerous *Medic on standby - Sun Oct  4 17:38:33 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: ...What? - Sun Oct  4 17:49:39 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: I'll have to remember that when I actually do get pregnant... - Sun Oct  4 17:49:39 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I want to marry Seisuke. - Sun Oct  4 17:49:39 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) whispers: How am I supposed to give you away... - Sun Oct  4 17:49:39 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) whispers: You're my little girl and you want to grow up so fast, you should get married at 35, when you're nice and mature. - Sun Oct  4 17:50:30 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Hehehe, Thankyou. Your words...mean a lot to me. - Sun Oct  4 17:51:21 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: But it doesn't have to be right now. A few years maybe....but, I want it to be official while I'm still alive. - Sun Oct  4 17:51:21 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) whispers: I told him the conditions of marriage. - Sun Oct  4 17:51:21 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: What were they...? - Sun Oct  4 17:52:12 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) whispers: He has to prove hmself basically, if he can truely prove himself then i'll happily give you away... - Sun Oct  4 17:53:04 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) whispers: I can't tell you the details. - Sun Oct  4 17:53:55 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Right... - Sun Oct  4 17:53:55 2015
<br><br><font color=teal>*Lera(Bailey42) says: *sigh* - Sun Oct  4 17:53:55 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: I guess thats better than nothing. - Sun Oct  4 17:53:55 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Lord Hassan, im returning to Kirigakure - Sun Oct  4 17:53:55 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Safe travels. - Sun Oct  4 17:53:55 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Same. - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Make sure you use protection. - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Good luck with Sunagakure, Hassan-sama. - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Alright Violet? - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You too. - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Both of you. - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Use protection. - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: ...  - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Your parents that raised you. - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: . - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Don't want you getting pregnant. - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) says: Ok??? - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: --- - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*Lera(Bailey42) says: .... - Sun Oct  4 17:54:46 2015
<br><br><font color=teal>*Lera(Bailey42) thinks: Wow, I must have really shook him up. - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*De la Cruze, Violet(Jarrodhun20) thinks: Where the fuck did that come from? - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . .  - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'm gonna put some signs up.. - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: All the women are leaving? - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Bummer. - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Taiga. - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: None of that talk. - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hassan, you got some time to answer a question? - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You would be the last one to use protection. - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I'm sixteen, what do you expect sir? - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: So wrap it up. - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Or I cut it off. - Sun Oct  4 17:55:37 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Sure Yan. - Sun Oct  4 17:56:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: Ducktape works the best. - Sun Oct  4 17:56:28 2015
<br><br><font color=teal>*Yukimura, Seisuke(Jjking218) says: -omit- - Sun Oct  4 17:56:28 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Why are you all here? Why did you leave Kirigakure? - Sun Oct  4 17:56:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I was asking the same question. - Sun Oct  4 17:56:28 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I came here because I had a responsibility to uphold. - Sun Oct  4 17:57:20 2015
<br><br><font color=teal>*Lera(Bailey42) says: I followed this guy/ - Sun Oct  4 17:57:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I repaired this village and so on so forth. - Sun Oct  4 17:57:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: If you wanna know my story read my book. - Sun Oct  4 17:57:20 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Koeki sent me here to bring you guys back. . . - Sun Oct  4 17:57:20 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: But there are quite a few Kiri shinobi here. - Sun Oct  4 17:57:20 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Who in particular? - Sun Oct  4 17:58:11 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Koeki also sent me a letter. - Sun Oct  4 17:58:11 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) says: Me and Violet are returning. - Sun Oct  4 17:58:11 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: All caps and bold. - Sun Oct  4 17:58:11 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: So Kirigakure has some of it's problems as well. - Sun Oct  4 17:58:11 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: All of you, Setsuko. - Sun Oct  4 17:58:11 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: She says and I quote: "Hal their asses back to Kiri for me please!" - Sun Oct  4 17:58:11 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Those who don't come, shall be hunted down personally by her. . . - Sun Oct  4 17:58:11 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Also. - Sun Oct  4 17:59:02 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: .... - Sun Oct  4 17:59:02 2015
<br><br><font color=teal>*Nakahara, Setsuko(TheOfficialMidknights) thinks: Dang.. - Sun Oct  4 17:59:02 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I think Kirie went rougue. - Sun Oct  4 17:59:02 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Kirie? I don't think I've met her. - Sun Oct  4 17:59:02 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: She's been gone for weeks. - Sun Oct  4 17:59:02 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: ...You're gonna send me back aren't you... - Sun Oct  4 17:59:02 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: She's native to Kirigakure. - Sun Oct  4 17:59:02 2015
<br><br><font color=teal>*Hogo, Ikaro(EvolutionMe) says: Alright. - Sun Oct  4 17:59:02 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) whispers: You don't belong here, it isn't safe. - Sun Oct  4 17:59:02 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: No-where is safe. - Sun Oct  4 17:59:53 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: And you still owe me lessons pops. - Sun Oct  4 17:59:53 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: I can hear all their whispers. - Sun Oct  4 17:59:53 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) whispers: Lessons? - Sun Oct  4 17:59:53 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: Yup. - Sun Oct  4 17:59:53 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) whispers: I've taught you nearly everything I know. - Sun Oct  4 17:59:53 2015
<br><br><font color=teal>*Lera(Bailey42) whispers: You haven't taught me anything for months and I doubt it! - Sun Oct  4 17:59:53 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) whispers: Everything benefitial to your fighting style. - Sun Oct  4 17:59:53 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I'm not coming back.. - Sun Oct  4 18:01:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..... - Sun Oct  4 18:01:36 2015
<br><br><font color=teal>*Lera(Bailey42) says: ...*sigh* i'll go back if I have to. - Sun Oct  4 18:01:36 2015
