<br><font color=teal>*Al-Saachez, Kirie(AxelFraire) says: Who is he? - Wed Oct  7 17:40:41 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...Your tales of the elite five has made me decide to take Tetsumi alongside us. I honestly hadn't considered him until you questioned lera. - Wed Oct  7 18:34:27 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Lera is strong, but Tetsumi is a jounin. He'd be the best choice. - Wed Oct  7 18:35:18 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Do as you please. - Wed Oct  7 18:35:18 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Just gett the mission done in a timely manner. - Wed Oct  7 18:36:09 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Yessir. - Wed Oct  7 18:36:09 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Sir, do you know the Shadow Clone technique? - Wed Oct  7 18:37:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I am looking to learn it... - Wed Oct  7 18:37:00 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: No I don't. - Wed Oct  7 18:37:00 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: There are plenty of people that do. I will find someone. - Wed Oct  7 18:40:25 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . . . - Wed Oct  7 18:41:16 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I was considering writing my will.. - Wed Oct  7 18:42:08 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Well that's dark. - Wed Oct  7 18:42:08 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Well all the people who would inherit my things are dead. - Wed Oct  7 18:42:59 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: And even darker. - Wed Oct  7 18:42:59 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: What's father planning?....To write a will... - Wed Oct  7 18:42:59 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Koeki was supposed to inherit everything because she was the last of 5 . - Wed Oct  7 18:42:59 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: But now that she's gone, I hae no one to hand things off to, so I think i'll rewrite it... - Wed Oct  7 18:43:50 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Hassan, I think we should shut the village down and not allow new people to flow in. - Wed Oct  7 18:46:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Fujitora. - Wed Oct  7 18:46:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I want you to begin studying law. - Wed Oct  7 18:47:15 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: I was Police Head for years... - Wed Oct  7 18:47:15 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Okay. - Wed Oct  7 18:47:15 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I want you to join the council. - Wed Oct  7 18:47:15 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You can stay retired as a councilmember. - Wed Oct  7 18:48:06 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Coucilmember and Sushi Bar owner...Hmm.. - Wed Oct  7 18:48:06 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: You get paid good money. - Wed Oct  7 18:48:06 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Very well then father.. - Wed Oct  7 18:48:06 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: And you stay on top of ninja business. - Wed Oct  7 18:48:06 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: That's the only issue...Oh well.. - Wed Oct  7 18:48:57 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: I don't want you becoming a hermit. - Wed Oct  7 18:48:57 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: I see.. - Wed Oct  7 18:48:57 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...Alastor. - Wed Oct  7 18:49:48 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Hm? - Wed Oct  7 18:49:48 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: You aren't Baen hiding behind a veil are you? - Wed Oct  7 18:49:48 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: ....WHat? - Wed Oct  7 18:49:48 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: The dude you were looking for yesterday...? - Wed Oct  7 18:50:40 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) thinks: Coucil...Means I'll have to get involved with shinobi business...Shit... Got dragged in on the slick.. - Wed Oct  7 18:50:40 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Don't play stupid with me. You helped him in battle when I fought him. - Wed Oct  7 18:50:40 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: The hell are you talking about? - Wed Oct  7 18:51:31 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . . . - Wed Oct  7 18:51:31 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Baen scares me. - Wed Oct  7 18:51:31 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Mostly because he wants to kill me. - Wed Oct  7 18:51:31 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: And can. - Wed Oct  7 18:51:31 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I know for a fact that, even though he took a disguise of you yesterday and infiltrated teh village, that you were there yesterday and you attacked my clone thinking it was me. - Wed Oct  7 18:52:22 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Hold up. Someone was disguised as me...? - Wed Oct  7 18:53:13 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ..... - Wed Oct  7 18:53:13 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: DId he manipulate sand? - Wed Oct  7 18:54:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He used long range ninjutsu, something that Baen doesn't do. - Wed Oct  7 18:54:04 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Baen is specifically a taijutsu fighter. - Wed Oct  7 18:54:04 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: If he's a taijutsu figher, how did him disguised as me even help? I'm a Manipulator. Dead give-away. - Wed Oct  7 18:54:56 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Tetsumi, do you want to detain this guy? I don't have any techniques to capture, only to kill. - Wed Oct  7 18:56:38 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Mhmm...Who again? - Wed Oct  7 18:56:38 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Who again?.. - Wed Oct  7 18:56:38 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Ah. So the chuunin is angry he got duped, so he'll make false charges. Got it. - Wed Oct  7 18:56:38 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: How are you even a shinobi again? - Wed Oct  7 18:56:38 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Oh yeah.. - Wed Oct  7 18:57:29 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Alastor attacked me from behind during my fight with Baen. - Wed Oct  7 18:57:29 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Soo... Can you explain yourself on that..issue Alastor? - Wed Oct  7 18:57:29 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I should kill him, but instead, I'll let Hassan deal with him. - Wed Oct  7 18:57:29 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: That's a serious crime, ya'know. - Wed Oct  7 18:57:29 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: If it was behind like he said, how would he know? - Wed Oct  7 18:57:29 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Don't play games. - Wed Oct  7 18:58:20 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: I've known Yan for some time now, one thing he doesn't do is lie. - Wed Oct  7 18:58:20 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Obviously he's mistaken then. - Wed Oct  7 18:59:12 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: If one man was disguised as me, why not two? - Wed Oct  7 18:59:12 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm... - Wed Oct  7 18:59:12 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I'm more curious how the man was disguised as me... - Wed Oct  7 18:59:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Because he came from within the village.  - Wed Oct  7 18:59:12 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Several foreigners were here last night. - Wed Oct  7 18:59:12 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: That would be impossible given our guards. - Wed Oct  7 18:59:12 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: That Sui-whatever, the man with a giant fan, and several others. - Wed Oct  7 19:00:03 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Suitengu was gone before, and so was Kirie. We will find out if you are telling the truth when you are detained for questioning. - Wed Oct  7 19:00:03 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: So you lose a fight and need a patsy. - Wed Oct  7 19:00:54 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Gotcha. - Wed Oct  7 19:00:54 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If I am wrong, I'll offer apologies. But I can't have an assassin looking to kill me. - Wed Oct  7 19:00:54 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Walk around freely. - Wed Oct  7 19:00:54 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: And while I am wrongfully imprisoned, one will be doing just that. - Wed Oct  7 19:01:45 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ....We will see. - Wed Oct  7 19:01:45 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: .... - Wed Oct  7 19:01:45 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Shinobi... - Wed Oct  7 19:02:36 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Fujitora, you've been head of the police for a while. Do you have a method of getting information from ninja? - Wed Oct  7 19:06:01 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) thinks: Mhmm...That was Edge's job. - Wed Oct  7 19:06:01 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Mhm..It requires one to be captured or willingly co-operate though.. - Wed Oct  7 19:06:52 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Of course I'm willing. - Wed Oct  7 19:06:52 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I assume this is a Fuuinjutsu? - Wed Oct  7 19:06:52 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) thinks: ........Am I wrong? - Wed Oct  7 19:06:52 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: I will gladly work to clear my name. Especially if someone is masquerading as me. - Wed Oct  7 19:07:44 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: Okay.. - Wed Oct  7 19:08:35 2015
<br><br><font color=teal>*Alastor(LordxPatrick) says: Yes. - Wed Oct  7 19:14:33 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: ..... - Wed Oct  7 19:17:58 2015
<br><br><font color=teal>*Ryujin, Fujitora(Tre sanders) says: ... - Wed Oct  7 19:17:58 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I think we should let Hassan dish out his punishment. - Wed Oct  7 19:26:30 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Mhmm..Where to? - Wed Oct  7 19:29:55 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: The jail. - Wed Oct  7 19:31:37 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Might use him later on if I am allowed... Perfect..  - Wed Oct  7 19:33:20 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: If he was guilty....why would he come back and try to get away with it? - Wed Oct  7 19:34:11 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I almost doubted myself. - Wed Oct  7 19:34:11 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: ...Taiga, is it? - Wed Oct  7 20:10:01 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Nevermind.. - Wed Oct  7 20:11:44 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Izanami. - Wed Oct  7 20:11:44 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . .  - Wed Oct  7 20:14:17 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Need something? - Wed Oct  7 20:14:17 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: There is a ninja named Jirun Lanzi, an apparent refugee from Mist, I'd like you to investigate and ensure he's not trying to do anything. - Wed Oct  7 20:15:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: I'll have Hassan reward you for it. - Wed Oct  7 20:15:08 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: What does he look like? - Wed Oct  7 20:15:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: White hair, light clothes. Around 12 to 14. - Wed Oct  7 20:15:08 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I see, understood. - Wed Oct  7 20:15:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: He was standing around near east of here. - Wed Oct  7 20:15:08 2015
<br><br><font color=teal>*Yan(Enigmatic_Subsistence) says: Thanks. - Wed Oct  7 20:16:00 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) nods and heads over to the east.* - Wed Oct  7 20:16:00 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I can not find the boy. - Wed Oct  7 20:16:51 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ..... - Wed Oct  7 20:19:24 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ..... - Wed Oct  7 20:22:49 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: What's it. - Wed Oct  7 20:22:49 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ....  - Wed Oct  7 20:24:32 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I see.. - Wed Oct  7 20:24:32 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: So you need to come inside. And get yourself checked out?  - Wed Oct  7 20:24:32 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I have no permission for you yet.  - Wed Oct  7 20:25:23 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mmmh.. - Wed Oct  7 20:26:14 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I can go in, ask him? - Wed Oct  7 20:26:14 2015
<br><br><font color=teal>*Suitengu(XenoKuthric) says: I'll let you know when I can get checked. - Wed Oct  7 20:27:56 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Wed Oct  7 20:27:56 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Sure.. - Wed Oct  7 20:27:56 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ... - Wed Oct  7 20:32:12 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Old man is sleeping.  - Wed Oct  7 20:32:12 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Greetings once more/ - Wed Oct  7 21:05:29 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Hello again. - Wed Oct  7 21:05:29 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Mizora. - Wed Oct  7 21:08:03 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: You? - Wed Oct  7 21:08:03 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Mirai. - Wed Oct  7 21:08:54 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Nice to meet you, Mirai. - Wed Oct  7 21:08:54 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Pleasure to meet you as well. - Wed Oct  7 21:09:45 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Women are crowding this place now. - Wed Oct  7 21:14:01 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: We're going to be taken over, oh god. - Wed Oct  7 21:14:01 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: Well... this Koji guy's trained you regardless. I haven't received training from anyone. I'd drag you down in a spar. - Wed Oct  7 21:19:08 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Nonsense. I'm still pretty raw. . Unless you don't know any of our techniques at all? - Wed Oct  7 21:20:00 2015
<br><br><font color=teal>*Hokuma, Mizora(Them Yams Salty Fam) says: I only know how to use our clan's fighting style, as well as our doujutsu, of course. - Wed Oct  7 21:21:42 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Same as me then/ - Wed Oct  7 21:22:33 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Should they really be speaking about this stuff out in the open? - Wed Oct  7 21:22:33 2015
<br><br><font color=teal>*Hokuma, Mirai(Rakkatta) says: Come. Let us spar to battle ourselves. - Wed Oct  7 21:22:33 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Tetsumi. - Wed Oct  7 22:27:24 2015
<br><br><font color=teal>*Tetsumi Jiki(Bloodline Killer X) says: Yes? - Wed Oct  7 22:27:24 2015
<br><br><font color=teal>*Muhhamed Hassan(Ziare1) says: Come with me. - Wed Oct  7 22:27:24 2015
