<br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Doesn't even share. - Sun Oct  4 23:52:19 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: Therefore... I must become stronger... more youthful! - Mon Oct  5 00:00:00 2015
<br><br><font color=teal>*Kang Tetsu(Chaos Commander2015) says: Hm. - Mon Oct  5 00:00:00 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Hey I think there is something serouily wrong with Jumpman. - Mon Oct  5 00:02:33 2015
<br><br><font color=teal>*Trilliam(VantetheGreat) says: Like just look at him. - Mon Oct  5 00:03:24 2015
<br><br><font color=teal>*Sabara, Izutora(Get Jazzy) thinks: -omit- - Mon Oct  5 00:05:07 2015
<br><br><font color=teal>*Ryujin, Izanami(Twerk_Tyrant) says: I'd like a mission aswell, pleaaase. - Mon Oct  5 00:07:40 2015
<br><br><font color=teal>*Kilm(Vysasi) says: New guy, What's your name? - Mon Oct  5 15:54:52 2015
<br><br><font color=teal>*Learius(Josh1220) says: Learius. - Mon Oct  5 15:55:44 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Learius, Want to come train with us? - Mon Oct  5 15:55:44 2015
<br><br><font color=teal>*Learius(Josh1220) says: Sure, I guess. - Mon Oct  5 15:56:35 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Alright, Follow us. - Mon Oct  5 15:56:35 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Ugh, training. - Mon Oct  5 15:57:26 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) blinks, surprised everyone was heading to the same spot. ''. . .''* - Mon Oct  5 15:58:17 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Well that happened. - Mon Oct  5 15:58:17 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) stood outside the house, reading an obscene magazine.* - Mon Oct  5 16:17:55 2015
<br><br><font color=teal>*Kilm(Vysasi) says: What jutsu? - Mon Oct  5 16:26:27 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Chakra scalpels. Zetsumo wanted me to learn this a while back. But I am still testing it. No worries. I can heel you if you get hurt.  - Mon Oct  5 16:30:43 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: heal* - Mon Oct  5 16:30:43 2015
<br><br><font color=teal>*Kilm(Vysasi) says: . . . - Mon Oct  5 16:30:43 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ...? So? - Mon Oct  5 16:32:25 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) would probably laugh his ass off and eat popcorn if he was there.* - Mon Oct  5 16:33:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: If...it makes you feel any better, no lock or walls in the world can hold me. - Mon Oct  5 16:35:50 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: To enter or not to enter. - Mon Oct  5 16:37:32 2015
<br><br><font color=teal>*Kilm(Vysasi) says: We should really get to know you, Learius. - Mon Oct  5 16:49:29 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) yawned, he had nothing better to do. ''I swear they went to this direction. .  Are they in that place of Zenaki?'' He frowned for a moment but then walked over to the house and went inside by any means necessary.

''. . '' Taiga reached the entrance to the basement, but noticed that it was locked. ''Oh boy, got a bad feeling about this one.'' Though he didn't do anything, he'd wait for the screams first.* - Mon Oct  5 16:49:29 2015
<br><br><font color=teal>*Kilm(Vysasi) says: There is no one creepier than you, Zenaki. - Mon Oct  5 16:52:03 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. Mmm.. Looks powerfull. - Mon Oct  5 16:58:01 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) closed his eyes for a moment and took a deep breath. Sweating just a bit as he listened in on the screams, of course he had no idea what was going on. And he was afraid of showing himself. ''. . .Eh, uhm . ''* - Mon Oct  5 16:59:44 2015
<br><br><font color=teal>*Kilm(Vysasi) says: So . . . What can you do, Learius? - Mon Oct  5 17:06:33 2015
<br><br><font color=teal>*Learius(Josh1220) says: I tend to hold back a lot of my words. - Mon Oct  5 17:06:33 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Fighting wise . . . What can you do? - Mon Oct  5 17:06:33 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Well the screams stopped, things must be okay. . - Mon Oct  5 17:07:24 2015
<br><br><font color=teal>*Learius(Josh1220) says: Well.. My fire jutsu is very strong.. I have the ability to use storm release.. And I kinda have a little affinity for Earth... - Mon Oct  5 17:09:58 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Storm release hm? Great. - Mon Oct  5 17:10:49 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: What's that bumping sound I hear? - Mon Oct  5 17:10:49 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Should I knock? Hm.  - Mon Oct  5 17:13:23 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Do not give her your blood. - Mon Oct  5 17:14:14 2015
<br><br><font color=teal>*Kilm(Vysasi) says: That's the same as asking me to give her my blood. - Mon Oct  5 17:14:14 2015
<br><br><font color=teal>*Kilm(Vysasi) says: . . . I wouldn't be surprised if you were a distant or close relative towards me since I have no idea what my family is or was. - Mon Oct  5 17:14:14 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) gently knocks on the basement door. ''Might as well. . ''* - Mon Oct  5 17:14:14 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Mon Oct  5 17:15:05 2015
<br><br><font color=teal>*Learius(Josh1220) says: I do not see myself being able to stop her from taking it, besides you just shoved me into this experiment. Why should I listen to you? - Mon Oct  5 17:15:56 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Because I'm getting you out of it. - Mon Oct  5 17:15:56 2015
<br><br><font color=teal>*Learius(Josh1220) says: Too late it already happened did it not? - Mon Oct  5 17:15:56 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Was only a cut . . . It's healed now . . .  - Mon Oct  5 17:16:48 2015
<br><br><font color=teal>*Kilm(Vysasi) says: The true experiment would be you giving her your blood. - Mon Oct  5 17:16:48 2015
<br><br><font color=teal>*Learius(Josh1220) says: Only a cut? - Mon Oct  5 17:16:48 2015
<br><br><font color=teal>*Learius(Josh1220) says: Maybe you should ask her to do it to you so you see how it feels? - Mon Oct  5 17:16:48 2015
<br><br><font color=teal>*Kilm(Vysasi) says: I will consider it. - Mon Oct  5 17:16:48 2015
<br><br><font color=teal>*Kilm(Vysasi) says: As for your elements . . .  - Mon Oct  5 17:16:48 2015
<br><br><font color=teal>*Kilm(Vysasi) says: They're exactly the same as mine. - Mon Oct  5 17:16:48 2015
<br><br><font color=teal>*Learius(Josh1220) says: No, do it now. - Mon Oct  5 17:17:39 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Considering that you have storm release. - Mon Oct  5 17:17:39 2015
<br><br><font color=teal>*Learius(Josh1220) says: As in right now. - Mon Oct  5 17:17:39 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Naw . . . I'm not doing it. - Mon Oct  5 17:17:39 2015
<br><br><font color=teal>*Kilm(Vysasi) says: These arms had enough trouble recently. - Mon Oct  5 17:17:39 2015
<br><br><font color=teal>*Kilm(Vysasi) says: . . . I almost lost them. - Mon Oct  5 17:17:39 2015
<br><br><font color=teal>*Learius(Josh1220) says: Then I see no reason to withold my blood. - Mon Oct  5 17:17:39 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Fine, Zenaki, Cut me. - Mon Oct  5 17:17:39 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Zenaki. - Mon Oct  5 17:19:21 2015
<br><br><font color=teal>*Kilm(Vysasi) says: You had your fun with fujitora recently . . . Should be enough for the month. - Mon Oct  5 17:19:21 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Not reallgy. - Mon Oct  5 17:19:21 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: really* - Mon Oct  5 17:20:12 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: I know what she's going to do . . . That explosion fist that she destroyed my side with yesterday. - Mon Oct  5 17:21:04 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) knocked on the basement door once more, less gentle this time though. ''Maybe they didn't notice the first time?''* - Mon Oct  5 17:21:04 2015
<br><br><font color=teal>*Zenaki(Kumaki) thinks: Who in the world, dares to knock. - Mon Oct  5 17:21:55 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Former? - Mon Oct  5 17:23:37 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Work. On. Your social skills. - Mon Oct  5 17:23:37 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Friendly warnings, hm? - Mon Oct  5 17:23:37 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Someone's feeling confident today. - Mon Oct  5 17:24:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Oh? - Mon Oct  5 17:24:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I'm trying not to kill you. - Mon Oct  5 17:24:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: I like you. - Mon Oct  5 17:24:28 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Stop...puffing....your -chest-. - Mon Oct  5 17:24:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: My chest? You need more -puff- in it then I do. - Mon Oct  5 17:25:20 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: Nope . . . - Mon Oct  5 17:25:20 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: Okay . . . Time to bet. - Mon Oct  5 17:25:20 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: Her explosion jutsu to my side . . . Then Zenaki cuts me in the right arm. - Mon Oct  5 17:26:11 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: Then I get pushed to the side. - Mon Oct  5 17:26:11 2015
<br><br><font color=teal>*Kilm(Vysasi) thinks: Mhm . . . Greatest idea to stand in between them. - Mon Oct  5 17:26:11 2015
<br><br><font color=teal>*Learius(Josh1220) thinks: Hmm.. If he dies to them, then he wont have to worry what happens to my blood. - Mon Oct  5 17:26:11 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Please don't fight. - Mon Oct  5 17:27:02 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) can't believe these two don't have back problems.* - Mon Oct  5 17:27:53 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: ....Fine. - Mon Oct  5 17:28:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Anyway, since I don't like peoples' tones..... - Mon Oct  5 17:28:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: We should leave. - Mon Oct  5 17:28:44 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Don't break my door. - Mon Oct  5 17:28:44 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: That's my advice anyway. 'I' am leaving either way. - Mon Oct  5 17:29:36 2015
<br><br><font color=teal>*Kilm(Vysasi) says: . . . Yeah. - Mon Oct  5 17:29:36 2015
<br><br><font color=teal>*Kilm(Vysasi) says: It's best I leave as well . . . Maybe you too Learius. - Mon Oct  5 17:31:18 2015
<br><br><font color=teal>*Learius(Josh1220) says: You didnt get cut yet - Mon Oct  5 17:31:18 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Fine . . . Cut me Zenaki - Mon Oct  5 17:31:18 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Cause this guy will give you blood if you don't cut me. - Mon Oct  5 17:33:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Good. - Mon Oct  5 17:33:00 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Cut me? - Mon Oct  5 17:33:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Then I will not cut you. - Mon Oct  5 17:33:00 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Fuck. - Mon Oct  5 17:33:00 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) just looked on as Katsune left, now looking into the basement to see nothing was wrong. ''. . . So, why did I hear screams?'' He'd ask, entering the room.* - Mon Oct  5 17:33:00 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Or can I have your blood? - Mon Oct  5 17:33:00 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Nope. Can't have it. - Mon Oct  5 17:33:52 2015
<br><br><font color=teal>*Learius(Josh1220) says: First. - Mon Oct  5 17:33:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Says me. The 'boss'. - Mon Oct  5 17:33:52 2015
<br><br><font color=teal>*Learius(Josh1220) says: Why do you want it? - Mon Oct  5 17:33:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Boy. Don't give this woman what she wants. - Mon Oct  5 17:33:52 2015
<br><br><font color=teal>*Katsune(Shimizu3598) says: Maybe you don't have reason to tell her no but we do. - Mon Oct  5 17:33:52 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: . . . He sure had a nope face. - Mon Oct  5 17:34:43 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Taiga, Leave and don't look back. - Mon Oct  5 17:34:43 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . . So, the training didn't work out? - Mon Oct  5 17:34:43 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Mon Oct  5 17:34:43 2015
<br><br><font color=teal>*Kilm(Vysasi) says: The training did not work out. - Mon Oct  5 17:35:34 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: I'm so confused right now. - Mon Oct  5 17:35:34 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Uhm, Zenaki. .  Is everything alright? - Mon Oct  5 17:35:34 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I'm fine. - Mon Oct  5 17:36:25 2015
<br><br><font color=teal>*Kilm(Vysasi) says: Do not provoke her, Taiga. - Mon Oct  5 17:36:25 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Why are you guys scared? - Mon Oct  5 17:37:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I didn't do anything? - Mon Oct  5 17:37:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: If I wanted. I would've done it already/ - Mon Oct  5 17:37:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .* - Mon Oct  5 17:37:16 2015
<br><br><font color=teal>*Katsune(Shimizu3598) thinks: Amateurs. . . - Mon Oct  5 17:37:16 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Eh, right.  . - Mon Oct  5 17:37:16 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Could you explain to me what happened Zenaki? - Mon Oct  5 17:37:16 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) did not give a fuck about the others walking away.* - Mon Oct  5 17:37:16 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I dunno. - Mon Oct  5 17:38:08 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I asked if I could get the new guys blood. - Mon Oct  5 17:38:08 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: And they just freaked out. - Mon Oct  5 17:38:08 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . . Why? - Mon Oct  5 17:38:08 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Why would you want his blood? - Mon Oct  5 17:38:08 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: He has good DNA. - Mon Oct  5 17:38:08 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: What do you intend to do with his DNA? - Mon Oct  5 17:38:08 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Put it in others? - Mon Oct  5 17:38:08 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: You know. The experiments. - Mon Oct  5 17:38:59 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Does that even work? - Mon Oct  5 17:38:59 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I mean when I look around, I can only see failed experiments. .  - Mon Oct  5 17:38:59 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I don't know. - Mon Oct  5 17:38:59 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: .. - Mon Oct  5 17:38:59 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: That's why I experiment. - Mon Oct  5 17:38:59 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I got to test things. Before I know if something works. - Mon Oct  5 17:39:50 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Has there ever been a success? - Mon Oct  5 17:39:50 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Yea. Ofcourse. - Mon Oct  5 17:39:50 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Really? Like what? - Mon Oct  5 17:39:50 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I did puppy DNA in one of the prisonners. - Mon Oct  5 17:39:50 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: He was loyal like hell. - Mon Oct  5 17:39:50 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Anything more useful. .  Like the good DNA? - Mon Oct  5 17:40:41 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Something with Fujitora. Seems like it didn't work, though. - Mon Oct  5 17:40:41 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Kilm wanted to get stronger quickly, wouldn't helping Zenaki and her experiments be a way to do that? - Mon Oct  5 17:40:41 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: What did you try on Fujitora? - Mon Oct  5 17:40:41 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I put DNA in him. I do not know what kinda DNA even. But it looked good one from who it was.  - Mon Oct  5 17:41:32 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: So. - Mon Oct  5 17:41:32 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: But it didn't work. - Mon Oct  5 17:41:32 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Sadly. - Mon Oct  5 17:41:32 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I see. - Mon Oct  5 17:41:32 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: And some eye transplants. - Mon Oct  5 17:42:24 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Nothing more. - Mon Oct  5 17:42:24 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Eye transplants? - Mon Oct  5 17:42:24 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Yet. - Mon Oct  5 17:42:24 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Yea. You know. Giving a guy another eye. - Mon Oct  5 17:42:24 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Oh. - Mon Oct  5 17:42:24 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Hm.. - Mon Oct  5 17:43:15 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Yea that. - Mon Oct  5 17:43:15 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: As in somebody who needs an eye? - Mon Oct  5 17:43:15 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm. - Mon Oct  5 17:43:15 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: So you must have lots of eyes huh? - Mon Oct  5 17:43:15 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Kind of? - Mon Oct  5 17:44:06 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . .  Did the transplants work well? - Mon Oct  5 17:44:06 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Why are you intrested? - Mon Oct  5 17:44:57 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Out of the sudden? - Mon Oct  5 17:44:57 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Well, look at my eyes. Eyes are an important topic to me. - Mon Oct  5 17:45:48 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Maybe I can have Zenaki take the eyes of others and have her give them normal eyes. Then they'd be safe from the bounty. - Mon Oct  5 17:46:40 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: ..Mm.. - Mon Oct  5 17:48:22 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Wait, Ikarus vanished. .  Wasn't Zenaki in Kirigakure for some time? - Mon Oct  5 17:49:13 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Zenaki, speaking of eyes. . Do you have any, weird eyes? - Mon Oct  5 17:49:13 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Weird eyes? There are no weird eyes. - Mon Oct  5 17:50:56 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: So they're all normal right? Not like mine. - Mon Oct  5 17:51:47 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: Wait, Seisuke only has one eye right. . ? Atleast, I could only see chakra in one eye socket. Could she help him? - Mon Oct  5 17:52:38 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Ah, could you transplant an eye into Seisuke? He has bandages on his face, but I could see with my own eyes that one eye socket lacked. . Chakra, I take it that something happened to him. - Mon Oct  5 17:53:29 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mm.. - Mon Oct  5 17:53:29 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I can't. - Mon Oct  5 17:53:29 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Why? - Mon Oct  5 17:54:20 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I tried it before. - Mon Oct  5 17:56:03 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I can't. - Mon Oct  5 17:56:03 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . . So you tried a transplant and it failed. - Mon Oct  5 17:56:03 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Mhm. - Mon Oct  5 17:56:03 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: Did he tell you how he lost his eye? - Mon Oct  5 17:56:03 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I know about it. - Mon Oct  5 17:56:54 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Yes. - Mon Oct  5 17:56:54 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Doesn't matter. - Mon Oct  5 17:56:54 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I see, so even after all these experiments you're still able to fail. - Mon Oct  5 17:56:54 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: That's a shame. - Mon Oct  5 17:56:54 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Sadly yes. - Mon Oct  5 17:58:36 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: My rolls are bad - Mon Oct  5 17:58:36 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: omit* - Mon Oct  5 17:58:36 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I do still not know how. - Mon Oct  5 17:58:36 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: You don't have any experiments to experiment on anymore? - Mon Oct  5 17:59:28 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) thinks: I mean she has all these corpses. .  But then again, they're dead. - Mon Oct  5 17:59:28 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: At the moment? No. - Mon Oct  5 17:59:28 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I really could use some eyes, damn. - Mon Oct  5 18:01:10 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Then hunt them down. - Mon Oct  5 18:01:10 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I'm not a murderer, and I'm not strong either. - Mon Oct  5 18:02:01 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Just take them out. - Mon Oct  5 18:02:01 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: I don't think people would like that. - Mon Oct  5 18:02:52 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I don't mind. - Mon Oct  5 18:02:52 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: If you want them? Work for them. - Mon Oct  5 18:02:52 2015
<br><br><font color=teal>*Harada, Taiga(Dopespruit) says: . .  Anyway, I take it that you need a living experiment. If there's something that doesn't, well make me a corpse. Then I might help. - Mon Oct  5 18:02:52 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: That doesn't make you a corpse? - Mon Oct  5 18:03:44 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: I wonder.. - Mon Oct  5 18:03:44 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: What about trying to attach limbs to your body? - Mon Oct  5 18:03:44 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: That you can actually use? - Mon Oct  5 18:03:44 2015
<br><br><font color=yellow>*Harada, Taiga(Dopespruit) rubbed the back of his head, following Zenaki with his eyes. ''. .  You mean like an extra arm or leg?'' His face turned a little blue at that. ''Maybe something less, monster looking. I mean, I don't want to be stared like a weirdo.''* - Mon Oct  5 18:04:35 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: Something like that.  - Mon Oct  5 18:05:26 2015
<br><br><font color=teal>*Zenaki(Kumaki) says: You can become some sort of spider. - Mon Oct  5 18:05:26 2015
