<br><font color=teal>*Uchiha, Hikaru(God of Fate) says: Ah, headband - Wed Dec  2 04:01:29 2015
<br><br><font color=teal>*Rias(LionHunter) says: Watch and learn kid - Wed Dec  2 05:32:48 2015
<br><br><font color=yellow>*Uchiha, Hikaru(God of Fate) || Though Hikaru was a little disappointed with the whole situation, he was still excited to see a match between two, what should be, seasoned Shinobi instead of a rookie Genin like himself. He followed the trio from the Hokage's mansion and went towards the Eastern side of the Village, heading North at the last turn to enter the training grounds which he visited so often.

The two older men bantered with one another, discussing fighting styles and whether or not they were going to go all out or just a simple spar. The pre-teen stood even footed, his arms folded as he watched the fight closely. Suddenly, the Lord Hokage appeared beside him, telling him to watch the match and to learn from it, probably hoping that he would get some sort of experience from it all.

While staring out into the field waiting for the match to start, heh would begin to weave handseals one at a time in a particular order. Snake, Sheep, Monkey, Pig, Horse, and Tiger. One would recognize these to be the handseals for the Fireball jutsu, something that the boy's parents worked hard on teaching him. Just then, the man whom he was supposed to fight suddenly vanished. Hikaru ceased his idle movements and stared in shock, wondering what happened to him.

He could have easily used the Shunshin technique and hid ni the nearby brush, that or he was truely invisible, amazing. It was now clear why the Hokage did not want the boy to fight him. Clearly, they were on two different levels.* - Wed Dec  2 05:39:37 2015
<br><br><font color=yellow>*Uchiha, Hikaru(God of Fate) wondered how the man would step up to the challenge of an invisible foe. There were not many options left when you look at it actually. He could always just throw items around blindly and hope that one of them hits him, or perhaps use a flash bang to pinpoint where the opponent is by using his own shadows? Maybe even throw out a sticky substance to snare the man if he ever got close.

And of course, all of the above options were discarded. Instead, as soon as the man was about to go invisible, the man, known as Z for now, weaved his own handseals and got to his knees. Hikaru watched him carefully, wondering what exactly was he going to do there. Just then, his own shadow extended forward and headed towards Osuda!* - Wed Dec  2 05:50:43 2015
<br><br><font color=teal>*Ziare(Meekee) says: Fine, be like that.. - Sat Dec  5 19:09:00 2015
<br><br><font color=teal>*Ziare(Meekee) says: Not very nice. - Sat Dec  5 19:09:52 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: . . . - Sat Dec  5 19:09:52 2015
<br><br><font color=teal>*Shin(Yaori) says: . . . - Sat Dec  5 19:09:52 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: Creep. - Sat Dec  5 19:09:52 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: All these people. - Sat Dec  5 19:09:52 2015
<br><br><font color=teal>*Shin(Yaori) says: But why not? - Sat Dec  5 19:09:52 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: When I just want to be alone. - Sat Dec  5 19:09:52 2015
<br><br><font color=teal>***Concealed Figure**(TheSecretary) whispers: um i w-wont be uhh..b-back for three to....umm...f-five..years - Sat Dec  5 19:12:25 2015
<br><br><font color=teal>*Ryuusei(TenaciousDeeznuts) thinks: Crowded today. - Sat Dec  5 19:12:25 2015
<br><br><font color=teal>*Shin(Yaori) says: That's a long time . . .  - Sat Dec  5 19:14:08 2015
<br><br><font color=yellow>*Uchiha, Hikaru(God of Fate) had just woken up recently, though it was a little late into the afternoon. He spent the entire night before flipping through scrolls on various jutsu, excited to embark on his journey through the ninja world. Having reently graduated from the Academy at the age of twelve, he was excited to get things rolling.

Now strolling through the northern part of the village he would stumble across a crowd of people. He noticed two of them having what looked like a private conversation, so he figured that he would move past them. He looked up to see a beautiful young lady, well, older looking than he was, but still young walking his way. For some reason she had a frown on his face. Sad to see that on such a pretty person right?

He strolled towards her with a smile. "Hey there! Why do you look like you're down? Are you alright?"* - Sat Dec  5 19:15:50 2015
<br><br><font color=teal>*Shin(Yaori) says: I understand Paine - Sat Dec  5 19:16:41 2015
<br><br><font color=teal>*Shin(Yaori) says: 5 years huh - Sat Dec  5 19:18:24 2015
<br><br><font color=yellow>*Uchiha, Hikaru(God of Fate) cocked his head to the right a little, taking a step back as he did so. "Err..are you okay? You sound a little..annoyed.."* - Sat Dec  5 19:27:47 2015
<br><br><font color=teal>*Shin(Yaori) says: Ouch . . . - Sat Dec  5 19:30:20 2015
<br><br><font color=yellow>*Uchiha, Hikaru(God of Fate) scratched the back of his head at her reply. That was a little harsh for a kid just trying to help her out with some issues. Well, perhaps it was best that she was left alone? After all, company doesn't always help, especially that of a stranger. If Hikaru continued pushing from here it would probably just make him look like a creep anyway..

He looked back up to her, a slightly sad look on his face. "I'm sorry for bothering you..and also for whatever made you this upset.." He said as he turned around and got out of her way.* - Sat Dec  5 19:32:54 2015
<br><br><font color=teal>*Ryuusei(TenaciousDeeznuts) says: Nothings going on. - Sat Dec  5 19:42:17 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: Tch. . . - Sat Dec  5 19:50:49 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: People are trouble Saika. . . - Sat Dec  5 19:51:40 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: Remember that. - Sat Dec  5 19:51:40 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Sat Dec  5 21:34:56 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sat Dec  5 21:39:12 2015
<br><br><font color=teal>*Ryuusei(TenaciousDeeznuts) thinks: That ass though. - Sat Dec  5 21:54:33 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sat Dec  5 21:55:24 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Dec  5 22:02:14 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Honestly.. - Sat Dec  5 22:03:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: I don't understand what's up with you kids.. - Sat Dec  5 22:03:05 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: If anything, you all should be training. - Sat Dec  5 22:04:48 2015
<br><br><font color=teal>*Gan Ning(Ellthestrange) says: Yeah, probably... - Sat Dec  5 22:04:48 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well..still.. - Sat Dec  5 22:05:39 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Well.. - Sat Dec  5 22:09:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Listen, guys.. - Sat Dec  5 22:09:55 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: You're going to need to get along for the long haul. - Sat Dec  5 22:10:46 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: So..do hang out for a while. Try to get to know one another. - Sat Dec  5 22:10:46 2015
<br><br><font color=teal>*Gan Ning(Ellthestrange) says: Hrm? Yeah.... I'm aware, of course. That's why I'm trying..! - Sat Dec  5 22:10:46 2015
<br><br><font color=teal>*Gan Ning(Ellthestrange) says: But... alas. - Sat Dec  5 22:10:46 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) thinks: What's her problem..? - Sat Dec  5 22:13:20 2015
<br><br><font color=teal>*Gan Ning(Ellthestrange) says: Hrm? Ah..! - Sat Dec  5 22:16:44 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: .... - Sat Dec  5 22:17:36 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Oh, hey Osda. - Sat Dec  5 22:17:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: That face.. - Sat Dec  5 22:17:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Huh? - Sat Dec  5 22:17:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ah, greetings. - Sat Dec  5 22:17:36 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Anything new happening with Kumogakure? - Sat Dec  5 22:18:27 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Mmm. . .No. - Sat Dec  5 22:18:27 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Well. .  - Sat Dec  5 22:18:27 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Some chick bit off my shoulder. - Sat Dec  5 22:18:27 2015
<br><br><font color=teal>*Takuma(Brosis55) says: But then healed it. - Sat Dec  5 22:18:27 2015
<br><br><font color=teal>*Raitori, Amaya(Sage of Six Booties) thinks: So there're vampires in the village that was originally mine. I'm glad I didn't stay there. - Sat Dec  5 22:19:18 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: This whore is the former Raikage. The one that disrespected Zeus... - Sat Dec  5 22:19:18 2015
<br><br><font color=teal>*Ziare(Meekee) says: ... - Sat Dec  5 22:19:18 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: Oh, the former is here. . She's nicknamed the whore. - Sat Dec  5 22:20:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) thinks: Tch...they're still alive.. - Sat Dec  5 22:20:09 2015
<br><br><font color=teal>*Gan Ning(Ellthestrange) thinks: Damn.... - Sat Dec  5 22:20:09 2015
<br><br><font color=teal>*Gan Ning(Ellthestrange) thinks: ....She's beautiful!~ - Sat Dec  5 22:20:09 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Ah, Z-sama. - Sat Dec  5 22:21:00 2015
<br><br><font color=teal>*Ziare(Meekee) says: Call me Ziare. - Sat Dec  5 22:21:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: There's no need to worry. It seems that Konohagakure is just becoming more popular. - Sat Dec  5 22:21:00 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Z-sama..I could never do that. - Sat Dec  5 22:21:52 2015
<br><br><font color=teal>*Ziare(Meekee) says: As long as the crime is down. - Sat Dec  5 22:21:52 2015
<br><br><font color=teal>*Takuma(Brosis55) says: I just came here to ask for teachings. If you bunch are willing to provide for me. - Sat Dec  5 22:21:52 2015
<br><br><font color=teal>*Ziare(Meekee) says: And it's a sign of disrespect by not doing so. - Sat Dec  5 22:21:52 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: That creep. . . - Sat Dec  5 22:21:52 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: I really need to go now. - Sat Dec  5 22:21:52 2015
<br><br><font color=teal>*Ziare(Meekee) says: Yo, black dress. - Sat Dec  5 22:21:52 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: --! - Sat Dec  5 22:22:43 2015
<br><br><font color=teal>*Ziare(Meekee) says: Sorry about earlier, theres a long story to that. - Sat Dec  5 22:22:43 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) says: . . . - Sat Dec  5 22:22:43 2015
<br><br><font color=teal>*Ziare(Meekee) says: Sorry to include you in my business. - Sat Dec  5 22:22:43 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: A long story to hitting on me? - Sat Dec  5 22:22:43 2015
<br><br><font color=teal>*Ziare(Meekee) says: Forget about it for me. - Sat Dec  5 22:22:43 2015
<br><br><font color=teal>*Gan Ning(Ellthestrange) says: Ah... - Sat Dec  5 22:22:43 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: Forget about it? - Sat Dec  5 22:22:43 2015
<br><br><font color=teal>*Takuma(Brosis55) thinks: She always does that. - Sat Dec  5 22:22:43 2015
<br><br><font color=teal>*Yamato, Saika(Chaos Commander2019) thinks: So he wasn't hitting on me? - Sat Dec  5 22:22:43 2015
<br><br><font color=teal>*Gan Ning(Ellthestrange) says: The beautiful flower that blooms in black and white- she is heading away, good sir. She seems to like Shunshin. - Sat Dec  5 22:22:43 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm.. - Sat Dec  5 22:23:34 2015
<br><br><font color=teal>*Takuma(Brosis55) says: . . .. - Sat Dec  5 22:23:34 2015
<br><br><font color=teal>*Gan Ning(Ellthestrange) says: That is- I think she's upset...Ah, well... I suppose it's best to give her a little space, as she seems to desire, for now. - Sat Dec  5 22:23:34 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: ... - Sat Dec  5 22:24:25 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Such a shame.. - Sat Dec  5 22:24:25 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Oh, hey. - Sat Dec  5 22:25:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Anyway, it appears as if I must tend to my duties.- - Sat Dec  5 22:25:16 2015
<br><br><font color=teal>*Shizan, Nigen(Un-Holybond) says: Hm? - Sat Dec  5 22:25:16 2015
<br><br><font color=teal>*Takuma(Brosis55) says: Do you have anything, you're willing to teach me by chance? - Sat Dec  5 22:25:16 2015
